H	"Florida Gas Transmission Company, LLC"	C000255	4/2/2018	O	4/1/2018	B	B	Iain Russell (713) 989-2615				
P	M2	GSPL St Helena                          	95	10109	W                   	10000	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	20000	 	 	 	 	 	
P	MQ	Alabama Electric Co-Op                  	95	62215	W                   	80000	 	 	 	 	 	
D	CITY OF MADISON                         	87756664	N 	FTS-1   	6014	11/1/1999	1/31/2027	0	N	339	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	36	 	 	 	 	 	
P	M2	NGPL Jefferson                          	95	10240	W                   	61	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	73	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	61	 	 	 	 	 	
P	M2	Sabine-Kaplan                           	95	23062	W                   	73	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	35	 	 	 	 	 	
P	MQ	Madison                                 	95	16139	M                   	339	 	 	 	 	 	
D	JEA                                     	77580223	N 	FTS-2   	6034	4/1/2002	3/31/2022	0	N	14000	 	
A	"THE ENERGY AUTHORITY, INC.              "	N 	 	 	 	 	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	1699	 	 	 	 	 	
P	M2	GSPL Mobile Bay-FGT Capacity            	95	78176	W                   	12301	 	 	 	 	 	
P	MQ	Brandy Branch-PGS                       	95	78117	M                   	14000	 	 	 	 	 	
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-2   	6035	4/1/2002	3/31/2022	0	N	1000	 	
P	M2	Destin P/L                              	95	71298	W                   	1000	 	 	 	 	 	
P	MQ	Daytona Beach-PGS                       	95	16159	M                   	1000	 	 	 	 	 	
D	"TALLAHASSEE, CITY OF                    "	930321073	N 	FTS-2   	6036	4/1/2002	3/31/2022	0	N	1000	 	X7
P	M2	GSPL Mobile Bay-FGT Capacity            	95	78176	W                   	439	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	561	 	 	 	 	 	
P	MQ	Tallahassee-St Marks(Purdom)            	95	16238	M                   	1000	 	 	 	 	 	
P	MQ	Tallahassee-W (Hopkins)                 	95	16237	M                   	1000	 	 	 	 	 	
D	SOUTHEAST ALABAMA GAS DISTRICT          	9850058	N 	FTS-WD  	6059	11/1/2000	10/31/2020	365	N	0	 	X6
D	TAMPA ELECTRIC COMPANY                  	6924286	N 	FTS-2   	6088	4/1/2002	4/30/2023	0	N	140000	 	X7
P	M2	ANR St Landry Parish                    	95	78303	W                   	3500	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	40427	 	 	 	 	 	
P	M2	Egan Hub (Rec)                          	95	78299	W                   	3383	 	 	 	 	 	
P	M2	Frisco Acadian                          	95	78533	W                   	10867	 	 	 	 	 	
P	M2	GSPL Mobile Bay-FGT Capacity            	95	78176	W                   	73806	 	 	 	 	 	
P	M2	HPL Magnet Withers                      	95	8576	W                   	2364	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	353	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	5300	 	 	 	 	 	
P	MQ	Bayside-TECO                            	95	78375	M                   	180000	 	 	 	 	 	
P	MQ	Hardee Power Partners Meter Station     	95	57345	M                   	120000	 	 	 	 	 	
P	MQ	Polk Power Station-TECO                 	95	78075	M                   	120000	 	 	 	 	 	
D	LAKE APOPKA NATURAL GAS DISTRICT        	72559644	N 	FTS-1   	6098	10/1/2000	1/31/2027	0	N	0	 	X6/X7
D	LAKE APOPKA NATURAL GAS DISTRICT        	72559644	N 	FTS-2   	6099	10/1/2000	2/28/2025	0	N	9688	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	Bay Gas (Rec) Storage                   	95	62248	W                   	538	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	424	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	1337	 	 	 	 	 	
P	M2	LRC White Castle                        	95	664000	W                   	1841	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	2492	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	1240	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	1391	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	425	 	 	 	 	 	
P	MQ	Lake Apopka-Apopka                      	95	16168	M                   	4235	 	 	 	 	 	
P	MQ	Lake Apopka-Kelly Park Delivery         	95	100708	M                   	3208	 	 	 	 	 	
P	MQ	Lake Apopka-Plymouth                    	95	16166	M                   	3208	 	 	 	 	 	
P	MQ	Lake Apopka-Winter Garden               	95	16171	M                   	2145	 	 	 	 	 	
P	MQ	Lang Woodsmere                          	95	57676	M                   	100	 	 	 	 	 	
D	"SEMINOLE ELECTRIC COOPERATIVE, INC.     "	78332657	N 	FTS-1   	6136	1/1/2002	12/31/2021	365	N	9861	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	9861	 	 	 	 	 	
P	MQ	Hardee Power Partners Meter Station     	95	57345	M                   	9861	 	 	 	 	 	
P	MQ	Midulla Generation Station              	95	78138	M                   	9861	 	 	 	 	 	
D	"SEMINOLE ELECTRIC COOPERATIVE, INC.     "	78332657	N 	FTS-2   	6137	1/1/2002	11/30/2028	0	N	15139	 	
P	M2	Destin P/L                              	95	71298	W                   	5749	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	2390	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	7000	 	 	 	 	 	
P	MQ	Hardee Power Partners Meter Station     	95	57345	M                   	15139	 	 	 	 	 	
P	MQ	Midulla Generation Station              	95	78138	M                   	15139	 	 	 	 	 	
D	NATIONAL GYPSUM COMPANY                 	808836894	N 	FTS-2   	101413	9/1/2002	2/28/2025	0	N	324	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	LRC White Castle                        	95	664000	W                   	125	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	199	 	 	 	 	 	
P	MQ	National Gypsum Company                 	95	16285	M                   	324	 	 	 	 	 	
D	"SOUTHERN COMPANY SERVICES, INC.         "	75463174	N 	FTS-2   	101502	11/1/2002	10/31/2022	0	N	0	 	X6
D	TAMPA ELECTRIC COMPANY                  	6924286	N 	FTS-1   	101716	12/1/2002	7/31/2020	0	N	5899	 	X4
D	TAMPA ELECTRIC COMPANY                  	6924286	N 	FTS-1   	101716-105189	2/8/2006	1/31/2027	0	N	1000	 	X4
P	M2	ANR St Landry Parish                    	95	78303	W                   	98	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	1000	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	113	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	25	 	 	 	 	 	
P	M2	NGPL Jefferson                          	95	10240	W                   	62	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	5570	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	31	 	 	 	 	 	
P	MQ	Bayside-TECO                            	95	78375	M                   	6899	 	 	 	 	 	
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-2   	101950	11/1/2003	10/31/2023	0	N	80000	 	X7
P	M2	ANR St Landry Parish                    	95	78303	W                   	10000	 	 	 	 	 	
P	M2	Bay Gas (Rec) Storage                   	95	62248	W                   	2500	 	 	 	 	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	2500	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	8000	 	 	 	 	 	
P	M2	Frisco Acadian                          	95	78533	W                   	11000	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	5000	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	7500	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	10000	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	1783	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	7500	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	2500	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	11717	 	 	 	 	 	
P	MQ	Indian River-OUC                        	95	16260	M                   	80000	 	 	 	 	 	
P	MQ	Kissimmee Cane Island                   	95	61237	M                   	80000	 	 	 	 	 	
P	MQ	Stanton-OUC                             	95	78384	M                   	80000	 	 	 	 	 	
D	"MOSAIC FERTILIZER, LLC                  "	602503976	N 	FTS-1   	102665	11/1/2003	10/31/2026	365	N	216	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	93	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	78	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	45	 	 	 	 	 	
P	MQ	Bartow-Mosaic                           	95	16271	M                   	216	 	 	 	 	 	
D	"CUTRALE CITRUS JUICES USA, INC.         "	958547432	N 	FTS-2   	102761	12/1/2003	3/31/2026	0	N	0	 	X6
D	"CUTRALE CITRUS JUICES USA, INC.         "	958547432	N 	FTS-2   	102772	4/1/2004	6/30/2026	0	N	1000	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	1000	 	 	 	 	 	
P	MQ	Auburndale-Cutrale                      	95	16264	M                   	1000	 	 	 	 	 	
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-2   	104345	11/1/2006	3/31/2023	0	N	0	 	X6
D	NATIONAL GYPSUM COMPANY                 	808836894	N 	FTS-2   	104689	9/1/2005	2/28/2025	0	N	2800	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	1378	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	1422	 	 	 	 	 	
P	MQ	National Gypsum Company                 	95	16285	M                   	2800	 	 	 	 	 	
D	BP ENERGY COMPANY                       	625275755	N 	FTS-1   	105778	9/1/2006	1/31/2022	365	N	500	 	
P	M2	GSPL St Helena                          	95	10109	W                   	105	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	215	 	 	 	 	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	180	 	 	 	 	 	
P	MQ	Geneva Co Gas District                  	95	16131	M                   	500	 	 	 	 	 	
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-1   	105988	11/1/2006	7/31/2020	0	N	4000	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	433	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	2140	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	32	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	592	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	803	 	 	 	 	 	
P	MQ	Lakeland North-PGS                      	95	16198	M                   	4000	 	 	 	 	 	
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-2   	106037	11/1/2006	2/28/2021	0	N	1400	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	491	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	272	 	 	 	 	 	
P	M2	SNG High Point-TOCA                     	95	100016	W                   	129	 	 	 	 	 	
P	M2	SNG Koch-Shadyside                      	95	930300	W                   	129	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	379	 	 	 	 	 	
P	MQ	St Cloud-CUC                            	95	16176	M                   	1400	 	 	 	 	 	
P	MQ	Stanton B-OUC                           	95	78515	M                   	1400	 	 	 	 	 	
P	MQ	Stanton C Gas Igniter Conversion-OUC    	95	100013	M                   	1400	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-2   	106522	5/1/2007	4/30/2027	0	N	0	 	X6
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-2   	106598	10/1/2007	4/30/2027	0	N	50000	 	X7
P	M2	SNG Cypress                             	95	78454	M                   	50000	 	 	 	 	 	
P	MQ	Anclote-FPC                             	95	71404	M                   	50000	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	50000	 	 	 	 	 	
P	MQ	Shady Hills-Mirant                      	95	78295	M                   	50000	 	 	 	 	 	
D	"INFINITE ENERGY, INC.                   "	968786749	N 	FTS-1   	108220	2/1/2009	3/31/2039	0	N	2100	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	1236	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	115	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	237	 	 	 	 	 	
P	M2	Sabine-Kaplan                           	95	23062	W                   	81	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	431	 	 	 	 	 	
P	MQ	Chattahoochee                           	95	16137	M                   	174	 	 	 	 	 	
P	MQ	Geneva Co Gas District                  	95	16131	M                   	386	 	 	 	 	 	
P	MQ	Madison                                 	95	16139	M                   	1100	 	 	 	 	 	
P	MQ	Sunrise                                 	95	16111	M                   	440	 	 	 	 	 	
D	TAMPA ELECTRIC COMPANY                  	6924286	N 	FTS-2   	109631	11/1/2010	4/30/2035	0	N	30000	 	X7
P	M2	Destin P/L                              	95	71298	W                   	15000	 	 	 	 	 	
P	M2	SESH Mobile Bay                         	95	78486	W                   	15000	 	 	 	 	 	
P	MQ	Bayside-TECO                            	95	78375	M                   	30000	 	 	 	 	 	
P	MQ	Polk Power Station-TECO                 	95	78075	M                   	30000	 	 	 	 	 	
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-2   	109805	1/1/2010	2/28/2026	0	N	8000	 	
P	M2	GSPL St Helena                          	95	10109	W                   	226	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	2808	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	944	 	 	 	 	 	
P	M2	SNG Koch-Shadyside                      	95	930300	W                   	79	 	 	 	 	 	
P	M2	Tejas Calhoun Co ITE                    	95	71444	W                   	608	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	1171	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	2164	 	 	 	 	 	
P	MQ	Stanton B-OUC                           	95	78515	M                   	8000	 	 	 	 	 	
P	MQ	Stanton C Gas Igniter Conversion-OUC    	95	100013	M                   	8000	 	 	 	 	 	
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-1   	109806	1/1/2010	7/31/2030	0	N	6872	 	
P	M2	GSPL St Landry                          	95	10102	W                   	1926	 	 	 	 	 	
P	M2	HPL Magnet Withers                      	95	8576	W                   	688	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	1029	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	881	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	905	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	117	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	926	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	400	 	 	 	 	 	
P	MQ	Stanton B-OUC                           	95	78515	M                   	6289	 	 	 	 	 	
P	MQ	Stanton C Gas Igniter Conversion-OUC    	95	100013	M                   	583	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-1   	110394	8/1/2010	7/31/2050	0	N	6980	 	
P	M2	Columbia Gulf-Lafayette                 	95	62410	W                   	2748	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	2768	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	1464	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	6980	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-3   	111144	4/1/2011	3/31/2036	0	Y	75000	 	X7
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	75000	 	 	 	 	 	
P	MQ	Anclote-FPC                             	95	71404	M                   	75000	 	 	 	 	 	
P	MQ	El Paso Vandolah                        	95	78307	M                   	75000	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	75000	 	 	 	 	 	
P	MQ	Shady Hills-Mirant                      	95	78295	M                   	75000	 	 	 	 	 	
P	MQ	Suwannee-Progress Energy                	95	78530	M                   	75000	 	 	 	 	 	
D	FLORIDA POWER & LIGHT COMPANY           	6922371	N 	FTS-3   	111145	4/1/2011	3/31/2036	0	Y	400000	 	X7
P	M2	GSPL Merrill                            	95	100037	W                   	67000	 	 	 	 	 	
P	M2	SESH Lucedale (Rec)                     	95	78487	W                   	233000	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	100000	 	 	 	 	 	
P	MQ	Cape Canaveral-FPL                      	95	100019	M                   	192000	 	 	 	 	 	
P	MQ	Ft Myers-FPL                            	95	78083	M                   	334000	 	 	 	 	 	
P	MQ	Lauderdale A-FPL                        	95	53371	M                   	200000	 	 	 	 	 	
P	MQ	Lauderdale B-FPL                        	95	53369	M                   	200000	 	 	 	 	 	
P	MQ	Manatee-FPL                             	95	78518	M                   	250000	 	 	 	 	 	
P	MQ	Martin-FPL                              	95	78522	M                   	620000	 	 	 	 	 	
P	MQ	Port Everglades Energy Center M&R-FPL   	95	100041	M                   	217000	 	 	 	 	 	
P	MQ	Putnam-FPL                              	95	16525	M                   	120000	 	 	 	 	 	
P	MQ	Riviera East-FPL                        	95	16481	M                   	200000	 	 	 	 	 	
P	MQ	Riviera West-FPL                        	95	100030	M                   	200000	 	 	 	 	 	
P	MQ	Sanford-FPL                             	95	16526	M                   	375000	 	 	 	 	 	
P	MQ	Turkey Point North-FPL                  	95	78446	M                   	218000	 	 	 	 	 	
D	TAMPA ELECTRIC COMPANY                  	6924286	N 	FTS-3   	111146	4/1/2011	3/31/2036	0	Y	50000	 	X7
P	M2	SESH Lucedale (Rec)                     	95	78487	W                   	10000	 	 	 	 	 	
P	M2	SESH Mobile Bay                         	95	78486	W                   	10000	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	30000	 	 	 	 	 	
P	MQ	Bayside-TECO                            	95	78375	M                   	50000	 	 	 	 	 	
P	MQ	Desoto Co Generation (Del)              	95	78312	M                   	50000	 	 	 	 	 	
P	MQ	Lakeland North-PGS                      	95	16198	M                   	8000	 	 	 	 	 	
P	MQ	Polk Power Station-TECO                 	95	78075	M                   	50000	 	 	 	 	 	
D	"TALLAHASSEE, CITY OF                    "	930321073	N 	FTS-3   	111147	4/1/2011	3/31/2036	0	Y	6000	 	
P	M2	SESH Lucedale (Rec)                     	95	78487	W                   	2000	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	4000	 	 	 	 	 	
P	MQ	Tallahassee Hopkins #2                  	95	78469	M                   	6000	 	 	 	 	 	
D	ORLANDO UTILITIES COMMISSION            	4076071	N 	FTS-3   	111148	4/1/2011	3/31/2036	0	Y	15000	 	X7
P	M2	Destin P/L                              	95	71298	W                   	5000	 	 	 	 	 	
P	M2	SESH Lucedale (Rec)                     	95	78487	W                   	5000	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	5000	 	 	 	 	 	
P	MQ	Stanton B-OUC                           	95	78515	M                   	15000	 	 	 	 	 	
P	MQ	Vero Beach Generating                   	95	16261	M                   	8000	 	 	 	 	 	
D	"SEMINOLE ELECTRIC COOPERATIVE, INC.     "	78332657	N 	FTS-3   	111150	4/1/2011	3/31/2036	0	Y	60000	 	X7
P	M2	Destin P/L                              	95	71298	W                   	20000	 	 	 	 	 	
P	M2	SESH Lucedale (Rec)                     	95	78487	W                   	25000	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	15000	 	 	 	 	 	
P	MQ	Hardee Power Partners Meter Station     	95	57345	M                   	35000	 	 	 	 	 	
P	MQ	Midulla Generation Station              	95	78138	M                   	60000	 	 	 	 	 	
D	OKALOOSA GAS DISTRICT                   	10387272	N 	FTS-WD  	111256	4/1/2011	7/31/2025	0	N	5000	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	ANR St Landry Parish                    	95	78303	W                   	400	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	664	 	 	 	 	 	
P	M2	GSPL St Landry                          	95	10102	W                   	628	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	675	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	1353	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	447	 	 	 	 	 	
P	M2	Sabine-Kaplan                           	95	23062	W                   	447	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	163	 	 	 	 	 	
P	M2	TRANSCO St Helena                       	95	10114	W                   	223	 	 	 	 	 	
P	MQ	Okaloosa Co                             	95	55685	M                   	5000	 	 	 	 	 	
D	OKALOOSA GAS DISTRICT                   	10387272	N 	FTS-WD  	111257	4/1/2011	1/31/2027	0	N	0	 	X6
D	"CHATTAHOOCHEE, CITY OF                  "	782620629	N 	FTS-1   	111608	6/1/2011	1/31/2027	0	N	50	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	1	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	18	 	 	 	 	 	
P	M2	Sabine-Kaplan                           	95	23062	W                   	21	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	10	 	 	 	 	 	
P	MQ	Chattahoochee                           	95	16137	M                   	50	 	 	 	 	 	
D	"FLORALA, CITY OF                        "	1288604	N 	FTS-1   	111609	6/1/2011	1/31/2027	0	N	70	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	25	 	 	 	 	 	
P	M2	Sabine-Kaplan                           	95	23062	W                   	30	 	 	 	 	 	
P	M2	SNG Franklinton (Rec)                   	95	10095	W                   	15	 	 	 	 	 	
P	MQ	Florala                                 	95	16130	M                   	70	 	 	 	 	 	
D	GENEVA COUNTY GAS DISTRICT              	81390429	N 	FTS-1   	111631	6/1/2011	1/31/2027	0	N	436	 	
A	"INFINITE ENERGY, INC.                   "	N 	 	 	 	 	 	 	 	 	 	
P	M2	GSPL St Helena                          	95	10109	W                   	19	 	 	 	 	 	
P	M2	Refugio-Crosstex Energy                 	95	78349	W                   	157	 	 	 	 	 	
P	M2	Sabine-Kaplan                           	95	23062	W                   	187	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	73	 	 	 	 	 	
P	MQ	Geneva Co Gas District                  	95	16131	M                   	436	 	 	 	 	 	
D	"ANGOLA LNG SUPPLY SERVICES, LLC         "	830935180	N 	FTS-WD  	111870	9/30/2011	9/29/2031	0	Y	342610	 	X7
P	M2	Gulf LNG Pascagoula                     	95	78536	W                   	342610	 	 	 	 	 	
P	MQ	Grand Bay (Del)                         	95	78535	W                   	308616	 	 	 	 	 	
P	MQ	Gulf LNG Citronelle                     	95	78540	W                   	342610	 	 	 	 	 	
P	MQ	Southern Pines (Del)                    	95	78461	W                   	342610	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-1   	111982	4/1/2012	3/31/2026	0	N	2229	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	801	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	962	 	 	 	 	 	
P	M2	TENN Carnes (Rec)                       	95	10258	W                   	466	 	 	 	 	 	
P	MQ	Suwannee-Progress Energy                	95	78530	M                   	2229	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-3   	113000	4/1/2013	10/31/2021	0	N	30000	 	X7
P	M2	TRANSCO Citronelle FGT Mainline         	95	71462	W                   	30000	 	 	 	 	 	
P	MQ	El Paso Vandolah                        	95	78307	M                   	30000	 	 	 	 	 	
P	MQ	Suwannee-Progress Energy                	95	78530	M                   	30000	 	 	 	 	 	
D	"CUTRALE CITRUS JUICES USA, INC.         "	958547432	N 	FTS-2   	113156	12/1/2012	4/30/2026	0	N	1000	 	
A	BP ENERGY COMPANY                       	N 	 	 	 	 	 	 	 	 	 	
P	M2	Destin P/L                              	95	71298	W                   	1000	 	 	 	 	 	
P	MQ	Auburndale-Cutrale                      	95	16264	M                   	1000	 	 	 	 	 	
D	"PEOPLES GAS SYSTEM, A DIVISION OF TAMPA "	6922736	N 	FTS-1   	113708	11/1/2013	7/31/2024	365	N	3193	 	
P	M2	Destin P/L                              	95	71298	W                   	3191	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	2	 	 	 	 	 	
P	MQ	Indian River Ctg-Reliant                	95	78037	M                   	3193	 	 	 	 	 	
D	"PIVOTAL UTILITY HOLDINGS, INC.          "	56711344	N 	FTS-2   	113811	10/1/2012	3/31/2020	365	N	0	 	X6
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-1   	114929	11/1/2013	12/31/2019	0	N	341	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	341	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	341	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-1   	114930	11/1/2013	12/31/2019	0	N	342	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	342	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	342	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-1   	114931	11/1/2013	2/28/2029	0	N	2605	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	940	 	 	 	 	 	
P	M2	NGPL Vermilion                          	95	57391	W                   	1036	 	 	 	 	 	
P	M2	TRANSCO Citronelle FGT Capacity         	95	62132	W                   	629	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	2605	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-2   	114932	11/1/2013	2/28/2025	0	N	3053	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	1472	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	1581	 	 	 	 	 	
P	MQ	Hines Energy Complex-FPC                	95	63033	M                   	3053	 	 	 	 	 	
D	"DUKE ENERGY FLORIDA, LLC                "	6923700	N 	FTS-2   	114933	11/1/2013	2/28/2025	0	N	3053	 	
P	M2	Markham-Gulf Shore                      	95	78427	W                   	1471	 	 	 	 	 	
P	M2	Sabine Pass Plant                       	95	282	W                   	1582	 	 	 	 	 	
