H	"East Tennessee Natural Gas, LLC"	C000085	4/2/2018	O	4/1/2018	T	T	LISA  A. CONNOLLY 713-627-4102				
P	MQ	MTNG/MCMINN CO. INTERCONNECT-MCMINN	95	59201	ETN	4250						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	250						
P	M2	SALTVILLE STORAGE WITHDRAWAL	95	59777	ETN	1000						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-APT	410339-R1	12/1/2008	11/30/2023		Y	2000		
P	MQ	MTUD MONTEREY	95	59031	ETN	2000						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	2000						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-A	410626-R1	10/1/2017	10/31/2023		N	2180		
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1780						
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	9						
P	MQ	MIDDLE TENNESSEE NAT GAS UTILITY DI	95	59162	ETN	2180						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	391						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-A	4262-R2	4/1/2009	10/31/2012	1825	N	28398		L2
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	13096						
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	11075						
P	MQ	MTUD RED BANK	95	59011	ETN	5150						
P	MQ	MTUD CARTHAGE	95	59015	ETN	7523						
P	MQ	MTUD MONTEREY	95	59031	ETN	8852						
P	MQ	MTUD ALTO	95	59040	ETN	4212						
P	MQ	MONTEAGLE	95	59102	ETN	826						
P	MQ	MTUD HOLIDAY INN	95	59111	ETN	11						
P	MQ	MTUD FRANKLIN	95	59134	ETN	824						
P	MQ	MTUD BAXTER	95	59149	ETN	1000						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	3942						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	285						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-A	4349-R1	11/1/1993	10/31/2012	1825	N	0		O14
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	MTUD RED BANK	95	59011	ETN	0						
P	MQ	MTUD CARTHAGE	95	59015	ETN	0						
P	MQ	MTUD MONTEREY	95	59031	ETN	0						
P	MQ	MTUD ALTO	95	59040	ETN	0						
P	MQ	MTUD BAXTER	95	59149	ETN	0						
P	MQ	MTNG/MCMINN CO. INTERCONNECT-MCMINN	95	59201	ETN	0						
D	MIDDLE TENNESSEE NATURAL GAS UTILITY DISTRICT	42938647	N	FT-A	7566-R2	1/1/2006	10/31/2010	1825	N	0		L18/O19
P	MQ	MTUD MONTEREY	95	59031	ETN	0						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	0						
D	MT PLEASANT GAS SYSTEM	794466813	N	FT-A	410582-R1	11/1/2016	10/31/2021		N	2000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"CITY OF MOUNT PLEASANT, TN-SAM WATK"	95	59244	ETN	2000						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	2000						
D	MT PLEASANT GAS SYSTEM	794466813	N	FT-GS	4264-R1	11/1/1993	10/31/2020		N	3000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	3000						
P	MQ	MT PLEASANT CITY	95	59062	ETN	1792						
P	MQ	MT PLEASANT EAST	95	59091	ETN	1208						
D	NAVITAS UTILITY CORPORATION	801010385	N	FT-A	410497-R1	5/1/2014	10/31/2015	1825	N	250		
A	"EDF TRADING NORTH AMERICA, LLC"	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	250						
P	MQ	MORGAN CO 3 DELIVERY- NAVITAS UTILI	95	59157	ETN	250						
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-AKPT	410632-R1	11/7/2017	9/30/2018		N	10000		
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	10000						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	10000						
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-A	410105-R2	11/1/2005	10/31/2015	1825	N	1000		L36
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1000						
P	MQ	ORUD	95	59020	ETN	1000						
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-A	410130-R2	11/1/2005	10/31/2015	1825	N	560		L38
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	560						
P	MQ	ORUD	95	59020	ETN	560						
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-APT	410214-R1	11/1/2005	10/31/2015	1825	N	596		
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	596						
P	MQ	ORUD	95	59020	ETN	596						
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-A	410219-R1	11/1/2005	10/31/2010	1825	N	500		
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	500						
P	MQ	ORUD	95	59020	ETN	500						
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-A	410225-R1	11/1/2005	10/31/2010	1825	N	3422		
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	MQ	ORUD	95	59020	ETN	3422						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	3422						
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-A	410244-R1	4/1/2006	10/31/2010	1825	N	0		O46
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	MQ	ORUD	95	59020	ETN	0						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	0						
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-ART	410442-R1	9/1/2011	10/31/2015	1825	N	500		
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	500						
P	MQ	"OAK RIDGE - ROANE CO., TN"	95	59188	ETN	500						
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-A	4265-R1	11/1/1993	10/31/2000	1825	N	7622		
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	7622						
P	MQ	ORUD	95	59020	ETN	7622						
D	OGLETHORPE POWER CORPORATION (AN ELECTRIC MEMBERSHIP CORPORATION)	73460305	N	FT-AGW	410463-R1	4/16/2013	10/31/2016	1825	N	3000		
P	MQ	VS 3214	95	50008	ETN	3000						
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3000						
D	OGLETHORPE POWER CORPORATION (AN ELECTRIC MEMBERSHIP CORPORATION)	73460305	N	FT-APT	410464-R1	4/16/2013	11/30/2023		Y	50000		
P	MQ	VS 3214	95	50008	ETN	50000						
P	M2	TRANSCO - CASCADE CREEK (RECEIPT)	95	59304	ETN	50000						
D	OGLETHORPE POWER CORPORATION (AN ELECTRIC MEMBERSHIP CORPORATION)	73460305	N	FT-AMUR	410465-R1	4/16/2013	1/31/2022		Y	165000		
P	M2	VS 3214	95	51008	ETN	115000						
P	MQ	THOMAS A. SMITH ENERGY FACILITY-MUR	95	59199	ETN	165000						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	50000						
D	OLIN CORPORATION	1338086	N	FT-A	4287-R1	11/1/1993	10/31/1995	1825	N	150		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	150						
P	MQ	OLIN	95	59090	ETN	150						
D	"PIEDMONT NATURAL GAS COMPANY, INC."	6996219	N	FT-APT	410158-R1	11/1/2005	10/31/2020		N	45000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	45000						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	12000						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	13000						
P	M2	MIDWESTERN GAS TRANSMISSION-TROUSDA	95	59339	ETN	20000						
D	POWELL CLINCH UTILITY DISTRICT	63180665	N	LNGS	33254-R2	4/1/2006	10/31/2010	1825	N		17672	L2
A	CH4 CONCEPTS	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		2160					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		2160					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		2160					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		2160					
D	POWELL CLINCH UTILITY DISTRICT	63180665	N	FT-A	410047-R6	11/1/2014	10/31/2020		N	5444		L34
A	CH4 CONCEPTS	N										
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	2806						
P	MQ	PCUD CLINTON	95	59035	ETN	4166						
P	MQ	PCUD LAFOLLETTE	95	59168	ETN	1278						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	1638						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	1000						
D	POWELL CLINCH UTILITY DISTRICT	63180665	N	FT-A	410048-R3	11/1/2014	10/31/2020		N	8953		L34
A	CH4 CONCEPTS	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	2400						
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	6553						
P	MQ	PCUD CLINTON	95	59035	ETN	3746						
P	MQ	PCUD LAFOLLETTE	95	59168	ETN	5207						
D	POWELL CLINCH UTILITY DISTRICT	63180665	N	FT-APT	410210-R1	11/1/2005	10/31/2016	1825	N	1000		
A	CH4 CONCEPTS	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1000						
P	MQ	PCUD CLINTON	95	59035	ETN	1000						
D	POWELL CLINCH UTILITY DISTRICT	63180665	N	FT-A	410574-R1	4/1/2016	8/31/2019		N	1150		
A	CH4 CONCEPTS	N										
P	MQ	PCUD CLINTON	95	59035	ETN	1150						
P	M2	RANGE RESOURCES-DICKENSON CO #2 -DI	95	59336	ETN	1150						
D	POWELL CLINCH UTILITY DISTRICT	63180665	N	FT-A	4350-R2	4/1/2006	10/31/2010	1825	N	0		L2/O15
A	CH4 CONCEPTS	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	PCUD CLINTON	95	59035	ETN	0						
D	"PUBLIC SERVICE COMPANY OF NORTH CAROLINA, INC."	6996607	N	FT-APT	410097-R1	11/21/2003	11/30/2018		Y	30000		
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	30000						
P	M2	TRANSCO - CASCADE CREEK (RECEIPT)	95	59304	ETN	30000						
P	MQ	SALTVILLE LLC STORAGE INJECTION	95	59760	ETN	30000						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	30000						
D	"PUBLIC SERVICE COMPANY OF NORTH CAROLINA, INC."	6996607	N	FT-APT	410333-R1	4/4/2008	3/31/2018	1825	N	10000		
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	10000						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	10000						
D	"PUBLIC SERVICE COMPANY OF NORTH CAROLINA, INC."	6996607	N	FT-APT	410338-R1	12/1/2008	3/31/2018	1825	N	10000		
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	10000						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	10000						
D	"PULASKI, TENNESSEE, CITY OF"	78229812	N	FT-ART	34552-R2	7/1/2006	10/31/2010	1825	N	1500		L30
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	1500						
P	MQ	PULASKI	95	59079	ETN	1500						
D	"PULASKI, TENNESSEE, CITY OF"	78229812	N	FT-A	4275-R1	11/1/1993	10/31/2000	1825	N	515		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	458						
P	MQ	PULASKI	95	59079	ETN	515						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	57						
D	RESOLUTE FP US INC	30171	N	FT-A	4277-R1	11/1/2000	10/31/2005	1825	N	2470		YA1/L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	2470						
P	MQ	BOWATERS	95	59008	ETN	2470						
D	ROANOKE GAS COMPANY	7941669	N	FT-A	24724-R1	11/1/1998	10/31/2018		N	5150		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	5150						
P	MQ	ROANOKE CLEARBROOK	95	59004	ETN	5150						
P	M2	EARLY GROVE REC/WD (BI-D 59147)	95	59009	ETN	0						
P	M2	SONAT BRADLEY	95	59311	ETN	0						
D	ROANOKE GAS COMPANY	7941669	N	FT-APT	410254-R1	3/1/2006	10/31/2017	1825	N	4000		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	"ROANOKE WEST SALEM-ROANOKE CO., VA"	95	59196	ETN	4000						
P	M2	SALTVILLE STORAGE WITHDRAWAL	95	59777	ETN	4000						
D	ROANOKE GAS COMPANY	7941669	N	FT-APT	410308-R1	11/1/2007	10/31/2014	1825	N	3500		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	ROANOKE SALEM	95	59003	ETN	1500						
P	MQ	ROANOKE CLEARBROOK	95	59004	ETN	2000						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	3500						
D	ROANOKE GAS COMPANY	7941669	N	FT-A	4267-R1	11/1/1993	10/31/2013	1825	N	10083		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	9226						
P	MQ	ROANOKE SALEM	95	59003	ETN	3925						
P	MQ	ROANOKE CLEARBROOK	95	59004	ETN	5974						
P	M2	EARLY GROVE REC/WD (BI-D 59147)	95	59009	ETN	857						
P	M2	MORGAN COUNTY 1 (BI 59163)	95	59012	ETN	0						
P	MQ	ROANOKE CAVE SPRINGS	95	59105	ETN	55						
P	MQ	ROANOKE ELLISTON	95	59110	ETN	129						
P	M2	ROANOKE COLUMBIA DELIVERIES	95	59136	ETN	0						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	0						
D	"ROCKWOOD WATER, SEWER & NATURAL GAS"	20298555	N	FT-A	4268-R2	11/1/2005	10/31/2015	1825	N	5367		L2
A	"JAT OIL, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	2491						
P	MQ	ROCKWOOD	95	59033	ETN	5367						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	623						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	2253						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FT-APT	410205-R1	5/1/2005	11/30/2023		Y	25000		
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	25000						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	25000						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FT-APT	410206-R1	5/1/2005	11/30/2028		Y	25000		
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	8526						
P	MQ	ATLANTA	95	59014	ETN	5000						
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	20000						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	13000						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	3474						
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FT-APT	410258-R1	4/1/2006	11/30/2023		Y	25000		
P	M2	TRANSCO - CASCADE CREEK (RECEIPT)	95	59304	ETN	25000						
P	MQ	SALTVILLE LLC STORAGE INJECTION	95	59760	ETN	25000						
D	SEVIER COUNTY UTILITY DISTRICT	92324482	N	FT-A	16674-R5	11/1/2014	10/31/2020		N	4978		L23
A	CH4 CONCEPTS	N										
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	1978						
P	MQ	SEVIERVILLE	95	59068	ETN	1000						
P	MQ	SEVIER COUNTY UTILITY DISTRICT	95	59158	ETN	3978						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	2000						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	1000						
D	SEVIER COUNTY UTILITY DISTRICT	92324482	N	LNGS	33269-R1	11/1/1993	10/31/2015	1825	N		15450	
A	CH4 CONCEPTS	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		1864					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		1864					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		1864					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		1864					
D	SEVIER COUNTY UTILITY DISTRICT	92324482	N	FT-A	410027-R3	11/1/2014	10/31/2020		N	6775		L33
A	CH4 CONCEPTS	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	6775						
P	MQ	SEVIER SEYMOUR	95	59144	ETN	1000						
P	MQ	SEVIER COUNTY UTILITY DISTRICT	95	59158	ETN	5775						
D	SEVIER COUNTY UTILITY DISTRICT	92324482	N	FT-APT	410212-R1	11/1/2005	10/31/2015	1825	N	1467		
A	CH4 CONCEPTS	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	1467						
P	MQ	SEVIER COUNTY UTILITY DISTRICT	95	59158	ETN	1467						
D	SEVIER COUNTY UTILITY DISTRICT	92324482	N	FT-A	410572-R1	4/1/2016	8/31/2019		N	4250		
A	CH4 CONCEPTS	N										
P	MQ	SEVIERVILLE	95	59068	ETN	4250						
P	M2	RANGE RESOURCES-DICKENSON CO #2 -DI	95	59336	ETN	4250						
D	SEVIER COUNTY UTILITY DISTRICT	92324482	N	FT-A	4351-R1	11/1/1993	10/31/2015	1825	N	0		O16
A	CH4 CONCEPTS	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	SEVIER COUNTY UTILITY DISTRICT	95	59158	ETN	0						
D	"SOUTH PITTSBURG, CITY OF"	884850082	N	FT-A	20220-R1	11/1/1997	10/31/2012	1825	N	500		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	500						
P	MQ	SOUTH PITTSBURG	95	59019	ETN	500						
D	"SOUTH PITTSBURG, CITY OF"	884850082	N	LNGS	33263-R2	4/1/2006	10/31/2010	1825	N		5150	L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE INJECTION	95	56000	ETN		824					
P	MQ	410 STORAGE INJECTION STORAGE SERVI	95	56100	ETN		824					
P	MQ	410 STORAGE WITHDRAWAL	95	57000	ETN		824					
P	M2	410 STORAGE WITHDRAWAL STORAGE SERV	95	57100	ETN		824					
D	"SOUTH PITTSBURG, CITY OF"	884850082	N	FT-A	4261-R2	4/1/2006	10/31/2010	1825	N	2642		L2
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	2105						
P	MQ	SOUTH PITTSBURG	95	59019	ETN	2642						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	537						
D	"SOUTH PITTSBURG, CITY OF"	884850082	N	FT-A	4348-R2	4/1/2006	10/31/2010	1825	N	0		L2/O13
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	410 STORAGE WITHDRAWAL	95	57000	ETN	0						
P	MQ	SOUTH PITTSBURG	95	59019	ETN	0						
D	STAND ENERGY CORP	121293039	N	FT-A	410251-R6	9/1/2013	3/31/2015	1825	N	500		L44
P	MQ	UCG BLACKSBURG	95	59010	ETN	500						
P	M2	"TEXAS EASTERN - HARTSVILLE, TN"	95	59330	ETN	500						
D	STAND ENERGY CORP	121293039	N	FT-APT	410270-R4	9/1/2013	3/31/2015	1825	N	750		L49
P	MQ	UCG JOHNSON CITY EAST	95	59028	ETN	500						
P	MQ	UCG KINGSPORT NORTH	95	59067	ETN	150						
P	MQ	UCG ELIZABETHTON	95	59070	ETN	100						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	750						
D	STAND ENERGY CORP	121293039	N	FT-APT	410345-R3	11/1/2010	11/30/2023		Y	1500		L51
P	MQ	UCG BLACKSBURG	95	59010	ETN	1000						
P	M2	ROGERSVILLE M&R	95	59198	ETN	1500						
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	500						
D	SWEETWATER UTILITIES BOARD	88828967	N	FT-GS	7772-R1	11/1/1993	10/31/2010	1825	N	3796		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3296						
P	MQ	SWEETWATER	95	59085	ETN	3796						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	500						
D	TATE & LYLE INGREDIENTS AMERICAS LLC	122320559	N	FT-ALE	410576-R1	9/13/2016	9/12/2036		Y	40000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"TATE AND LYLE, LOUDON CO., TN"	95	59246	ETN	40000						
P	M2	SONAT BRADLEY	95	59311	ETN	40000						
D	TENNESSEE AIR NATIONAL GUARD	26089	N	FT-A	4291-R1	11/1/1993	10/31/2000	1825	N	375		YA1
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	332						
P	MQ	TANG	95	59096	ETN	375						
P	M2	DICKENSON CO RECEIVING	95	59315	ETN	43						
D	TENNESSEE VALLEY AUTHORITY	1883032	N	FT-ANET	410402-R1	9/1/2011	8/31/2036		Y	150000		
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	75000						
P	MQ	TVA - JOHN SEVIER	95	59219	ETN	150000						
P	M2	TRANSCO - CASCADE CREEK (RECEIPT)	95	59304	ETN	75000						
D	UNICOI COUNTY UTILITY DISTRICT	53983508	N	FT-A	23103-R1	1/1/1998	10/31/2000	1825	N	4120		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	4120						
P	MQ	UNICOI ERWIN	95	59053	ETN	4120						
D	UNICOI COUNTY UTILITY DISTRICT	53983508	N	FT-A	30739-R1	11/1/1999	10/31/2014	1825	N	300		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	300						
P	MQ	UNICOI ERWIN	95	59053	ETN	300						
D	UNITED STATES DEPARTMENT OF ENERGY	361714736	N	FT-A	4280-R3	2/15/2012	10/31/2015	1825	N	8725		L2
A	"JAY BRADSHER, INC."	N										
P	M2	MAINLINE JEWELL RIDGE	95	50092	ETN	5600						
P	M2	EL PASO - RIDGETOP RECEIVING	95	53101	ETN	3125						
P	MQ	DOE C STATION	95	59021	ETN	7225						
P	MQ	DOE B STATION	95	59064	ETN	1500						
D	US GYPSUM	5212600	N	FT-A	20242-R2	1/1/2013	10/31/2018		N	5500		L25
A	"U.S. ENERGY SERVICES, INC."	N										
P	M2	EL PASO - LOBELVILLE RECEIVING	95	53201	ETN	5500						
P	MQ	US GYPSUM	95	59178	ETN	5500						
D	"WACKER POLYSILICON NORTH AMERICA, LLC"	29796	N	FT-AWAC	410453-R1	7/1/2014	6/30/2034		Y	5700		YA1
A	TENNESSEE ENERGY CONSULTANTS	N										
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	WACKER CHEMIE	95	59233	ETN	5700						
P	M2	"TEXAS EASTERN - MT. PLEASANT, GILES"	95	59329	ETN	5700						
D	WASHINGTON GAS LIGHT COMPANY	6920607	N	FT-APT	410261-R1	4/1/2007	3/31/2027		Y	80000		
A	VEGA ENERGY PARTNERS LTD	N										
P	MQ	TRANSCO - CASCADE CREEK (DELIVERY)	95	59204	ETN	80000						
P	M2	SALTVILLE LLC STORAGE WITHDRAWAL	95	59770	ETN	80000						
F	1	"D-U-N-S number not received yet, proprietary code is shown."										
F	2	Original contract effective date: 11/01/1993										
F	3	"Varying MDQ quantities as follows: 1439 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	4	"Varying MDQ quantities as follows: 2218 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	5	"Varying MDQ quantities as follows: 1371 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	6	"Varying MDQ quantities as follows: 183 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	7	"Varying MDQ quantities as follows: 690 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	8	"Varying MDQ quantities as follows: 3035 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	9	"Varying MDQ quantities as follows: 4126 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	10	"Varying MDQ quantities as follows: 510 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	11	"Varying MDQ quantities as follows: 1075 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	12	"Varying MDQ quantities as follows: 730 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	13	"Varying MDQ quantities as follows: 824 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	14	"Varying MDQ quantities as follows: 25450 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	15	"Varying MDQ quantities as follows: 2160 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	16	"Varying MDQ quantities as follows: 1864 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	17	"Varying MDQ quantities as follows: 309 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	18	Original contract effective date: 11/01/1994										
F	19	"Varying MDQ quantities as follows: 1193 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	20	"Varying MDQ quantities as follows: 804 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	21	"Varying MDQ quantities as follows: 875 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	22	Original contract effective date: 11/02/1995										
F	23	Original contract effective date: 11/01/1996										
F	24	Original contract effective date: 11/01/1997										
F	25	Original contract effective date: 11/01/1998										
F	26	Original contract effective date: 10/01/1999										
F	27	"Varying MDQ quantities as follows: 36633 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	28	Original contract effective date: 11/01/1999										
F	29	Original contract effective date: 10/01/2000										
F	30	Original contract effective date: 11/01/2000										
F	31	"Varying MDQ quantities as follows: 1000 dth - Nov 1-Mar 31, 0 dth - Apr 1-Oct 31"										
F	32	Original contract effective date: 12/01/2000										
F	33	Original contract effective date: 04/01/2001										
F	34	Original contract effective date: 09/01/2001										
