H	"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC"	C000654	4/2/2018	O	4/1/2018	T	T	Karen Gallardo 713-215-3572				
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1450	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1101	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2260	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	40	0					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	FT	1005009	8/1/1991	6/28/2005	1095	N	104	0	o1
A	BP ENERGY COMPANY	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	40	0					
P	S8	UNION SC M7124	95	1006670	ZONE 5	104	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	18	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	25	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	20	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	41	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	40	0					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	FT	1008552	8/1/1994	3/16/1998	1095	N	181	0	
A	BP ENERGY COMPANY	N										
P	S8	UNION SC M7124	95	1006670	ZONE 5	181	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	31	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	46	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	34	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	70	0					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	FT	1012031	11/1/1995	10/31/2015	730	N	1300	0	
A	BP ENERGY COMPANY	N										
P	S8	UNION SC M7124	95	1006670	ZONE 5	1300	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	1300	0					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	FT	1020763	11/1/1997	10/31/2017	730	N	2070	0	
A	BP ENERGY COMPANY	N										
P	S8	UNION SC M7124	95	1006670	ZONE 5	2070	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	1610	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	460	0					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	FT	9046183	11/1/2006	10/31/2017	730	N	509	0	
A	BP ENERGY COMPANY	N										
P	S8	CAROLINA GAS	95	9003140	ZONE 5	509	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	509	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	0	0					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	FTG	1006672	11/1/1993	10/30/2013	180	N	616	0	o3
A	BP ENERGY COMPANY	N										
P	S8	UNION SC M7124	95	1006670	ZONE 5	616	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	105	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	154	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	117	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	240	0					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	GSS	1000727	4/1/2013	3/31/2023		N	0	45897	
A	BP ENERGY COMPANY	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	947					
D	CITY OF UNION SOUTH CAROLINA	98405442	N	WSS-OA	9065811	3/1/2008	2/28/2013	365	N	0	47610	
A	BP ENERGY COMPANY	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	501					
D	"CITY OF WILSON, NC"	847638251	N	FT	9127824	10/1/2012	9/30/2013	1095	N	3500	0	
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	S8	DANVILLE	95	1006062	ZONE 5	3500	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	595	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	875	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	665	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	1365	0					
D	CITY OF WINDER GEORGIA	841058951	N	GSS	1000778	4/1/2013	3/31/2023		N	0	9740	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	186					
D	CLINTON-NEWBERRY NATURAL GAS AUTHORITY	78069432	N	ESS	1041755	11/1/1993	10/31/2013	365	N	0	25117	
A	SCANA ENERGY MARKETING INC	N										
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	2977					
D	CLINTON-NEWBERRY NATURAL GAS AUTHORITY	78069432	N	FT	1003718	2/1/1992	3/31/2024		N	9419	0	o14
A	SCANA ENERGY MARKETING INC	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	40	0					
P	S8	CLINTON NEWB M7091	95	1006049	ZONE 5	9419	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1601	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	2355	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1790	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	3673	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	40	0					
D	CLINTON-NEWBERRY NATURAL GAS AUTHORITY	78069432	N	FT	1004175	11/1/1995	3/31/2024		N	2070	0	o4
A	SCANA ENERGY MARKETING INC	N										
P	S8	CLINTON NEWB M7091	95	1006049	ZONE 5	2070	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	2070	0					
D	CLINTON-NEWBERRY NATURAL GAS AUTHORITY	78069432	N	FT	1004988	8/1/1991	3/31/2024		N	104	0	o1
A	SCANA ENERGY MARKETING INC	N										
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	40	0					
P	S8	CLINTON NEWB M7091	95	1006049	ZONE 5	104	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	18	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	25	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	20	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	41	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	40	0					
D	CLINTON-NEWBERRY NATURAL GAS AUTHORITY	78069432	N	FT	1012015	11/1/1995	10/31/2015	730	N	1783	0	
A	SCANA ENERGY MARKETING INC	N										
P	S8	CLINTON NEWB M7091	95	1006049	ZONE 5	1783	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	1783	0					
D	CLINTON-NEWBERRY NATURAL GAS AUTHORITY	78069432	N	FT	1020765	11/1/1997	10/31/2017	730	N	3105	0	
A	SCANA ENERGY MARKETING INC	N										
P	S8	CLINTON NEWB M7091	95	1006049	ZONE 5	3105	0					
P	S9	POOLING-STATION 65	95	1000065	ZONE 3	805	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	2300	0					
D	CLINTON-NEWBERRY NATURAL GAS AUTHORITY	78069432	N	FT	1042059	5/1/2002	4/30/2017	365	N	2000	0	
A	SCANA ENERGY MARKETING INC	N										
P	S8	CLINTON NEWB M7091	95	1006049	ZONE 5	2000	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	2000	0					
D	CLINTON-NEWBERRY NATURAL GAS AUTHORITY	78069432	N	FT	9002622	5/1/2003	4/30/2018		Y	1500	0	
A	SCANA ENERGY MARKETING INC	N										
P	S8	CLINTON NEWB M7091	95	1006049	ZONE 5	1500	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	1500	0					
D	CLINTON-NEWBERRY NATURAL GAS AUTHORITY	78069432	N	WSS-OA	1038543	4/1/2001	3/31/2016	365	N	0	414000	
A	SCANA ENERGY MARKETING INC	N										
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	4358					
D	COLONIAL GAS COMPANY D/B/A NATIONAL GRID	6954903	N	FT	1006428	6/1/1993	5/31/2008	365	N	576	0	
A	KEYSPAN GAS EAST CORPORATION D/B/A NATIONAL GRID	N										
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	576	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	576	0					
D	COLUMBIA GAS OF VIRGINIA INC	7940976	N	FT	1004186	11/1/1995	10/31/2010	279	N	1096	0	o4
P	S8	LYNCHBURG	95	1006173	ZONE 5	1096	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	144	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	952	0					
D	COLUMBIA GAS OF VIRGINIA INC	7940976	N	FT	1010652	2/1/1996	10/31/2010	1095	N	33215	0	
P	S8	EMPORIA WALDROP	95	1000941	ZONE 5	6600	0					
P	S8	LYNCHBURG	95	1006173	ZONE 5	12420	0					
P	S8	xCOL COMMONWEALTH	95	1003419	ZONE 5	14195	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	5647	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	8303	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	6311	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	12954	0					
D	COLUMBIA GAS OF VIRGINIA INC	7940976	N	FT	1020774	11/1/1997	10/31/2012	180	N	19245	0	
P	S8	EMPORIA WALDROP	95	1000941	ZONE 5	19245	0					
P	S9	POOLING-STATION 165	95	1000139	ZONE 5	19245	0					
D	COLUMBIA GAS OF VIRGINIA INC	7940976	N	FT	1031806	11/1/1999	10/31/2014	180	N	15000	0	
P	S8	EMPORIA WALDROP	95	1000941	ZONE 5	15000	0					
P	S9	POOLING-STATION 165	95	1000139	ZONE 5	15000	0					
D	COLUMBIA GAS OF VIRGINIA INC	7940976	N	FT	9038923	8/1/2006	4/30/2026		N	15000	0	
P	S8	EMPORIA WALDROP	95	1000941	ZONE 5	15000	0					
P	S9	POOLING-STATION 165	95	1000139	ZONE 5	15000	0					
D	COLUMBIA GAS OF VIRGINIA INC	7940976	N	FT	9060991	11/10/2007	11/9/2027		N	40000	0	
P	S8	LYNCHBURG	95	1006173	ZONE 5	40000	0					
P	S9	CASCADE CREEK	95	9001040	ZONE 5	40000	0					
D	COLUMBIA GAS OF VIRGINIA INC	7940976	N	FT	9145192	1/1/2014	10/31/2018		N	7800	0	
P	S8	EMPORIA WALDROP	95	1000941	ZONE 5	7800	0					
P	S9	POOLING-STATION 165	95	1000139	ZONE 5	7800	0					
D	COLUMBIA GAS OF VIRGINIA INC	7940976	N	FT	9204511	12/11/2017	3/31/2025		N	755	0	
P	S8	EMPORIA WALDROP	95	1000941	ZONE 5	755	0					
P	S9	POOLING-STATION 165	95	1000139	ZONE 5	755	0					
D	COLUMBIA GAS OF VIRGINIA INC	7940976	N	GSS	1000766	4/1/2013	3/31/2023		N	0	49395	
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	1035					
D	"COLUMBIA GAS TRANSMISSION, LLC"	54748041	N	X234	1000085	6/5/1981	11/18/2001	365	N	22600	0	ym22
P	S8	UGI PENN NAT GAS INC	95	1006385	ZONE 6	22600	0					
P	S9	MARTINS CREEK #3	95	9001342	ZONE 6	22600	0					
P	S9	YOUNG WM CRK M3265	95	1006337	ZONE 6	22600	0					
D	"COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA"	43388594	N	ESS	9003274	11/1/1993	10/31/2013	365	N	0	10999	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	1304					
D	"COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA"	43388594	N	ESS	9050447	3/1/2007	9/6/2011	365	N	0	10086	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	1208					
D	"COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA"	43388594	N	FT	1002284	8/1/1991	2/25/1998	1095	N	94	0	
P	S8	GREER	95	1006111	ZONE 5	94	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	16	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	23	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	19	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	36	0					
D	"COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA"	43388594	N	FT	1003938	2/1/1992	12/30/2011	1095	N	5175	0	
P	S8	GREER	95	1006111	ZONE 5	5175	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	880	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	1294	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	983	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	2018	0					
D	"COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA"	43388594	N	FT	1004181	11/1/1995	10/31/2005	279	N	2070	0	o4
P	S8	GREER	95	1006111	ZONE 5	2070	0					
P	S9	HEIDELBERG	95	1006120	ZONE 4	1171	0					
P	S9	HOLMESVILLE	95	1006128	ZONE 4	899	0					
D	"COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA"	43388594	N	FT	1008551	8/1/1994	3/16/1998	1095	N	90	0	
P	S8	GREER	95	1006111	ZONE 5	90	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	16	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	22	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	17	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	35	0					
D	"COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA"	43388594	N	FT	1009769	11/5/1994	11/4/2014	730	N	910	0	
P	S8	GREER	95	1006111	ZONE 5	910	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	910	0					
D	"COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA"	43388594	N	FT	1012024	11/1/1995	10/31/2015	730	N	5270	0	
P	S8	GREER	95	1006111	ZONE 5	5270	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	5270	0					
D	"COMMISSION OF PUBLIC WORKS, CITY OF GREER SOUTH CAROLINA"	43388594	N	FT	1042063	5/1/2002	4/30/2017	365	N	2500	0	
P	S8	GREER	95	1006111	ZONE 5	2500	0					
P	S9	SHUBUTA-DESTIN M3576	95	1001748	ZONE 4	2500	0					
D	CONNECTICUT NATURAL GAS CORPORATION	1139294	N	FT	1006426	6/1/1993	5/31/2008	365	N	1877	0	
P	S8	ALGONQUIN-CTR M4402	95	1006561	ZONE 6	1877	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	1877	0					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	ESS	1038388	11/1/1993	3/31/2001	365	N	0	353338	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	41872					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	ESS	9050776	3/1/2007	3/23/2010	365	N	0	600773	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	71924					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	FT	1000658	11/1/1995	10/31/2003	365	N	4500	0	
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	4500	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	4500	0					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	FT	1000659	11/1/1995	3/31/2003	365	N	3800	0	
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	3800	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	3800	0					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	FT	1002239	8/1/1991	3/21/1998	30	N	2084	0	
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	2084	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	354	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	522	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	396	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	812	0					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	FT	1003683	2/1/1992	10/31/2023		N	335880	0	o14
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	3956	0					
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	335880	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	57100	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	83970	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	63816	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	130994	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	3956	0					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	FT	1005011	8/1/1991	3/30/2010	1095	N	10143	0	o1
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	3956	0					
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	10143	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	1724	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	2536	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	1927	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	3956	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	3956	0					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	FT	1016007	11/1/1996	10/30/2006	186	N	30344	0	
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	30344	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	30344	0					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	FT	1041076	12/1/2001	11/30/2011	730	N	30000	0	
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	30000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	30000	0					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	GSS	1000895	4/1/2013	3/31/2023		N	0	515099	
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	10040					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	SS-2	1003967	7/25/1990	3/31/2009	365	N	0	2128995	
P	WR	SS-2 NATIONAL FUEL	95	1002693	ZONE 6	0	19355					
D	CONSOLIDATED EDISON COMPANY OF NEW YORK INC	6982359	N	WSS-OA	1040629	11/1/2001	4/30/2004	365	N	0	12338940	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	129884					
D	CORNING NATURAL GAS CORPORATION	2877231	N	FT	1006511	10/1/1993	10/31/2020		N	898	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	898	0					
P	S9	CPH M/L MP 446.41	95	9007102	ZONE 2	878	0					
P	S9	CPH M/L 469.41	95	9007103	ZONE 3	20	0					
D	"CPV SHORE, LLC"	78617501	N	FDLS	9168117	4/1/2015	3/31/2030		Y	264000	0	
A	SEQUENT ENERGY MANAGEMENT LP	N										
P	S8	WEC M6333	95	9008406	ZONE 6	264000	0					
P	S9	WOODBRIDGE TRANSFER	95	9008405	ZONE 6	264000	0					
D	DELMARVA POWER & LIGHT COMPANY	6918882	N	ESS	1018469	11/1/1993	9/30/2029		N	0	177162	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	21118					
D	DELMARVA POWER & LIGHT COMPANY	6918882	N	FT	1003684	2/1/1992	3/31/2011	1095	N	56718	0	o14
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	646	0					
P	S8	DELMARVA	95	1006587	ZONE 6	56718	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	9642	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	14180	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	10776	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	22120	0					
P	S9	WASHINGTON STG TRANS	95	1100001	ZONE 3	646	0					
D	DELMARVA POWER & LIGHT COMPANY	6918882	N	FT	1011993	11/1/1995	10/30/2010	365	N	5000	0	
P	S8	EASTERN SHORE	95	1006570	ZONE 6	5000	0					
P	S9	WHARTON-NAT FUEL	95	1006325	ZONE 6	5000	0					
D	DELMARVA POWER & LIGHT COMPANY	6918882	N	FT	9076492	12/21/2008	5/20/2029		Y	25000	0	
P	S8	DELMARVA	95	1006587	ZONE 6	25000	0					
P	S9	PLEASANT VALLEY	95	1095059	ZONE 5	10000	0					
P	S9	LEIDY-NATIONAL FUEL	95	1007065	ZONE 6	15000	0					
D	DELMARVA POWER & LIGHT COMPANY	6918882	N	GSS	1000854	4/1/2013	3/31/2023		N	0	2128955	
P	WR	GSS LEIDY/CONGAS/NA	95	1002688	ZONE 6	0	29415					
D	DELMARVA POWER & LIGHT COMPANY	6918882	N	LNG	9010117	11/1/2013	3/31/2020		N	0	7214	
P	WR	CARLSTADT LNG STG	95	1002686	ZONE 6	0	869					
D	DELMARVA POWER & LIGHT COMPANY	6918882	N	WSS-OA	9008008	9/1/2003	3/31/2010	365	N	0	1152312	
P	WR	WASHINGTON STORAGE	95	1002687	ZONE 3	0	12130					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	ESS	9153067	4/1/2014	2/22/2015	365	N	0	2637	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	315					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	ESS	9153068	4/1/2014	4/30/2018		N	0	40585	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	4859					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	ESS	9153069	4/1/2014	12/28/2014	365	N	0	6176	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	740					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	ESS	9154665	4/1/2014	9/30/2024		Y	0	37121	
P	WR	EMINENCE EESWS & ES	95	1002689	ZONE 4	0	4444					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9153023	4/1/2014	3/31/2017	180	N	575	0	
P	S8	EASTERN SHORE	95	1006570	ZONE 6	575	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	98	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	144	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	109	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	224	0					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9153024	4/1/2014	3/31/2017	1095	N	227	0	
P	S8	BGE-BEAVER DAM M4392	95	1006743	ZONE 6	227	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	38	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	58	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	43	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	88	0					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9153025	4/1/2014	3/31/2015	365	N	2000	0	
P	S8	LAURENS M7043	95	1006156	ZONE 5	2000	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	340	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	500	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	380	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	780	0					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9153026	4/1/2014	3/31/2015	365	N	24985	0	
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	24985	0					
P	S9	LEIDY-NATIONAL FUEL	95	1007065	ZONE 6	24985	0					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9153027	4/1/2014	3/31/2015	365	N	10873	0	
P	S8	BROOKLYN UNION	95	1006558	ZONE 6	10873	0					
P	S9	LAMBERTVILLE-TETCO	95	1006154	ZONE 6	10873	0					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9153028	4/1/2014	3/31/2017	1095	N	227	0	
P	S8	PHILADELPHIA ELEC	95	1006555	ZONE 6	227	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	38	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	58	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	43	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	88	0					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9153029	4/1/2014	3/31/2015	365	N	1046	0	
P	S8	DOWNINGTOWN	95	1006067	ZONE 6	1046	0					
P	S9	POOLING-STATION 45	95	1000026	ZONE 2	261	0					
P	S9	POOLING-STATION 50	95	1000040	ZONE 3	199	0					
P	S9	POOLING-STATION 62	95	1000762	ZONE 3	586	0					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9153066	4/1/2014	11/18/2024		Y	10000	0	
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	10000	0					
P	S9	PLEASANT VALLEY	95	1095059	ZONE 5	10000	0					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9153070	4/1/2014	4/30/2030		Y	15000	0	
P	S8	BROOKLYN UNION	95	1006558	ZONE 6	3000	0					
P	S8	CONSOLIDATED EDISON	95	1006571	ZONE 6	9000	0					
P	S8	POOLING-STATION 210	95	1000178	ZONE 6	3000	0					
P	S9	LEIDY-DOMINION	95	1006161	ZONE 6	15000	0					
D	"DIRECT ENERGY BUSINESS MARKETING, LLC"	78790103	N	FT	9161616	11/1/2014	11/30/2017	365	N	26000	0	
P	S8	LEIDY-DOMINION	95	1006161	ZONE 6	26000	0					
P	S9	MARC I	95	9007162	ZONE 6	26000	0					
D	"DOMINION ENERGY FUEL SERVICES, INC."	27046650	N	FT	9154534	4/1/2014	10/31/2033		Y	50000	0	
A	"FAIRLESS ENERGY, LLC"	N										
P	S8	FAIRLESS ENRGY M6309	95	9000564	ZONE 6	50000	0					
P	S9	POOLING-STATION 210	95	1000178	ZONE 6	50000	0					
D	"DOMINION ENERGY FUEL SERVICES, INC."	27046650	N	FT	9154535	4/1/2014	10/31/2033		Y	50000	0	
A	"FAIRLESS ENERGY, LLC"	N										
P	S8	FAIRLESS ENRGY M6309	95	9000564	ZONE 6	50000	0					
P	S9	POOLING-STATION 210	95	1000178	ZONE 6	50000	0					
D	"DOMINION ENERGY FUEL SERVICES, INC."	27046650	N	FT	9154539	4/1/2014	10/31/2035		Y	21037	0	
A	"FAIRLESS ENERGY, LLC"	N										
P	S8	FAIRLESS ENRGY M6309	95	9000564	ZONE 6	21037	0					
P	S9	CPH TRENTON MP 0	95	9007922	ZONE 6	21037	0					
D	"DUKE ENERGY CAROLINAS, LLC"	957879984	N	FT	9109922	5/1/2011	4/30/2031		Y	60000	0	
P	S8	EDEN	95	9010058	ZONE 5	22500	0					
P	S8	PIEDMONT	95	1006576	ZONE 5	37500	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	60000	0					
D	"DUKE ENERGY CAROLINAS, LLC"	957879984	N	FT	9139583	7/1/2013	10/31/2017	730	N	16560	0	
P	S8	DUKE ENERGY CAROLINA	95	9004742	ZONE 5	16560	0					
P	S9	POOLING-STA 85-ZN 4	95	1000105	ZONE 4	16560	0					
D	"DUKE ENERGY CAROLINAS, LLC"	957879984	N	FT	9172961	3/1/2016	1/31/2023		N	75000	0	
P	S8	POOLING-STATION 65	95	1000065	ZONE 3	0	0					
P	S8	PIEDMONT	95	1006576	ZONE 5	75000	0					
P	S9	POOLING-STATION 30	95	1000007	ZONE 1	12750	0					
