H	NATURAL GAS PIPELINE COMPANY OF AMERICA LLC	C002096	4/2/2018	O	4/1/2018	T	T	Pam Ojeman 713-369-9332				
P	M2	ONEOKFS/NGPL  CUSTER	95	5388	MIDCONTINENT RCPT &	15356	0					
P	M2	REX/NGPL  JEFFERSON	95	42499	MIDCONTINENT RCPT &	15000	0					
P	M2	STINGRAY/NGPL  CAMERON	95	5433	LOUISIANA RCPT & DEL	50000	0					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	FTS	146434-FTSNGPL	12/1/2016	11/30/2019		N	4077	0	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	M2	DCP OPER/NGPL  CADDO	95	3661	MIDCONTINENT RCPT &	2608	0					
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	1304	0					
P	MQ	LIBERTY/NGPL DONIPHAN BUTLER	95	900187	MARKET DELIVERY	700	0					
P	MQ	LIBERTY/NGPL JACKSN CAPE GIRARDEAU	95	900183	MARKET DELIVERY	3100	0					
P	MQ	LIBERTY/NGPL OAKRDG CAPE GIRARDEAU	95	900182	MARKET DELIVERY	70	0					
P	MQ	LIBERTY/NGPL PUXICO STODDARD	95	900185	MARKET DELIVERY	207	0					
P	M2	OXY/NGPL INDIAN BASIN PLT EDDY	95	1753	PERMIAN RCPT & DELIV	165	0					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	FTS	146435-FTSNGPL	12/1/2016	11/30/2019		N	2200	0	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	2200	0					
P	MQ	LIBERTY/NGPL DONIPHAN BUTLER	95	900187	MARKET DELIVERY	720	0					
P	MQ	LIBERTY/NGPL JACKSN CAPE GIRARDEAU	95	900183	MARKET DELIVERY	1174	0					
P	MQ	LIBERTY/NGPL OAKRDG CAPE GIRARDEAU	95	900182	MARKET DELIVERY	59	0					
P	MQ	LIBERTY/NGPL PUXICO STODDARD	95	900185	MARKET DELIVERY	247	0					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	FTS	146676-FTSNGPL	3/1/2017	2/29/2020		N	1850	0	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	M2	DCP OPER/NGPL  CADDO	95	3661	MIDCONTINENT RCPT &	1850	0					
P	MQ	LIBERTY/NGPL VANDALIA FAYETTE	95	900162	MARKET DELIVERY	1850	0					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	FTS	146677-FTSNGPL	3/1/2017	2/29/2020		N	1200	0	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	M2	DCP OPER/NGPL  CADDO	95	3661	MIDCONTINENT RCPT &	1200	0					
P	MQ	LIBERTY/NGPL ST PETER FAYETTE	95	900164	MARKET DELIVERY	1200	0					
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.	78314967	N	FTS	146680-FTSNGPL	3/1/2017	2/29/2020		N	0	0	n1
A	"CENTERPOINT ENERGY SERVICES,  INC."	N										
P	M2	ALLNCEPL/NGPL JOLIET #1 GRUNDY	95	37207	IOWA-ILLINOIS RECEIP	0	0					
P	MQ	LIBERTY/NGPL JACKSN CAPE GIRARDEAU	95	900183	MARKET DELIVERY	0	0					
D	MACQUARIE ENERGY LLC	798846036	N	FTS	133440	12/1/2006	3/31/2026		N	0	0	n1
P	MQ	NICORGAS/NGPL  ROCK ISLAND	95	56	MARKET DELIVERY	0	0					
P	M2	TPC/NGPL  GAGE	95	902900	AMARILLO MAINLINE  R	0	0					
D	MACQUARIE ENERGY LLC	798846036	N	FTS	145833-FTSNGPL	11/1/2017	10/31/2020		Y	25000	0	n1
P	MQ	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	25000	0					
P	M2	REX/NGPL  JEFFERSON	95	42499	MIDCONTINENT RCPT &	25000	0					
D	MACQUARIE ENERGY LLC	798846036	N	FTS	146630-FTSNGPL	11/1/2016	10/31/2019		Y	30000	0	n1
P	MQ	FGT/NGPL  JEFFERSON	95	3618	TEXOK RCPT & DELIVER	30000	0					
P	M2	REX/NGPL  JEFFERSON	95	42499	MIDCONTINENT RCPT &	20000	0					
P	M2	WOODFORD/NGPL COX CITY GRADY	95	48931	MIDCONTINENT RCPT &	10000	0					
D	MACQUARIE ENERGY LLC	798846036	N	FTS	148042-FTSNGPL	4/1/2018	10/31/2019		Y	15000	0	n1
P	MQ	NIPSCO/NGPL NORTH HAYDEN KANKAKEE	95	900130	MARKET DELIVERY	15000	0					
P	M2	WOODFORD/NGPL COX CITY GRADY	95	48931	MIDCONTINENT RCPT &	15000	0					
D	MACQUARIE ENERGY LLC	798846036	N	FTS	148504-FTSNGPL	4/1/2018	10/31/2018		N	9412	0	n1
P	M2	EMP-EOIT/NGPL CORN WASHITA	95	5383	MIDCONTINENT RCPT &	9412	0					
P	MQ	NICORGAS/NGPL SUMMIT AVE COOK	95	904122	MARKET DELIVERY	9412	0					
D	MACQUARIE ENERGY LLC	798846036	N	FTS	148597-FTSNGPL	12/1/2017	3/31/2019		N	4853	0	n1
P	M2	EMP-EOIT/NGPL CORN WASHITA	95	5383	MIDCONTINENT RCPT &	4853	0					
P	MQ	NICORGAS/NGPL WEBER ROAD WILL	95	4109	MARKET DELIVERY	4853	0					
P	MQ	NIPSCO/NGPL NORTH HAYDEN KANKAKEE	95	900130	MARKET DELIVERY	0	0					
D	MACQUARIE ENERGY LLC	798846036	N	FTS	148782-FTSNGPL	11/1/2017	3/31/2019		N	30000	0	n1
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	9400	0					
P	M2	EMP-EOIT/NGPL CORN WASHITA	95	5383	MIDCONTINENT RCPT &	600	0					
P	M2	MARKWEST/NGPL BUFFALO CREEK PROCESS	95	47097	MIDCONTINENT RCPT &	20000	0					
P	MQ	NICORGAS/NGPL WEBER ROAD WILL	95	4109	MARKET DELIVERY	30000	0					
D	MACQUARIE ENERGY LLC	798846036	N	FTS	149053-FTSNGPL	4/1/2018	10/31/2018		N	40000	0	n1
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	20000	0					
P	M2	MARKWEST/NGPL BUFFALO CREEK PROCESS	95	47097	MIDCONTINENT RCPT &	20000	0					
P	MQ	NICORGAS/NGPL WEBER ROAD WILL	95	4109	MARKET DELIVERY	40000	0					
D	MACQUARIE ENERGY LLC	798846036	N	FTS	149447-FTSNGPL	4/1/2018	10/31/2020		N	33334	0	n1
P	M2	ENBRIDGE/NGPL #2 PANOLA	95	41589	TEXOK RCPT & DELIVER	33334	0					
P	MQ	GATEWAY/NGPL TYSON MILLER	95	11186	MARKET DELIVERY	125	0					
P	MQ	IPC/NGPL  CASS	95	902923	MARKET DELIVERY	33209	0					
D	"MADILL GAS PROCESSING COMPANY, L.L.C."	808586999	N	FTS	147024-FTSNGPL	9/1/2016	8/31/2036		Y	100000	0	n1
P	M2	CARRERA/NGPL MADILL PLT MARSHALL	95	901477	TEXOK RCPT & DELIVER	100000	0					
P	MQ	CUMBERLA/NGPL  JOHNSTON	95	46433	TEXOK RCPT & DELIVER	100000	0					
D	MARATHON OIL COMPANY	55122568	N	FTS	136326	4/1/2009	5/1/2019		N	8000	0	n1
P	MQ	ENABLEMR/NGPL  HARRISON	95	900955	TEXOK RCPT & DELIVER	8000	0					
P	M2	OXY/NGPL INDIAN BASIN PLT EDDY	95	1753	PERMIAN RCPT & DELIV	8000	0					
D	MARQUIS ENERGY LLC	783374692	N	FTS	147695-FTSNGPL	4/1/2017	3/31/2019		N	5000	0	n1
A	"CAPSTONE ENERGY SERVICES, LLC"	N										
P	MQ	AMER IL/NGPL AMEREN BUREAU	95	46388	MARKET DELIVERY	5000	0					
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	5000	0					
D	"MERCURIA ENERGY AMERICA, INC."	831749127	N	FTS	147737-FTSNGPL	4/1/2017	3/31/2022		Y	40000	0	n1
P	M2	EMP-EOIT/NGPL  CUSTER	95	903474	MIDCONTINENT RCPT &	10000	0					
P	M2	EMP-EOIT/NGPL CORN WASHITA	95	5383	MIDCONTINENT RCPT &	10000	0					
P	MQ	KMTP/NGPL #1 JEFFERSON	95	903643	TEXOK RCPT & DELIVER	20000	0					
P	M2	MARKWEST/NGPL  CUSTER	95	44627	MIDCONTINENT RCPT &	4500	0					
P	MQ	MB HUB/NGPL MOSS  BLUFF LIBERTY	95	3817	TEXOK RCPT & DELIVER	20000	0					
P	M2	WOODFORD/NGPL COX CITY GRADY	95	48931	MIDCONTINENT RCPT &	15500	0					
D	"MEX GAS SUPPLY, S.L."	812504850	N	FTS	147056-FTSNGPL	11/1/2017	9/30/2018		N	175000	0	n1
P	M2	ENBRIDGE/NGPL #2 PANOLA	95	41589	TEXOK RCPT & DELIVER	100000	0					
P	M2	MB HUB/NGPL MOSS  BLUFF LIBERTY	95	3817	TEXOK RCPT & DELIVER	75000	0					
P	MQ	NET MEXI/NGPL  NUECES	95	47226	SOUTH TEXAS RCPT & D	175000	0					
D	"MEX GAS SUPPLY, S.L."	812504850	N	FTS	147112-FTSNGPL	4/1/2017	9/30/2018		N	125000	0	n1
P	M2	ENBRIDGE/NGPL #2 PANOLA	95	41589	TEXOK RCPT & DELIVER	100000	0					
P	M2	MB HUB/NGPL MOSS  BLUFF LIBERTY	95	3817	TEXOK RCPT & DELIVER	25000	0					
P	MQ	NET MEXI/NGPL  NUECES	95	47226	SOUTH TEXAS RCPT & D	125000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	N	FTS	146542-FTSNGPL	11/1/2016	10/31/2019		N	15000	0	n1
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	15000	0					
P	MQ	MIDAMER/NGPL CEDR RAP#2 WASHINGTON	95	66	MARKET DELIVERY	15000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	N	FTS	147994-FTSNGPL	12/1/2017	11/30/2020		N	60000	0	n1
P	M2	DCP OPER/NGPL CHITWOOD PLT GRADY	95	901458	MIDCONTINENT RCPT &	22841	0					
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	0	0					
P	M2	ETP/NGPL HAGIST SHILLING DUVAL	95	900433	SOUTH TEXAS RCPT & D	0	0					
P	M2	JEFFSTOR/NGPL  VERMILION	95	25731	LOUISIANA RCPT & DEL	0	0					
P	M2	KMTEJAS/NGPL #2 JIM HOGG	95	3107	SOUTH TEXAS RCPT & D	0	0					
P	M2	KMTP/NGPL GOODRICH POLK	95	5579	TEXOK RCPT & DELIVER	18000	0					
P	MQ	MIDAMER/NGPL AFTON UNION	95	900103	MARKET DELIVERY	139	0					
P	MQ	MIDAMER/NGPL ANDALUSIA ROCK ISLAND	95	900052	MARKET DELIVERY	240	0					
P	MQ	MIDAMER/NGPL ATTICA MARION	95	900087	MARKET DELIVERY	42	0					
P	MQ	MIDAMER/NGPL CEDR RAP#2 WASHINGTON	95	66	MARKET DELIVERY	2160	0					
P	MQ	MIDAMER/NGPL DAVENPORT SCOTT	95	900053	MARKET DELIVERY	17291	0					
P	MQ	MIDAMER/NGPL DES MOINES WARREN	95	3950	MARKET DELIVERY	17645	0					
P	MQ	MIDAMER/NGPL EDGINGTON ROCK ISLAND	95	900054	MARKET DELIVERY	152	0					
P	MQ	MIDAMER/NGPL ELLIOTT MONTGOMERY	95	900110	MARKET DELIVERY	56	0					
P	MQ	MIDAMER/NGPL EMERSON MILLS	95	900112	MARKET DELIVERY	107	0					
P	MQ	MIDAMER/NGPL HARVEY MARION	95	900086	MARKET DELIVERY	28	0					
P	MQ	MIDAMER/NGPL ILL CITY ROCK ISLAND	95	55	MARKET DELIVERY	25	0					
P	MQ	MIDAMER/NGPL INDIANOLA WARREN	95	900093	MARKET DELIVERY	1401	0					
P	MQ	MIDAMER/NGPL LEIGHTON MAHASKA	95	900083	MARKET DELIVERY	21	0					
P	MQ	MIDAMER/NGPL MALVERN MILLS	95	113	MARKET DELIVERY	155	0					
P	MQ	MIDAMER/NGPL MARTENSDALE WARREN	95	900094	MARKET DELIVERY	86	0					
P	MQ	MIDAMER/NGPL MELCHER MARION	95	900089	MARKET DELIVERY	138	0					
P	MQ	MIDAMER/NGPL MILO WARREN	95	900092	MARKET DELIVERY	92	0					
P	MQ	MIDAMER/NGPL MOLINE #1 ROCK ISLAND	95	900048	MARKET DELIVERY	1271	0					
P	MQ	MIDAMER/NGPL MOLINE #2 ROCK ISLAND	95	900049	MARKET DELIVERY	1271	0					
P	MQ	MIDAMER/NGPL MOLINE #3 HENRY	95	900047	MARKET DELIVERY	2047	0					
P	MQ	MIDAMER/NGPL MOLINE #4 HENRY	95	900046	MARKET DELIVERY	219	0					
P	MQ	MIDAMER/NGPL NEW SHARON MAHASKA	95	900080	MARKET DELIVERY	152	0					
P	MQ	MIDAMER/NGPL OSKALOOSA MAHASKA	95	900082	MARKET DELIVERY	2040	0					
P	MQ	MIDAMER/NGPL OTTUMWA #1 MAHASKA	95	900081	MARKET DELIVERY	4518	0					
P	MQ	MIDAMER/NGPL OTTUMWA #2 MAHASKA	95	900078	MARKET DELIVERY	3668	0					
P	MQ	MIDAMER/NGPL PACIFIC JCT MILLS	95	115	MARKET DELIVERY	64	0					
P	MQ	MIDAMER/NGPL PLEASANTVILLE MARION	95	900090	MARKET DELIVERY	173	0					
P	MQ	MIDAMER/NGPL RED OAK MONTGOMERY	95	900111	MARKET DELIVERY	2576	0					
P	MQ	MIDAMER/NGPL ST CHARLES MADISON	95	900096	MARKET DELIVERY	60	0					
P	MQ	MIDAMER/NGPL TRACY MARION	95	900085	MARKET DELIVERY	169	0					
P	MQ	MIDAMER/NGPL TYLR RDGE ROCK ISLAND	95	900051	MARKET DELIVERY	64	0					
P	MQ	MIDAMER/NGPL W LIBERTY MUSCATINE	95	58	MARKET DELIVERY	1221	0					
P	MQ	MIDAMER/NGPL WINTERSET MADISON	95	900098	MARKET DELIVERY	699	0					
P	MQ	MONTEZUM/NGPL MONTEZUMA MAHASKA	95	900079	MARKET DELIVERY	10	0					
P	M2	ONEOKFS/NGPL  CUSTER	95	5388	MIDCONTINENT RCPT &	10041	0					
P	M2	OXY/NGPL INDIAN BASIN PLT EDDY	95	1753	PERMIAN RCPT & DELIV	4098	0					
P	M2	STAKEHOL/NGPL SHOE BAR RANCH LEA	95	1759	PERMIAN RCPT & DELIV	5020	0					
D	"MIDAMERICAN ENERGY SERVICES, LLC"	79749570	N	FTS	148489-FTSNGPL	11/1/2017	10/31/2019		N	7500	0	n1
P	M2	CIG/NGPL FORGAN BEAVER	95	905207	MIDCONTINENT RCPT &	6900	0					
P	M2	DCP OPER/NGPL CHITWOOD PLT GRADY	95	901458	MIDCONTINENT RCPT &	600	0					
P	MQ	MIDAMER/NGPL CEDR RAP#2 WASHINGTON	95	66	MARKET DELIVERY	0	0					
P	MQ	MIDAMER/NGPL DAVENPORT SCOTT	95	900053	MARKET DELIVERY	1981	0					
P	MQ	MIDAMER/NGPL OSKALOOSA MAHASKA	95	900082	MARKET DELIVERY	561	0					
P	MQ	MIDAMER/NGPL OTTUMWA #1 MAHASKA	95	900081	MARKET DELIVERY	458	0					
P	MQ	MIDAMER/NGPL OTTUMWA #2 MAHASKA	95	900078	MARKET DELIVERY	0	0					
P	MQ	NICORGAS/NGPL SUMMIT AVE COOK	95	904122	MARKET DELIVERY	2500	0					
P	MQ	PGLC/NGPL CRAWFORD COOK	95	904360	MARKET DELIVERY	2000	0					
D	"MIDAMERICAN ENERGY SERVICES, LLC"	79749570	N	FTS	148571-FTSNGPL	12/1/2017	11/30/2019		N	16750	0	n1
P	M2	DCP OPER/NGPL CHITWOOD PLT GRADY	95	901458	MIDCONTINENT RCPT &	10148	0					
P	M2	ENBRIDGE/NGPL GOODRICH POLK	95	906298	TEXOK RCPT & DELIVER	4690	0					
P	M2	JEFFSTOR/NGPL  VERMILION	95	25731	LOUISIANA RCPT & DEL	0	0					
P	M2	KMTEJAS/NGPL #2 JIM HOGG	95	3107	SOUTH TEXAS RCPT & D	0	0					
P	M2	KMTP/NGPL HAGIST RANCH DUVAL	95	6216	SOUTH TEXAS RCPT & D	0	0					
P	MQ	MIDAMER/NGPL CEDR RAP#2 WASHINGTON	95	66	MARKET DELIVERY	6393	0					
P	MQ	MIDAMER/NGPL DAVENPORT SCOTT	95	900053	MARKET DELIVERY	2010	0					
P	MQ	MIDAMER/NGPL INDIANOLA WARREN	95	900093	MARKET DELIVERY	391	0					
P	MQ	MIDAMER/NGPL MOLINE #1 ROCK ISLAND	95	900048	MARKET DELIVERY	536	0					
P	MQ	MIDAMER/NGPL MOLINE #2 ROCK ISLAND	95	900049	MARKET DELIVERY	1541	0					
P	MQ	MIDAMER/NGPL MOLINE #3 HENRY	95	900047	MARKET DELIVERY	469	0					
P	MQ	MIDAMER/NGPL MOLINE #4 HENRY	95	900046	MARKET DELIVERY	335	0					
P	MQ	MIDAMER/NGPL OSKALOOSA MAHASKA	95	900082	MARKET DELIVERY	570	0					
P	MQ	MIDAMER/NGPL OTTUMWA #2 MAHASKA	95	900078	MARKET DELIVERY	1021	0					
P	MQ	MIDAMER/NGPL RED OAK MONTGOMERY	95	900111	MARKET DELIVERY	737	0					
P	MQ	MIDAMER/NGPL W LIBERTY MUSCATINE	95	58	MARKET DELIVERY	1072	0					
P	MQ	NICORGAS/NGPL MINOOKA WILL	95	900133	MARKET DELIVERY	1675	0					
P	M2	ONEOKFS/NGPL  CUSTER	95	5388	MIDCONTINENT RCPT &	1912	0					
D	MONSANTO COMPANY	168428287	N	FTS	147681-FTSNGPL	12/1/2017	11/30/2020		N	500	0	n1
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	MQ	IPLC/NGPL MUSCATINE#2 MUSCATINE	95	900061	MARKET DELIVERY	500	0					
P	M2	SSC GPL/NGPL  FORD	95	5418	MIDCONTINENT RCPT &	500	0					
D	MORGAN STANLEY CAPITAL GROUP INC.	130198013	N	FTS	149245-FTSNGPL	4/1/2018	10/31/2019		N	30575	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	NICORGAS/NGPL SUMMIT AVE COOK	95	904122	MARKET DELIVERY	30575	0					
P	M2	TPC/NGPL  GAGE	95	902900	AMARILLO MAINLINE  R	30575	0					
D	MORGAN STANLEY CAPITAL GROUP INC.	130198013	N	FTS	149292-FTSNGPL	4/1/2018	10/31/2018		N	50000	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	M2	N BORDER/NGPL HARPER KEOKUK	95	908090	IOWA-ILLINOIS RECEIP	50000	0					
P	MQ	NICORGAS/NGPL LAWNDALE AVE COOK	95	4132	MARKET DELIVERY	50000	0					
D	MORGAN STANLEY CAPITAL GROUP INC.	130198013	N	FTS	149294-FTSNGPL	4/1/2018	10/31/2018		N	69290	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	NICORGAS/NGPL LAWNDALE AVE COOK	95	4132	MARKET DELIVERY	2290	0					
P	MQ	NICORGAS/NGPL RIDGELAND AVE COOK	95	904137	MARKET DELIVERY	67000	0					
P	M2	TPC/NGPL  GAGE	95	902900	AMARILLO MAINLINE  R	69290	0					
D	MORGAN STANLEY CAPITAL GROUP INC.	130198013	N	FTS	149496-FTSNGPL	4/1/2018	3/31/2021		N	66667	0	n1
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	MQ	IPC/NGPL PINE BLUFF SALINE	95	3697	MARKET DELIVERY	36667	0					
P	M2	MARKWEST/NGPL  PANOLA	95	41537	TEXOK RCPT & DELIVER	66667	0					
P	MQ	PERRYVLL/NGPL  CAPE GIRARDEAU	95	900181	MARKET DELIVERY	30000	0					
D	MUNICH RE TRADING LLC	833126936	N	FTS	149248-FTSNGPL	4/1/2018	10/31/2018		N	37000	0	n1
P	M2	EPNG/NGPL  MOORE	95	3251	MIDCONTINENT RCPT &	37000	0					
P	MQ	NICORGAS/NGPL RIDGELAND AVE COOK	95	904137	MARKET DELIVERY	37000	0					
D	NAVITAS UTILITY CORPORATION	801010385	N	FTS	147345-FTSNGPL	10/1/2016	9/30/2036		Y	85	0	n1
A	"EDF TRADING NORTH AMERICA, LLC"	N										
P	M2	MARATHON/NGPL KUYKENDALL KIOWA	95	44620	MIDCONTINENT RCPT &	85	0					
P	MQ	NAVITAS/NGPL LATERAL DELIVERY LOVE	95	46273	TEXOK RCPT & DELIVER	85	0					
D	NICOR GAS COMPANY	6927792	N	FTS	138288	4/1/2011	3/31/2019		N	20000	0	n1
P	M2	JEFFSTOR/NGPL  VERMILION	95	25731	LOUISIANA RCPT & DEL	20000	0					
P	MQ	NICORGAS/NGPL RIVERDALE COOK	95	4143	MARKET DELIVERY	20000	0					
D	NICOR GAS COMPANY	6927792	N	FTS	139897	4/1/2012	3/31/2019		Y	40000	0	n1
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	27046	0					
P	M2	INTERCON/NGPL  BECKHAM	95	902967	MIDCONTINENT RCPT &	8222	0					
P	MQ	NICORGAS/NGPL RIVERDALE COOK	95	4143	MARKET DELIVERY	21318	0					
P	MQ	NICORGAS/NGPL ROWELL AVE WILL	95	904105	MARKET DELIVERY	18682	0					
P	M2	TARGA MC/NGPL  STEPHENS	95	44652	MIDCONTINENT RCPT &	4732	0					
D	NICOR GAS COMPANY	6927792	N	FTS	139915	4/1/2012	3/31/2019		Y	24074	0	n1
P	MQ	NICORGAS/NGPL COM ED #9 WILL	95	4219	MARKET DELIVERY	282	0					
P	MQ	NICORGAS/NGPL GOUGAR ROAD WILL	95	4111	MARKET DELIVERY	18500	0					
P	MQ	NICORGAS/NGPL PARK FOREST COOK	95	904125	MARKET DELIVERY	5292	0					
P	M2	TARGA MC/NGPL  STEPHENS	95	44652	MIDCONTINENT RCPT &	24074	0					
D	NICOR GAS COMPANY	6927792	N	FTS	145168-FTSNGPL	5/14/2015	5/13/2025		Y	100000	0	n1
P	M2	HORIZON/NGPL NORTH MC HENRY	95	39755	IOWA-ILLINOIS RECEIP	100000	0					
P	MQ	NICORGAS/NGPL ROCKFORD WINNEBAGO	95	900012	MARKET DELIVERY	85000	0					
P	MQ	NICORGAS/NGPL SOUTH DIXON LEE	95	900019	MARKET DELIVERY	5000	0					
P	MQ	NICORGAS/NGPL SYCAMORE DE KALB	95	900013	MARKET DELIVERY	10000	0					
D	NICOR GAS COMPANY	6927792	N	FTS	146201-FTSNGPL	11/1/2016	3/31/2026		Y	88000	0	n1
P	MQ	NICORGAS/NGPL 170TH ST COOK	95	904135	MARKET DELIVERY	3926	0					
P	MQ	NICORGAS/NGPL EOLA ROAD DU PAGE	95	904117	MARKET DELIVERY	24000	0					
P	MQ	NICORGAS/NGPL ROCHELLE OGLE	95	900015	MARKET DELIVERY	2174	0					
P	MQ	NICORGAS/NGPL SKOKIE RD COOK	95	4142	MARKET DELIVERY	10518	0					
P	MQ	NICORGAS/NGPL VOLO LAKE	95	900002	MARKET DELIVERY	1700	0					
P	MQ	NICORGAS/NGPL WEST CHICAGO DU PAGE	95	4124	MARKET DELIVERY	45682	0					
P	M2	REX/NGPL  MOULTRIE	95	44413	IOWA-ILLINOIS RECEIP	88000	0					
D	NICOR GAS COMPANY	6927792	N	FTS	146202-FTSNGPL	11/1/2016	3/31/2026		Y	0	0	n1
P	M2	ALLNCEPL/NGPL JOLIET #1 GRUNDY	95	37207	IOWA-ILLINOIS RECEIP	0	0					
P	MQ	NICORGAS/NGPL WEBER ROAD WILL	95	4109	MARKET DELIVERY	0	0					
D	NICOR GAS COMPANY	6927792	N	FTS	146203-FTSNGPL	11/1/2016	3/31/2026		Y	12000	0	n1
P	M2	MIDWSTRN/NGPL CHANNAHON WILL	95	906107	IOWA-ILLINOIS RECEIP	12000	0					
P	MQ	NICORGAS/NGPL 170TH ST COOK	95	904135	MARKET DELIVERY	12000	0					
D	NICOR GAS COMPANY	6927792	N	FTS	146206-FTSNGPL	11/1/2016	3/31/2026		Y	15000	0	n1
P	MQ	NICORGAS/NGPL EOLA ROAD DU PAGE	95	904117	MARKET DELIVERY	15000	0					
P	M2	WILL MLP/NGPL LUCILLE #3-34 CADDO	95	43508	MIDCONTINENT RCPT &	15000	0					
D	NICOR GAS COMPANY	6927792	N	FTS	146208-FTSNGPL	11/1/2016	3/31/2026		Y	80368	0	n1
P	MQ	NICORGAS/NGPL BELVIDERE BOONE	95	900011	MARKET DELIVERY	17473	0					
P	MQ	NICORGAS/NGPL CHICAGO HEIGHTS COOK	95	4130	MARKET DELIVERY	48500	0					
P	MQ	NICORGAS/NGPL EOLA ROAD DU PAGE	95	904117	MARKET DELIVERY	0	0					
P	MQ	NICORGAS/NGPL SKOKIE RD COOK	95	4142	MARKET DELIVERY	14395	0					
P	M2	TPC/NGPL  GAGE	95	902900	AMARILLO MAINLINE  R	80368	0					
D	NICOR GAS COMPANY	6927792	N	FTS	146209-FTSNGPL	11/1/2016	3/31/2026		Y	143589	0	n1
P	M2	CIMAREX/NGPL OAKDALE #1 KIOWA	95	10849	MIDCONTINENT RCPT &	9161	0					
P	M2	CPG/NGPL  FORD	95	41543	MIDCONTINENT RCPT &	20000	0					
P	M2	DCP OPER/NGPL CHITWOOD PLT GRADY	95	901458	MIDCONTINENT RCPT &	11179	0					
P	M2	EMP-EOIT/NGPL  BECKHAM	95	5556	MIDCONTINENT RCPT &	13401	0					
P	M2	EMP-EOIT/NGPL  CUSTER	95	903474	MIDCONTINENT RCPT &	5839	0					
P	M2	EPNG/NGPL  MOORE	95	3251	MIDCONTINENT RCPT &	10000	0					
P	MQ	NICORGAS/NGPL BARRINGTON LAKE	95	900003	MARKET DELIVERY	48000	0					
P	MQ	NICORGAS/NGPL CHICAGO HEIGHTS COOK	95	4130	MARKET DELIVERY	20000	0					
P	MQ	NICORGAS/NGPL EOLA ROAD DU PAGE	95	904117	MARKET DELIVERY	8858	0					
P	MQ	NICORGAS/NGPL GENESEO HENRY	95	900025	MARKET DELIVERY	3531	0					
P	MQ	NICORGAS/NGPL HARMON LEE	95	20	MARKET DELIVERY	150	0					
P	MQ	NICORGAS/NGPL HEBRON MC HENRY	95	900009	MARKET DELIVERY	2200	0					
P	MQ	NICORGAS/NGPL MC HENRY MC HENRY	95	900004	MARKET DELIVERY	18250	0					
P	MQ	NICORGAS/NGPL RICHMOND MC HENRY	95	900006	MARKET DELIVERY	1600	0					
P	MQ	NICORGAS/NGPL SKOKIE RD COOK	95	4142	MARKET DELIVERY	15000	0					
P	MQ	NICORGAS/NGPL SOUTH DIXON LEE	95	900019	MARKET DELIVERY	19000	0					
P	MQ	NICORGAS/NGPL VOLO LAKE	95	900002	MARKET DELIVERY	7000	0					
P	M2	REX/NGPL  JEFFERSON	95	42499	MIDCONTINENT RCPT &	0	0					
P	M2	SGE/NGPL JANET #1 GRADY	95	43518	MIDCONTINENT RCPT &	18000	0					
P	M2	TARGA MC/NGPL  STEPHENS	95	44652	MIDCONTINENT RCPT &	29744	0					
P	M2	TEX SW/NGPL  WASHITA	95	3695	MIDCONTINENT RCPT &	2704	0					
P	M2	WILL MLP/NGPL LUCILLE #3-34 CADDO	95	43508	MIDCONTINENT RCPT &	3859	0					
P	M2	WOODFORD/NGPL COX CITY GRADY	95	48931	MIDCONTINENT RCPT &	19702	0					
D	NICOR GAS COMPANY	6927792	N	FTS	146210-FTSNGPL	4/1/2018	3/31/2026		Y	75926	0	n1
