H	"WBI Energy Transmission, Inc."	C000111	4/2/2018	O	4/1/2018	F	F	Lynn Lindblom 701-530-1604	f1/g1			
P	M2	Sidney Plant	95	1275		700						
P	MQ	MDU-Bismarck Border	95	1960		700						
D	Montana-Dakota Utilities Co.	6962286	Y	FT-1	FT-1401	12/1/2017	11/30/2018		N	5000		
P	M2	TMID-Wind River (R)	95	3376		2450						
P	MQ	MDU-Billings Border	95	3820		2450						
P	M2	CIG-Elk Basin (R)	95	3391		2550						
P	MQ	MDU-Laurel Border	95	3780		300						
P	MQ	MDU-Billings Border	95	3820		2250						
D	Phillips 66 Company	78378508	N	FT-1	FT-1402	11/1/2017	10/31/2020		N	3000		
A	ConocoPhillips Company	N										
P	M2	CIG-Elk Basin (R)	95	3391		3000						
P	MQ	Phillips 66 Refinery-Billings	95	3800		3000						
D	Phillips 66 Company	78378508	N	FT-1	FT-1403	11/1/2017	10/31/2019		N	4000		
A	ConocoPhillips Company	N										
P	M2	Madden-Moncrief	95	3377		4000						
P	MQ	Phillips 66 Refinery-Billings	95	3800		4000						
D	"Zavanna, LLC"	961239670	N	FT-1	FT-1404	11/1/2017	10/31/2018		N	2500		
A	"ARM Energy Management, LLC"	N										
P	M2	Springbrook Plant	95	991		2500						
P	MQ	Northern Border-Charbonneau(D)	95	1036		2500						
D	Montana-Dakota Utilities Co.	6962286	Y	FT-1	FT-1406	12/1/2017	11/30/2018		N	385		
P	M2	WBI-Agg Storage (Withdraw)	95	5801		385						
P	MQ	MDU-Glendive Turbine	95	1210		253						
P	MQ	MDU-Miles City Turbine	95	3950		132						
D	Rainbow Gas Company	186688347	N	FT-1	FT-1407	11/1/2017	10/31/2027		N	8000		
P	M2	Robinson Lake Plant	95	1513		8000						
P	MQ	Northern Border-Glen Ullin (D)	95	1050		7640						
P	MQ	MDU-Williston Border	95	1410		360						
D	"Zavanna, LLC"	961239670	N	FT-1	FT-1408	6/3/2017	6/2/2018		N	2500		
A	"ARM Energy Management, LLC"	N										
P	M2	Springbrook Plant	95	991		2500						
P	MQ	Northern Border-Charbonneau(D)	95	1036		2500						
D	Montana-Dakota Utilities Co.	6962286	Y	FT-1	FT-1409	1/28/2018	1/27/2023		N	17600		
P	M2	Tioga Plant	95	990		4539						
P	MQ	MDU-Tioga Border	95	1470		500						
P	MQ	MDU-Stanley Border	95	1510		500						
P	MQ	MDU-Minot Border	95	1550		3539						
P	M2	NBPL-Charbonneau (R)	95	1037		11600						
P	MQ	MDU-Watford City West Border	95	1325		700						
P	MQ	MDU-Alexander Border	95	1360		197						
P	MQ	MDU-Trenton Border	95	1390		123						
P	MQ	MDU-Williston Border	95	1410		8245						
P	MQ	MDU-Ray Border	95	1460		300						
P	MQ	MDU-Tran.Line(06)NDZ24	95	1488		25						
P	MQ	MDU-Tran.Line(06)NDZ241	95	1491		10						
P	MQ	MDU-Minot Border	95	1550		2000						
P	M2	Ray Plant	95	1455		1461						
P	MQ	MDU-Minot Border	95	1550		1461						
D	Andeavor Field Services LLC	8133480	N	FT-1	FT-1420	6/1/2017	5/31/2023		N	6000		
A	Rainbow Gas Company	N										
P	M2	Robinson Lake Plant	95	1513		6000						
P	MQ	Northern Border-Charbonneau(D)	95	1036		6000						
D	Montana-Dakota Utilities Co.	6962286	Y	FT-1	FT-1421	11/1/2017	10/31/2037		N	3000		
P	M2	CIG-Elk Basin (R)	95	3391		3000						
P	MQ	MDU-Billings Border	95	3820		3000						
D	"ONEOK Rockies Midstream, L.L.C."	933845604	N	FT-1 (Garden Creek)	FT-1422	4/1/2018	3/31/2019		Y	145000		
P	M2	Garden Creek Plant	95	1311		145000						
P	MQ	Northern Border-Spring Creek(D	95	1316		145000						
D	"MIECO, Inc."	118562412	N	FT-1	FT-1451	12/1/2017	11/30/2018		N	2365		
P	M2	NBPL-Manning (R)	95	1011		2365						
P	MQ	CIG-Elk Basin (D)	95	3390		2365						
D	Montana-Dakota Utilities Co.	6962286	Y	FTN-1	FTN-6	7/1/2017	6/30/2022		N	115665		
P	MQ	MDU-Malta Border	95	1070		245						
P	MQ	MDU-St. Marie Border	95	1130		50						
P	MQ	MDU-Glasgow Border	95	1140		1120						
P	MQ	MDU-Nashua Border	95	1160		50						
P	MQ	MDU-Wolf Point Border	95	1180		783						
P	MQ	MDU-Poplar Border	95	1190		628						
P	MQ	MDU-Glendive Border	95	1220		1989						
P	MQ	MDU-Sidney Border	95	1280		1526						
P	MQ	MDU-Fairview Border	95	1300		121						
P	MQ	MDU-Watford City West Border	95	1325		458						
P	MQ	MDU-Williston Border	95	1410		3772						
P	MQ	MDU-Ray Border	95	1460		75						
P	MQ	MDU-Tioga Border	95	1470		188						
P	MQ	MDU-Stanley Border	95	1510		216						
P	MQ	MDU-Minot Border	95	1550		9900						
P	MQ	MDU-Minot A.F.B.	95	1580		1000						
P	MQ	MDU-Burlington Border	95	1600		160						
P	MQ	MDU-Garrison Border	95	1630		183						
P	MQ	MDU-Turtle Lake Border	95	1640		84						
P	MQ	MDU-Underwood Border	95	1650		94						
P	MQ	MDU-Washburn Border	95	1670		134						
P	MQ	MDU-Wilton Border	95	1680		86						
P	MQ	MDU-Steele Border	95	1700		110						
P	MQ	MDU-Jamestown Border	95	1760		3211						
P	MQ	MDU-Valley City Border	95	1790		1056						
P	MQ	MDU-Carrington Border	95	1800		462						
P	MQ	MDU-New Rockford Border	95	1810		200						
P	MQ	MDU-Fort Totten Border	95	1830		60						
P	MQ	MDU-Devils Lake Border	95	1840		1855						
P	MQ	MDU-Langdon Border	95	1860		407						
P	MQ	MDU-Park River Border	95	1870		170						
P	MQ	MDU-Grafton Border	95	1880		924						
P	MQ	MDU-Walhalla Industrial	95	1900		126						
P	MQ	MDU-Cavalier Border	95	1930		179						
P	MQ	MDU-Bismarck Border	95	1960		14400						
P	MQ	MDU-Mandan Border	95	1970		3955						
P	MQ	MDU-New Salem Border	95	2010		129						
P	MQ	MDU-Glen Ullin Border	95	2020		118						
P	MQ	MDU-Hebron Border	95	2030		242						
P	MQ	MDU-Richardton Border	95	2040		150						
P	MQ	MDU-Mott Border	95	2060		130						
P	MQ	MDU-New England Border	95	2080		75						
P	MQ	MDU-Dickinson Border	95	2120		3961						
P	MQ	MDU-Belfield Border	95	2150		123						
P	MQ	MDU-Beach Border	95	2170		182						
P	MQ	MDU-Wibaux Border	95	2185		60						
P	MQ	MDU-Lovell Border	95	3580		666						
P	MQ	MDU-Cowley Border	95	3600		80						
P	MQ	MDU-Powell Border	95	3640		1886						
P	MQ	MDU-Laurel Border	95	3780		1357						
P	MQ	MDU-Billings Border	95	3820		23440						
P	MQ	MDU-Tran.Line(22)MTZ10	95	3875		30						
P	MQ	MDU-Crow Agency Border	95	3880		164						
P	MQ	MDU-Hardin Border	95	3900		807						
P	MQ	MDU-Forsyth Border	95	3910		528						
P	MQ	MDU-Miles City Border	95	3930		2540						
P	MQ	MDU-Terry Border	95	3960		108						
P	MQ	MDU-Baker Border	95	5110		555						
P	MQ	MDU-Bowman Border	95	5150		492						
P	MQ	MDU-Belle Fourche Border	95	5220		1128						
P	MQ	MDU-Spearfish Border	95	5230		2262						
P	MQ	MDU-Deadwood-Lead Agg Pt	95	5265		1494						
P	MQ	MDU-Sturgis Border	95	5310		1014						
P	MQ	MDU-Rapid-Black Hawk Agg Pt	95	5380		16049						
P	MQ	MDU-Tran.Line(15)SDZ37	95	5516		375						
P	MQ	MDU-Buffalo Border	95	5530		1161						
P	MQ	MDU-Sheridan Border	95	5540		4382						
F	1	"WBI Transmission's Maximum Daily Delivery Quantity (MDDQ) for Transportation quantities and Maximum Storage Capacity Quantity (MSCQ) for Storage quantities are stated in ""equivalent dkt.""  Equivalent dkt is defined as the relevant capacity in Mcf converte"										
F	1	"d to dkt using an assumed thermal content of 1,000 Btu's per cubic foot."										
F	2	"Effective May 1, 2014, the following contracts were renumbered for administrative reasons:  FT-769 to FT-1248; FT-1053 to FT-1249; FT-1054 to FT-1250; FT-1146 to FT-1251; FT-1160 to FT-1252; FT-1056 to FT-1253; FT-1109 to FT-1254"										
