H	"TENNESSEE GAS PIPELINE COMPANY, L.L.C."	C000020	4/2/2018	O	4/1/2018	T	T	Nara Houy 713-420-4430				
P	M2	STORAGE - PORTLAND - PA	95	460020	ZONE 1	179	0					
D	NEW JERSEY NATURAL GAS COMPANY	61843553	N	FT-A	29185-FTATGP	5/1/1999	10/31/2019		N	10894	0	n1
P	MQ	NJ NATGS/TGP NEW CLINTON ROAD NJ BE	95	420608	ZONE 5	10894	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	10894	0					
D	NEW YORK STATE ELECTRIC AND GAS CORPORATION	41866497	N	FT-A	203-FTATGP	9/1/1993	10/31/2021		N	9744	0	n1
P	MQ	NYSEG/TGP LOCKPORT NY NIAGARA	95	420221	ZONE 5	9744	0					
P	MQ	NYSEG/TGP PRATTSBURG SALES STEUBEN	95	420644	ZONE 5	1000	0					
P	MQ	NYSEG/TGP RUSHVILLE SALES YATES	95	420642	ZONE 5	1000	0					
P	MQ	NYSEG/TGP WALLACE SALES STEUBEN	95	420746	ZONE 5	3200	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	9744	0					
D	NEW YORK STATE ELECTRIC AND GAS CORPORATION	41866497	N	FT-A	46732-FTATGP	7/1/2004	10/31/2021		N	2490	0	n1
P	M2	IROQUOIS/TGP WRIGHT SMS SCHOHARIE	95	412181	ZONE 5	2490	0					
P	MQ	NYSEG/TGP CANAAN SALES COLUMBIA	95	420814	ZONE 5	241	0					
P	MQ	NYSEG/TGP CARLISLE SALES SCHOHARIE	95	420857	ZONE 5	1794	0					
P	MQ	NYSEG/TGP RICHFIELD SPRINGS HERKIME	95	420897	ZONE 5	455	0					
D	NEW YORK STATE ELECTRIC AND GAS CORPORATION	41866497	N	FT-A	62405-FTATGP	11/1/2007	10/31/2019		N	4000	0	n1
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	4000	0					
P	MQ	NYSEG/TGP LOCKPORT NY NIAGARA	95	420221	ZONE 5	1170	0					
P	MQ	NYSEG/TGP PRATTSBURG SALES STEUBEN	95	420644	ZONE 5	1150	0					
P	MQ	NYSEG/TGP RUSHVILLE SALES YATES	95	420642	ZONE 5	475	0					
P	MQ	NYSEG/TGP WALLACE SALES STEUBEN	95	420746	ZONE 5	1205	0					
D	"NEXTERA ENERGY MARKETING, LLC"	54481341	N	FT-A	324013-FTATGP	11/1/2016	10/31/2018		N	80000	0	n1
P	M2	DOMINION/TGP BROAD RUN CORNWELL KAN	95	420044	ZONE 3	80000	0					
P	MQ	POOLING PT - STA. 87 - ZONE 1	95	420828	ZONE 1	80000	0					
D	NIAGARA MOHAWK POWER CORPORATION D/B/A/ NATIONAL GRID	6994735	N	FT-A	324845-FTATGP	11/1/2016	10/31/2018		N	20000	0	n1
A	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	N										
A	CASTLETON COMMODITIES MERCHANT TRADING L.P.	N										
P	M2	MARITIME/TGP DRACUT MIDDLESEX	95	412538	ZONE 6	20000	0					
P	MQ	NIAGMOH/TGP SOUTH ALBANY ALBANY	95	420918	ZONE 5	20000	0					
D	NIAGARA MOHAWK POWER CORPORATION D/B/A/ NATIONAL GRID	6994735	N	FT-A	330539-FTATGP	11/1/2017	10/31/2037		N	30000	0	n1
A	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	N										
A	EMERA ENERGY SERVICES INC.	N										
A	"WORLD FUEL SERVICES, INC."	N										
P	M2	MARITIME/TGP DRACUT MIDDLESEX	95	412538	ZONE 6	30000	0					
P	MQ	NIAGMOH/TGP SOUTH ALBANY ALBANY	95	420918	ZONE 5	30000	0					
D	NIAGARA MOHAWK POWER CORPORATION D/B/A/ NATIONAL GRID	6994735	N	FT-A	65075-FTATGP	11/1/2008	10/31/2019		N	14000	0	n1
A	BOSTON GAS COMPANY D/B/A/ NATIONAL GRID	N										
A	"ECO-ENERGY, LLC"	N										
P	MQ	DOMINION/TGP ELLISBURG INJECTION PO	95	460012	ZONE 4	14000	0					
P	M2	POOLING PT-100 LEG-ZN 0-NORTH	95	420826	ZONE 0	14000	0					
D	NICOR GAS COMPANY	6927792	N	FT-A	95618-FTATGP	11/1/2012	10/31/2018		N	101010	0	n1
P	MQ	MIDWSTRN/TGP MGT SMS SUMNER	95	420852	ZONE 1	101010	0					
P	M2	TRNSCO/TGP WHARTON COUNTY TIE  IN W	95	411929	ZONE 0	101010	0					
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-A	334069-FTATGP	1/1/2018	10/31/2018		N	2675	0	n1
P	MQ	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	2675	0					
P	M2	POOLING PT - STA. 87 - ZONE 1	95	420828	ZONE 1	2675	0					
D	NJR ENERGY SERVICES COMPANY	25715165	N	FT-A	41659-FTATGP	11/1/2002	10/31/2019		N	3000	0	n1
P	MQ	CON ED/TGP WHITE PLAINS NY WESTCHES	95	420093	ZONE 5	3000	0					
P	M2	STAGEPS/TGP OWEGO STAGECOACH RECEIP	95	421046	ZONE 4	3000	0					
D	"NORTHERN UTILITIES, INC."	49286305	N	FT-A	5083-FTATGP	11/1/1993	10/31/2023		N	13155	0	n1
A	TENASKA MARKETING VENTURES	N										
P	MQ	BAY ST/TGP AGAWAM MASS HAMPDEN	95	400484	ZONE 6	8482	0					
P	MQ	BAY ST/TGP EAST LONGMEADOW MA HAMPD	95	420193	ZONE 6	4758	0					
P	MQ	BAY ST/TGP LAWRENCE MA ESSEX	95	420121	ZONE 6	4349	0					
P	MQ	GRANSTGT/TGP GRANITE MA ESSEX	95	420206	ZONE 6	20900	0					
P	MQ	GRANSTGT/TGP SALEM SALES ROCKINGHAM	95	420722	ZONE 6	1539	0					
P	MQ	NFG/TGP ROSE LAKE POTTER	95	420527	ZONE 4	3289	0					
P	M2	POOLING PT - 500 LEG - ZONE L	95	420999	ZONE L	5788	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	2762	0					
P	M2	POOLING PT-100 LEG-ZN 0-NORTH	95	420826	ZONE 0	928	0					
P	M2	POOLING PT-100 LEG-ZN 0-SOUTH	95	405345	ZONE 0	3677	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	9388	0					
D	"NORTHERN UTILITIES, INC."	49286305	N	FT-A	5265-FTATGP	11/1/1993	3/31/2020		N	2653	0	n1
P	MQ	BAY ST/TGP AGAWAM MASS HAMPDEN	95	400484	ZONE 6	2653	0					
P	MQ	BAY ST/TGP EAST LONGMEADOW MA HAMPD	95	420193	ZONE 6	2653	0					
P	MQ	BAY ST/TGP LAWRENCE MA ESSEX	95	420121	ZONE 6	2653	0					
P	MQ	GRANSTGT/TGP GRANITE MA ESSEX	95	420206	ZONE 6	3471	0					
P	MQ	GRANSTGT/TGP SALEM SALES ROCKINGHAM	95	420722	ZONE 6	269	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	2653	0					
D	"NORTHERN UTILITIES, INC."	49286305	N	FT-A	5292-FTATGP	11/1/1993	3/31/2020		N	1406	0	n1
A	EMERA ENERGY SERVICES INC.	N										
P	MQ	BAY ST/TGP AGAWAM MASS HAMPDEN	95	400484	ZONE 6	726	0					
P	MQ	BAY ST/TGP LAWRENCE MA ESSEX	95	420121	ZONE 6	24	0					
P	MQ	GRANSTGT/TGP GRANITE MA ESSEX	95	420206	ZONE 6	1406	0					
P	M2	TRANSCAN/TGP UDP NIAGARA RIVER NIAG	95	410902	ZONE 5	1406	0					
D	"NORTHERN UTILITIES, INC."	49286305	N	FT-A	39735-FTATGP	1/15/2003	3/31/2020		N	929	0	n1
A	EMERA ENERGY SERVICES INC.	N										
P	MQ	GRANSTGT/TGP GRANITE MA ESSEX	95	420206	ZONE 6	929	0					
P	M2	TRANSCAN/TGP UDP NIAGARA RIVER NIAG	95	410902	ZONE 5	929	0					
D	"NORTHERN UTILITIES, INC."	49286305	N	FT-A	41099-FTATGP	11/1/2002	10/31/2022		N	4267	0	n1
A	EMERA ENERGY SERVICES INC.	N										
P	MQ	AGT/TGP MENDON MASS TIE OVER WORCHE	95	420285	ZONE 6	4267	0					
P	M2	IROQUOIS/TGP WRIGHT SMS SCHOHARIE	95	412181	ZONE 5	4267	0					
D	"NORTHERN UTILITIES, INC."	49286305	N	FT-A	95196-FTATGP	9/1/2011	10/31/2022		N	2226	0	n1
A	EMERA ENERGY SERVICES INC.	N										
P	MQ	BAY ST/TGP AGAWAM MASS HAMPDEN	95	400484	ZONE 6	1382	0					
P	MQ	GRANSTGT/TGP GRANITE MA ESSEX	95	420206	ZONE 6	844	0					
P	M2	IROQUOIS/TGP WRIGHT SMS SCHOHARIE	95	412181	ZONE 5	2226	0					
D	NSTAR GAS COMPANY	75345678	N	FT-A	201-FTATGP	9/1/1993	10/31/2021		N	8433	0	n1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	M2	DOMINION/TGP ELLISBURG INJECTION PO	95	460012	ZONE 4	8433	0					
P	MQ	NSTAR/TGP HOPKINTON MIDDLESEX	95	420509	ZONE 6	8433	0					
P	MQ	NSTAR/TGP WORCESTER MA WORCHESTER	95	420109	ZONE 6	8433	0					
D	NSTAR GAS COMPANY	75345678	N	FT-A	625-FTATGP	9/1/1993	10/31/2021		N	12000	0	n1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	MQ	DOMINION/TGP ELLISBURG INJECTION PO	95	460012	ZONE 4	8449	0					
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	5280	0					
P	M2	LOBO/TGP KING RANCH JIM WELLS	95	412400	ZONE 0	4200	0					
P	MQ	NSTAR/TGP FARNUMSVILLE MA WORCHESTE	95	420259	ZONE 6	6156	0					
P	MQ	NSTAR/TGP HOPKINTON MIDDLESEX	95	420509	ZONE 6	12000	0					
P	MQ	NSTAR/TGP HUDSON MA MIDDLESEX	95	420204	ZONE 6	11286	0					
P	MQ	NSTAR/TGP WORCESTER MA WORCHESTER	95	420109	ZONE 6	12000	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	2520	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	7762	0					
D	NSTAR GAS COMPANY	75345678	N	FT-A	629-FTATGP	9/1/1993	10/31/2021		N	10000	0	n1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	10000	0					
P	MQ	NSTAR/TGP HOPKINTON MIDDLESEX	95	420509	ZONE 6	5000	0					
P	MQ	NSTAR/TGP WORCESTER MA WORCHESTER	95	420109	ZONE 6	5000	0					
D	NSTAR GAS COMPANY	75345678	N	FT-A	630-FTATGP	9/1/1993	10/31/2021		N	25387	0	n1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	MQ	DOMINION/TGP ELLISBURG INJECTION PO	95	460012	ZONE 4	8449	0					
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	8171	0					
P	M2	KINETICA/TGP PORT SULPHUR PLAQUEMIN	95	412882	ZONE L	3000	0					
P	M2	LOBO/TGP KING RANCH JIM WELLS	95	412400	ZONE 0	8885	0					
P	MQ	NSTAR/TGP FARNUMSVILLE MA WORCHESTE	95	420259	ZONE 6	6156	0					
P	MQ	NSTAR/TGP HOPKINTON MIDDLESEX	95	420509	ZONE 6	25387	0					
P	MQ	NSTAR/TGP HUDSON MA MIDDLESEX	95	420204	ZONE 6	20286	0					
P	MQ	NSTAR/TGP MARLBOROUGH MIDDLESEX	95	421007	ZONE 6	2000	0					
P	MQ	NSTAR/TGP WORCESTER MA WORCHESTER	95	420109	ZONE 6	14387	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	5331	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	7763	0					
D	NSTAR GAS COMPANY	75345678	N	FT-A	2376-FTATGP	9/1/1993	10/31/2021		N	9439	0	n1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	MQ	NSTAR/TGP FARNUMSVILLE MA WORCHESTE	95	420259	ZONE 6	6150	0					
P	MQ	NSTAR/TGP HOPKINTON MIDDLESEX	95	420509	ZONE 6	9439	0					
P	MQ	NSTAR/TGP HUDSON MA MIDDLESEX	95	420204	ZONE 6	9439	0					
P	MQ	NSTAR/TGP WORCESTER MA WORCHESTER	95	420109	ZONE 6	9439	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	9439	0					
D	NSTAR GAS COMPANY	75345678	N	FT-A	41113-FTATGP	11/1/2002	10/31/2022		N	9600	0	n1
A	"DIRECT ENERGY BUSINESS MARKETING, LLC"	N										
P	MQ	DOMINION/TGP MORRISVILLE TRANSPORT	95	412065	ZONE 5	9600	0					
P	M2	DOMINION/TGP MORRISVILLE TRANSPORT	95	412065	ZONE 5	9600	0					
P	MQ	NSTAR/TGP WORCESTER MA WORCHESTER	95	420109	ZONE 6	9600	0					
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-A	48891-FTATGP	11/1/2005	10/31/2020		N	5000	0	n1
A	TENNESSEE ENERGY ACQUISITION CORPORATION	N										
P	M2	ATMOS-TX/TGP KATY EXCH WALLER	95	412100	ZONE 0	900	0					
P	MQ	ETNG/TGP GREENBRIER TN 2 (DUAL ROBE	95	420289	ZONE 1	5000	0					
P	M2	KINETICA/TGP COCODRIE 523 BLUEWATER	95	412883	ZONE L	1050	0					
P	M2	KINETICA/TGP PORT SULPHUR PLAQUEMIN	95	412882	ZONE L	1050	0					
P	M2	TGP/TGP GRAND CHENIER STRADDLE PLAN	95	450303	ZONE L	2000	0					
D	OAKLAND YALOBUSHA NATURAL GAS DISTRICT	149651304	N	FT-A	322917-FTATGP	9/1/2016	8/31/2023		N	100	0	n1
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	MQ	OAKLAND/TGP YALOBUSHA SALES YALOBUS	95	421026	ZONE 1	100	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	100	0					
D	OLIN CORPORATION	556284792	N	FT-A	4581-FTATGP	11/1/1993	10/31/2020		N	152	0	n1
A	"ATMOS ENERGY MARKETING, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	ETNG/TGP GREENBRIER TN 2 (DUAL ROBE	95	420289	ZONE 1	152	0					
P	M2	HPL/TGP SABINE NEWTON	95	412690	ZONE L	25	0					
P	M2	KINETICA/TGP PORT SULPHUR PLAQUEMIN	95	412882	ZONE L	69	0					
P	M2	KMTEJAS/TGP BANQUETE TRANSPORT NUEC	95	412062	ZONE 0	52	0					
P	M2	TRNSCO/TGP UTOS EXCH	95	401366	ZONE L	6	0					
D	ORANGE AND ROCKLAND UTILITIES INC.	6993406	N	FT-A	329-FTATGP	9/1/1993	10/31/2023		N	9318	0	n1
A	CONSOLIDATED EDISON CO OF NEW YORK INC	N										
P	MQ	CON ED/TGP PEARL RIVER NY ROCKLAND	95	420293	ZONE 5	9318	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	9318	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	9318	0					
D	ORANGE AND ROCKLAND UTILITIES INC.	6993406	N	FT-A	330-FTATGP	9/1/1993	10/31/2023		N	25000	0	n1
A	CONSOLIDATED EDISON CO OF NEW YORK INC	N										
P	MQ	AGT/TGP MAHWAH NEW JERSEY BERGEN	95	420207	ZONE 5	25000	0					
P	MQ	CON ED/TGP PEARL RIVER NY ROCKLAND	95	420293	ZONE 5	25000	0					
P	MQ	CON ED/TGP TAPPAN NY ROCKLAND	95	420201	ZONE 5	25000	0					
P	MQ	NFG/TGP ROSE LAKE POTTER	95	420527	ZONE 4	8864	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	25000	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	10000	0					
P	M2	TRANSCAN/TGP UDP NIAGARA RIVER NIAG	95	410902	ZONE 5	15000	0					
D	ORANGE AND ROCKLAND UTILITIES INC.	6993406	N	FT-A	350-FTATGP	9/1/1993	10/31/2023		N	31825	0	n1
A	CONSOLIDATED EDISON CO OF NEW YORK INC	N										
P	MQ	CON ED/TGP PEARL RIVER NY ROCKLAND	95	420293	ZONE 5	15825	0					
P	MQ	CON ED/TGP TAPPAN NY ROCKLAND	95	420201	ZONE 5	31825	0					
P	MQ	CON ED/TGP WHITE PLAINS NY WESTCHES	95	420093	ZONE 5	16000	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	31825	0					
D	ORANGE AND ROCKLAND UTILITIES INC.	6993406	N	FT-A	8402-FTATGP	10/1/1994	10/31/2023		N	12440	0	n1
A	CONSOLIDATED EDISON CO OF NEW YORK INC	N										
P	MQ	COL GAS/TGP MILFORD PA BIG PIKE	95	420245	ZONE 4	12440	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	12440	0					
D	"PENINSULA ENERGY SERVICES COMPANY, INC."	619015865	N	FT-A	333708-FTATGP	1/1/2018	10/31/2018		N	3523	0	n1
P	MQ	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	3523	0					
P	M2	POOLING PT - STA. 87 - ZONE 1	95	420828	ZONE 1	3523	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT-A	301244-FTATGP	11/1/2014	10/31/2019		N	55900	0	n1
A	EMERA ENERGY SERVICES INC.	N										
P	MQ	PIEDMNT/TGP ASHLAND CITY SALES  2 C	95	420846	ZONE 1	1545	0					
P	MQ	PIEDMNT/TGP ASHLAND TN CHEATHAM	95	420309	ZONE 1	2700	0					
P	MQ	PIEDMNT/TGP FAIRVIEW TN DICKSON	95	420610	ZONE 1	1735	0					
P	MQ	PIEDMNT/TGP GREEN LUMBER CO. STATIO	95	420753	ZONE 1	355	0					
P	MQ	PIEDMNT/TGP GREENBRIER SALES ROBERT	95	420280	ZONE 1	2365	0					
P	MQ	PIEDMNT/TGP NASHVILLE TN  2 ROBERTS	95	420312	ZONE 1	43313	0					
P	MQ	PIEDMNT/TGP WHITE HOUSE TN SALES RO	95	420600	ZONE 1	3887	0					
P	M2	STORAGE - PORTLAND - MA	95	460025	ZONE 1	49828	0					
P	M2	STORAGE - PORTLAND - PA	95	460020	ZONE 1	6072	0					
D	PIEDMONT NATURAL GAS COMPANY INC	6996219	N	FT-A	237-FTATGP	9/1/1993	10/31/2019		N	51500	0	n1
A	EMERA ENERGY SERVICES INC.	N										
P	MQ	PIEDMNT/TGP ASHLAND CITY SALES  2 C	95	420846	ZONE 1	255	0					
P	MQ	PIEDMNT/TGP ASHLAND TN CHEATHAM	95	420309	ZONE 1	900	0					
P	MQ	PIEDMNT/TGP FAIRVIEW TN DICKSON	95	420610	ZONE 1	165	0					
P	MQ	PIEDMNT/TGP GREEN LUMBER CO. STATIO	95	420753	ZONE 1	20	0					
P	MQ	PIEDMNT/TGP GREENBRIER SALES ROBERT	95	420280	ZONE 1	235	0					
P	MQ	PIEDMNT/TGP NASHVILLE TN  2 ROBERTS	95	420312	ZONE 1	34935	0					
P	MQ	PIEDMNT/TGP WHITE HOUSE TN SALES RO	95	420600	ZONE 1	490	0					
P	M2	POOLING PT - 500 LEG - ZONE L	95	420999	ZONE L	25750	0					
P	M2	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	25750	0					
P	MQ	STORAGE - PORTLAND - MA	95	460025	ZONE 1	14500	0					
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT-A	959-FTATGP	9/1/1993	4/30/2022		N	1000	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	LSTOCKNG/TGP WYALUSING SALES BRADFO	95	420652	ZONE 4	1000	0					
P	MQ	PIVOTAL/TGP SUSSEX NJ SUSSEX	95	420410	ZONE 5	500	0					
P	MQ	PIVOTAL/TGP VERNON NJ SUSSEX	95	420450	ZONE 5	500	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	1000	0					
P	M2	TRANSCAN/TGP UDP NIAGARA RIVER NIAG	95	410902	ZONE 5	1000	0					
P	MQ	VALLEY/TGP TOWANDA PA BRADFORD	95	420216	ZONE 4	1000	0					
D	POWELL CLINCH GAS UTILITY DISTRICT	63180665	N	FT-A	108232-FTATGP	11/1/2014	10/31/2025		N	9691	0	n1
A	CH4 CONCEPTS LLC	N										
P	M2	ATMOS-TX/TGP KATY EXCH WALLER	95	412100	ZONE 0	500	0					
P	M2	C.W.ENER/TGP FLEUR PLAQUEMINES	95	412658	ZONE L	2658	0					
P	MQ	ETNG/TGP EAST LOBELVILLE TN PERRY	95	420042	ZONE 1	6191	0					
P	MQ	ETNG/TGP GREENBRIER TN 2 (DUAL ROBE	95	420289	ZONE 1	3500	0					
P	M2	STORAGE - PORTLAND - MA	95	460025	ZONE 1	1326	0					
P	M2	STORAGE - PORTLAND - PA	95	460020	ZONE 1	285	0					
P	M2	TRUNKLNE/TGP LACASSINE JEFFERSON DA	95	412680	ZONE L	4922	0					
D	"PROJECT PENNY PRODUCERS, THE"	5808	N	FT-A	8822-FTATGP	2/1/1995	2/1/2021		N	10	0	n1
P	MQ	COL GAS/TGP BRINKER OH COLUMBIANA	95	400480	ZONE 4	10	0					
P	MQ	COL GAS/TGP BROAD RUN COBB WV KANAW	95	400459	ZONE 3	10	0					
P	MQ	COL GAS/TGP CAMBRIDGE SALES GUERNSE	95	420064	ZONE 4	10	0					
P	MQ	COL GAS/TGP DUNGANNON OH COLUMBIANA	95	420060	ZONE 4	10	0					
P	MQ	COL GAS/TGP GREENUP KY GREENUP	95	420079	ZONE 2	10	0					
P	MQ	COL GAS/TGP KOPPEL PENNSYLVANIA BEA	95	420325	ZONE 4	10	0					
P	MQ	COL GAS/TGP NEWCASTLE PA LAWRENCE	95	420062	ZONE 4	10	0					
P	MQ	COL GAS/TGP NORTH MEANS KY MONTGOME	95	420049	ZONE 2	10	0					
P	MQ	COL GAS/TGP PITTSBURGH TERMINAL PA	95	420306	ZONE 4	10	0					
P	MQ	COL GAS/TGP UNIONVILLE PA BEAVER	95	420063	ZONE 4	10	0					
P	M2	NORSE/TGP MAYVILLE DEHY CHAUTAUQUA	95	411388	ZONE 5	5	0					
P	M2	NORSE/TGP UNION CITY DEHY ERIE	95	411387	ZONE 4	5	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT-A	333120-FTATGP	11/1/2017	10/31/2018		N	15000	0	n1
P	M2	MARITIME/TGP DRACUT MIDDLESEX	95	412538	ZONE 6	15000	0					
P	MQ	PSEG NY/TGP GLENMONT SALES ALBANY	95	421022	ZONE 5	15000	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT-A	49377-FTATGP	8/1/2005	10/31/2019		N	57222	0	n1
P	MQ	PSEG/TGP RAMSEY NJ BERGEN	95	420226	ZONE 5	37800	0					
P	MQ	PSEG/TGP RINGWOOD NJ PASSAIC	95	420516	ZONE 5	20900	0					
P	MQ	PSEG/TGP WEST MILFORD NJ PASSAIC	95	420339	ZONE 5	13200	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	57222	0					
P	MQ	TRNSCO/TGP RIVERVALE NEW JERSEY BER	95	420101	ZONE 5	57222	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT-A	49379-FTATGP	8/1/2005	10/31/2019		N	36414	0	n1
P	M2	ETP/TGP SUN PLANT DEHYDRATION STARR	95	410173	ZONE 0	11596	0					
P	MQ	HATBG GS/TGP PETAL MISS STG TRANS F	95	420702	ZONE 1	16022	0					
P	M2	KINETICA/TGP PORT SULPHUR PLAQUEMIN	95	412882	ZONE L	16022	0					
P	M2	PELICO/TGP LIBERTY HILL BIENVILLE	95	412035	ZONE 1	1149	0					
P	MQ	PSEG/TGP RAMSEY NJ BERGEN	95	420226	ZONE 5	36414	0					
P	MQ	PSEG/TGP RINGWOOD NJ PASSAIC	95	420516	ZONE 5	20900	0					
P	MQ	PSEG/TGP WEST MILFORD NJ PASSAIC	95	420339	ZONE 5	13200	0					
P	MQ	STORAGE - NORTHERN	95	460018	ZONE 4	36414	0					
P	M2	TGP/TGP GRAND CHENIER STRADDLE PLAN	95	450303	ZONE L	7647	0					
P	MQ	TRNSCO/TGP RIVERVALE NEW JERSEY BER	95	420101	ZONE 5	36414	0					
D	PSEG ENERGY RESOURCES & TRADE LLC	848784257	N	FT-A	65394-FTASTGP	10/1/2007	11/30/2022		N	50000	0	n1
P	MQ	PSEG/TGP RAMSEY NJ BERGEN	95	420226	ZONE 5	50000	0					
P	M2	STORAGE - NORTHERN	95	460018	ZONE 4	50000	0					
D	"R.E. GAS DEVELOPMENT, LLC"	78464938	N	FT-A	307474-FTATGP	8/1/2015	7/31/2020		N	25000	0	n1
P	MQ	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	25000	0					
P	M2	REX ENRG/TGP LITTLE BEAVER: RIP 217	95	412863	ZONE 4	25000	0					
D	"R.E. GAS DEVELOPMENT, LLC"	78464938	N	FT-A	307475-FTATGP	11/1/2015	10/31/2020		N	25000	0	n1
P	MQ	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	25000	0					
P	M2	REX ENRG/TGP LITTLE BEAVER: RIP 217	95	412863	ZONE 4	25000	0					
D	"RANGE RESOURCES - APPALACHIA, LLC"	114534337	N	FT-A	302809-FTATGP	4/1/2014	4/30/2039		N	150000	0	n1
A	CONOCOPHILLIPS COMPANY	N										
A	NJR ENERGY SERVICES COMPANY	N										
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	CAL GEN/TGP  LOWNDES	95	421003	ZONE 1	10000	0					
P	MQ	ETNG/TGP EAST LOBELVILLE TN PERRY	95	420042	ZONE 1	10000	0					
P	MQ	ETNG/TGP GREENBRIER TN 2 (DUAL ROBE	95	420289	ZONE 1	10000	0					
P	MQ	FGT/TGP CARNES MISSISSIPPI STONE	95	420366	ZONE L	10000	0					
P	M2	POOLING PT - 200 LEG - ZONE 4	95	420867	ZONE 4	150000	0					
P	MQ	POOLING PT - 500 LEG - ZONE L	95	420999	ZONE L	74632	0					
P	MQ	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	ZONE L	10000	0					
P	MQ	TRNSCO/TGP HEIDELBERG MISSISIPPI JA	95	420291	ZONE 1	25368	0					
D	"REPSOL OIL & GAS USA, LLC"	126548440	N	FT-A	71250-FTATGP	4/1/2009	3/31/2019		N	200000	0	n1
A	REPSOL ENERGY NORTH AMERICA CORPORATION	N										
P	MQ	GULFSTH/TGP KILN MISS EXCHANGE HANC	95	420383	ZONE L	50000	0					
P	M2	REPSOLOG/TGP MOUNTAIN RIDGE DEHY: R	95	412791	ZONE 4	25000	0					
P	M2	REPSOLOG/TGP SHEDDEN DEHY: RIP 316D	95	412770	ZONE 4	90000	0					
P	M2	REPSOLOG/TGP SHEDDEN II DEHY: RIP 3	95	412818	ZONE 4	85000	0					
P	MQ	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	ZONE L	125000	0					
P	MQ	TRNSCO/TGP HEIDELBERG MISSISIPPI JA	95	420291	ZONE 1	25000	0					
D	"REPSOL OIL & GAS USA, LLC"	126548440	N	FT-A	74331-FTATGP	7/1/2010	6/30/2025		N	200000	0	n1
A	REPSOL ENERGY NORTH AMERICA CORPORATION	N										
P	MQ	ANR/TGP SHADYSIDE ST MARY	95	412684	ZONE L	100000	0					
P	MQ	POOLING PT - 800 LEG - ZONE 1	95	420829	ZONE 1	0	0					
P	MQ	POOLING PT - 800 LEG - ZONE L	95	420998	ZONE L	100000	0					
P	M2	REPSOLOG/TGP SILVARA DEHY: RIP 319F	95	412833	ZONE 4	200000	0					
