H	DOMINION ENERGY TRANSMISSION INC	C000160	4/2/2018	O	4/1/2018	T	T	JOHN BROWNLEE 804-771-4678	 			
P	S9	THERM CITY 1	95	20515		"11,000"	0					
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"11,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	GSS    	300199	5/1/2014	3/31/2019	 	N	0	"1,192,660"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"19,878"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"19,878"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"6,626"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"6,626"					
P	S8	TET - LEIDY	95	40206		0	"6,626"					
P	S8	TRANSCO - LEIDY	95	40301		0	"6,626"					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	GSS    	300200	4/1/2014	3/31/2020	 	N	0	"698,175"	
P	S8	DETI STRG POINT (ST)	95	10002		0	"3,879"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"9,309"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"9,309"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"3,879"					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	GSS    	300201	5/1/2014	3/31/2020	 	N	0	"840,000"	
P	S8	DETI STRG POINT (ST)	95	10002		0	"4,667"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"12,000"					
P	S9	DETI STRG POINT (ST)	95	10002		0	"12,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"4,667"					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	GSS    	300202	5/1/2014	3/31/2020	 	N	0	"174,350"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"3,007"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"3,007"					
P	S8	DETI STRG POINT (ST)	95	10002		0	969					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	969					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	GSS    	300203	1/1/2015	3/31/2023	 	N	0	"39,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"1,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"1,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	217					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	217					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FTGSS  	700101	5/1/2014	3/31/2019	 	N	"19,490"	0	
P	S8	DETI STRG POINT (ST)	95	10002		"19,490"	0					
P	S9	BIDDLECUM ROAD	95	20504		"14,490"	0					
P	S9	AUBURN	95	20702		"5,000"	0					
D	DIRECT ENERGY BUSINESS MARKETING LLC	78790103	N	FTGSS  	700102	1/1/2015	3/31/2023	 	N	"1,000"	0	
P	S9	CALEDONIA	95	20602		"1,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"1,000"	0					
D	DOMINION ENERGY FIELD SERVICES INC	23639961	Y	FT     	200554	4/1/2010	3/31/2020	 	N	"2,000"	0	
P	S9	TET - OAKFORD	95	40208		"2,000"	0					
P	S8	CORSICA (LN-20)	95	EB330		"2,000"	0					
D	DOMINION ENERGY FIELD SERVICES INC	23639961	Y	FT     	200590	9/1/2012	8/31/2022	 	Y	"16,928"	0	
P	S8	POD 13 OSCAR NELSON	95	P0013		12	0					
P	S8	POD 12 LOUP CREEK	95	P0012		46	0					
P	S8	POD 9 CORNWELL #9	95	P0009		2	0					
P	S8	POD 8 GRANTSVILLE SOUTH	95	P0008		61	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		747	0					
P	S8	POD 6 DEEP VALLEY	95	P0006		387	0					
P	S8	POD 5 WESTON EAST	95	P0005		"4,994"	0					
P	S8	POD 4 WESTON	95	P0004		"6,677"	0					
P	S8	POD 3 SALEM WEST	95	P0003		130	0					
P	S8	POD 2 SALEM EAST	95	P0002		996	0					
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"16,928"	0					
P	S8	ETC NORTHEAST PIPELINE (TL-360)	95	EB360		"2,771"	0					
P	S8	POD 11 BRIDGEPORT	95	P0011		105	0					
D	DOMINION ENERGY FIELD SERVICES INC	23639961	Y	FT     	200614	9/1/2012	8/31/2022	 	Y	"125,374"	0	
P	S8	XTO ENERGY (PEORIA TL-259)	95	EB300		"3,355"	0					
P	S8	TYLER CONSTRUCTION CO (TL265)	95	EB120		"1,000"	0					
P	S8	POD 8 GRANTSVILLE SOUTH	95	P0008		"2,061"	0					
P	S8	POD 9 CORNWELL #9	95	P0009		"1,646"	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		"14,556"	0					
P	S8	POD 6 DEEP VALLEY	95	P0006		"2,890"	0					
P	S8	POD 5 WESTON EAST	95	P0005		"3,751"	0					
P	S8	POD 4 WESTON	95	P0004		"10,290"	0					
P	S8	POD 3 SALEM WEST	95	P0003		"7,636"	0					
P	S8	POD 2 SALEM EAST	95	P0002		"7,809"	0					
P	S8	POD 14 HASTINGS TRANSMISSION	95	P0014		873	0					
P	S8	POD 13 OSCAR NELSON	95	P0013		"2,234"	0					
P	S8	POD 12 LOUP CREEK	95	P0012		371	0					
P	S8	POD 11 BRIDGEPORT	95	P0011		"4,304"	0					
P	S8	POD 10 CORNWELL NO 7&8	95	P0010		"5,787"	0					
P	S8	POD 1 SCHUTTE	95	P0001		"3,456"	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"1,741"	0					
P	S8	MARKWEST LIBERTY BLUESTONE LLC (PRO	95	EB200		"23,000"	0					
P	S8	CABIN RUN (TL-418)	95	EB480		"8,850"	0					
P	S8	BLUE RACER TL404	95	EB470		"19,764"	0					
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"125,374"	0					
D	DOMINION ENERGY FUEL SERVICES INC	27046650	Y	FT     	5B5377      	8/14/2011	3/31/2022	 	N	"12,875"	0	
P	S9	TET - LEIDY	95	40206		"12,875"	0					
P	S9	TRANSCO - LEIDY	95	40301		"12,875"	0					
P	S8	ANR - LEBANON	95	40401		"12,875"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"12,875"	0					
P	S8	TXG - LEBANON	95	40601		"12,875"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"12,875"	0					
D	DOMINION ENERGY SOLUTIONS INC	129911954	Y	FT     	200536	6/1/2008	12/31/2021	 	N	"5,950"	0	
A	DOMINION ENERGY FUEL SERVICES INC	Y										
P	S9	MULLET 1	95	20103		"5,950"	0					
P	S8	TET - OAKFORD	95	40208		"5,950"	0					
D	DOMINION ENERGY SOLUTIONS INC	129911954	Y	FT     	200656	4/1/2014	12/31/2021	 	N	"12,000"	0	
A	DOMINION ENERGY FUEL SERVICES INC	Y										
P	S9	EQUITRANS - COLVIN	95	41015		"6,000"	0					
P	S9	OAKFORD	95	20205		"6,000"	0					
P	S8	TET - OAKFORD	95	40208		"12,000"	0					
D	DOMINION ENERGY SOLUTIONS INC	129911954	Y	FT     	200671	4/1/2014	12/31/2021	 	N	"9,000"	0	
A	DOMINION ENERGY FUEL SERVICES INC	Y										
P	S9	EQUITRANS - COLVIN	95	41015		"9,000"	0					
P	S8	TET - OAKFORD	95	40208		"9,000"	0					
D	DOMINION ENERGY SOLUTIONS INC	129911954	Y	GSS    	300144	4/1/2001	3/31/2021	 	N	0	"1,000,000"	
A	DOMINION ENERGY FUEL SERVICES INC	Y										
P	S9	DETI STRG POINT (ST)	95	10002		0	"22,333"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"5,556"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"5,556"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"22,333"					
D	DOMINION ENERGY SOLUTIONS INC	129911954	Y	GSS    	300198	4/1/2014	3/31/2021	 	N	0	"1,000,000"	
A	DOMINION ENERGY FUEL SERVICES INC	Y										
P	S9	DETI STRG POINT (ST)	95	10002		0	"23,200"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"5,556"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"5,556"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"23,200"					
D	DOMINION ENERGY SOLUTIONS INC	129911954	Y	FTGSS  	700068	4/1/2001	3/31/2021	 	N	"22,333"	0	
A	DOMINION ENERGY FUEL SERVICES INC	Y										
P	S9	MULLET 1	95	20103		"22,333"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"22,333"	0					
D	DOMINION ENERGY SOLUTIONS INC	129911954	Y	FTGSS  	700100	4/1/2014	3/31/2021	 	N	"23,200"	0	
A	DOMINION ENERGY FUEL SERVICES INC	Y										
P	S8	DETI STRG POINT (ST)	95	10002		"23,200"	0					
P	S9	MULLET 1	95	20103		"23,200"	0					
D	DOMTAR PAPER COMPANY LLC	789245110	N	FT     	200702	11/1/2016	10/31/2021	 	N	"8,500"	0	
A	DIRECT ENERGY BUSINESS MARKETING LLC	N										
P	S9	HUNT MARCELLUS (LONG LEVEL RD LN20)	95	21107		"8,500"	0					
P	S8	TGP - PETERSBURG	95	40116		"8,500"	0					
D	DOSWELL LIMITED PARTNERSHIP	617209036	N	FTNN   	200063	6/1/1992	6/1/2017	365	Y	"125,000"	0	yd2
A	NEXTERA ENERGY MARKETING LLC	N										
P	S8	DETI STRG POINT (ST)	95	10002		"125,000"	0					
P	S9	QUANTICO	95	22402		"125,000"	0					
P	S8	ROCKIES EXPRESS - CLARINGTON	95	40411		"63,000"	0					
P	S8	MEDIX RUN (LN50)	95	EB085		"32,000"	0					
P	S8	ETC NORTHEAST PIPELINE (TL-360)	95	EB360		"30,000"	0					
D	DOSWELL LIMITED PARTNERSHIP	617209036	N	GSS    	300089	4/1/1992	3/31/2017	365	N	0	"9,000,000"	
A	NEXTERA ENERGY MARKETING LLC	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	"125,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"125,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"50,000"					
P	S8	TET - OAKFORD	95	40208		0	"50,000"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"50,000"					
D	EM ENERGY PENNSYLVANIA LLC	79413389	N	FT     	200690	11/1/2015	12/31/2017	365	N	"30,000"	0	
A	BP ENERGY COMPANY	N										
P	S9	TET - LEIDY	95	40206		"30,000"	0					
P	S9	TRANSCO - LEIDY	95	40301		"30,000"	0					
P	S8	MARKWEST LIBERTY BLUESTONE LLC (SWA	95	EB395		"30,000"	0					
D	EMERA ENERGY SERVICES	101069263	N	FT     	200705	11/1/2016	10/31/2023	 	N	"1,000"	0	
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		"1,000"	0					
P	S8	TRANSCO - LEIDY	95	40301		"1,000"	0					
D	EMPIRE NATURAL GAS CORPORATION	603993189	N	FT     	200365	7/1/2003	3/31/2019	 	N	"7,000"	0	
P	S8	TET - OAKFORD	95	40208		"7,000"	0					
P	S9	COMFORT ROAD	95	20726		"3,700"	0					
P	S9	WHISKEY CREEK	95	21004		"2,900"	0					
P	S9	CALEDONIA	95	20602		400	0					
D	EMPIRE NATURAL GAS CORPORATION	603993189	N	FT     	200435	11/1/2004	3/31/2021	 	N	"1,800"	0	
P	S9	THERM CITY 1	95	20515		800	0					
P	S8	TET - OAKFORD	95	40208		"1,800"	0					
P	S9	ITHACA	95	20714		"1,000"	0					
D	EMPIRE NATURAL GAS CORPORATION	603993189	N	FT     	200533	6/1/2008	3/31/2022	 	N	"1,000"	0	
P	S9	COMFORT ROAD	95	20726		"1,000"	0					
P	S8	TET - OAKFORD	95	40208		"1,000"	0					
D	EMPIRE NATURAL GAS CORPORATION	603993189	N	FT     	200555	10/1/2009	3/31/2030	 	N	"2,500"	0	
P	S9	CALEDONIA	95	20602		"2,500"	0					
P	S8	TET - LEIDY	95	40206		"2,500"	0					
P	S8	TRANSCO - LEIDY	95	40301		"2,500"	0					
D	EMPIRE NATURAL GAS CORPORATION	603993189	N	FT     	200606	11/1/2011	3/31/2032	 	N	"2,000"	0	
P	S9	MILLARD ROAD	95	20717		"2,000"	0					
P	S8	ANR - LEBANON	95	40401		"2,000"	0					
P	S8	TXG - LEBANON	95	40601		"2,000"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"2,000"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"2,000"	0					
D	EMPIRE NATURAL GAS CORPORATION	603993189	N	FT     	200706	11/1/2016	3/31/2029	 	N	"2,000"	0	
P	S9	MILLARD ROAD	95	20717		"2,000"	0					
P	S8	TXG - LEBANON	95	40601		"2,000"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"2,000"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"2,000"	0					
P	S8	ANR - LEBANON	95	40401		"2,000"	0					
D	EMPIRE NATURAL GAS CORPORATION	603993189	N	GSS    	300208	4/1/2016	3/31/2022	 	N	0	"60,000"	
P	S9	DETI STRG POINT (ST)	95	10002		0	"1,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"1,000"					
P	S8	DETI STRG POINT (ST)	95	10002		0	333					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	333					
D	ENERGY CORPORATION OF AMERICA	84599208	N	FT     	200566	11/1/2010	3/31/2027	 	N	500	0	
P	S9	ITHACA	95	20714		500	0					
P	S8	TET - OAKFORD	95	40208		500	0					
D	ENERGY CORPORATION OF AMERICA	84599208	N	FT     	200572	7/1/2011	10/31/2022	 	N	"19,874"	0	
P	S9	TRANSCO - LEIDY	95	40301		"19,874"	0					
P	S8	MEDIX RUN (LN50)	95	EB085		"19,874"	0					
D	ENERGY CORPORATION OF AMERICA	84599208	N	FT     	200591	9/1/2012	8/31/2022	 	Y	"5,956"	0	
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"5,956"	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		750	0					
P	S8	POD 6 DEEP VALLEY	95	P0006		96	0					
P	S8	POD 5 WESTON EAST	95	P0005		44	0					
P	S8	POD 4 WESTON	95	P0004		247	0					
P	S8	POD 3 SALEM WEST	95	P0003		"2,436"	0					
P	S8	POD 8 GRANTSVILLE SOUTH	95	P0008		34	0					
P	S8	POD 13 OSCAR NELSON	95	P0013		882	0					
P	S8	POD 12 LOUP CREEK	95	P0012		383	0					
P	S8	POD 11 BRIDGEPORT	95	P0011		33	0					
P	S8	POD 10 CORNWELL NO 7&8	95	P0010		500	0					
P	S8	POD 1 SCHUTTE	95	P0001		33	0					
P	S8	POD 2 SALEM EAST	95	P0002		518	0					
D	"ENERGYMARK, LLC"	832686880	N	FT     	200732	1/1/2018	12/31/2022	 	N	"2,000"	0	
P	S9	BIG FLATS	95	20703		"2,000"	0					
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"2,000"	0					
D	ENGELHART CTP (US) LLC	79124498	N	FT     	200684	4/1/2015	3/31/2017	365	N	"10,000"	0	
P	S9	TGP - HARRISON	95	40109		"10,000"	0					
P	S8	MILLENNIUM - HOLDING POINT (LN-1/31	95	41601		"10,000"	0					
D	EQT ENERGY LLC	35858708	N	FT     	200552	4/1/2010	3/31/2020	 	N	"12,000"	0	
A	RICE ENERGY MARKETING LLC	N										
P	S9	TET - OAKFORD	95	40208		"12,000"	0					
P	S8	FOREST ROAD LN-19	95	EB250		"12,000"	0					
D	EQT ENERGY LLC	35858708	N	FT     	200592	9/1/2012	8/31/2022	 	Y	"40,196"	0	
A	RICE ENERGY MARKETING LLC	N										
P	S8	POD 11 BRIDGEPORT	95	P0011		275	0					
P	S8	POD 10 CORNWELL NO 7&8	95	P0010		"2,700"	0					
P	S8	POD 1 SCHUTTE	95	P0001		31	0					
P	S8	FREEDOM (TL-263)	95	EB050		"20,000"	0					
P	S9	TET - OAKFORD	95	40208		"40,196"	0					
P	S8	POD 12 LOUP CREEK	95	P0012		"1,412"	0					
P	S8	SLAUGHTERS CREEK (TL-263)	95	EB045		"8,200"	0					
P	S8	POD 9 CORNWELL #9	95	P0009		"1,012"	0					
P	S8	POD 8 GRANTSVILLE SOUTH	95	P0008		196	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		"1,587"	0					
P	S8	POD 6 DEEP VALLEY	95	P0006		19	0					
P	S8	POD 5 WESTON EAST	95	P0005		128	0					
P	S8	POD 4 WESTON	95	P0004		270	0					
P	S8	POD 3 SALEM WEST	95	P0003		691	0					
P	S8	POD 2 SALEM EAST	95	P0002		897	0					
P	S8	POD 13 OSCAR NELSON	95	P0013		"2,778"	0					
D	"EXCO RESOURCES (PA), LLC"	613480854	N	FT     	200593	9/1/2012	8/31/2022	 	Y	"18,607"	0	
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"18,607"	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"12,000"	0					
P	S8	POD 5 WESTON EAST	95	P0005		"1,290"	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		56	0					
P	S8	POD 9 CORNWELL #9	95	P0009		297	0					
P	S8	POD 4 WESTON	95	P0004		118	0					
P	S8	POD 3 SALEM WEST	95	P0003		40	0					
P	S8	POD 2 SALEM EAST	95	P0002		99	0					
P	S8	POD 13 OSCAR NELSON	95	P0013		906	0					
P	S8	POD 1 SCHUTTE	95	P0001		157	0					
P	S8	POD 10 CORNWELL NO 7&8	95	P0010		250	0					
P	S8	POD 11 BRIDGEPORT	95	P0011		"2,092"	0					
P	S8	POD 12 LOUP CREEK	95	P0012		"1,302"	0					
D	FAYETTEVILLE PUBLIC UTILITIES	75384115	N	GSS    	300028	11/1/1993	3/31/2021	 	N	0	"21,682"	
A	CENTERPOINT ENERGY SERVICES INC.	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	355					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	355					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	120					
P	S8	DETI STRG POINT (ST)	95	10002		0	120					
P	S9	TGP - CORNWELL / BROAD RUN	95	40105		0	355					
P	S8	TGP - CORNWELL / BROAD RUN	95	40105		0	120					
D	FILLMORE GAS	2436475	N	FTNNSC 	100108	4/1/2001	3/31/2022	 	N	865	0	
A	"ENERGYMARK, LLC"	N										
P	S9	DETI STRG POINT (ST)	95	10002		865	0					
P	S9	ROSSBURG XSN504	95	23603		865	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		616	0					
P	S9	ROSSBURG/KAMINE	95	23602		"1,100"	0					
P	S8	POD 20 APPALACHIAN NORTH POOLING PO	95	P0020		249	0					
D	FILLMORE GAS	2436475	N	GSS    	300150	4/1/2001	3/31/2022	 	N	0	"56,000"	
A	"ENERGYMARK, LLC"	N										
P	S9	DETI STRG POINT (ST)	95	10002		0	600					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	600					
P	S8	DETI STRG POINT (ST)	95	10002		0	311					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	311					
D	FILLMORE GAS	2436475	N	FTNNSC 	700073	4/1/2001	3/31/2022	 	N	600	0	
A	"ENERGYMARK, LLC"	N										
P	S9	ROSSBURG/KAMINE	95	23602		"1,100"	0					
P	S8	DETI STRG POINT (ST)	95	10002		600	0					
D	"FILLMORE GREENHOUSES, INC"	165070637	N	FT     	200545	7/1/2009	6/30/2022	 	N	350	0	
A	"NOCO NATURAL GAS, LLC"	N										
P	S9	INTERGROW GREENHOUSE	95	23650		350	0					
P	S8	TGP - ELLISBURG	95	40107		350	0					
D	GULFPORT ENERGY CORPORATION	4850660	N	FT     	200632	8/1/2013	7/31/2023	 	N	"100,000"	0	
A	MARKWEST UTICA EMG LLC	N										
P	S9	ANR - LEBANON	95	40401		"100,000"	0					
P	S8	PLUM RUN (TL400)	95	20180		"100,000"	0					
D	GULFPORT ENERGY CORPORATION	4850660	N	FT     	200648	6/1/2014	5/31/2035	 	N	"150,000"	0	
A	MARKWEST UTICA EMG LLC	N										
P	S9	ANR - LEBANON	95	40401		"99,500"	0					
P	S9	TXG - LEBANON	95	40601		"50,500"	0					
P	S8	PLUM RUN (TL400)	95	20180		"150,000"	0					
D	HG ENERGY II APPALACHIA LLC	821463719	N	FT     	200729	8/1/2017	10/31/2031	 	Y	"250,000"	0	
A	VINEYARD OIL & GAS COMPANY	N										
P	S9	ROCKIES EXPRESS - CLARINGTON	95	40411		"250,000"	0					
P	S9	TET- ARMAN HILL (XS3127)	95	40229		"250,000"	0					
D	HG ENERGY LLC	64704644	N	FT     	5D7397      	7/1/2016	8/31/2022	 	Y	"1,399"	0	
A	VINEYARD OIL & GAS COMPANY	N										
P	S8	POD 1 SCHUTTE	95	P0001		131	0					
P	S8	POD 14 HASTINGS TRANSMISSION	95	P0014		50	0					
P	S8	DOMINION HOPE (HILL JUNCTION)	95	EB350		"1,100"	0					
P	S9	TET - OAKFORD APP GATEWAYPP	95	40225		"1,399"	0					
P	S8	POD 3 SALEM WEST	95	P0003		118	0					
D	HOPE GAS INC DBA DOMINION ENERGY WEST VIRGINIA	7944721	Y	FTNN   	100026	10/1/1993	3/31/2022	 	N	"41,720"	0	
A	DOMINION LDC GAS SUPPLY	Y										
P	S9	BERTHA HILL	95	20312		"13,800"	0					
P	S8	TXG - LEBANON	95	40601		"3,073"	0					
P	S9	BURCH RIDGE EMERGENCY FEED	95	20341		"1,000"	0					
P	S9	CORE HILL	95	20314		"22,052"	0					
P	S9	DETI STRG POINT (ST)	95	10002		"41,720"	0					
P	S9	EAST SALEM BORDER	95	20333		"2,545"	0					
P	S9	GIVENS (FREEDOM BORDER)	95	20331		"10,167"	0					
P	S9	GOFF	95	20335		"6,343"	0					
P	S9	HARMONY GROVE	95	20310		"13,530"	0					
P	S9	HILL JUNCTION DELIVERY	95	20343		"41,720"	0					
P	S9	HOPE DELIVERIES VARIOUS	95	20344		"41,720"	0					
P	S9	HORSENECK / AM CY	95	20307		"3,500"	0					
P	S9	LODGE FARM	95	20334		"3,604"	0					
P	S9	MOBAY	95	20309		"19,933"	0					
P	S9	PAR MAR	95	20303		907	0					
P	S9	PEORA	95	20306		"19,356"	0					
P	S9	PPG INDUSTRIES	95	20320		"1,911"	0					
P	S9	REED MINERALS	95	20325		"1,694"	0					
P	S9	ROBEY JUNCTION	95	20315		"1,029"	0					
P	S9	ROUNDBOTTOM	95	20339		"3,419"	0					
P	S9	RT 50	95	20302		"13,900"	0					
P	S9	SCHULTZ/ST MARYS	95	20316		"3,647"	0					
P	S9	SHOCK/RICHWOOD	95	20305		"7,329"	0					
P	S9	SOMERVILLE	95	20329		"12,000"	0					
P	S9	STAR CITY	95	20332		"1,200"	0					
P	S9	VENCO	95	20326		"1,694"	0					
P	S9	VINCENT LUMBER XS-1948	95	20342		"1,500"	0					
P	S9	WAYFARM / HOPE	95	20319		"20,794"	0					
P	S9	WEST SABERTON	95	20311		"15,955"	0					
P	S9	WILLIAMSTOWN BORDER STATION	95	20330		"3,740"	0					
P	S8	ANR - LEBANON	95	40401		"3,073"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"41,720"	0					
P	S8	DOMINION HOPE (HILL JUNCTION)	95	EB350		"5,908"	0					
P	S8	NOTSP PLACEHOLDER METER - SOUTH	95	SPDOM		"12,869"	0					
P	S8	POD 1 SCHUTTE	95	P0001		407	0					
P	S8	POD 11 BRIDGEPORT	95	P0011		40	0					
P	S8	POD 13 OSCAR NELSON	95	P0013		"3,291"	0					
P	S8	POD 2 SALEM EAST	95	P0002		228	0					
P	S8	POD 3 SALEM WEST	95	P0003		45	0					
P	S8	POD 4 WESTON	95	P0004		364	0					
P	S8	POD 5 WESTON EAST	95	P0005		258	0					
P	S8	POD 6 DEEP VALLEY	95	P0006		817	0					
P	S8	POD 7 GRANTSVILLE	95	P0007		571	0					
P	S8	POD 8 GRANTSVILLE SOUTH	95	P0008		"1,749"	0					
P	S8	ROCKIES EXPRESS - CLARINGTON	95	40411		"2,210"	0					
P	S8	ROCKIES EXPRESS - LEBANON	95	40410		"3,073"	0					
P	S8	TET - LEBANON LATERAL	95	40501		"3,073"	0					
P	S8	TET - OAKFORD	95	40208		"4,886"	0					
P	S8	TGP - PETERSBURG	95	40116		"5,004"	0					
P	S9	BUCK RUN	95	20308		"8,373"	0					
D	HOPE GAS INC DBA DOMINION ENERGY WEST VIRGINIA	7944721	Y	GSS    	300059	10/1/1993	3/31/2022	 	N	0	"6,783,000"	
A	DOMINION LDC GAS SUPPLY	Y										
P	S9	DETI STRG POINT (ST)	95	10002		0	"130,000"					
P	WR	DETI STRG SERVICE (SS)	95	10001		0	"130,000"					
P	S9	HILL JUNCTION DELIVERY	95	20343		0	"130,000"					
P	S9	HOPE DELIVERIES VARIOUS	95	20344		0	"130,000"					
P	S8	VINCENT LUMBER XS-1948	95	20342		0	"37,683"					
P	S8	HOPE DELIVERIES VARIOUS	95	20344		0	"37,683"					
P	S8	HILL JUNCTION DELIVERY	95	20343		0	"37,683"					
P	IJ	DETI STRG SERVICE (SS)	95	10001		0	"37,683"					
P	S8	DETI STRG POINT (ST)	95	10002		0	"37,683"					
P	S9	VINCENT LUMBER XS-1948	95	20342		0	"130,000"					
D	HOPE GAS INC DBA DOMINION ENERGY WEST VIRGINIA	7944721	Y	FTNNGSS	700010	10/1/1993	3/31/2022	 	N	"130,000"	0	
A	DOMINION LDC GAS SUPPLY	Y										
P	S9	BURCH RIDGE EMERGENCY FEED	95	20341		"1,000"	0					
P	S8	DETI STRG POINT (ST)	95	10002		"130,000"	0					
P	S9	WILLIAMSTOWN BORDER STATION	95	20330		"3,740"	0					
P	S9	WEST SABERTON	95	20311		"15,955"	0					
P	S9	WAYFARM / HOPE	95	20319		"20,794"	0					
P	S9	VINCENT LUMBER XS-1948	95	20342		"1,500"	0					
P	S9	VENCO	95	20326		"1,694"	0					
P	S9	STAR CITY	95	20332		"1,200"	0					
P	S9	SOMERVILLE	95	20329		"12,000"	0					
P	S9	SHOCK/RICHWOOD	95	20305		"7,329"	0					
P	S9	SCHULTZ/ST MARYS	95	20316		"3,647"	0					
P	S9	RT 50	95	20302		"13,900"	0					
P	S9	ROUNDBOTTOM	95	20339		"3,419"	0					
P	S9	ROBEY JUNCTION	95	20315		"1,029"	0					
P	S9	REED MINERALS	95	20325		"1,694"	0					
P	S9	PPG INDUSTRIES	95	20320		"1,911"	0					
P	S9	PEORA	95	20306		"19,356"	0					
P	S9	PAR MAR	95	20303		907	0					
P	S9	MOBAY	95	20309		"19,933"	0					
P	S9	LODGE FARM	95	20334		"3,604"	0					
P	S9	HORSENECK / AM CY	95	20307		"3,500"	0					
P	S9	HOPE DELIVERIES VARIOUS	95	20344		"130,000"	0					
P	S9	HILL JUNCTION DELIVERY	95	20343		"130,000"	0					
P	S9	HARMONY GROVE	95	20310		"13,530"	0					
P	S9	GOFF	95	20335		"6,343"	0					
P	S9	GIVENS (FREEDOM BORDER)	95	20331		"10,167"	0					
P	S9	BERTHA HILL	95	20312		"13,800"	0					
P	S9	BUCK RUN	95	20308		"8,373"	0					
P	S9	CORE HILL	95	20314		"22,052"	0					
P	S9	EAST SALEM BORDER	95	20333		"2,545"	0					
D	IDT ENERGY INC.	9070495	N	FT     	200511	4/1/2007	3/31/2021	 	N	"5,000"	0	
P	S9	NATL FUEL - ELLISBURG	95	41201		"5,000"	0					
P	S8	TET - OAKFORD	95	40208		"5,000"	0					
D	IDT ENERGY INC.	9070495	N	FT     	200512	4/1/2007	3/31/2020	 	N	500	0	
P	S9	CALEDONIA	95	20602		500	0					
P	S8	TET - OAKFORD	95	40208		500	0					
D	IDT ENERGY INC.	9070495	N	GSS    	300182	4/1/2007	3/31/2020	 	N	0	"20,295"	
P	S9	DETI STRG POINT (ST)	95	10002		0	451					
