H	"Algonquin Gas Transmission, LLC"	C000084	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	41643						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	Y	AFT-1	934001-R1	12/1/1994	10/31/1999	365	N	20771		L5
P	MQ	"NATIONAL GRID- EVERETT (MIDDLESEX,M"	95	27	AGT	51						
P	MQ	"NATIONAL GRID-WELLESLEY (NORFOLK,MA"	95	74	AGT	5000						
P	MQ	"NATIONAL GRID-POLAROID (MIDDLESEX,M"	95	80	AGT	10081						
P	MQ	"NATIONAL GRID-MEDFORD (MIDDLESEX,MA"	95	89	AGT	5639						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	20771						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	Y	AFT-1	99012-R2	11/1/2009	10/31/2012	365	N	0		L26/O33
P	M2	"NATIONAL GRID-DEY ST. (PROVIDENCE,R"	95	4	AGT	0						
P	MQ	"NATIONAL GRID- NORWOOD (NORFOLK,MA)"	95	21	AGT	0						
P	MQ	NATIONAL GRID- EAST BRAINTREE (NORF	95	23	AGT	0						
P	MQ	"NATIONAL GRID- EVERETT (MIDDLESEX,M"	95	27	AGT	0						
P	MQ	"NATIONAL GRID-WALTHAM (MIDDLESEX,MA"	95	32	AGT	0						
P	MQ	"NATIONAL GRID-PONKAPOAG (NORFOLK,MA"	95	52	AGT	0						
P	MQ	"NATIONAL GRID-WESTON (MIDDLESEX,MA)"	95	57	AGT	0						
P	MQ	"NATIONAL GRID-WELLESLEY (NORFOLK,MA"	95	74	AGT	0						
P	MQ	"NATIONAL GRID-POTTER ST. (NORFOLK,M"	95	81	AGT	0						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	Y	AFT-1	99058-R5	3/1/2014	10/31/2016	365	N	45906		L31
P	MQ	"NATIONAL GRID- NORWOOD (NORFOLK,MA)"	95	21	AGT	1500						
P	MQ	NATIONAL GRID- EAST BRAINTREE (NORF	95	23	AGT	3000						
P	MQ	"NATIONAL GRID- EVERETT (MIDDLESEX,M"	95	27	AGT	5229						
P	MQ	"NATIONAL GRID-WALTHAM (MIDDLESEX,MA"	95	32	AGT	3000						
P	MQ	"NATIONAL GRID-PONKAPOAG (NORFOLK,MA"	95	52	AGT	18177						
P	MQ	"NATIONAL GRID-WELLESLEY (NORFOLK,MA"	95	74	AGT	15000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	39571						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	6335						
D	THE BOSTON GAS COMPANY D/B/A NATIONAL GRID	6951586	Y	AFT-1	9B100-R4	3/1/2014	10/31/2016	365	N	29909		L5/O40
P	MQ	"NATIONAL GRID- NORWOOD (NORFOLK,MA)"	95	21	AGT	1209						
P	MQ	NATIONAL GRID- EAST BRAINTREE (NORF	95	23	AGT	4784						
P	MQ	"NATIONAL GRID- EVERETT (MIDDLESEX,M"	95	27	AGT	14348						
P	MQ	"NATIONAL GRID-WALTHAM (MIDDLESEX,MA"	95	32	AGT	4784						
P	MQ	"NATIONAL GRID-WELLESLEY (NORFOLK,MA"	95	74	AGT	4784						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	29909						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT1AIM	510801-R2	1/7/2017	1/6/2032		Y	18000		
P	MQ	"NATIONAL GRID-WESTERLY (WASHINGTON,"	95	8	AGT	500						
P	MQ	"NATIONAL GRID - WARREN (BRISTOL,RI)"	95	12	AGT	6000						
P	MQ	"NATIONAL GRID- PORTSMOUTH (NEWPORT,"	95	13	AGT	6000						
P	MQ	"NATIONAL GRID - TIVERTON (NEWPORT,R"	95	33	AGT	500						
P	MQ	"MONTVILLE (NEW LONDON,CT)"	95	59	AGT	5000						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	18000						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFTCLMS	510985-R1	7/17/2017	7/16/2032		Y	96000		
P	MQ	NATIONAL GRID - CRARY STREET-PROVID	95	842	AGT	96000						
P	M2	G-12 SYSTEM	95	80070	AGT	96000						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-1	9001-R2	7/1/2017	12/31/2021		N	11063		L5
P	MQ	"NATIONAL GRID-DEY ST. (PROVIDENCE,R"	95	4	AGT	11063						
P	M2	"COLUMBIA HANOVER (MORRIS,NJ)"	95	240	AGT	11063						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-1	90106-R5	3/1/2014	10/31/2016	365	N	19465		L5
P	MQ	"NATIONAL GRID-DEY ST. (PROVIDENCE,R"	95	4	AGT	9223						
P	MQ	"NATIONAL GRID-WESTERLY (WASHINGTON,"	95	8	AGT	474						
P	MQ	NATIONAL GRID - E. PROVIDENCE (PROV	95	10	AGT	4092						
P	MQ	"NATIONAL GRID- PORTSMOUTH (NEWPORT,"	95	13	AGT	5078						
P	MQ	"NATIONAL GRID - TIVERTON (NEWPORT,R"	95	33	AGT	598						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	6585						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	72						
P	M2	"COLUMBIA HANOVER (MORRIS,NJ)"	95	240	AGT	12808						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-1	90107-R4	3/1/2014	10/31/2016	365	N	26129		L51/O52
P	MQ	"NATIONAL GRID-DEY ST. (PROVIDENCE,R"	95	4	AGT	19514						
P	MQ	NATIONAL GRID - E. PROVIDENCE (PROV	95	10	AGT	6615						
P	MQ	"NATIONAL GRID - WARREN (BRISTOL,RI)"	95	12	AGT	0						
P	MQ	"NATIONAL GRID- PORTSMOUTH (NEWPORT,"	95	13	AGT	0						
P	MQ	"NATIONAL GRID - TIVERTON (NEWPORT,R"	95	33	AGT	0						
P	MQ	NATIONAL GRID-BURRILLVILLE (PROVIDE	95	44	AGT	0						
P	M2	"COLUMBIA HANOVER (MORRIS,NJ)"	95	240	AGT	26129						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-ES	93001ESC-R3	3/1/2014	10/31/2016	365	N	2384		L12/O13
P	MQ	"NATIONAL GRID - WARREN (BRISTOL,RI)"	95	12	AGT	2384						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	1377						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	1007						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-E	93011E-R3	3/1/2014	10/31/2016	365	N	56035		L5/O8
P	MQ	"NATIONAL GRID-DEY ST. (PROVIDENCE,R"	95	4	AGT	25137						
P	MQ	"NATIONAL GRID-WESTERLY (WASHINGTON,"	95	8	AGT	1221						
P	MQ	NATIONAL GRID - E. PROVIDENCE (PROV	95	10	AGT	48147						
P	MQ	"NATIONAL GRID - WARREN (BRISTOL,RI)"	95	12	AGT	4173						
P	MQ	"NATIONAL GRID- PORTSMOUTH (NEWPORT,"	95	13	AGT	6504						
P	MQ	"NATIONAL GRID - TIVERTON (NEWPORT,R"	95	33	AGT	163						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	34668						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	21367						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-1	933005-R2	3/1/2010	3/31/2012	365	N	2061		L9
P	MQ	"NATIONAL GRID-WESTERLY (WASHINGTON,"	95	8	AGT	248						
P	MQ	"NATIONAL GRID - WARREN (BRISTOL,RI)"	95	12	AGT	813						
P	MQ	NATIONAL GRID-CUMBERLAND (PROVIDENC	95	83	AGT	1000						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	2061						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-1S	93401S-R3	3/1/2014	10/31/2016	365	N	335		L5
P	MQ	"NATIONAL GRID - WARREN (BRISTOL,RI)"	95	12	AGT	335						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	335						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-1S	96004SC-R3	3/1/2014	10/31/2016	365	N	1695		L12
P	MQ	"NATIONAL GRID - WARREN (BRISTOL,RI)"	95	12	AGT	1695						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	537						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	1158						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-1	9B105-R4	3/1/2014	10/31/2016	365	N	8539		L5/O44
P	MQ	"NATIONAL GRID-DEY ST. (PROVIDENCE,R"	95	4	AGT	4258						
P	MQ	"NATIONAL GRID-WESTERLY (WASHINGTON,"	95	8	AGT	79						
P	MQ	"NATIONAL GRID- PORTSMOUTH (NEWPORT,"	95	13	AGT	4202						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	8539						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-1S	9S100S-R3	3/1/2014	10/31/2016	365	N	187		L5/O50
P	MQ	"NATIONAL GRID - WARREN (BRISTOL,RI)"	95	12	AGT	187						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	187						
D	THE NARRAGANSETT ELECTRIC COMPANY D/B/A NATIONAL GRID	1193655	Y	AFT-E	9W009E-R3	3/1/2014	10/31/2016	365	N	6812		L5/O7
P	MQ	"NATIONAL GRID-DEY ST. (PROVIDENCE,R"	95	4	AGT	6234						
P	MQ	"NATIONAL GRID-WESTERLY (WASHINGTON,"	95	8	AGT	273						
P	MQ	"NATIONAL GRID- PORTSMOUTH (NEWPORT,"	95	13	AGT	305						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	2590						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	4222						
D	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	965177889	N	AFT-1	511009-R1	11/1/2017	10/31/2018		N	14378		
P	M2	MENDON	95	205	AGT	14378						
P	MQ	LATERAL W SYSTEM MAINLINE	95	80063	AGT	14378						
D	UNIPER GLOBAL COMMODITIES NORTH AMERICA LLC	79093350	N	AFT-1	511030-R1	3/1/2018	4/30/2019		N	50000		
P	MQ	MILFORD POWER	95	801	AGT	50000						
P	M2	LATERAL T SYSTEM	95	80022	AGT	50000						
D	VIRGINIA POWER ENERGY MARKETING INC	27046650	N	AFTCLMS	510294-R2	4/1/2012	3/31/2020		Y	95455		L63
P	MQ	"PG&E MANCHESTER ST, (PROVIDENCE,RI)"	95	87	AGT	95455						
P	M2	G-12 SYSTEM	95	80070	AGT	95455						
D	WALLINGFORD ENERGY LLC	29342	N	AFT-1	510575-R3	7/1/2016	10/31/2020		N	10000		YA1/L67
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	10000						
P	MQ	WALLINGFORD ENERGY INTERCONNECT (FA	95	820	AGT	10000						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	510513-R1	11/1/2010	10/31/2020		N	10000		
P	MQ	"MONTVILLE (NEW LONDON,CT)"	95	59	AGT	10000						
P	M2	"SALEM ESSEX CO., MA (ESSEX,MA)"	95	215	AGT	10000						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	510627-R1	11/1/2012	10/31/2016	365	N	8160		
P	MQ	"DANBURY (FAIRFIELD,CT)"	95	63	AGT	8160						
P	M2	"BROOKFIELD (FAIRFIELD,CT)"	95	251	AGT	8160						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	510724-R1	12/1/2013	11/30/2014	365	N	8291		
P	MQ	"DANBURY (FAIRFIELD,CT)"	95	63	AGT	8291						
P	M2	"MAHWAH (BERGEN,NJ)"	95	201	AGT	8291						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT1AIM	510802-R2	1/7/2017	1/6/2032		Y	100000		
P	MQ	"WATERBURY (NEW HAVEN,CT)"	95	2	AGT	5000						
P	MQ	"WILLIMANTIC (NEW HAVEN, CT)"	95	5	AGT	3000						
P	MQ	"PUTNAM (WINDHAM,CT)"	95	9	AGT	1000						
P	MQ	"KENNSINGTON (NEW HAVEN,CT)"	95	31	AGT	9000						
P	MQ	"POMFRET (WINDHAM,CT)"	95	50	AGT	5000						
P	MQ	"MONTVILLE (NEW LONDON,CT)"	95	59	AGT	52000						
P	MQ	"SOUTHBURY (NEW HAVEN,CT)"	95	79	AGT	2000						
P	MQ	"BRISTOL (HARTFORD,CT)"	95	85	AGT	8000						
P	M2	"RAMAPO - MILLENNIUM (ROCKLAND,NY)"	95	214	AGT	100000						
P	MQ	MIDDLETOWN - YANKEE ENERGY SYSTEMS	95	819	AGT	10000						
P	MQ	"WEST DANBURY (FAIRFIELD,CT)"	95	835	AGT	5000						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	93009-R3	2/1/2013	10/31/2016	365	N	31963		L5/O57
P	MQ	"WATERBURY (NEW HAVEN,CT)"	95	2	AGT	14241						
P	MQ	"WILLIMANTIC (NEW HAVEN, CT)"	95	5	AGT	1312						
P	MQ	"WATERFORD (NEW LONDON,CT)"	95	7	AGT	2076						
P	MQ	"PUTNAM (WINDHAM,CT)"	95	9	AGT	999						
P	MQ	"KENNSINGTON (NEW HAVEN,CT)"	95	31	AGT	17239						
P	MQ	"POMFRET (WINDHAM,CT)"	95	50	AGT	2873						
P	MQ	"MONTVILLE (NEW LONDON,CT)"	95	59	AGT	1249						
P	MQ	"SOUTHINGTON (HARTFORD,CT)"	95	60	AGT	3123						
P	MQ	"VERNON (TOLLAND,CT)"	95	62	AGT	9619						
P	MQ	"DANBURY (FAIRFIELD,CT)"	95	63	AGT	4372						
P	MQ	"OXFORD (NEW HAVEN, CT)"	95	69	AGT	1477						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	19775						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	12188						
P	MQ	"LEDYARD (NEW LONDON,CT)"	95	802	AGT	344						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-E	93013EC-R3	2/1/2013	10/31/2016	365	N	35816		L12/O23
P	MQ	"WATERBURY (NEW HAVEN,CT)"	95	2	AGT	23174						
P	MQ	"WILLIMANTIC (NEW HAVEN, CT)"	95	5	AGT	825						
P	MQ	"WATERFORD (NEW LONDON,CT)"	95	7	AGT	2675						
P	MQ	"PUTNAM (WINDHAM,CT)"	95	9	AGT	629						
P	MQ	"KENNSINGTON (NEW HAVEN,CT)"	95	31	AGT	7850						
P	MQ	"POMFRET (WINDHAM,CT)"	95	50	AGT	1808						
P	MQ	"MONTVILLE (NEW LONDON,CT)"	95	59	AGT	786						
P	MQ	"SOUTHINGTON (HARTFORD,CT)"	95	60	AGT	1966						
P	MQ	"VERNON (TOLLAND,CT)"	95	62	AGT	6054						
P	MQ	"DANBURY (FAIRFIELD,CT)"	95	63	AGT	2752						
P	MQ	"OXFORD (NEW HAVEN, CT)"	95	69	AGT	930						
P	MQ	"STONINGTON (NEW LONDON,CT)"	95	82	AGT	120						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	18416						
P	M2	"TETCO - HANOVER (MORRIS,NJ)"	95	211	AGT	17400						
P	MQ	"LEDYARD (NEW LONDON,CT)"	95	802	AGT	216						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	93209C-R3	2/1/2013	10/31/2016	365	N	7863		L12
P	MQ	"MONTVILLE (NEW LONDON,CT)"	95	59	AGT	7740						
P	MQ	"STONINGTON (NEW LONDON,CT)"	95	82	AGT	123						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	6066						
P	M2	"CENTERVILLE-TRANSCO (MORRIS,NJ)"	95	220	AGT	1797						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	933006-R1	11/1/1994	3/31/2012	365	N	125		L9
P	MQ	"STONINGTON (NEW LONDON,CT)"	95	82	AGT	125						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	125						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	934006-R2	2/28/2009	10/31/2012	365	N	5078		L5
P	MQ	"MONTVILLE (NEW LONDON,CT)"	95	59	AGT	1648						
P	MQ	"BRISTOL (HARTFORD,CT)"	95	85	AGT	3430						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	5078						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	93409-R3	2/1/2013	10/31/2016	365	N	8862		L5
P	MQ	"WATERFORD (NEW LONDON,CT)"	95	7	AGT	7877						
P	MQ	"SOUTHBURY (NEW HAVEN,CT)"	95	79	AGT	890						
P	MQ	"STONINGTON (NEW LONDON,CT)"	95	82	AGT	95						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	8862						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	94000-R1	11/1/1994	10/31/2014	365	N	15000		
P	MQ	"WATERFORD (NEW LONDON,CT)"	95	7	AGT	3700						
P	MQ	"MONTVILLE (NEW LONDON,CT)"	95	59	AGT	10150						
P	MQ	"STONINGTON (NEW LONDON,CT)"	95	82	AGT	500						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	15000						
P	MQ	"FRANKLIN (NEW LONDON,CT)"	95	805	AGT	650						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-CLM	99050-R2	3/1/2006	10/31/2009	365	N	3000		L4
P	MQ	MIDDLETOWN - YANKEE ENERGY SYSTEMS	95	819	AGT	3000						
P	M2	INTERCONNECT BETWEEN MIDDLETON LAT	95	80001	AGT	3000						
D	YANKEE GAS SERVICES COMPANY DBA EVERSOURCE ENERGY	361667371	Y	AFT-1	9B106C-R3	2/1/2013	10/31/2016	365	N	3055		L12/O45
P	MQ	"WILLIMANTIC (NEW HAVEN, CT)"	95	5	AGT	1005						
P	MQ	"WATERFORD (NEW LONDON,CT)"	95	7	AGT	1006						
P	MQ	"POMFRET (WINDHAM,CT)"	95	50	AGT	1005						
P	MQ	"STONINGTON (NEW LONDON,CT)"	95	82	AGT	39						
P	M2	"ALGONQUIN - LAMBERTVILLE, NJ"	95	210	AGT	3055						
F	1	"D-U-N-S number not received yet, proprietary code is shown."										
F	2	Original contract effective date: 08/09/2006										
F	3	Original contract effective date: 01/01/1998										
F	4	Original contract effective date: 12/01/2000										
F	5	Original contract effective date: 06/01/1993										
F	6	"Varying MDQ quantities as follows: 678 dth - Oct 1-Nov 15, 1017 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 678 dth - Apr 16-May 31"										
F	7	"Varying MDQ quantities as follows: 4541 dth - Oct 1-Nov 15, 6812 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 4541 dth - Apr 16-May 31"										
F	8	"Varying MDQ quantities as follows: 53839 dth - Oct 1-Nov 15, 56035 dth - Nov 16-Apr 15, 49446 dth - Jun 1-Sep 30, 53839 dth - Apr 16-May 31"										
F	9	Original contract effective date: 12/01/1993										
F	10	"Varying MDQ quantities as follows: 0 dth - Oct 1-Nov 15, 40000 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 0 dth - Apr 16-May 31"										
F	11	"Varying MDQ quantities as follows: 4302 dth - Oct 1-Nov 15, 4478 dth - Nov 16-Apr 15, 3951 dth - Jun 1-Sep 30, 4302 dth - Apr 16-May 31"										
F	12	Original contract effective date: 11/01/1997										
F	13	"Varying MDQ quantities as follows: 2170 dth - Oct 1-Nov 15, 2384 dth - Nov 16-Apr 15, 1740 dth - Jun 1-Sep 30, 2170 dth - Apr 16-May 31"										
F	14	Original contract effective date: 08/01/1998										
F	15	"Varying MDQ quantities as follows: 961 dth - Oct 1-Nov 15, 1082 dth - Nov 16-Apr 15, 718 dth - Jun 1-Sep 30, 961 dth - Apr 16-May 31"										
F	16	"Varying MDQ quantities as follows: 845 dth - Oct 1-Nov 15, 845 dth - Nov 16-Apr 15, 768 dth - Jun 1-Sep 30, 845 dth - Apr 16-May 31"										
F	17	"Varying MDQ quantities as follows: 39196 dth - Oct 1-Nov 15, 45593 dth - Nov 16-Apr 15, 26403 dth - Jun 1-Sep 30, 39196 dth - Apr 16-May 31"										
F	18	"Varying MDQ quantities as follows: 18783 dth - Oct 1-Nov 15, 21730 dth - Nov 16-Apr 15, 12889 dth - Jun 1-Sep 30, 18783 dth - Apr 16-May 31"										
F	19	Original contract effective date: 04/01/1997										
F	20	"Varying MDQ quantities as follows: 75338 dth - Oct 1-Nov 15, 89316 dth - Nov 16-Apr 15, 47382 dth - Jun 1-Sep 30, 75338 dth - Apr 16-May 31"										
F	21	Original contract effective date: 12/01/1997										
F	22	"Varying MDQ quantities as follows: 44256 dth - Oct 1-Nov 15, 51632 dth - Nov 16-Apr 15, 29503 dth - Jun 1-Sep 30, 44256 dth - Apr 16-May 31"										
F	23	"Varying MDQ quantities as follows: 29795 dth - Oct 1-Nov 15, 35816 dth - Nov 16-Apr 15, 17750 dth - Jun 1-Sep 30, 29795 dth - Apr 16-May 31"										
F	24	Original contract effective date: 11/01/1998										
F	25	"Varying MDQ quantities as follows: 6681 dth - Oct 1-Nov 15, 7327 dth - Nov 16-Apr 15, 5388 dth - Jun 1-Sep 30, 6681 dth - Apr 16-May 31"										
F	26	Original contract effective date: 11/01/1999										
F	27	"Varying MDQ quantities as follows: 85442 dth - Oct 1-Nov 15, 95594 dth - Nov 16-Apr 15, 65139 dth - Jun 1-Sep 30, 85442 dth - Apr 16-May 31"										
F	28	Original contract effective date: 02/01/2000										
F	29	"Varying MDQ quantities as follows: 14380 dth - Oct 1-Nov 15, 16463 dth - Nov 16-Apr 15, 10216 dth - Jun 1-Sep 30, 14380 dth - Apr 16-May 31"										
F	30	Original contract effective date: 04/01/1998										
F	31	Original contract effective date: 11/01/2000										
F	32	"Varying MDQ quantities as follows: 0 dth - Oct 1-Oct 31, 20000 dth - Nov 1-Apr 30, 0 dth - May 1-Aug 31, 0 dth - Sep 1-Sep 30"										
F	33	"Varying MDQ quantities as follows: 0 dth - Sep 1-Nov 15, 35000 dth - Nov 16-Mar 15, 0 dth - Jun 1-Aug 31, 0 dth - Mar 16-May 31"										
F	34	"Varying MDQ quantities as follows: 38582 dth - Oct 1-Nov 15, 44699 dth - Nov 16-Apr 15, 26349 dth - Jun 1-Sep 30, 38582 dth - Apr 16-May 31"										
F	35	"Varying MDQ quantities as follows: 2668 dth - Oct 1-Nov 15, 4001 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 2668 dth - Apr 16-May 31"										
F	36	Original contract effective date: 04/01/2003										
F	37	Original contract effective date: 11/01/2004										
F	38	Original contract effective date: 11/01/2001										
F	39	Original contract effective date: 07/01/2009										
F	40	"Varying MDQ quantities as follows: 19939 dth - Oct 1-Nov 15, 29909 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 19939 dth - Apr 16-May 31"										
F	41	"Varying MDQ quantities as follows: 4177 dth - Oct 1-Nov 15, 6266 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 4177 dth - Apr 16-May 31"										
F	42	"Varying MDQ quantities as follows: 2820 dth - Oct 1-Nov 15, 4230 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 2820 dth - Apr 16-May 31"										
F	43	"Varying MDQ quantities as follows: 1253 dth - Oct 1-Nov 15, 1880 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 1253 dth - Apr 16-May 31"										
F	44	"Varying MDQ quantities as follows: 5693 dth - Oct 1-Nov 15, 8539 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 5693 dth - Apr 16-May 31"										
F	45	"Varying MDQ quantities as follows: 2037 dth - Oct 1-Nov 15, 3055 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 2037 dth - Apr 16-May 31"										
F	46	Original contract effective date: 10/01/2011										
F	47	Original contract effective date: 08/01/2016										
F	48	Original contract effective date: 11/24/2003										
F	49	"Varying MDQ quantities as follows: 389 dth - Oct 1-Nov 15, 583 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 389 dth - Apr 16-May 31"										
F	50	"Varying MDQ quantities as follows: 125 dth - Oct 1-Nov 15, 187 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 125 dth - Apr 16-May 31"										
F	51	Original contract effective date: 11/01/1990										
F	52	"Varying MDQ quantities as follows: 0 dth - Oct 1-Nov 15, 26129 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 0 dth - Apr 16-May 31"										
F	53	"Varying MDQ quantities as follows: 15808 dth - Oct 1-Nov 15, 23712 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 15808 dth - Apr 16-May 31"										
F	54	"Varying MDQ quantities as follows: 591 dth - Oct 1-Nov 15, 886 dth - Nov 16-Apr 15, 0 dth - Jun 1-Sep 30, 591 dth - Apr 16-May 31"										
F	55	Original contract effective date: 09/01/1994										
F	56	"Varying MDQ quantities as follows: 22114 dth - Oct 1-Nov 15, 23016 dth - Nov 16-Apr 15, 20310 dth - Jun 1-Sep 30, 22114 dth - Apr 16-May 31"										
F	57	"Varying MDQ quantities as follows: 30710 dth - Oct 1-Nov 15, 31963 dth - Nov 16-Apr 15, 28205 dth - Jun 1-Sep 30, 30710 dth - Apr 16-May 31"										
F	58	Original contract effective date: 03/01/1998										
F	59	"Varying MDQ quantities as follows: 5144 dth - Oct 1-Nov 15, 5470 dth - Nov 16-Apr 15, 4491 dth - Jun 1-Sep 30, 5144 dth - Apr 16-May 31"										
F	60	Original contract effective date: 11/01/1994										
F	61	Original contract effective date: 01/01/2009										
F	62	Original contract effective date: 12/01/2005										
F	63	Original contract effective date: 01/01/2005										
F	64	Original contract effective date: 11/01/1993										
F	65	Original contract effective date: 06/01/2010										
F	66	Original contract effective date: 12/01/2013										
F	67	Original contract effective date: 03/09/2011										
F	68	Original contract effective date: 04/01/2014										
