H	"ENABLE GAS TRANSMISSION, LLC"	C000544	4/2/2018	O	4/1/2018	T	T	P. Shupe        (346)701-2124				
D	LITTLE ROCK SCHOOL DISTRICT	40644007	N	FT	1010651	10/1/2015	3/31/2018	365	N	410	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	410	0					
P	MQ	LRSD SW MIDDLE ACCT	95	18320	NORTH POOLING AREA	29	0	YI3/YK3				
P	MQ	LRSD STEPHEN ELEM ACCT	95	18321	NORTH POOLING AREA	48	0	YI3/YK3				
P	MQ	LRSD METRO CAREER ACCT	95	18322	NORTH POOLING AREA	30	0	YI3/YK3				
P	MQ	LRSD JA FAIR HS ACCT	95	18323	NORTH POOLING AREA	36	0	YI3/YK3				
P	MQ	LRSD FOREST HTS MID ACC	95	18324	NORTH POOLING AREA	29	0	YI3/YK3				
P	MQ	LRSD BOOKER ELEM ACCT	95	18325	NORTH POOLING AREA	16	0	YI3/YK3				
P	MQ	LRSD PULSK HTS MID ACCT	95	18326	NORTH POOLING AREA	38	0	YI3/YK3				
P	MQ	LRSD PARKVIEW HS ACCT	95	18327	NORTH POOLING AREA	30	0	YI3/YK3				
P	MQ	LRSD ROB ELEM ACCT	95	18328	NORTH POOLING AREA	30	0	YI3/YK3				
P	MQ	LRSD HORACE MANN ACCT	95	18329	NORTH POOLING AREA	25	0	YI3/YK3				
P	MQ	LRSD MABLEVALE MID ACCT	95	18330	NORTH POOLING AREA	40	0	YI3/YK3				
P	MQ	LRSD MCCLELLAN HS ACCT	95	18333	NORTH POOLING AREA	31	0	YI3/YK3				
P	MQ	LRSD HEND MID ACCT	95	18334	NORTH POOLING AREA	28	0	YI3/YK3				
D	LITTLE ROCK UNION PLAZA LLC	968930870	N	FT	1009007	10/1/2011	3/31/2019		N	195	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	195	0					
P	MQ	LITTLE ROCK UNION PL AC	95	15055	NORTH POOLING AREA	195	0	YI3/YK3				
D	LM WIND POWER BLADES (ND) INC	968764048	N	FT	1008972	9/1/2011	3/31/2018	365	N	342	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	342	0					
P	MQ	LM WIND POWER BLADE ACC	95	15123	NORTH POOLING AREA	342	0	YI3/YK3				
D	LOCKHEED MARTIN CORPORATION	834951691	N	FT	1010456	3/1/2015	3/31/2019		N	55	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	55	0					
P	MQ	LOCKHEED 205 M3 ACCT	95	15855	SOUTH POOLING AREA	55	0	YI3/YK3				
D	LOCKHEED MARTIN CORPORATION	834951691	N	FT	1010457	3/1/2015	3/31/2019		N	85	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	85	0					
P	MQ	LOCKHEED 205 MP ACCT	95	15853	SOUTH POOLING AREA	85	0	YI3/YK3				
D	LOCKHEED MARTIN CORPORATION	834951691	N	FT	1010458	3/1/2015	3/31/2019		N	89	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	89	0					
P	MQ	LOCKHEED 203 ACCT	95	15852	SOUTH POOLING AREA	89	0	YI3/YK3				
D	LOMANCO INC	6247696	N	FT	1009845	7/1/2013	3/31/2016	365	N	34	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	34	0					
P	MQ	LOMANCO INC. ACCT	95	15565	NORTH POOLING AREA	34	0	YI3/YK3				
D	"LONE STAR SPECIALTIES, LLC"	6418685	N	FT	1006111	3/1/2008	2/29/2016	365	N	420	0	
A	"PRO ENERGY PARTNERS, LP"	N										
A	CIMA ENERGY LP	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	420	0					
P	MQ	LONE STAR SPECLTY ACC	95	13109	SOUTH POOLING AREA	420	0	YI3/YK3				
D	LOUISIANA RIVERBOAT GAMING PARTNERSHIP DBA DIAMONDJACKS CASINO AND RESORT	808558662	N	FT	1007314	9/1/2009	3/31/2012	365	N	137	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	137	0	YM2				
P	M2	WASKOM PLANT TAILGATE	95	805228	SOUTH POOLING AREA	137	0					
P	MQ	DIAMONDJACKS CASINO ACC	95	14499	SOUTH POOLING AREA	137	0	YI3/YK3				
D	LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER SHREVEPORT	110993615	N	FT	1007510	12/1/2009	3/31/2012	365	N	2000	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	2000	0					
P	MQ	LSU HTH SCIEN #1 ACC	95	14520	SOUTH POOLING AREA	1820	0	YI3/YK3				
P	MQ	LSU HTH SCIEN #2 ACC	95	14523	SOUTH POOLING AREA	180	0	YI3/YK3				
D	"LOVE'S TRAVEL STOPS & COUNTRY STORES, INC."	33040353	N	FT	1009514	10/1/2012	9/30/2013	365	N	50	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	38	0					
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	12	0					
P	MQ	LOVES ALTUS ACCT	95	15427	WEST POOLING AREA 1	12	0	YI3/YK3				
P	MQ	LOVES CHICKASHA ACCT	95	15428	WEST POOLING AREA 2	26	0	YI3/YK3				
P	MQ	LOVES LAWTON ACCT	95	15429	WEST POOLING AREA 2	12	0	YI3/YK3				
D	LYCUS LTD	194505517	N	FT	1009634	12/1/2012	3/31/2016	365	N	100	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	100	0					
P	MQ	LYCUS LTD ACCT	95	15480	SOUTH POOLING AREA	100	0	YI3/YK3				
D	LYON COLLEGE	71248355	N	FT	1008470	1/1/2011	3/31/2012	365	N	128	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	128	0					
P	MQ	LYON COLLEGE ACCT	95	14714	NORTH POOLING AREA	128	0	YI3/YK3				
D	LYON COLLEGE	71248355	N	FT	1009077	12/1/2011	3/31/2019		N	40	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	40	0					
P	MQ	LYON COLLEGE DERBY ACCT	95	15166	NORTH POOLING AREA	40	0	YI3/YK3				
D	LYON COLLEGE	71248355	N	FT	1010560	7/1/2015	3/31/2019		N	19	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	19	0					
P	MQ	LYON COLLEGE GYM ACCT	95	15934	NORTH POOLING AREA	19	0	YI3/YK3				
D	MACK ALFORD CORRECTIONAL CENTER	96448246	N	FT	1008716	4/1/2011	3/31/2019		N	270	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	270	0					
P	MQ	MACK ALFORD CORR ACCT	95	11409	WEST POOLING AREA 2	270	0	YI3/YK3				
D	MAGNOLIA REGIONAL MEDICAL CENTER	102571502	N	FT	1008201	9/1/2010	3/31/2012	365	N	83	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	83	0					
P	MQ	MAGNOLIA REG MED CT ACC	95	14843	SOUTH POOLING AREA	83	0	YI3/YK3				
D	MAGNOLIA SCHOOL DISTRICT	20600508	N	FT	1009635	12/1/2012	3/31/2016	365	N	62	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	62	0					
P	MQ	MAGNOLIA SCHOOL ACCT	95	15438	SOUTH POOLING AREA	62	0	YI3/YK3				
D	MAHLE ENGINE COMPONENTS USA INC	630022267	N	FT	1005612	5/1/2007	3/31/2008	365	N	285	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	285	0					
P	MQ	MAHLE ENGINE ACCT	95	12839	NORTH POOLING AREA	285	0	YI3/YK3				
D	MANGUM BRICK COMPANY	7191760	N	FT	1001026	9/1/1993	8/31/2004	365	N	240	0	
A	CLEARWATER ENTERPRISES LLC	N										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	240	0					
P	MQ	MANGUM BRICK COMPANY	95	11728	WEST POOLING AREA 1	240	0					
D	MARTIN OPERATING PARTNERSHIP LP	829943989	N	FT	1010072	1/1/2014	12/31/2014	365	N	3950	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	3950	0					
P	MQ	MARTIN OPER REFINERY	95	801672	SOUTH POOLING AREA	3950	0					
D	"MARTIN SPROCKET & GEAR, INC."	44063576	N	FT	1009292	5/1/2012	4/30/2013	365	N	89	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	89	0					
P	MQ	MARTIN SPROCKET ACCT #1	95	15279	NORTH POOLING AREA	50	0	YI3/YK3				
P	MQ	MARTIN SPROCKET ACCT #2	95	15307	NORTH POOLING AREA	39	0	YI3/YK3				
D	MATTHEWS INTERNATIONAL CORPORATION	4341533	N	FT	1008279	10/1/2010	3/31/2015	365	N	115	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	115	0					
P	MQ	MATTHEWS INTL CORP ACCT	95	14893	NORTH POOLING AREA	115	0	YI3/YK3				
D	MAVERICK TRANSPORTATION LLC	99923310	N	FT	1009335	5/1/2012	4/30/2019		N	31	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	31	0					
P	MQ	MAVERICK TRANSP ACCT	95	15275	NORTH POOLING AREA	31	0	YI3/YK3				
D	MCALESTER ARMY AMMUNITION PLANT	20716163	N	FT	1009769	5/1/2013	4/30/2018		N	1000	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	1000	0					
P	MQ	MCALESTER ARMY-ACCT	95	11491	NEUTRAL POOLING AREA	1000	0	YI3/YK3				
D	MCALESTER REGIONAL HOSPITAL	94769726	N	FT	1001186	11/1/1993	12/31/1997	365	N	200	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	200	0					
P	MQ	MCALESTER REG HOSP ACCT	95	11402	NEUTRAL POOLING AREA	200	0	YI3/YK3				
D	"MCFARLAND CASCADE HOLDING, INC"	884360000	N	FT	1010875	6/1/2016	8/31/2017	365	N	100	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	100	0					
P	MQ	MCFARLAND CASCADE ACCT	95	13633	SOUTH POOLING AREA	100	0	YI3/YK3				
D	MCGOWEN WORKING PARTNERS INC	807391826	N	FT	1009119	1/1/2012	12/31/2018		N	69	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	69	0					
P	MQ	MCGOWAN WORKING PAR ACC	95	15191	SOUTH POOLING AREA	69	0	YI3/YK3				
D	MCMAHON TOMLINSON NURSING CENTER	74272337	N	FT	1008281	10/1/2010	3/31/2012	365	N	35	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	35	0					
P	MQ	MCMAHAN-TOMSLIN NUR ACC	95	14883	WEST POOLING AREA 2	35	0	YI3/YK3				
D	"MCSA, LLC DBA MEDICAL CENTER OF SOUTH ARKANSAS"	69749679	N	FT	1001168	11/1/1993	12/31/2016	365	N	155	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	155	0					
P	MQ	MED CTR S AR-GROVE ACCT	95	11433	SOUTH POOLING AREA	155	0	YI3/YK3				
D	MEDCATH OF LITTLE ROCK LLC D/B/A ARKANSAS HEART HOSPITAL	948180914	N	FT	1004344	4/1/2005	3/31/2008	365	N	89	0	
A	TME ENERGY SERVICES	N										
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	89	0					
P	MQ	"MEDCATH OF LR, AR ACCT"	95	13408	NORTH POOLING AREA	89	0	YI3/YK3				
D	MENA HOSPITAL COMMISSION DBA MENA REGIONAL HEALTH SYSTEM	98566318	N	FT	1008895	7/1/2011	5/31/2019		N	65	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	65	0					
P	MQ	MENA HOSPITAL COMM ACCT	95	15088	SOUTH POOLING AREA	65	0	YI3/YK3				
D	MERCY HOSPITAL ADA INC	74262536	N	FT	1004334	4/1/2005	3/31/2006	365	N	182	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	182	0					
P	MQ	VALLEY VIEW HOSP ACCT	95	13406	WEST POOLING AREA 2	182	0	YI3/YK3				
D	MID AMERICA PET FOOD LLC	178485616	N	FT	1008211	9/1/2010	9/30/2011	365	N	160	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	160	0					
P	MQ	MID AMERICA PET FOOD AC	95	12741	SOUTH POOLING AREA	160	0	YI3/YK3				
D	MID-STATES WOOD PRESERVERS LLC	97560295	N	FT	1007367	10/1/2009	3/31/2012	365	N	170	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	170	0					
P	MQ	MID-STATES WOOD ACCT	95	13448	SOUTH POOLING AREA	170	0	YI3/YK3				
D	MIDWESTERN PET FOODS INC	68305481	N	FT	1007818	5/1/2010	3/31/2012	365	N	107	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	107	0					
P	MQ	MIDWESTERN PET FOODS AC	95	14708	WEST POOLING AREA 2	107	0	YI3/YK3				
D	MIL PROPERTIES LLC	34627684	N	FT	1009608	11/1/2012	3/31/2016	365	N	55	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	55	0					
P	MQ	MIL PROPERTIES ACCT	95	15472	SOUTH POOLING AREA	55	0	YI3/YK3				
D	MILBANK MANUFACTURING CO DBA HIGH CAPACITY PRODUCTS CO	7126378	N	FT	1009339	5/1/2012	9/30/2018		N	33	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	33	0					
P	MQ	MILBANK MFG ACCT	95	15272	SOUTH POOLING AREA	33	0	YI3/YK3				
D	MJB PRECISION WOOD ARKANSAS LLC	860840007	N	FT	1011125	7/1/2017	3/31/2018	365	N	70	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	70	0					
P	MQ	MJB PRECISION WOOD ACC	95	15050	SOUTH POOLING AREA	70	0	YI3/YK3				
D	MOLEX INCORPORATED	5246673	N	FT	1008432	12/1/2010	3/31/2012	365	N	119	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	119	0					
P	MQ	MOLEX INC ACCT	95	14587	NORTH POOLING AREA	119	0	YI3/YK3				
D	MONDI BAGS USA LLC	79503347	N	FT	1009308	6/1/2012	4/30/2013	365	N	39	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	39	0					
P	MQ	MONDI BAGS USA ACC	95	15290	NORTH POOLING AREA	39	0	YI3/YK3				
D	"MONDI PINE BLUFF, LLC"	80138201	N	FT	1011216	12/1/2017	12/31/2018		N	3500	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	3500	0					
P	MQ	MONDI BAGS PB	95	801544	NORTH POOLING AREA	3500	0					
D	MOORES RETREAD AND TIRE OF ARK LA TEX INC	54071071	N	FT	1009528	9/1/2012	3/31/2016	365	N	18	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	18	0					
P	MQ	MOORES RETREAD ACCT	95	15439	SOUTH POOLING AREA	18	0	YI3/YK3				
D	MORRILTON PACKING COMPANY INC	35585546	N	FT	1007262	8/1/2009	3/31/2016	365	N	70	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	70	0					
P	MQ	MORRILTON PACKING ACCT	95	14448	NORTH POOLING AREA	70	0	YI3/YK3				
D	MOUNTAIN COUNTRY FOODS INC	106882020	N	FT	1004333	4/1/2005	12/31/2013	365	N	116	0	
A	CLEARWATER ENTERPRISES LLC	N										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	116	0					
P	MQ	MOUNTAIN COUNTRY ACCT	95	13407	WEST POOLING AREA 1	116	0	YI3/YK3				
D	MUELLER COPPER TUBE PRODUCTS INC	4335519	N	FT	1001206	11/1/1993	10/31/2012	365	N	600	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	600	0					
P	MQ	MUELLER COPPER_ACCT	95	11467	NORTH POOLING AREA	600	0	YI3/YK3				
D	NATIONAL PARK MEDICAL CENTER	877245639	N	FT	1002737	12/1/2000	3/31/2002	365	N	141	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	141	0					
P	MQ	NATL PARK MED CTR_ACCT	95	12718	NORTH POOLING AREA	141	0	YI3/YK3				
D	NAVITAS UTILITY CORPORATION	801010385	N	FT	1006711	11/1/2008	3/31/2012	365	N	178	0	
A	CLEARWATER ENTERPRISES LLC	N										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	178	0					
P	MQ	RIMROCK SYSTEM	95	730961	WEST POOLING AREA 1	178	0					
D	NAVITAS UTILITY CORPORATION	801010385	N	FT	1011079	9/1/2017	8/31/2022		Y	350	0	
A	PETROL ENERGY LLC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	350	0					
P	MQ	NAVITAS TEXAMERICAS CDP	95	42137	SOUTH POOLING AREA	350	0					
D	"NESTLE HEALTH SCIENCE-PAMLAB, INC"	79115380	N	FT	1010467	4/1/2015	3/31/2016	365	N	18	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	18	0					
P	MQ	NESTLE HLTH SCIENCE ACC	95	15433	SOUTH POOLING AREA	18	0	YI3/YK3				
D	NESTLE USA INC	160029096	N	FT	1003484	4/1/2003	5/31/2012	365	N	500	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	500	0					
P	MQ	NESTLE USA - ACCT	95	13200	NORTH POOLING AREA	500	0	YI3/YK3				
D	NEWFIELD EXPLORATION MID-CONTINENT INC.	20802802	N	FT	1011019	3/1/2018	9/30/2028		Y	45000	0	
A	TENASKA MARKETING VENTURES	N										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	45000	0	YM2				
P	M2	MARKWEST BUFFALO CRK PL	95	730040	WEST POOLING AREA 1	15000	0					
P	M2	MARKWEST ARAPAHO PLANT	95	810010	WEST POOLING AREA 1	30000	0					
P	MQ	TGT PV CORE DEL	95	801532	SOUTH POOLING AREA	45000	0					
D	NEWLY WEDS FOODS INC.	5143987	N	FT	1005401	3/1/2007	2/29/2008	365	N	270	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	270	0	YM2				
P	M2	TET @ JEFFERSON RECEIPT	95	2094	SOUTH POOLING AREA	270	0					
P	MQ	NEWLY WEDS FOODS  ACCT	95	13552	SOUTH POOLING AREA	270	0	YI3/YK3				
D	NIDEC MOTOR CORPORATION	965004240	N	FT	1008570	1/1/2011	3/31/2012	365	N	125	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	125	0					
P	MQ	NIDEC MOTOR CORP-ACCT	95	13830	SOUTH POOLING AREA	125	0	YI3/YK3				
D	NIDEC MOTOR CORPORATION	965004240	N	FT	1008571	1/1/2011	2/28/2018	365	N	1300	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	1300	0					
P	MQ	NIDEC MOTOR CORP-ACCT	95	12415	NORTH POOLING AREA	1300	0	YI3/YK3				
D	NORAC INC	8352957	N	FT	1007407	11/1/2009	3/31/2012	365	N	106	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	106	0					
P	MQ	NORAC INC ACCT	95	14585	NORTH POOLING AREA	106	0	YI3/YK3				
D	NORTH LITTLE ROCK SCHOOL DISTRICT	621029693	N	FT	1010664	10/1/2015	3/31/2018	365	N	83	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	83	0					
P	MQ	NLR SCHOOL DIST ACCT	95	18331	NORTH POOLING AREA	83	0	YI3/YK3				
D	NOVUS ARKANSAS LLC	626521264	N	FT	1005155	9/1/2006	4/30/2013	365	N	510	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	510	0					
P	MQ	NOVUS ARKANSAS ACCT	95	13521	NORTH POOLING AREA	510	0	YI3/YK3				
D	NU-WAY CLEANERS & LAUNDRY INC	35436997	N	FT	1007231	7/1/2009	3/31/2012	365	N	37	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	37	0					
P	MQ	NU-WAY CLEANERS ACCT	95	14443	NORTH POOLING AREA	37	0	YI3/YK3				
D	NUCOR CORPORATION	3446796	N	FT	1001343	11/1/1993	7/31/2013	365	N	25500	0	
A	MOBIUS RISK GROUP	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	17000	0	YM2				
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	8500	0	YM2				
P	M2	BP ENERGY RED OAK IC	95	803784	NEUTRAL POOLING AREA	17000	0					
P	MQ	NUCOR-YAMATO STEEL	95	801555	NORTH POOLING AREA	17000	0					
P	MQ	NUCOR STEEL PLT RUN 1	95	803410	NORTH POOLING AREA	8500	0					
D	OKLAHOMA CUSTOM COATING LLC	926846510	N	FT	1008297	10/1/2010	3/31/2012	365	N	22	0	
A	"PRO ENERGY PARTNERS, LP"	N										
A	CIMA ENERGY LP	N										
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	22	0					
P	MQ	OK CUSTOM COATING ACCT	95	14839	WEST POOLING AREA 2	22	0	YI3/YK3				
D	OKLAHOMA DEPARTMENT OF CORRECTIONS	835551037	N	FT	1010920	9/1/2016	3/31/2017	365	N	133	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	133	0					
P	MQ	CCA NORTH FOLK ACCT	95	14468	WEST POOLING AREA 1	133	0	YI3/YK3				
D	"OKLAHOMA NATURAL GAS COMPANY, A DIVISION OF ONE GAS INC"	79254828	N	FT	1010627	11/1/2015	10/31/2018		N	975	0	
P	M2	WEST 2 POINTS AND POOLS			WEST POOLING AREA 2	975	0	YM2				
P	M2	DEVON NORTHRIDGE IC_-	95	2198	WEST POOLING AREA 2	975	0					
P	MQ	ONG @ WALTERS OK IC	95	10656	WEST POOLING AREA 2	975	0					
D	OKLAHOMA STATE PENITENTIARY	74276643	N	FT	1008711	4/1/2011	3/31/2019		N	452	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	452	0					
P	MQ	OKLA STATE PEN ACCT	95	11410	NEUTRAL POOLING AREA	452	0	YI3/YK3				
D	OKLAHOMA STATE REFORMATORY	70841218	N	FT	1008714	4/1/2011	3/31/2019		N	313	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	WEST 1 POINTS AND POOLS			WEST POOLING AREA 1	313	0					
P	MQ	OKLA STATE REFORM ACCT	95	11411	WEST POOLING AREA 1	313	0	YI3/YK3				
D	OMNI SPECIALTY PACKAGING INC	132768701	N	FT	1007406	11/1/2009	3/31/2012	365	N	120	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	120	0					
P	MQ	OMNI SPECIALTY PACK ACC	95	14586	SOUTH POOLING AREA	120	0	YI3/YK3				
D	"ORG CHEM GROUP, LLC"	418513	N	FT	1006557	9/1/2008	3/31/2014	365	N	185	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	NEUTRAL POINTS AND POOLS			NEUTRAL POOLING AREA	185	0					
P	MQ	ORG CHEM GROUP ACC	95	13880	NORTH POOLING AREA	185	0	YI3/YK3				
D	OUACHITA BAPTIST UNIVERSITY	75641944	N	FT	1007417	11/1/2009	3/31/2012	365	N	500	0	
A	CONSTELLATION NEWENERGY - GAS DIVISION LLC	N										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	500	0					
P	MQ	OUACHITA BAPTIST UNI AC	95	14579	SOUTH POOLING AREA	500	0	YI3/YK3				
D	OUACHITA COUNTY MEDICAL CENTER	75636787	N	FT	1008501	1/1/2011	3/31/2012	365	N	150	0	
A	"BERNHARD TME, LLC"	N										
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	SOUTH POINTS AND POOLS			SOUTH POOLING AREA	150	0					
P	MQ	OUACHITA CTY MED - ACCT	95	13231	SOUTH POOLING AREA	150	0	YI3/YK3				
D	OUTPATIENT SURGERY CENTER OF JONESBORO LLC	132081758	N	FT	1009173	2/1/2012	1/31/2019		N	26	0	
A	"CENTERPOINT ENERGY SERVICES, INC"	Y										
P	M2	NORTH POINTS AND POOLS			NORTH POOLING AREA	26	0					
