H	"COLORADO INTERSTATE GAS COMPANY, L.L.C."	C000981	4/2/2018	O	4/1/2018	T	T	Sherry Saunders 719-520-3711				
D	RATON GAS TRANSMISSION CO	965769383	N	TF-1	33415000-TF1CIG	6/1/2003	4/30/2021		N	2946	0	n1
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	523	0					
P	M2	CIMRIVER/CIG (SIN) SINGING GRASS CH	95	800683	CIG MAINLINE	533	0					
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	17	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	577	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	552	0					
P	M2	LOST CRK/CIG (LCK) LOST CREEK CIG S	95	292036	CIG MAINLINE	87	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	153	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	224	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	230	0					
P	MQ	RATONGAS/CIG (RTN) RATON STATION LA	95	891100	CIG MAINLINE	2946	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	50	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	TF-1	33515000-TF1CIG	10/1/2006	9/30/2018		N	12000	0	n1
P	MQ	TPC/CIG (TOM) TOMAHAWK WELD	95	291661	CIG MAINLINE	12000	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	12000	0					
D	SINCLAIR OIL CORPORATION	785017604	N	TF-1	33244000-TF1CIG	2/1/2000	4/30/2021		N	6190	0	n1
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	2500	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	3500	0					
P	M2	GMT/CIG (ERS) EAST ROCK SPRINGS SWE	95	800234	CIG MAINLINE	190	0					
P	MQ	SINCLAIR/CIG (RAW) RAWLINS/SINCLAIR	95	891126	CIG MAINLINE	6190	0					
D	SMITH ENERGY LLC	81089603	N	TF-1	33147000-TF1CIG	7/1/1997	2/28/2021		Y	2500	0	n1
A	BLACK HILLS ENERGY SERVICES COMPANY	N										
A	CENTERPOINT ENERGY SERVICES	N										
P	M2	HIPLGATH/CIG (NIO) NIOBRARA TOTAL R	95	965742	CIG MAINLINE	2500	0					
P	MQ	NNG/CIG (DUM) DUMAS STATION MOORE	95	891129	CIG MAINLINE	2500	0					
D	"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC"	828257431	N	TF-1	33645000-TF1CIG	11/1/2011	10/31/2018		N	100	0	n1
A	ROCKIES EXPRESS PIPELINE LLC	N										
P	MQ	TALLGRAS/CIG (VIT) VALLERY IRRIGATI	95	892275	CIG MAINLINE	100	0					
P	M2	TALLGRAS/CIG (WEL) WELD COUNTY KN W	95	800769	CIG MAINLINE	100	0					
D	TATA CHEMICALS (SODA ASH) PARTNERS	806841300	N	TF-1	33592000-TF1CIG	2/1/2008	3/31/2020		N	16500	0	n1
A	"KINECT ENERGY, INC."	N										
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	8600	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	7900	0					
P	MQ	TATACHEM/CIG (ALP) ALKALI POND SWEE	95	891907	CIG MAINLINE	16500	0					
D	TENASKA MARKETING VENTURES	624240628	N	TF-1	213175-TF1CIG	6/1/2017	3/31/2020		N	65000	0	n1
P	MQ	ANR/CIG (BEA) BEAVER BEAVER	95	800078	CIG MAINLINE	12500	0					
P	M2	ARPPROD/CIG (RTC) RITA CANYON LAS A	95	592027	CIG MAINLINE	65000	0					
P	MQ	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	32500	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	15000	0					
P	MQ	NNG/CIG (DUM) DUMAS STATION MOORE	95	891129	CIG MAINLINE	5000	0					
D	TOWN OF WALDEN	182226456	N	TF-1	33170000-TF1CIG	11/1/1997	3/31/2021		N	550	0	n1
A	NATIONAL PUBLIC GAS AGENCY	N										
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	50	0					
P	MQ	TWNWALD/CIG (WLD) WALDEN ALBANY	95	891874	CIG MAINLINE	550	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	500	0					
D	"TRI-STATE GENERATION AND TRANSMISSION ASSOCIATION, INC."	960572006	N	TF-1	33644000-TF1CIG	6/1/2011	6/30/2019		N	10000	0	n1
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	2000	0					
P	MQ	PEPL/CIG (LAP) LAKIN PEPL PROCESSED	95	800361	CIG MAINLINE	10000	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	8000	0					
D	"UNITED ENERGY TRADING, LLC"	119162860	N	TF-1	33283006-TF1CIG	3/1/2003	10/31/2039		N	1154	0	n1
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	100	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	1154	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	100	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	954	0					
D	"UNITED ENERGY TRADING, LLC"	119162860	N	TF-1	33630000-TF1CIG	12/1/2010	11/30/2031		N	3000	0	n1
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	200	0					
P	MQ	NGPL/CIG (FOR) FORGAN BEAVER	95	891044	CIG MAINLINE	3000	0					
P	M2	WBI/CIG (ELK) ELK BASIN PARK	95	800229	CIG MAINLINE	2600	0					
P	M2	WFS/CIG (KIN) KING METER STATION LI	95	291665	CIG MAINLINE	200	0					
D	"UNITED ENERGY TRADING, LLC"	119162860	N	TF-1	213828-TF1CIG	1/1/2018	3/31/2020		N	10207	0	n1
P	M2	DISC DJ/CIG PRAIRIE WOLF RECEIPT WE	95	49051	CIG MAINLINE	10207	0					
P	MQ	KERN/CIG (MUD) MUDDY CREEK LINCOLN	95	891735	CIG MAINLINE	10207	0					
D	"UNITED ENERGY TRADING, LLC"	119162860	N	TF-1	214217-TF1CIG	4/1/2018	10/31/2018		N	8793	0	n1
P	MQ	KERN/CIG (MUD) MUDDY CREEK LINCOLN	95	891735	CIG MAINLINE	8793	0					
P	M2	WIC/CIG (DOV) DOVER METER STATION W	95	800212	CIG MAINLINE	8793	0					
D	WESTPAN RESOURCES LP	126674469	N	TF-1	33361000-TF1CIG	3/1/2003	2/28/2005	31	N	6500	0	
P	M2	PNR USA/CIG (BIC) BIG CANYON POTTER	95	800088	CIG MAINLINE	6500	0					
P	MQ	PNR USA/CIG (PFF) PANHANDLE FIELD F	95	892084	CIG MAINLINE	6500	0					
D	"WYOMING GAS COMPANY, A DIVISION OF NATURAL GAS PROCESSING CO"	8962359	N	TF-1	33065000-TF1CIG	8/1/1995	7/31/2022		N	1300	0	n1
A	"UNITED ENERGY TRADING, LLC"	N										
P	M2	WGRASSET/CIG (WAT) WATKINS ADAMS	95	800759	CIG MAINLINE	1300	0					
P	MQ	WYGAS/CIG (BUR) BURLINGTON BIG HORN	95	891926	CIG MAINLINE	100	0					
P	MQ	WYGAS/CIG (GBC) GOOSEBERRY CREEK WA	95	891892	CIG MAINLINE	1200	0					
D	"COLORADO NATURAL GAS, INC."	31675325	N	TF-4	38006000-TF4CIG	10/1/2001	4/30/2021		N	1197	0	n1
A	"KTM, INC."	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	215	0					
P	MQ	CONATGAS/CIG (NDT) NORTH DEERTRAIL	95	800489	CIG MAINLINE	1197	0					
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	7	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	266	0					
P	M2	ETC FS/CIG (LAM) LAKIN MASTER METER	95	800359	CIG MAINLINE	212	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	189	0					
P	M2	LOST CRK/CIG (LCK) LOST CREEK CIG S	95	292036	CIG MAINLINE	36	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	64	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	92	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	95	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	21	0					
D	FORT MORGAN CITY OF	175503770	N	TF-4	38007000-TF4CIG	10/1/2001	4/30/2022		N	2607	0	n1
A	NATIONAL PUBLIC GAS AGENCY	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	466	0					
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	15	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	505	0					
P	M2	ETC FS/CIG (LAM) LAKIN MASTER METER	95	800359	CIG MAINLINE	474	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	483	0					
P	MQ	FORT MOR/CIG (FTM) CITY OF FORT MOR	95	800262	CIG MAINLINE	2607	0					
P	M2	LOST CRK/CIG (LCK) LOST CREEK CIG S	95	292036	CIG MAINLINE	77	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	137	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	199	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	206	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	45	0					
D	KEYES TOWN OF	54588793	N	TF-4	38008000-TF4CIG	10/1/2001	4/30/2022		N	118	0	n1
A	NATIONAL PUBLIC GAS AGENCY	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	26	0					
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	1	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	30	0					
P	M2	ETC FS/CIG (LAM) LAKIN MASTER METER	95	800359	CIG MAINLINE	22	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	14	0					
P	MQ	KEYES/CIG (KST) TOWN OF KEYES CIMAR	95	891036	CIG MAINLINE	118	0					
P	M2	LOST CRK/CIG (LCK) LOST CREEK CIG S	95	292036	CIG MAINLINE	3	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	6	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	3	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	11	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	2	0					
D	TRINIDAD CITY OF	76452556	N	TF-4	38009000-TF4CIG	10/1/2001	4/30/2020		N	4131	0	n1
A	NATIONAL PUBLIC GAS AGENCY	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	350	0					
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	10	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	1113	0					
P	M2	ETC FS/CIG (LAM) LAKIN MASTER METER	95	800359	CIG MAINLINE	550	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	1718	0					
P	M2	LOST CRK/CIG (LCK) LOST CREEK CIG S	95	292036	CIG MAINLINE	51	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	90	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	86	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	134	0					
P	MQ	TRINIDAD/CIG (TRI) TRINIDAD LAS ANI	95	800727	CIG MAINLINE	4131	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	29	0					
D	WALSENBURG CITY OF	67308080	N	TF-4	38010000-TF4CIG	10/1/2001	4/30/2022		N	1077	0	n1
A	NATIONAL PUBLIC GAS AGENCY	N										
P	M2	CHIPPROC/CIG (ANA) ANABUTTES RECEIP	95	892265	CIG MAINLINE	116	0					
P	M2	DCP OPER/CIG (MEW) MEWBOURN WELD	95	800421	CIG MAINLINE	4	0					
P	M2	EPNG/CIG (BIG) BIG BLUE MOORE	95	800089	CIG MAINLINE	292	0					
P	M2	ETC FS/CIG (LAM) LAKIN MASTER METER	95	800359	CIG MAINLINE	139	0					
P	M2	ETC FS/CIG (MOC) MOCANE BEAVER	95	895002	CIG MAINLINE	395	0					
P	M2	LOST CRK/CIG (LCK) LOST CREEK CIG S	95	292036	CIG MAINLINE	17	0					
P	M2	MGR/CIG (LOS) LOST CABIN FREMONT	95	895009	CIG MAINLINE	30	0					
P	M2	MGR/CIG (PAT) PATRICK DRAW PLANT SW	95	894180	CIG MAINLINE	29	0					
P	M2	MGR/CIG (TAB) TABLE ROCK MASTER MET	95	895008	CIG MAINLINE	45	0					
P	MQ	WALSEN/CIG (WSB) WALSENBURG LAS ANI	95	891104	CIG MAINLINE	1077	0					
P	M2	WAMSUTT/CIG (ES2) ECHO SPRINGS CARB	95	800235	CIG MAINLINE	10	0					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	TF-HP	33666000-TFHPCIG	5/1/2014	4/30/2024		N	400000	0	n1
P	M2	KERRMCGE/CIG (LAN) LANCASTER METER	95	800360	CIG HIGH PLAINS	400000	0					
P	MQ	WIC/CIG (FLY) FLYING HAWK WELD	95	800245	CIG HIGH PLAINS	400000	0					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	TF-HP	211220-TFHPCIG	10/1/2015	10/31/2019		N	50000	0	n1
P	M2	KERRMCGE/CIG (LAN) LANCASTER METER	95	800360	CIG HIGH PLAINS	50000	0					
P	MQ	WIC/CIG (FLY) FLYING HAWK WELD	95	800245	CIG HIGH PLAINS	50000	0					
D	BP ENERGY COMPANY	625275755	N	TF-HP	213486-TFHPCIG	11/1/2017	10/31/2018		N	7000	0	n1
P	M2	DCP OPER/CIG (LAS) LASALLE METER ST	95	800364	CIG HIGH PLAINS	3500	0					
P	M2	DCP OPER/CIG LUCERNE RECEIPT WELD	95	47999	CIG HIGH PLAINS	3500	0					
P	MQ	PSCC/CIG (TTN) TRI-TOWN WELD	95	800730	CIG HIGH PLAINS	7000	0					
D	"DCP MIDSTREAM MARKETING, LLC"	874926801	N	TF-HP	33674000-TFHPCIG	11/1/2013	10/31/2023		N	56000	0	n1
P	M2	DCP OPER/CIG (LAS) LASALLE METER ST	95	800364	CIG HIGH PLAINS	56000	0					
P	MQ	WIC/CIG (FLY) FLYING HAWK WELD	95	800245	CIG HIGH PLAINS	56000	0					
D	"DCP MIDSTREAM MARKETING, LLC"	874926801	N	TF-HP	33761000-TFHPCIG	4/1/2015	5/31/2025		Y	150000	0	n1
P	M2	DCP OPER/CIG LUCERNE RECEIPT WELD	95	47999	CIG HIGH PLAINS	150000	0					
P	MQ	WIC/CIG (FLY) FLYING HAWK WELD	95	800245	CIG HIGH PLAINS	150000	0					
D	HEARTLAND BIOGAS LLC	79285810	N	TF-HP	213161-TFHPCIG	6/1/2017	7/31/2019		N	4700	0	n1
P	M2	HRTLAND/CIG (HRT) HEARTLAND BI-DIRE	95	801489	CIG HIGH PLAINS	4700	0					
P	MQ	WIC/CIG (FLY) FLYING HAWK WELD	95	800245	CIG HIGH PLAINS	4700	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-HP	33577000-TFHPCIG	12/1/2008	4/30/2029		N	382629	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	MQ	PSCC/CIG (DER) DERBY LAKE DELIVERY	95	896091	CIG HIGH PLAINS	353479	0					
P	MQ	PSCC/CIG (TTN) TRI-TOWN WELD	95	800730	CIG HIGH PLAINS	29150	0					
P	M2	WIC/CIG (FLY) FLYING HAWK WELD	95	800245	CIG HIGH PLAINS	382629	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TF-HP	33589000-TFHPCIG	12/1/2008	4/30/2029		N	100000	0	n1
A	XCEL ENERGY SERVICES INC.	N										
P	MQ	PSCC/CIG (BAN) BANNER LAKE DELIVERY	95	896087	CIG HIGH PLAINS	26000	0					
P	MQ	PSCC/CIG (DER) DERBY LAKE DELIVERY	95	896091	CIG HIGH PLAINS	10000	0					
P	MQ	PSCC/CIG (PCK) PORCUPINE CREEK DELI	95	896094	CIG HIGH PLAINS	16500	0					
P	MQ	PSCC/CIG (RMP) RED MAPLE DELIVERY A	95	896095	CIG HIGH PLAINS	4000	0					
P	MQ	PSCC/CIG (TTN) TRI-TOWN WELD	95	800730	CIG HIGH PLAINS	43500	0					
P	M2	WIC/CIG (FLY) FLYING HAWK WELD	95	800245	CIG HIGH PLAINS	100000	0					
D	TENASKA MARKETING VENTURES	624240628	N	TF-HP	213353-TFHPCIG	11/1/2017	10/31/2018		N	10000	0	n1
P	M2	DCP OPER/CIG LUCERNE RECEIPT WELD	95	47999	CIG HIGH PLAINS	7700	0					
P	M2	KERRMCGE/CIG (LAN) LANCASTER METER	95	800360	CIG HIGH PLAINS	2300	0					
P	MQ	PSCC/CIG (TTN) TRI-TOWN WELD	95	800730	CIG HIGH PLAINS	7700	0					
P	MQ	WIC/CIG (FLY) FLYING HAWK WELD	95	800245	CIG HIGH PLAINS	2300	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TSB-T	19802000-TSBTCIG	11/1/2009	4/30/2029		N	214800	7518000	n1
A	XCEL ENERGY SERVICES INC.	N										
P	WR	PSCC/CIG (BAN) BANNER LAKE DELIVERY	95	896087	CIG HIGH PLAINS	79798	0					
P	WR	PSCC/CIG (DER) DERBY LAKE DELIVERY	95	896091	CIG HIGH PLAINS	10740	0					
P	WR	PSCC/CIG (FLD) FULTON DITCH METER S	95	801487	CIG HIGH PLAINS	69810	0					
P	WR	PSCC/CIG (PCK) PORCUPINE CREEK DELI	95	896094	CIG HIGH PLAINS	12566	0					
P	WR	PSCC/CIG (RMP) RED MAPLE DELIVERY A	95	896095	CIG HIGH PLAINS	4296	0					
P	WR	PSCC/CIG (TTN) TRI-TOWN WELD	95	800730	CIG HIGH PLAINS	37590	0					
D	PUBLIC SERVICE COMPANY OF COLORADO	6915953	N	TSB-Y	18001000-TSBYCIG	12/1/2008	5/31/2025		N	197480	5726937	n1
A	XCEL ENERGY SERVICES INC.	N										
P	WR	PSCC/CIG (BAN) BANNER LAKE DELIVERY	95	896087	CIG HIGH PLAINS	10319	0					
P	WR	PSCC/CIG (DER) DERBY LAKE DELIVERY	95	896091	CIG HIGH PLAINS	139848	0					
P	WR	PSCC/CIG (PCK) PORCUPINE CREEK DELI	95	896094	CIG HIGH PLAINS	8099	0					
P	WR	PSCC/CIG (RMP) RED MAPLE DELIVERY A	95	896095	CIG HIGH PLAINS	8256	0					
P	WR	PSCC/CIG (TTN) TRI-TOWN WELD	95	800730	CIG HIGH PLAINS	30958	0					
F	1	"The Contract Primary Term Expiration Date has not passed. Contract may or may not continue under an ""evergreen"" or ""rollover"" provision."										
F	2	This contract is a result of a permanent release from XTO Energy 33526000-TF1CIG effective 3/1/18.										
F	3	This contract is a result of a permanent release from XTO Energy 33618000-TF1CIG effective 3/1/18.										
