H	"Columbia Gas Transmission, LLC"	C000306          	4/2/2018	O	4/1/2018	T	T	Kay Dennison (832)320-5336	 			
D	"Interstate Gas Supply, Inc."	626058655	N       	FTS     	150617	3/1/2014	10/31/2024	 	N	3347		 
P	M2	Fairfield - REX	95	740178	TCO     	3347			 	 	 	 
P	MQ	BALTIMORE GAS & ELEC	95	4	TCO     	3003			 	 	 	 
P	MQ	WASHINGTON GAS-30   	95	78-30	TCO     	344			 	 	 	 
D	"Interstate Gas Supply, Inc."	626058655	N       	FTS     	160403	4/1/2015	3/31/2019	 	N	1250		 
P	M2	INTERSTATE-MADDEN HEIRS         	95	833493	TCO     	700			 	 	 	 
P	M2	PORTER HEIRS                    	95	833328	TCO     	100			 	 	 	 
P	M2	RAY BROWN                       	95	836629	TCO     	450			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	1250			 	 	 	 
D	"Interstate Gas Supply, Inc."	626058655	N       	FTS     	177879	11/1/2016	10/31/2018	 	N	45		 
P	M2	ALAN S. SMITH #1                	95	822621	TCO     	45			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	45			 	 	 	 
D	Interstate Natural Gas Company	556560662	N       	FTS     	83228	7/1/2005	12/31/2099	 	N	500		 
A	BP Energy Company	N       		 	 	 	 	 	 	 	 	 
A	"Johnson County Gas Company, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	HI-HAT/EQUITABLE-16 	95	F3	TCO     	500			 	 	 	 
P	MQ	COL GAS OH OP 07-1  	95	23-1	TCO     	500			 	 	 	 
D	Jay-Bee Production Company	80546663	N       	FTS     	6855	4/28/2009	5/1/2020	 	N	8000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"ICON Midstream Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	Jay Bee - Stradley	95	640505	TCO     	8000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	8000			 	 	 	 
D	Jay-Bee Production Company	80546663	N       	FTS     	20542	10/1/2010	9/30/2020	 	N	10000		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	"ICON Midstream Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	Jay Bee - Stradley	95	640505	TCO     	10000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	10000			 	 	 	 
D	"Jefferson Gas, LLC"	801317421	N       	FTS     	13977	4/1/2010	3/31/2023	 	N	2000		 
A	"Cumberland Valley Resources, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	Jefferson Gas - South Means	95	840303	TCO     	2000			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	2000			 	 	 	 
D	"Jefferson Gas, LLC"	801317421	N       	FTS     	28955	7/5/2011	7/5/2037	 	N	1500		 
A	"Cumberland Valley Resources, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	GAS BUSTERS-WALBRIDGE           	95	819455	TCO     	300			 	 	 	 
P	M2	Van Lear	95	838653	TCO     	1200			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	1500			 	 	 	 
D	Joseph E. Pauley	7662877	N       	FTS     	10315	8/1/2009	3/31/2020	 	Y	15		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	STERLING DRG JARVIS             	95	821430	TCO     	15			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	15			 	 	 	 
D	Joseph E. Pauley	7662877	N       	FTS     	15252	5/17/2010	5/31/2020	 	Y	75		 
A	"Interstate Gas Supply, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	DORAN-RAINES #1                 	95	828516	TCO     	65			 	 	 	 
P	M2	THOMAS COFFMAN INC YOUNG        	95	821590	TCO     	10			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	75			 	 	 	 
D	Joseph E. Pauley	7662877	N       	FTS     	15293	5/17/2010	5/31/2020	 	Y	25		 
A	Energy Corporation of America	N       		 	 	 	 	 	 	 	 	 
P	M2	A&W-Gandee                      	95	821917	TCO     	25			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	25			 	 	 	 
D	Joseph E. Pauley	7662877	N       	FTS     	172247	2/1/2016	5/31/2020	 	Y	31		 
A	"Interstate Gas Supply, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	MOUNTAIN STATE-GRANT            	95	823621	TCO     	31			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	31			 	 	 	 
D	Joseph E. Pauley	7662877	N       	FTS     	172248	2/1/2016	3/31/2020	 	Y	16		 
A	"Interstate Gas Supply, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	MOUNTAIN STATE-GRANT            	95	823621	TCO     	16			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	16			 	 	 	 
D	K. Petroleum Inc.	183283670	N       	FTS     	169406	11/1/2015	12/31/2099	 	N	992		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	KV OIL & GAS-ROUGE STEEL        	95	829611	TCO     	992			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	992			 	 	 	 
D	"K.I.D.N. Marketing, Ltd."	SR 011195	N       	GTS     	91292	12/1/2006	10/31/2007	365	N	2271	84537	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Exelon Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	757			 	 	 	 
P	MQ	KIDN Claysville	95	15	TCO     	2271			 	 	 	 
D	"K.I.D.N. Marketing, Ltd."	SR 011195	N       	GTS     	92558	3/1/2007	10/31/2007	365	N	210	6909	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Exelon Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	70			 	 	 	 
P	MQ	KIDN Lakeside	95	44	TCO     	210			 	 	 	 
D	"K.I.D.N. Marketing, Ltd."	SR 011195	N       	GTS     	94710	7/1/2007	10/31/2008	365	N	719	24823	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Exelon Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	240			 	 	 	 
P	MQ	KNOX ENERGY - 9	95	343-9	TCO     	719			 	 	 	 
D	"K.I.D.N. Marketing, Ltd."	SR 011195	N       	GTS     	95037	8/1/2007	10/31/2008	365	N	1000	32917	 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Exelon Energy Company	N       		 	 	 	 	 	 	 	 	 
A	"Northern Industrial Energy Development, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	333			 	 	 	 
P	MQ	KIDN Kane Gas Light Heat	95	42	TCO     	1000			 	 	 	 
D	"K.I.D.N. Marketing, Ltd."	SR 011195	N       	FTS     	156154	10/1/2014	3/31/2023	 	N	1636		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Exelon Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	1636			 	 	 	 
P	MQ	PIKE NATURAL GAS CO 	95	59	TCO     	1636			 	 	 	 
D	"K.I.D.N. Marketing, Ltd."	SR 011195	N       	FTS     	156155	10/1/2014	3/31/2024	 	N	2364		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Exelon Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TETCO LEBANON-6     	95	C4	TCO     	2364			 	 	 	 
P	MQ	PIKE NATURAL GAS CO 	95	59	TCO     	2364			 	 	 	 
D	"K.I.D.N. Marketing, Ltd."	SR 011195	N       	FTS     	156156	10/1/2014	3/31/2024	 	N	600		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Exelon Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TETCO LEBANON-6     	95	C4	TCO     	600			 	 	 	 
P	MQ	UPL Madison Energy              	95	737626	TCO     	600			 	 	 	 
D	"K.I.D.N. Marketing, Ltd."	SR 011195	N       	FTS     	157888	11/1/2014	10/31/2022	 	N	1581		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Exelon Energy Company	N       		 	 	 	 	 	 	 	 	 
P	M2	Lebanon - REX	95	740165	TCO     	1581			 	 	 	 
P	MQ	Anderson Hollow #2 (Delivery)	95	733076	TCO     	745			 	 	 	 
P	MQ	SOUTHEASTERN - 6	95	71	TCO     	150			 	 	 	 
P	MQ	SOUTHEASTERN - 9	95	71-9	TCO     	490			 	 	 	 
P	MQ	Southeastern - CIC	95	737099	TCO     	50			 	 	 	 
P	MQ	SOUTHEASTERN GAS LINE H         	95	737102	TCO     	96			 	 	 	 
P	MQ	University Estates	95	737893	TCO     	50			 	 	 	 
D	"Kaiser Marketing Appalachian, LLC"	79581978	N       	FTS     	173446	1/1/2018	12/31/2033	 	Y	400000		 
P	M2	Majorsville - LXP	95	643106	TCO     	165000			 	 	 	 
P	M2	Sherwood1	95	642645	TCO     	150000			 	 	 	 
P	M2	Smithfield - Mobley	95	642824	TCO     	85000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	400000			 	 	 	 
D	"Kaiser Marketing Appalachian, LLC"	79581978	N       	FTS     	202422	4/1/2018	10/31/2018	 	N	58000		 
P	M2	TCO POOL	95	P10	TCO     	58000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	58000			 	 	 	 
D	Kentucky Power Company	SR 4225025	N       	FTS     	173522	6/1/2016	5/31/2031	 	Y	72000		 
P	M2	TCO-LEACH	95	801	TCO     	72000			 	 	 	 
P	MQ	Big Sandy Unit 1	95	842872	TCO     	72000			 	 	 	 
D	Key Oil Company	101585347	N       	FTS     	10284	8/1/2009	3/31/2020	 	Y	24		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Energy Corporation of America	N       		 	 	 	 	 	 	 	 	 
A	"Greylock Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	MCRAIN DLG. COMPANY KYLE        	95	604684	TCO     	16			 	 	 	 
P	M2	Scarlet - Key Oil	95	640433	TCO     	8			 	 	 	 
P	MQ	TCO POOL	95	P10	TCO     	24			 	 	 	 
D	Key Oil Company	101585347	N       	FTS     	10380	8/1/2009	3/31/2020	 	Y	105		 
A	"Dominion Energy Field Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Energy Corporation of America	N       		 	 	 	 	 	 	 	 	 
A	"Greylock Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	EASTERN AMERICAN-BAILEY         	95	623089	TCO     	105			 	 	 	 
P	MQ	Constellation Big Sandy         	95	836799	TCO     	105			 	 	 	 
D	"Kinzer Business Realty, Ltd."	200651183	N       	FTS     	24661	4/14/2011	3/31/2021	 	Y	20000		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Quality Natural Gas LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - Canada	95	CNR10	TCO     	500			 	 	 	 
P	M2	CHK - KERMIT/INEZ     	95	CNR04	TCO     	1076			 	 	 	 
P	M2	CHK -Thacker/Pounding Mill 	95	CNR12	TCO     	200			 	 	 	 
P	M2	CHK-Beaver Creek/Warco	95	CNR01	TCO     	813			 	 	 	 
P	M2	Grapevine	95	842802	TCO     	1500			 	 	 	 
P	M2	Grave Shoal Branch	95	842414	TCO     	200			 	 	 	 
P	M2	J. W. Kinzer et. al. #1         	95	805905	TCO     	4800			 	 	 	 
P	M2	J.W.KINZER                      	95	805664	TCO     	1800			 	 	 	 
P	M2	KBR - Jarrell Fork	95	840624	TCO     	200			 	 	 	 
P	M2	KINZER-BEECH CREEK              	95	834416	TCO     	850			 	 	 	 
P	M2	KINZER-BEVINS BRANCH            	95	834382	TCO     	1500			 	 	 	 
P	M2	KINZER-DIX FORK                 	95	837335	TCO     	1800			 	 	 	 
P	M2	KINZER-GC 16                    	95	834729	TCO     	401			 	 	 	 
P	M2	KINZER-MUDLICK                  	95	835033	TCO     	1800			 	 	 	 
P	M2	QNG - Pter Dotson Hollow	95	840076	TCO     	1800			 	 	 	 
P	M2	Quality Gas #1	95	840035	TCO     	500			 	 	 	 
P	M2	Wolf Branch	95	842525	TCO     	60			 	 	 	 
P	M2	Wolfpen	95	840522	TCO     	200			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	20000			 	 	 	 
D	"Kinzer Business Realty, Ltd."	200651183	N       	FTS     	24668	4/14/2011	3/31/2036	 	N	10000		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Quality Natural Gas LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	KINZER-BEVINS BRANCH            	95	834382	TCO     	2500			 	 	 	 
P	M2	KINZER-GC 16                    	95	834729	TCO     	3500			 	 	 	 
P	M2	QNG - Pter Dotson Hollow	95	840076	TCO     	4000			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	10000			 	 	 	 
D	"Kinzer Business Realty, Ltd."	200651183	N       	FTS     	188671	5/1/2017	12/31/2099	 	N	496		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
A	Quality Natural Gas LLC	N       		 	 	 	 	 	 	 	 	 
P	M2	KINZER-BEECH CREEK              	95	834416	TCO     	496			 	 	 	 
P	MQ	COL GAS OF KY 03-15 	95	17-15	TCO     	496			 	 	 	 
D	"KNG Energy, Inc."	781667076	N       	FTS     	91327	4/1/2007	3/31/2022	 	N	200		 
P	M2	PAULDING-3          	95	F1	TCO     	200			 	 	 	 
P	MQ	KALIDA NATURAL GAS              	95	732769	TCO     	200			 	 	 	 
D	LEDVANCE LLC	80287250	N       	FTS     	191951	8/1/2017	10/31/2018	 	N	3000		 
A	"Atmos Energy Marketing, LLC"	N       		 	 	 	 	 	 	 	 	 
A	Centerpoint 2	N       		 	 	 	 	 	 	 	 	 
A	"CenterPoint Energy Services, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	DELTA LAUREL VALLEY             	95	819288	TCO     	3000			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	3000			 	 	 	 
D	"Lindsey Gas Transportation, LLC"	SR 4221777	N       	FTS     	24669	4/14/2011	3/31/2042	 	N	500		 
A	"Chesapeake Appalachia, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"eServices, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	BEAVER CREEK-16     	95	H1	TCO     	400			 	 	 	 
P	M2	DWALE-16            	95	H3	TCO     	100			 	 	 	 
P	MQ	TCO-LEACH	95	801	TCO     	500			 	 	 	 
D	"Lindsey Gas Transportation, LLC"	SR 4221777	N       	FTS     	155370	11/1/2014	10/31/2035	 	N	250		 
A	"Chesapeake Appalachia, L.L.C."	N       		 	 	 	 	 	 	 	 	 
A	"eServices, LLC"	N       		 	 	 	 	 	 	 	 	 
P	M2	CHK - Boldman	95	CNR02	TCO     	250			 	 	 	 
P	MQ	COL GAS OH OP 05-7  	95	23N-7	TCO     	250			 	 	 	 
D	Marathon Petroleum Company LP	962993101	N       	FTS     	6814	11/1/2009	10/31/2022	 	N	15000		 
A	Marathon Oil Company	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	15000			 	 	 	 
P	MQ	COL GAS OF KY 03-15 	95	17-15	TCO     	15000			 	 	 	 
D	"Mercuria Energy America, Inc."	831749127	N       	FTS     	184433	3/31/2018	11/30/2020	 	N	24240		 
A	J.P. Morgan Ventures Energy Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	MONCLOVA-1          	95	F4	TCO     	24240			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	24240			 	 	 	 
D	"Mercuria Energy America, Inc."	831749127	N       	FTS     	198690	4/1/2018	9/30/2018	 	N	74000		 
A	J.P. Morgan Ventures Energy Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	CONOCO-GRANT        	95	P1	TCO     	27630			 	 	 	 
P	M2	CONSOL-DEFEATS BR   	95	P2	TCO     	46370			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	74000			 	 	 	 
D	"Mercuria Energy America, Inc."	831749127	N       	FTS     	198765	1/1/2018	10/31/2018	 	N	165000		 
A	J.P. Morgan Ventures Energy Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	Mainline Loudoun	95	MLLOUDOU	TCO     	165000			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	165000			 	 	 	 
D	"Mercuria Energy America, Inc."	831749127	N       	FTS     	198772	4/1/2018	10/31/2018	 	N	10000		 
A	J.P. Morgan Ventures Energy Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	EAGLE-25            	95	C22	TCO     	10000			 	 	 	 
P	MQ	LOUDOUN LNG         	95	LOUDOUN	TCO     	10000			 	 	 	 
D	"Mercuria Energy America, Inc."	831749127	N       	FTS     	198776	4/1/2018	4/30/2018	 	N	30000		 
A	J.P. Morgan Ventures Energy Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	30000			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	30000			 	 	 	 
D	"Mercuria Energy America, Inc."	831749127	N       	FTS     	199399	1/1/2018	3/31/2023	 	N	39376		 
A	J.P. Morgan Ventures Energy Corporation	N       		 	 	 	 	 	 	 	 	 
P	M2	Sherwood1	95	642645	TCO     	39376			 	 	 	 
P	MQ	WEST DEPTFORD/EAGLE POINT	95	91B	TCO     	39376			 	 	 	 
D	Mountaineer Gas Company	112746458	N       	FTS     	79831	11/1/2004	10/31/2019	 	N	93982		 
P	M2	AGG 02	95	A02	TCO     	3671			 	 	 	 
P	M2	BROAD RUN-19        	95	B9	TCO     	4731			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	85580			 	 	 	 
P	MQ	MOUNTAINEER 08-26   	95	29-26	TCO     	2210			 	 	 	 
P	MQ	MOUNTAINEER 08-27   	95	29-27	TCO     	13000			 	 	 	 
P	MQ	MOUNTAINEER 08-32   	95	29-32	TCO     	14911			 	 	 	 
P	MQ	MOUNTAINEER 08-35   	95	29-35	TCO     	57850			 	 	 	 
P	MQ	MOUNTAINEER 08-40   	95	29-40	TCO     	255			 	 	 	 
P	MQ	MOUNTAINEER 10-30   	95	28-30	TCO     	507			 	 	 	 
P	MQ	MOUNTAINEER 3-16    	95	27-16	TCO     	7533			 	 	 	 
P	MQ	MOUNTAINEER 3-17    	95	27-17	TCO     	20442			 	 	 	 
P	MQ	MOUNTAINEER 3-18    	95	27-18	TCO     	30606			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	87788			 	 	 	 
D	Mountaineer Gas Company	112746458	N       	FSS     	79832	11/1/2004	10/31/2019	 	N		11761703	 
D	Mountaineer Gas Company	112746458	N       	SST     	79833	11/1/2004	10/31/2019	 	N	115946		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	115946			 	 	 	 
P	MQ	ALEXANDER/SUGAR RUN	95	CNR22	TCO     	3884			 	 	 	 
P	MQ	CARALINE/GAY STATION	95	838634	TCO     	2			 	 	 	 
P	MQ	CHK - Cobb	95	CNR18	TCO     	2165			 	 	 	 
P	MQ	CHK - KERMIT/INEZ     	95	CNR04	TCO     	5875			 	 	 	 
P	MQ	CHK - Stafford	95	CNR11	TCO     	42			 	 	 	 
P	MQ	CHK -BUFF LICK        	95	CNR05	TCO     	1652			 	 	 	 
P	MQ	CHK -WALBRIDGE       	95	CNR07	TCO     	495			 	 	 	 
P	MQ	CHK-Eastern WV-27	95	CNR19	TCO     	198			 	 	 	 
P	MQ	CHK-Hubball/Horse Ck/Nye 	95	CNR06	TCO     	1536			 	 	 	 
P	MQ	ECA TM-18 DELIVERY	95	838513	TCO     	3130			 	 	 	 
P	MQ	EQUIT-KA8/DELIVERY  	95	H6	TCO     	11742			 	 	 	 
P	MQ	MOUNTAINEER 08-26   	95	29-26	TCO     	1414			 	 	 	 
P	MQ	MOUNTAINEER 08-27   	95	29-27	TCO     	8320			 	 	 	 
P	MQ	MOUNTAINEER 08-32   	95	29-32	TCO     	9541			 	 	 	 
P	MQ	MOUNTAINEER 08-35   	95	29-35	TCO     	71597			 	 	 	 
P	MQ	MOUNTAINEER 08-40   	95	29-40	TCO     	164			 	 	 	 
P	MQ	MOUNTAINEER 10-30   	95	28-30	TCO     	325			 	 	 	 
P	MQ	MOUNTAINEER 3-15    	95	27-15	TCO     	696			 	 	 	 
P	MQ	MOUNTAINEER 3-16    	95	27-16	TCO     	4821			 	 	 	 
P	MQ	MOUNTAINEER 3-17    	95	27-17	TCO     	13083			 	 	 	 
P	MQ	MOUNTAINEER 3-18    	95	27-18	TCO     	19588			 	 	 	 
P	MQ	MOUNTAINEER 3-19    	95	27-19	TCO     	136973			 	 	 	 
D	Mountaineer Gas Company	112746458	N       	FTS     	133326	11/1/2012	10/31/2019	 	N	500		 
P	M2	BROAD RUN-19        	95	B9	TCO     	500			 	 	 	 
P	MQ	Alderson P.O.D.                 	95	834348	TCO     	500			 	 	 	 
D	Mountaineer Gas Company	112746458	N       	SST     	133327	11/1/2012	10/31/2019	 	N	2233		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	2233			 	 	 	 
P	MQ	MOUNTAINEER 10-30   	95	28-30	TCO     	2233			 	 	 	 
D	Mountaineer Gas Company	112746458	N       	FTS     	133328	11/1/2012	10/31/2019	 	N	4535		 
P	M2	TCO-LEACH	95	801	TCO     	4535			 	 	 	 
P	MQ	MOUNTAINEER 10-30   	95	28-30	TCO     	4535			 	 	 	 
D	Mountaineer Gas Company	112746458	N       	FSS     	133329	11/1/2012	10/31/2019	 	N		263435	 
D	Nami Resources Company L.L.C.	SR 010811	N       	FTS     	18992	11/1/2010	10/31/2018	 	N	700		 
A	"North American Energy, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Vinland-Manchester                  	95	827280	TCO     	700			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	700			 	 	 	 
D	Nami Resources Company L.L.C.	SR 010811	N       	FTS     	23033	4/1/2011	1/1/2020	 	N	2730		 
A	"North American Energy, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	DELTA LAUREL VALLEY             	95	819288	TCO     	2730			 	 	 	 
P	MQ	COL GAS OF KY 06-12 	95	18-12	TCO     	2730			 	 	 	 
D	Nami Resources Company L.L.C.	SR 010811	N       	FTS     	71633	12/1/2001	11/30/2021	 	N	399		 
A	"North American Energy, Inc."	N       		 	 	 	 	 	 	 	 	 
P	M2	Vinland-Manchester                  	95	827280	TCO     	399			 	 	 	 
P	MQ	COL GAS OH OP 07-5  	95	23-5	TCO     	399			 	 	 	 
D	National Fuel Gas Distribution Corporation	6976666	N       	FTS     	80562	11/1/2004	3/31/2019	 	N	1748		 
P	M2	DELMONT-36          	95	C16	TCO     	765			 	 	 	 
P	M2	HIGHLAND-36         	95	B17	TCO     	983			 	 	 	 
P	MQ	DUKE CENTER         	95	L6	TCO     	650			 	 	 	 
P	MQ	ELLWOOD CITY        	95	L1	TCO     	1748			 	 	 	 
P	MQ	NFS-MAINLINE TAPS   	95	L7	TCO     	34			 	 	 	 
P	MQ	SMETHPORT           	95	L5	TCO     	1748			 	 	 	 
D	National Fuel Gas Distribution Corporation	6976666	N       	SST     	80564	11/1/2004	3/31/2021	 	N	9209		 
P	M2	RP Storage Point TCO	95	STOR	TCO     	9209			 	 	 	 
P	MQ	DUKE CENTER         	95	L6	TCO     	650			 	 	 	 
P	MQ	ELLWOOD CITY        	95	L1	TCO     	19390			 	 	 	 
P	MQ	NFS-MAINLINE TAPS   	95	L7	TCO     	34			 	 	 	 
P	MQ	SMETHPORT           	95	L5	TCO     	1750			 	 	 	 
D	National Fuel Gas Distribution Corporation	6976666	N       	FSS     	80566	11/1/2004	3/31/2021	 	N		564031	 
D	National Gas & Oil Cooperative	1053560	N       	GTS     	37958	11/1/1993	10/31/2000	365	N	923	30000	 
P	M2	TCO-LEACH	95	801	TCO     	308			 	 	 	 
P	MQ	NATIONAL GAS&OIL-8  	95	51-8	TCO     	923			 	 	 	 
D	Natural Energy Utility Corporation	7813207	N       	GTS     	37820	11/1/1993	10/31/1994	365	N	200	6564	 
P	M2	TCO-LEACH	95	801	TCO     	67			 	 	 	 
P	MQ	Natural Energy Utility Corporation	95	43	TCO     	200			 	 	 	 
D	New Jersey Natural Gas Company	61843553	N       	FTS     	11853	12/1/2009	11/30/2024	 	N	10000		 
P	M2	MILFORD-21          	95	B18	TCO     	10000			 	 	 	 
P	MQ	NEW JERSEY NATURAL  	95	100	TCO     	10000			 	 	 	 
D	New Jersey Natural Gas Company	61843553	N       	FTS     	161129	11/1/2015	10/31/2030	 	Y	37455		 
P	M2	MILFORD-21          	95	B18	TCO     	37455			 	 	 	 
P	MQ	NEW JERSEY NATURAL  	95	100	TCO     	37455			 	 	 	 
D	New Jersey Natural Gas Company	61843553	N       	NTS     	161136	11/1/2015	10/31/2030	 	Y	2545		 
P	M2	MILFORD-21          	95	B18	TCO     	2545			 	 	 	 
P	MQ	NEW JERSEY NATURAL  	95	100	TCO     	2545			 	 	 	 
D	New York State Electric & Gas Corporation	41866497	N       	FTS     	80348	11/1/2004	10/31/2019	 	N	36794		 
P	M2	BROAD RUN-19        	95	B9	TCO     	3000			 	 	 	 
P	M2	HIGHLAND-36         	95	B17	TCO     	10232			 	 	 	 
P	M2	TCO-LEACH	95	801	TCO     	23562			 	 	 	 
P	MQ	NYSEG OP-02         	95	21	TCO     	36794			 	 	 	 
P	MQ	NYSEG OP-08         	95	52	TCO     	11015			 	 	 	 
