H	"Texas Eastern Transmission, LP"	C000094	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	49624						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	49624						
P	M2	ENTERPRISE TEXAS PIPELINE LLC - MAT	95	72601	STX	1384						
P	M2	"TRANSOK - OUACHITA PSH., LA"	95	72614	ELA	3034						
P	M2	ENTERPRISE TEXAS PIPELINE LLC - CAL	95	72655	STX	3037						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	15070						
D	NSTAR GAS COMPANY DBA EVERSOURCE ENERGY	75345678	N	CDS	800527-R1	10/1/2003	10/31/2012	365	N	1342		X10
A	"DIRECT ENERGY BUSINESS MARKETING,LLC"	N										
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	576						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	766						
D	OAK RIDGE UTILITY DISTRICT	41152174	N	FT-1	911148-R1	4/1/2014	10/31/2020		N	3000		
A	TENNESSEE ENERGY ACQUISITION CORP	N										
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	3000						
P	M2	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	3000						
D	"ORANGE AND ROCKLAND UTILITIES, INC."	6993406	N	SS-1	400216-R1	11/1/1994	4/30/2013	365	N		99961	
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3		146					
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3		318					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		514	YN21				
D	"ORANGE AND ROCKLAND UTILITIES, INC."	6993406	N	FSS-1	400514-R1	9/1/1994	4/30/2012	365	N		30420	
P	M2	ZONE M3 STORAGE POINT	95	79513	3		156	YN21				
P	MQ	ZONE M3 STORAGE POINT	95	79513	3		507	YN20				
D	"ORANGE AND ROCKLAND UTILITIES, INC."	6993406	N	FT-1	800403-R1	5/1/1994	10/31/2012	365	N	10836		X2
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	4401						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	7452						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	469						
P	MQ	AGT - ORANGE & ROCKLAND FOR NOMINAT	95	79831	3	0						
D	"ORANGE AND ROCKLAND UTILITIES, INC."	6993406	N	CDS	800437-R1	9/1/1994	10/31/2012	365	N	384		X2
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	384						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	384						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	384						
P	MQ	AGT - ORANGE & ROCKLAND FOR NOMINAT	95	79831	3	0						
D	"ORANGE AND ROCKLAND UTILITIES, INC."	6993406	N	CDS	800438-R1	9/1/1994	10/31/2012	365	N	507		X10
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	218						
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	289						
D	"OSGOOD, IN, TOWN OF"	88653068	N	SCT	800057-R1	6/1/1993	10/31/2012	365	N	1249		X47
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"OSGOOD, IN"	95	71366	2	1249						
D	PAULSBORO REFINING COMPANY LLC	29345	N	FT-1L1A	800526-R1	12/4/1998	10/31/2012	365	N	8000		YA1/L84
A	"COLONIAL ENERGY, INC"	N										
P	MQ	PAULSBORO REFINERY	95	73127	3	8000						
P	M2	EAGLE STATION	95	79922	3	8000						
D	PAULSBORO REFINING COMPANY LLC	29345	N	FT-1PEP	910853-R1	11/1/2012	10/31/2027		Y	7000		YA1
A	"COLONIAL ENERGY, INC"	N										
P	MQ	PAULSBORO REFINERY	95	73127	3	7000						
P	M2	PHILADELPHIA LATERAL	95	79144	3	7000						
D	PECO ENERGY COMPANY	7914468	N	FTS-2	330614-R1	6/1/1993	10/31/2002	365	N	13486		
P	M2	"PECO ENERGY - CROMBY GENERATION, PA"	95	70033	3	13486						
P	MQ	"PECO ENERGY - CROMBY GENERATION, PA"	95	70033	3	13486						
P	M2	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3	13486						
P	MQ	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3	13486						
P	M2	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	13486						
P	MQ	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	13486						
P	M2	"PECO ENERGY -CORSON QUARRIES, PA"	95	70125	3	13486						
P	MQ	"PECO ENERGY -CORSON QUARRIES, PA"	95	70125	3	13486						
P	M2	"PECO - ALAN WOOD STEEL, PA"	95	70517	3	13486						
P	MQ	"PECO - ALAN WOOD STEEL, PA"	95	70517	3	13486						
P	M2	"PECO ENERGY - E. GREENVILLE, PA"	95	71220	3	4152						
P	MQ	"PECO ENERGY - E. GREENVILLE, PA"	95	71220	3	4152						
P	M2	PECO ENERGY - PLANEBROOK CHESTER CO	95	72004	3	13486						
P	MQ	PECO ENERGY - PLANEBROOK CHESTER CO	95	72004	3	13486						
P	M2	"PECO ENERGY - HATFIELD, PA"	95	72405	3	13486						
P	MQ	"PECO ENERGY - HATFIELD, PA"	95	72405	3	13486						
P	M2	"PECO ENERGY - MONTGOMERY CO., PA"	95	72636	3	13486						
P	MQ	"PECO ENERGY - MONTGOMERY CO., PA"	95	72636	3	13486						
P	M2	"PECO ENERGY - COLLEGEVILLE, PA."	95	72745	3	13486						
P	MQ	"PECO ENERGY - COLLEGEVILLE, PA."	95	72745	3	13486						
P	M2	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	13486						
P	MQ	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	13486						
D	PECO ENERGY COMPANY	7914468	N	FTS-7	331718-R1	11/10/1994	4/15/2015	365	N	24170		
P	M2	"PECO ENERGY - CROMBY GENERATION, PA"	95	70033	3	20762						
P	MQ	"PECO ENERGY - CROMBY GENERATION, PA"	95	70033	3	20762						
P	M2	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3	24170						
P	MQ	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3	24170						
P	M2	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	23183						
P	MQ	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	23183						
P	M2	"PECO ENERGY -CORSON QUARRIES, PA"	95	70125	3	20762						
P	MQ	"PECO ENERGY -CORSON QUARRIES, PA"	95	70125	3	20762						
P	M2	"PECO - ALAN WOOD STEEL, PA"	95	70517	3	20762						
P	MQ	"PECO - ALAN WOOD STEEL, PA"	95	70517	3	20762						
P	M2	"PECO ENERGY - E. GREENVILLE, PA"	95	71220	3	4152						
P	MQ	"PECO ENERGY - E. GREENVILLE, PA"	95	71220	3	4152						
P	M2	PECO ENERGY - PLANEBROOK CHESTER CO	95	72004	3	23183						
P	MQ	PECO ENERGY - PLANEBROOK CHESTER CO	95	72004	3	23183						
P	M2	"PECO ENERGY - MONTGOMERY CO., PA"	95	72636	3	14000						
P	MQ	"PECO ENERGY - MONTGOMERY CO., PA"	95	72636	3	14000						
P	M2	"PECO ENERGY - COLLEGEVILLE, PA."	95	72745	3	23183						
P	MQ	"PECO ENERGY - COLLEGEVILLE, PA."	95	72745	3	23183						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	24170						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	24170						
D	PECO ENERGY COMPANY	7914468	N	FTS-8	331817-R1	11/10/1994	3/31/2015	365	N	9850		
P	M2	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3	9850						
P	MQ	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3	9850						
P	M2	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	9850						
P	MQ	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	9850						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	9850						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	9850						
D	PECO ENERGY COMPANY	7914468	N	SS-1	400120-R2	2/1/2007	4/30/2011	365	N		5512157	L4
P	MQ	"PECO ENERGY - CROMBY GENERATION, PA"	95	70033	3		33181					
P	MQ	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3		54236					
P	MQ	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3		66401					
P	MQ	"PECO - ALAN WOOD STEEL, PA"	95	70517	3		20762					
P	MQ	"PECO ENERGY - E. GREENVILLE, PA"	95	71220	3		4152					
P	MQ	PECO ENERGY - PLANEBROOK CHESTER CO	95	72004	3		50183					
P	MQ	"PECO ENERGY - HATFIELD, PA"	95	72405	3		15419					
P	MQ	"PECO ENERGY - MONTGOMERY CO., PA"	95	72636	3		12419					
P	MQ	"PECO ENERGY - COLLEGEVILLE, PA."	95	72745	3		30000					
P	MQ	"PECO ENERGY - EDDYSTONE, DELAWARE C"	95	72930	3		1000					
P	MQ	"PECO -- BROOKHAVEN, PA"	95	73153	3		19596					
P	MQ	PECO ENERGY COMPANY - HERSHEY MILLS	95	73154	3		14132					
P	MQ	"PECO - EAGLE, CHESTER CO., PA. (DEL"	95	73212	3		7000					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		28333	YN21				
P	MQ	EAGLE STATION	95	79922	3		78114					
D	PECO ENERGY COMPANY	7914468	N	FT-1	800231-R1	11/1/2001	10/31/2004	365	N	35000		L4/X2
A	"UGI ENERGY SERVICES, LLC"	N										
P	MQ	"PECO ENERGY - CROMBY GENERATION, PA"	95	70033	3	35000						
P	MQ	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3	35000						
P	MQ	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	35000						
P	MQ	"PECO - ALAN WOOD STEEL, PA"	95	70517	3	20762						
P	MQ	"PECO ENERGY - E. GREENVILLE, PA"	95	71220	3	4152						
P	MQ	PECO ENERGY - PLANEBROOK CHESTER CO	95	72004	3	33000						
P	MQ	"PECO ENERGY - HATFIELD, PA"	95	72405	3	30000						
P	MQ	"PECO ENERGY - MONTGOMERY CO., PA"	95	72636	3	22000						
P	MQ	"PECO ENERGY - COLLEGEVILLE, PA."	95	72745	3	30000						
P	MQ	"PECO ENERGY - EDDYSTONE, DELAWARE C"	95	72930	3	1000						
P	MQ	"PECO - DOYLESTOWN, BUCKS CO., PA"	95	72979	3	29210						
P	MQ	"PECO -- BROOKHAVEN, PA"	95	73153	3	15000						
P	MQ	PECO ENERGY COMPANY - HERSHEY MILLS	95	73154	3	15000						
P	MQ	"PECO - EAGLE, CHESTER CO., PA. (DEL"	95	73212	3	2000						
P	MQ	PECO - SKIPPACK DELIVERY - MONTGOME	95	73507	3	6000						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	28333						
P	MQ	EAGLE STATION	95	79922	3	35000						
P	MQ	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	14739						
D	PECO ENERGY COMPANY	7914468	N	CDS	800407-R1	11/1/2001	10/31/2005	365	N	49286		L9/X2
P	MQ	"PECO ENERGY - CROMBY GENERATION, PA"	95	70033	3	49286						
P	MQ	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3	49286						
P	MQ	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	49286						
P	MQ	"PECO - ALAN WOOD STEEL, PA"	95	70517	3	20762						
P	MQ	"PECO ENERGY - E. GREENVILLE, PA"	95	71220	3	4152						
P	MQ	PECO ENERGY - PLANEBROOK CHESTER CO	95	72004	3	49286						
P	MQ	"PECO ENERGY - HATFIELD, PA"	95	72405	3	30000						
P	MQ	"PECO ENERGY - MONTGOMERY CO., PA"	95	72636	3	22000						
P	MQ	"PECO ENERGY - COLLEGEVILLE, PA."	95	72745	3	30000						
P	MQ	"PECO ENERGY - EDDYSTONE, DELAWARE C"	95	72930	3	1000						
P	MQ	"PECO - DOYLESTOWN, BUCKS CO., PA"	95	72979	3	29210						
P	MQ	"PECO -- BROOKHAVEN, PA"	95	73153	3	15000						
P	MQ	PECO ENERGY COMPANY - HERSHEY MILLS	95	73154	3	15000						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	28333						
P	MQ	EAGLE STATION	95	79922	3	49286						
P	MQ	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	14739						
D	PECO ENERGY COMPANY	7914468	N	FT-1RIV	800503-R1	11/17/1995	10/31/2015	365	N	29210		
P	MQ	"PECO ENERGY - CROMBY GENERATION, PA"	95	70033	3	29210						
P	MQ	PECO ENERGY - TILGHMAN ST. - CHESTE	95	70035	3	29210						
P	MQ	"PECO ENERGY - WEST CONSHOHOCKEN, PA"	95	70036	3	29210						
P	MQ	"PECO - ALAN WOOD STEEL, PA"	95	70517	3	20762						
P	MQ	"PECO ENERGY - E. GREENVILLE, PA"	95	71220	3	4152						
P	MQ	PECO ENERGY - PLANEBROOK CHESTER CO	95	72004	3	29210						
P	MQ	"PECO ENERGY - HATFIELD, PA"	95	72405	3	29210						
P	MQ	"PECO ENERGY - MONTGOMERY CO., PA"	95	72636	3	22000						
P	MQ	"PECO ENERGY - COLLEGEVILLE, PA."	95	72745	3	29210						
P	MQ	"PECO ENERGY - EDDYSTONE, DELAWARE C"	95	72930	3	1000						
P	MQ	"PECO - DOYLESTOWN, BUCKS CO., PA"	95	72979	3	29210						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	28333						
P	M2	COMPRESSOR STATION 21A (UNIONTOWN)	95	79921	2	29210						
P	MQ	EAGLE STATION	95	79922	3	29210						
D	PECO ENERGY COMPANY	7914468	N	FT-1L1A	800523-R1	3/26/1998	10/31/2018		N	120000		
P	MQ	"PECO -- BROOKHAVEN, PA"	95	73153	3	90000						
P	MQ	PECO ENERGY COMPANY - HERSHEY MILLS	95	73154	3	30000						
P	M2	EAGLE STATION	95	79922	3	120000						
D	PECO ENERGY COMPANY	7914468	N	FT-1	910510-R1	11/1/2004	10/31/2014	365	N	35000		X15
P	MQ	PECO ENERGY - PLANEBROOK CHESTER CO	95	72004	3	1000						
P	MQ	"PECO ENERGY - HATFIELD, PA"	95	72405	3	17000						
P	MQ	"PECO - DOYLESTOWN, BUCKS CO., PA"	95	72979	3	17000						
P	MQ	EAGLE STATION	95	79922	3	35000						
D	PECO ENERGY COMPANY	7914468	N	FT-1	910566-R1	12/1/2005	10/31/2015	365	N	29210		
P	MQ	COMPRESSOR STATION 21A (UNIONTOWN)	95	79921	2	29210						
P	M2	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	29210						
D	PEOPLES GAS COMPANY LLC	30680	N	FT-1	911299-R1	11/1/2015	10/31/2030		Y	10000		YA1
P	M2	"REX CLARINGTON, MONROE CO., OH"	95	73580	2	10000						
P	MQ	"PEOPLES GAS - BEAVER RUN ROAD, DELM"	95	75897	2	10000						
D	PEOPLES NATURAL GAS COMPANY LLC	7916208	N	FT-1	910089-R2	4/1/2007	4/30/2019		N	15650		L38
P	MQ	"ALGONQUIN - LAMBERTVILLE, NJ"	95	70087	3	15650						
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	15650						
D	PHILADELPHIA AUTHORITY FOR INDUSTRIAL DEVELOPMENT	196618425	N	FT-1	800514-R1	1/1/1999	10/31/2003	365	N	18000		L22/X23
A	PHILADELPHIA GAS WORKS	N										
P	MQ	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	18000						
P	MQ	PGW - HARKNESS POINT - PHILADELPHIA	95	73060	3	18000						
D	PHILADELPHIA AUTHORITY FOR INDUSTRIAL DEVELOPMENT	196618425	N	FT-1	800515-R1	1/1/1999	10/31/2006	365	N	18000		L22/X23
A	PHILADELPHIA GAS WORKS	N										
P	MQ	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	18000						
P	MQ	PGW - HARKNESS POINT - PHILADELPHIA	95	73060	3	18000						
D	PHILADELPHIA ENERGY SOLUTIONS R&M LLC	78625328	N	FT-1	911010-R1	2/1/2013	10/31/2018		N	6000		
A	"COLONIAL ENERGY, INC"	N										
P	MQ	"SUN R&M - PHILADELPHIA CO., PA"	95	72649	3	6000						
P	M2	PHILADELPHIA LATERAL	95	79144	3	6000						
D	PHILADELPHIA ENERGY SOLUTIONS R&M LLC	78625328	N	FT-1PLP	911011-R1	2/1/2013	10/31/2018		N	15000		
A	"COLONIAL ENERGY, INC"	N										
P	MQ	"SUN R&M - PHILADELPHIA CO., PA"	95	72649	3	15000						
P	M2	PHILADELPHIA LATERAL	95	79144	3	15000						
D	PHILADELPHIA GAS WORKS	148415904	N	FTS-2	330791-R1	6/1/1993	3/31/2002	365	N	5394		
P	M2	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	5394						
P	MQ	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	5394						
P	M2	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3	5394						
P	MQ	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3	5394						
P	M2	PHILADELPHIA GAS WORKS PENROSE (EAS	95	71682	3	5000						
P	MQ	PHILADELPHIA GAS WORKS PENROSE (EAS	95	71682	3	5000						
P	M2	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	5394						
P	MQ	"EQUITRANS - CRAYNE, PA (D70009/R760"	95	75009	2	5394						
D	PHILADELPHIA GAS WORKS	148415904	N	FTS-7	331725-R1	11/1/1996	3/31/2006	365	N	7788		
P	M2	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	7788						
P	MQ	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	7788						
P	M2	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3	7788						
P	MQ	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3	7788						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	7788						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	7788						
D	PHILADELPHIA GAS WORKS	148415904	N	FTS-8	331822-R1	11/1/1996	3/31/2006	365	N	25709		
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	13451						
P	M2	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	25709						
P	MQ	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	25709						
P	M2	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3	25709						
P	MQ	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3	25709						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	13451						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	13451						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	13451						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	13451						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	13451						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	13451						
P	M2	PHILADELPHIA GAS WORKS PENROSE (EAS	95	71682	3	5000						
P	MQ	PHILADELPHIA GAS WORKS PENROSE (EAS	95	71682	3	5000						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	13451						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	13451						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	13458						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	13458						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	12251						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	12251						
D	PHILADELPHIA GAS WORKS	148415904	N	SS-1	400121-R1	6/1/1993	4/30/2012	365	N		2647080	
P	MQ	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3		33738					
P	MQ	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3		23357					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		13606	YN21				
D	PHILADELPHIA GAS WORKS	148415904	N	SS-1	400209-R1	6/1/1993	4/30/2012	365	N		2462120	
P	MQ	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3		20847					
P	MQ	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3		20847					
P	MQ	PHILADELPHIA GAS WORKS PENROSE (EAS	95	71682	3		5000					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		12656	YN21				
D	PHILADELPHIA GAS WORKS	148415904	N	CDS	800232-R1	1/1/2000	10/31/2003	365	N	75000		L4/X2
P	MQ	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	75000						
P	MQ	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3	75000						
P	MQ	PHILADELPHIA GAS WORKS PENROSE (EAS	95	71682	3	5000						
P	MQ	PGW - HARKNESS POINT - PHILADELPHIA	95	73060	3	49000						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	26262						
D	PHILADELPHIA GAS WORKS	148415904	N	FT-1	800233-R1	1/1/2000	10/31/2003	365	N	23822		L4/X2
P	MQ	PHILADELPHIA GAS WORKS - POINT BREE	95	70030	3	23822						
P	MQ	PHILADELPHIA GAS WORKS - LEVICK ST.	95	70034	3	23822						
P	MQ	PHILADELPHIA GAS WORKS PENROSE (EAS	95	71682	3	5000						
P	MQ	PGW - HARKNESS POINT - PHILADELPHIA	95	73060	3	23822						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	23822						
D	PHILLIPS 66 COMPANY	78378508	N	MLS-1BW	911432-R1	1/1/2018	12/31/2037		Y	66000		
A	CONOCOPHILLIPS COMPANY	N										
P	MQ	PHILLIPS 66 BAYWAY	95	73910	3	66000						
P	M2	BAYWAY LATERAL	95	79977	3	66000						
D	"PIEDMONT NATURAL GAS COMPANY, INC."	6996219	N	SCT	800059-R1	6/1/1993	10/31/2012	365	N	1677		X5
P	MQ	"HARTSVILLE GAS - TROUSDALE, TN"	95	70316	1	1677						
D	"PIEDMONT NATURAL GAS COMPANY, INC."	6996219	N	FT-1M1	910473-R1	11/1/2004	3/31/2019		Y	0		O91
P	MQ	"E.TENNESSEE GAS - MT. PLEASANT, GIL"	95	71298	1	0						
P	MQ	"EAST TENN GAS - HARTSVILLE, TN"	95	71299	1	0						
P	MQ	PIEDMONT NATURAL GAS - RUTHERFORD	95	73423	1	0						
P	M2	"SOUTHCROSS MISSISSIPPI PIPELINE, LP"	95	76580	ELA	0						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FTS	330837-R2	11/1/2009	10/31/2014	365	N	1520		L4
P	MQ	"ELIZABETHTOWN GAS CO. - ELIZABETH,"	95	70275	3	1520						
P	MQ	"ELIZABETHTOWN GAS CO. - RINGOES, NJ"	95	70584	3	1520						
P	MQ	"ELIZABETHTOWN GAS CO.-PERTH AMBOY,"	95	71075	3	1520						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	1520						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FTS-8	331013-R1	6/1/1993	3/31/2006	365	N	8469		
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	4432						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	4432						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	4432						
P	M2	"ELIZABETHTOWN GAS CO. - ELIZABETH,"	95	70275	3	8469						
P	MQ	"ELIZABETHTOWN GAS CO. - ELIZABETH,"	95	70275	3	8469						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	4432						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	4432						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	4432						
P	M2	"ELIZABETHTOWN GAS CO. - RINGOES, NJ"	95	70584	3	6122						
P	MQ	"ELIZABETHTOWN GAS CO. - RINGOES, NJ"	95	70584	3	6122						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	4432						
P	M2	"ELIZABETHTOWN GAS CO.-PERTH AMBOY,"	95	71075	3	8469						
P	MQ	"ELIZABETHTOWN GAS CO.-PERTH AMBOY,"	95	71075	3	8469						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	4432						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	4432						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	4432						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	4432						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	4037						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	4037						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FTS-5	331501-R1	4/1/1996	3/31/2012	365	N	16666		
P	M2	"ELIZABETHTOWN GAS CO.-PERTH AMBOY,"	95	71075	3	16666						
P	MQ	"ELIZABETHTOWN GAS CO.-PERTH AMBOY,"	95	71075	3	16666						
P	M2	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	16666						
P	MQ	DTI - N. SUMMIT STORAGE - FAYETTE C	95	75821	2	16666						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FTS-7	331720-R1	11/10/1994	4/15/2015	365	N	14298		
P	M2	"ELIZABETHTOWN GAS CO. - ELIZABETH,"	95	70275	3	14298						
P	MQ	"ELIZABETHTOWN GAS CO. - ELIZABETH,"	95	70275	3	14298						
P	M2	"ELIZABETHTOWN GAS CO. - RINGOES, NJ"	95	70584	3	6122						
P	MQ	"ELIZABETHTOWN GAS CO. - RINGOES, NJ"	95	70584	3	6122						
P	M2	"ELIZABETHTOWN GAS CO.-PERTH AMBOY,"	95	71075	3	13715						
P	MQ	"ELIZABETHTOWN GAS CO.-PERTH AMBOY,"	95	71075	3	13715						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	14298						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	14298						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	SS-1	400196-R1	10/1/1994	4/30/2012	365	N		379911	
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	"ELIZABETHTOWN GAS CO. - ELIZABETH,"	95	70275	3		3646					
P	MQ	"ELIZABETHTOWN GAS CO. - RINGOES, NJ"	95	70584	3		3646					
P	MQ	"ELIZABETHTOWN GAS CO.-PERTH AMBOY,"	95	71075	3		3646					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		1953	YN21				
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	CDS	800217-R2	6/1/2016	10/31/2021		N	20220		L4
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	3000						
P	MQ	"ELIZABETHTOWN GAS CO. - ELIZABETH,"	95	70275	3	20220						
P	MQ	"ELIZABETHTOWN GAS CO. - RINGOES, NJ"	95	70584	3	6122						
P	M2	"CHEVRON - VENICE, LA"	95	71200	ELA	3815						
P	M2	"ENERGY XXI GOM, LLC-SP 93"	95	72319	ELA	3374						
P	MQ	"ELIZABETHTOWN GAS CO. - UNION CO.,"	95	73062	3	20220						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	1953						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT-1	800392-R1	11/1/1993	10/31/1999	365	N	1348		
