H	"SOUTHERN STAR CENTRAL GAS PIPELINE, INC."	C000374	4/2/2018	O	4/1/2018	T	T	PHILIP RULLMAN 270-852-4440			
D	"Howard Kansas, City Of"	94328325	N	STS	TS550	10/1/1993	11/1/2015	1825	N	0	13992
A	Kansas Municipal Gas Agency	N									
P	IJ	Mkt Storage	95	999021	MKT	0	105				
P	WR	Mkt Storage	95	999021	MKT	0	424				
D	"Howard Kansas, City Of"	94328325	N	STS-M	TS550	10/1/1993	11/1/2015	1825	N	795	0
A	Kansas Municipal Gas Agency	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	371	0				
P	M2	Mkt Storage	95	999021	MKT	424	0				
P	MQ	Howard Ks	95	83418	MKT	795	0				
D	"Howard Kansas, City Of"	94328325	N	STS-P	TS550	10/1/1993	11/1/2015	1825	N	385	0
A	Kansas Municipal Gas Agency	N									
P	M2	LINN - Jayhawk	95	16289	PRD	385	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	385	0				
D	"Iola Kansas, City Of"	22526602	N	STS	TS20631	10/1/2013	10/1/2018	0	N	0	112200
A	Cornerstone Energy Inc.	N									
A	Constellation NewEnergy - Gas Division LLC	N									
A	"EMG, Inc."	N									
P	IJ	Mkt Storage	95	999021	MKT	0	842				
P	WR	Mkt Storage	95	999021	MKT	0	3400				
D	"Iola Kansas, City Of"	22526602	N	STS-M	TS20631	10/1/2013	10/1/2018	0	N	5100	0
A	Cornerstone Energy Inc.	N									
A	Constellation NewEnergy - Gas Division LLC	N									
A	"EMG, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	1700	0				
P	M2	Mkt Storage	95	999021	MKT	3400	0				
P	MQ	Iola Ks	95	86717	MKT	5100	0				
D	"Iola Kansas, City Of"	22526602	N	STS-P	TS20631	10/1/2013	10/1/2018	0	N	1757	0
A	"EMG, Inc."	N									
A	Constellation NewEnergy - Gas Division LLC	N									
A	Cornerstone Energy Inc.	N									
P	M2	LINN - Jayhawk	95	16289	PRD	1757	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	1757	0				
D	Kansas Municipal Gas Agency	197500080	N	STS	TS558	10/1/1993	11/1/2015	1825	N	0	8943
P	IJ	Prd Storage	95	999020	PRD	0	67				
P	WR	Prd Storage	95	999020	PRD	0	271				
D	Kansas Municipal Gas Agency	197500080	N	STS-P	TS558	10/1/1993	11/1/2015	1825	N	532	0
P	M2	Prd Storage	95	999020	PRD	271	0				
P	M2	OFS Maysville	95	7158	PRD	261	0				
P	MQ	Kechi Ks	95	96912	PRD	532	0				
D	Kansas Municipal Gas Agency	197500080	N	STS	TS559	10/1/1993	10/1/2013	1825	N	0	4851
P	IJ	Prd Storage	95	999020	PRD	0	36				
P	WR	Prd Storage	95	999020	PRD	0	147				
D	Kansas Municipal Gas Agency	197500080	N	STS-P	TS559	10/1/1993	10/1/2013	1825	N	294	0
P	M2	Prd Storage	95	999020	PRD	147	0				
P	M2	LINN - Jayhawk	95	16289	PRD	147	0				
P	MQ	Abbyville	95	30804	PRD	65	0				
P	MQ	Kechi Ks	95	96912	PRD	100	0				
P	MQ	Sylvia	95	164725	PRD	129	0				
D	"Lebo Kansas, City Of"	5888052	N	STS	TS567	10/1/1993	11/1/2015	1825	N	0	7656
A	"Encore Energy Services, Inc."	N									
P	IJ	Mkt Storage	95	999021	MKT	0	57				
P	WR	Mkt Storage	95	999021	MKT	0	232				
D	"Lebo Kansas, City Of"	5888052	N	STS-M	TS567	10/1/1993	11/1/2015	1825	N	435	0
A	"Encore Energy Services, Inc."	N									
P	M2	Mkt Storage	95	999021	MKT	232	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	203	0				
P	MQ	Lebo	95	102512	MKT	435	0				
D	"Lebo Kansas, City Of"	5888052	N	STS-P	TS567	10/1/1993	11/1/2015	1825	N	210	0
A	"Encore Energy Services, Inc."	N									
P	M2	LINN - Jayhawk	95	16289	PRD	210	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	210	0				
D	"McLouth Kansas, City of"	5702717	N	STS	TS571	10/1/1993	11/1/2015	1825	N	0	11088
A	Kansas Municipal Gas Agency	N									
P	IJ	Mkt Storage	95	999021	MKT	0	83				
P	WR	Mkt Storage	95	999021	MKT	0	336				
D	"McLouth Kansas, City of"	5702717	N	STS-M	TS571	10/1/1993	11/1/2015	1825	N	630	0
A	Kansas Municipal Gas Agency	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	294	0				
P	M2	Mkt Storage	95	999021	MKT	336	0				
P	MQ	McLouth	95	110412	MKT	630	0				
D	"McLouth Kansas, City of"	5702717	N	STS-P	TS571	10/1/1993	11/1/2015	1825	N	305	0
A	Kansas Municipal Gas Agency	N									
P	M2	LINN - Jayhawk	95	16289	PRD	305	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	305	0				
D	"Neodesha Kansas, City Of"	86055639	N	STS	TS585	10/1/1993	11/1/2015	1825	N	0	66000
A	Constellation NewEnergy - Gas Division LLC	N									
A	"EMG, Inc."	N									
P	IJ	Mkt Storage	95	999021	MKT	0	495				
P	WR	Mkt Storage	95	999021	MKT	0	2000				
D	"Neodesha Kansas, City Of"	86055639	N	STS-M	TS585	10/1/1993	11/1/2015	1825	N	3750	0
A	"EMG, Inc."	N									
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	1750	0				
P	M2	Mkt Storage	95	999021	MKT	2000	0				
P	MQ	Neodesha	95	121110	MKT	3750	0				
D	"Neodesha Kansas, City Of"	86055639	N	STS-P	TS585	10/1/1993	11/1/2015	1825	N	1814	0
A	Constellation NewEnergy - Gas Division LLC	N									
A	"EMG, Inc."	N									
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	1814	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	1814	0				
D	"Orlando Oklahoma, Town Of"	32246712	N	STS	TS589	10/1/1993	10/1/2013	1825	N	0	1914
A	"Oklahoma Energy Source, LLC"	N									
P	IJ	Prd Storage	95	999020	PRD	0	14				
P	WR	Prd Storage	95	999020	PRD	0	58				
D	"Orlando Oklahoma, Town Of"	32246712	N	STS-P	TS589	10/1/1993	10/1/2013	1825	N	113	0
A	"Oklahoma Energy Source, LLC"	N									
P	M2	Prd Storage	95	999020	PRD	58	0				
P	M2	EOIT Noble	95	15011	PRD	53	0				
P	M2	Questar Skull Creek	95	15236	PRD	2	0				
P	MQ	Orlando	95	130001	PRD	113	0				
D	"Oronogo Missouri, City Of"	170080857	N	STS	TS839	7/1/1995	10/1/2013	1825	N	0	2145
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	IJ	Mkt Storage	95	999021	MKT	0	16				
P	WR	Mkt Storage	95	999021	MKT	0	65				
D	"Oronogo Missouri, City Of"	170080857	N	STS-M	TS839	7/1/1995	10/1/2013	1825	N	130	0
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	M2	Mkt Storage	95	999021	MKT	65	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	65	0				
P	MQ	Oronogo	95	132018	MKT	130	0				
D	"Oronogo Missouri, City Of"	170080857	N	STS-P	TS839	7/1/1995	10/1/2013	1825	N	67	0
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
A	"CIMA Energy, LTD"	N									
P	M2	CIG Floris	95	15266	PRD	67	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	67	0				
D	"Panhandle Natural Gas, Inc."	31034424	N	STS	TS538	10/1/1993	10/1/2013	1825	N	0	1881
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	IJ	Prd Storage	95	999020	PRD	0	14				
P	WR	Prd Storage	95	999020	PRD	0	57				
D	"Panhandle Natural Gas, Inc."	31034424	N	STS-P	TS538	10/1/1993	10/1/2013	1825	N	110	0
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	M2	Questar Skull Creek	95	15236	PRD	2	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	51	0				
P	M2	Prd Storage	95	999020	PRD	57	0				
P	MQ	Gate	95	70610	PRD	110	0				
D	"Reading Kansas, City Of"	5887732	N	STS	TS604	10/1/1993	10/1/2013	1825	N	0	3003
A	Constellation NewEnergy - Gas Division LLC	N									
P	IJ	Mkt Storage	95	999021	MKT	0	23				
P	WR	Mkt Storage	95	999021	MKT	0	91				
D	"Reading Kansas, City Of"	5887732	N	STS-M	TS604	10/1/1993	10/1/2013	1825	N	170	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Mkt Storage	95	999021	MKT	91	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	79	0				
P	MQ	Reading	95	151525	MKT	170	0				
D	"Reading Kansas, City Of"	5887732	N	STS-P	TS604	10/1/1993	10/1/2013	1825	N	82	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Targa - Waynoka	95	16912	PRD	82	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	82	0				
D	Wakita Utilities Authority	50536598	N	STS	TS618	10/1/1993	10/1/2013	1825	N	0	5973
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	IJ	Prd Storage	95	999020	PRD	0	45				
P	WR	Prd Storage	95	999020	PRD	0	181				
D	Wakita Utilities Authority	50536598	N	STS-P	TS618	10/1/1993	10/1/2013	1825	N	352	0
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	M2	Questar Skull Creek	95	15236	PRD	8	0				
P	M2	Salt Plains Storage (Withdrawal)	95	16376	PRD	163	0				
P	M2	Prd Storage	95	999020	PRD	181	0				
P	MQ	Wakita	95	180311	PRD	352	0				
D	Wann Public Works Authority	11370856	N	STS	TS619	10/1/1993	10/1/2013	1825	N	0	1716
A	"Clearwater Enterprises, L.L.C."	N									
P	IJ	Mkt Storage	95	999021	MKT	0	13				
P	WR	Mkt Storage	95	999021	MKT	0	52				
D	Wann Public Works Authority	11370856	N	STS-M	TS619	10/1/1993	10/1/2013	1825	N	84	0
A	"Clearwater Enterprises, L.L.C."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	32	0				
P	M2	Mkt Storage	95	999021	MKT	52	0				
P	MQ	Wann	95	181715	MKT	84	0				
D	Wann Public Works Authority	11370856	N	STS-P	TS619	10/1/1993	10/1/2013	1825	N	33	0
A	"Clearwater Enterprises, L.L.C."	N									
P	M2	CIG Floris	95	15266	PRD	33	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	33	0				
D	Atmos Energy Corporation	108203241	N	TSS	TS7927	10/1/2005	10/1/2010	1825	N	0	35706
A	"Centerpoint Energy Services, Inc."	N									
P	IJ	Prd Storage	95	999020	PRD	0	268				
P	WR	Prd Storage	95	999020	PRD	0	1082				
D	Atmos Energy Corporation	108203241	N	TSS-P	TS7927	10/1/2005	10/1/2010	1825	N	2164	0
A	"Centerpoint Energy Services, Inc."	N									
P	M2	Prd Storage	95	999020	PRD	1082	0				
P	M2	CIG Floris	95	15266	PRD	1072	0				
P	M2	LINN - Jayhawk	95	16289	PRD	10	0				
P	MQ	Danville	95	55502	PRD	38	0				
P	MQ	Anthony	95	77705	PRD	2126	0				
D	Atmos Energy Corporation	108203241	N	TSS	TS7928	10/1/2005	12/1/2015	1825	N	0	3044679
A	"Centerpoint Energy Services, Inc."	N									
P	IJ	Mkt Storage	95	999021	MKT	0	22835				
P	WR	Mkt Storage	95	999021	MKT	0	92263				
D	Atmos Energy Corporation	108203241	N	TSS-M	TS7928	10/1/2005	12/1/2015	1825	N	162500	0
A	"Centerpoint Energy Services, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	62500	0				
P	M2	Mkt Storage	95	999021	MKT	92263	0				
P	M2	EGT Jane - Receipt	95	10997	MKT	7737	0				
P	MQ	"Olathe, KS Naval Base TB"	95	13604	MKT	5000	0				
P	MQ	South Olathe TB	95	16013	MKT	37000	0				
P	MQ	Atmos Energy - W. Lawrence Del.	95	16988	MKT	400	0				
P	MQ	Atmos - Forest View	95	17050	MKT	1918	0				
P	MQ	Florence	95	46809	MKT	561	0				
P	MQ	"Bourbon County, KS"	95	48015	MKT	2144	0				
P	MQ	Bonner Springs Ks	95	77308	MKT	10574	0				
P	MQ	"Eureka, Toronto & Neal"	95	77512	MKT	2560	0				
P	MQ	Hamilton Ks	95	80312	MKT	201	0				
P	MQ	Atmos - Strong Cty & Cottonwood Falls TB	95	80515	MKT	1150	0				
P	MQ	Severy	95	157025	MKT	165	0				
P	MQ	Chetopa & Rural	95	168612	MKT	683	0				
P	MQ	Edna & Bartlett	95	168620	MKT	254	0				
P	MQ	Conner Area	95	172812	MKT	25	0				
P	MQ	Easton & Lowemont	95	172820	MKT	416	0				
P	MQ	Savonburg & Elsmore	95	172822	MKT	20	0				
P	MQ	Fall River	95	172828	MKT	144	0				
P	MQ	Galesburg	95	172832	MKT	90	0				
P	MQ	Atmos Energy - Olathe	95	172834	MKT	22628	0				
P	MQ	Havana	95	172836	MKT	52	0				
P	MQ	Hillsdale	95	172838	MKT	109	0				
P	MQ	Jarbalo	95	172844	MKT	36	0				
P	MQ	Kickapoo	95	172848	MKT	146	0				
P	MQ	Liberty	95	172855	MKT	689	0				
P	MQ	Linwood	95	172857	MKT	855	0				
P	MQ	Mc Cune	95	172860	MKT	260	0				
P	MQ	Moorehead	95	172862	MKT	13	0				
P	MQ	Moorehead Rural	95	172864	MKT	159	0				
P	MQ	Mound Valley	95	172866	MKT	220	0				
P	MQ	Niotaze	95	172870	MKT	49	0				
P	MQ	Pleasant Valley	95	172880	MKT	289	0				
P	MQ	Reno Area	95	172885	MKT	12	0				
P	MQ	Wyandotte	95	172892	MKT	19422	0				
P	MQ	Coffeyville Area	95	172944	MKT	8500	0				
P	MQ	Lawrence Plt Atmos	95	332501	MKT	1	0				
P	MQ	Johnson Co.	95	104	MKT	646	0				
P	MQ	Hot Mix Operations	95	106	MKT	103	0				
P	MQ	Uc Flint Oaks Hunt Club	95	176	MKT	6	0				
P	MQ	"Olathe, KS"	95	1103	MKT	20000	0				
P	MQ	"South Glavin, KS TB"	95	9657	MKT	20000	0				
P	MQ	"Olathe, KS East TB"	95	10847	MKT	5000	0				
D	"Auburn, Kansas, City of"	65349615	N	TSS	TS878	8/1/1996	11/1/2015	1825	N	0	33000
A	National Public Gas Agency	N									
P	IJ	Mkt Storage	95	999021	MKT	0	248				
P	WR	Mkt Storage	95	999021	MKT	0	1000				
D	"Auburn, Kansas, City of"	65349615	N	TSS-M	TS878	8/1/1996	11/1/2015	1825	N	1500	0
A	National Public Gas Agency	N									
P	M2	Mkt Storage	95	999021	MKT	1000	0				
P	M2	Prd/Mkt Interface	95	999000	MKT	500	0				
P	MQ	Auburn	95	38021	MKT	1500	0				
D	"Auburn, Kansas, City of"	65349615	N	TSS-P	TS878	8/1/1996	11/1/2015	1825	N	524	0
A	National Public Gas Agency	N									
P	M2	CIG Floris	95	15266	PRD	524	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	524	0				
D	"Black Hills Utility Holdings, Inc."	809024784	N	TSS	TS8658	4/1/2004	10/1/2016	1825	N	0	694221
P	IJ	Mkt Storage	95	999021	MKT	0	5207				
P	WR	Mkt Storage	95	999021	MKT	0	21037				
D	"Black Hills Utility Holdings, Inc."	809024784	N	TSS-M	TS8658	4/1/2004	10/1/2016	1825	N	34830	0
P	M2	Prd/Mkt Interface	95	999000	MKT	13793	0				
P	M2	Mkt Storage	95	999021	MKT	21037	0				
P	MQ	Americus	95	35013	MKT	420	0				
P	MQ	Black Hills - Lawrence	95	96108	MKT	34250	0				
P	MQ	Neosho Rapids	95	121315	MKT	122	0				
P	MQ	Olivet	95	129712	MKT	38	0				
D	"Black Hills Utility Holdings, Inc."	809024784	N	TSS-P	TS8658	4/1/2004	10/1/2016	1825	N	12421	0
P	M2	OFS Maysville	95	7158	PRD	468	0				
P	M2	DCP Mustang Plt	95	14377	PRD	936	0				
P	M2	EOIT Noble	95	15011	PRD	534	0				
P	M2	CIG Floris	95	15266	PRD	3136	0				
P	M2	DCP - Sholem	95	15857	PRD	936	0				
P	M2	LINN - Jayhawk	95	16289	PRD	2527	0				
P	M2	Superior - Hemphill	95	16820	PRD	3884	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	12421	0				
D	"Chanute Kansas, City Of"	73071607	N	TSS	TS7710	5/1/2005	10/1/2017	1825	N	0	164967
A	Cornerstone Energy Inc.	N									
A	Constellation NewEnergy - Gas Division LLC	N									
A	"EMG, Inc."	N									
P	IJ	Mkt Storage	95	999021	MKT	0	1237				
P	WR	Mkt Storage	95	999021	MKT	0	4999				
D	"Chanute Kansas, City Of"	73071607	N	TSS-M	TS7710	5/1/2005	10/1/2017	1825	N	7500	0
A	Constellation NewEnergy - Gas Division LLC	N									
A	Cornerstone Energy Inc.	N									
A	"EMG, Inc."	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	2501	0				
P	M2	Mkt Storage	95	999021	MKT	4999	0				
P	MQ	Chanute	95	46608	MKT	7500	0				
D	"Chanute Kansas, City Of"	73071607	N	TSS-P	TS7710	5/1/2005	10/1/2017	1825	N	2658	0
A	"EMG, Inc."	N									
A	Cornerstone Energy Inc.	N									
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	LINN - Jayhawk	95	16289	PRD	2658	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	2658	0				
D	"City Utilities Of Springfield, Missouri"	6852255	N	TSS	TS518	10/1/1993	10/1/2018	0	N	0	708114
A	"Energy Authority, Inc., The"	N									
P	IJ	Mkt Storage	95	999021	MKT	0	5311				
P	WR	Mkt Storage	95	999021	MKT	0	21458				
D	"City Utilities Of Springfield, Missouri"	6852255	N	TSS-M	TS518	10/1/1993	10/1/2018	0	N	32187	0
A	"Energy Authority, Inc., The"	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	10729	0				
P	M2	Mkt Storage	95	999021	MKT	21458	0				
P	MQ	Springfield	95	42915	MKT	32187	0				
D	"Empire District Gas Company, The"	625371880	N	TSS	TS557	10/1/1993	11/1/2018	0	N	0	867207
A	"Energy Support Providers, Llc"	N									
P	IJ	Mkt Storage	95	999021	MKT	0	6504				
P	WR	Mkt Storage	95	999021	MKT	0	26279				
D	"Empire District Gas Company, The"	625371880	N	TSS-M	TS557	10/1/1993	11/1/2018	0	N	42000	0
A	"Energy Support Providers, Llc"	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	15721	0				
P	M2	Mkt Storage	95	999021	MKT	26279	0				
P	MQ	Clinton & Leeton	95	113812	MKT	4572	0				
P	MQ	Marshall	95	113852	MKT	6714	0				
P	MQ	Nevada	95	113856	MKT	6453	0				
P	MQ	Platte City	95	113864	MKT	2003	0				
P	MQ	Lexington-Richmond-Henrietta	95	113872	MKT	6401	0				
P	MQ	Sedalia	95	113876	MKT	15009	0				
P	MQ	Tracy	95	113880	MKT	86	0				
P	MQ	Weston	95	113892	MKT	762	0				
D	"Empire District Gas Company, The"	625371880	N	TSS-P	TS557	10/1/1993	11/1/2018	0	N	14119	0
A	"Energy Support Providers, Llc"	N									
P	M2	OFS Maysville	95	7158	PRD	3550	0				
P	M2	DCP Mustang Plt	95	14377	PRD	1064	0				
P	M2	CIG Floris	95	15266	PRD	6441	0				
P	M2	DCP - Sholem	95	15857	PRD	1064	0				
P	M2	Enbridge Hobart	95	16330	PRD	1459	0				
P	M2	Cheyenne Plains - Sand Dune	95	16813	PRD	541	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	14119	0				
D	"Falls City, Nebraska"	72919327	N	TSS	TS21559	2/1/2014	11/1/2015	1825	N	0	83490
A	Clayton Energy Corporation	N									
P	IJ	Mkt Storage	95	999021	MKT	0	626				
P	WR	Mkt Storage	95	999021	MKT	0	2530				
D	"Falls City, Nebraska"	72919327	N	TSS-M	TS21559	2/1/2014	11/1/2015	1825	N	4415	0
A	Clayton Energy Corporation	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	1885	0				
P	M2	Mkt Storage	95	999021	MKT	2530	0				
P	MQ	Falls City	95	9026	MKT	4415	0				
D	"Falls City, Nebraska"	72919327	N	TSS-P	TS21559	2/1/2014	11/1/2015	1825	N	1934	0
A	Clayton Energy Corporation	N									
P	M2	EOIT McClain	95	15142	PRD	1588	0				
P	M2	OFS Stateline	95	15300	PRD	346	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	1934	0				
D	"Ford Ks, City Of"	611875832	N	TSS	TS535	10/1/1993	10/1/2013	1825	N	0	3069
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	IJ	Prd Storage	95	999020	PRD	0	23				
P	WR	Prd Storage	95	999020	PRD	0	93				
D	"Ford Ks, City Of"	611875832	N	TSS-P	TS535	10/1/1993	10/1/2013	1825	N	146	0
A	"CIMA Energy, LTD"	N									
A	"Pro Solutions, L.L.C. d/b/a Pro Energy Solutions"	N									
P	M2	Prd Storage	95	999020	PRD	93	0				
P	M2	LINN - Jayhawk	95	16289	PRD	53	0				
P	MQ	Ford	95	68015	PRD	146	0				
D	Grove Municipal Services Authority	184548741	N	TSS	TS836	7/1/1995	10/1/2008	1825	N	0	85734
A	Constellation NewEnergy - Gas Division LLC	N									
P	IJ	Mkt Storage	95	999021	MKT	0	643				
P	WR	Mkt Storage	95	999021	MKT	0	2598				
D	Grove Municipal Services Authority	184548741	N	TSS-M	TS836	7/1/1995	10/1/2008	1825	N	5196	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Prd/Mkt Interface	95	999000	MKT	2598	0				
P	M2	Mkt Storage	95	999021	MKT	2598	0				
P	MQ	Afton-Fairland-Grove-Jay	95	122715	MKT	5196	0				
D	Grove Municipal Services Authority	184548741	N	TSS-P	TS836	7/1/1995	10/1/2008	1825	N	2656	0
A	Constellation NewEnergy - Gas Division LLC	N									
P	M2	Oneok Westex Hemphill	95	16584	PRD	2656	0				
P	MQ	Prd/Mkt Interface	95	999000	PRD	2656	0				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS	TS623	10/1/1993	10/1/1998	1825	N	0	486552
P	IJ	Mkt Storage	95	999021	MKT	0	3649				
P	WR	Mkt Storage	95	999021	MKT	0	14744				
D	"Kansas Gas Service, a division of ONE Gas, Inc."	79254828	N	TSS-M	TS623	10/1/1993	10/1/1998	1825	N	22116	0
P	M2	Prd/Mkt Interface	95	999000	MKT	7372	0				
P	M2	Mkt Storage	95	999021	MKT	14744	0				
P	MQ	Overland Park	95	16952	MKT	5093	0				
P	MQ	Goessel	95	18328	MKT	16	0				
P	MQ	Lyndon	95	19548	MKT	57	0				
P	MQ	Melvern	95	19552	MKT	16	0				
P	MQ	Michigan Valley	95	19554	MKT	2	0				
P	MQ	Pomona	95	19564	MKT	27	0				
P	MQ	Quenemo	95	19568	MKT	11	0				
P	MQ	Scranton	95	19576	MKT	121	0				
P	MQ	Baldwin	95	19608	MKT	123	0				
P	MQ	Edgerton	95	19620	MKT	27	0				
P	MQ	Gardner	95	19628	MKT	97	0				
P	MQ	Lecompton	95	19648	MKT	16	0				
P	MQ	Le Loup	95	19650	MKT	1	0				
P	MQ	Perry	95	19664	MKT	35	0				
P	MQ	Princeton	95	19666	MKT	7	0				
P	MQ	Richmond	95	19672	MKT	17	0				
P	MQ	Scipio	95	19676	MKT	1	0				
P	MQ	Somerset & Rural	95	19678	MKT	4	0				
P	MQ	Tonganoxie	95	19684	MKT	108	0				
P	MQ	Wellsville	95	19690	MKT	72	0				
P	MQ	Bronson Etc	95	20709	MKT	67	0				
P	MQ	Carlyle	95	20712	MKT	1	0				
P	MQ	Cherryvale	95	20714	MKT	146	0				
P	MQ	Colony	95	20716	MKT	21	0				
P	MQ	Dennis	95	20720	MKT	2	0				
P	MQ	Erie	95	20725	MKT	124	0				
P	MQ	Gas City & La Harpe	95	20730	MKT	92	0				
P	MQ	Parsons	95	20764	MKT	696	0				
P	MQ	Petrolia	95	20766	MKT	2	0				
P	MQ	Piqua	95	20768	MKT	4	0				
P	MQ	South Mound	95	20775	MKT	1	0				
P	MQ	Thayer	95	20785	MKT	19	0				
P	MQ	Walnut & St Paul	95	20788	MKT	40	0				
P	MQ	Welda	95	20792	MKT	7	0				
P	MQ	Baxter Springs	95	21008	MKT	228	0				
P	MQ	Columbus	95	21015	MKT	187	0				
P	MQ	Crestline	95	21018	MKT	2	0				
P	MQ	Fort Scott	95	21021	MKT	530	0				
P	MQ	Galena & Empire City	95	21024	MKT	170	0				
P	MQ	Lowell	95	21048	MKT	6	0				
P	MQ	N Riverton	95	21055	MKT	23	0				
P	MQ	Oswego	95	21060	MKT	81	0				
P	MQ	Treece	95	21080	MKT	6	0				
P	MQ	Grantville	95	24228	MKT	6	0				
P	MQ	Meriden	95	24252	MKT	29	0				
P	MQ	Shawnee Heights	95	24276	MKT	49	0				
P	MQ	Topeka	95	24280	MKT	3271	0				
P	MQ	Andover	95	27040	MKT	195	0				
P	MQ	Atchison	95	29001	MKT	665	0				
P	MQ	Emporia	95	29002	MKT	957	0				
P	MQ	Leavenworth	95	29003	MKT	1271	0				
P	MQ	Effingham	95	29005	MKT	24	0				
P	MQ	Sherwin	95	154	MKT	49	0				
P	MQ	South Gardner	95	164	MKT	97	0				
P	MQ	Arma-Girard-Pittsburg	95	206	MKT	1450	0				
P	MQ	Cher-Scam-W. Min-Carona-Weir	95	207	MKT	55	0				
P	MQ	Arkansas City	95	501	MKT	665	0				
P	MQ	Ks Mkt Domestics	95	710	MKT	41	0				
P	MQ	Barnard	95	3508	MKT	6	0				
P	MQ	Ellsworth	95	3520	MKT	141	0				
P	MQ	Geneseo	95	3528	MKT	15	0				
P	MQ	Kanopolis	95	3544	MKT	27	0				
P	MQ	Lincoln	95	3548	MKT	87	0				
P	MQ	Lucas	95	3551	MKT	25	0				
P	MQ	Luray	95	3553	MKT	10	0				
P	MQ	Minneapolis	95	3555	MKT	108	0				
P	MQ	Sylvan Grove	95	3576	MKT	23	0				
P	MQ	Vesper	95	3588	MKT	1	0				
P	MQ	Beloit	95	3608	MKT	243	0				
P	MQ	Burr Oak	95	3610	MKT	15	0				
P	MQ	Cawker City	95	3612	MKT	27	0				
P	MQ	Downs	95	3616	MKT	59	0				
P	MQ	Esbon	95	3620	MKT	8	0				
P	MQ	Formosa	95	3624	MKT	4	0				
P	MQ	Glen Elder	95	3628	MKT	13	0				
P	MQ	Jewell	95	3640	MKT	30	0				
P	MQ	Lebanon	95	3648	MKT	17	0				
P	MQ	Mankato	95	3652	MKT	69	0				
P	MQ	Montrose	95	3654	MKT	1	0				
P	MQ	Osborne	95	3660	MKT	108	0				
P	MQ	Smith Center	95	3676	MKT	119	0				
P	MQ	Atlanta	95	6704	MKT	7	0				
P	MQ	Benton	95	6712	MKT	19	0				
P	MQ	Burden	95	6714	MKT	18	0				
P	MQ	Cambridge	95	6716	MKT	4	0				
P	MQ	Dexter	95	6720	MKT	10	0				
P	MQ	El Dorado	95	6724	MKT	661	0				
P	MQ	Potwin	95	6764	MKT	19	0				
P	MQ	Towanda	95	6780	MKT	34	0				
P	MQ	Grenola	95	6828	MKT	8	0				
P	MQ	Madison	95	6852	MKT	46	0				
P	MQ	Olpe	95	6860	MKT	16	0				
P	MQ	Circleville	95	9012	MKT	11	0				
P	MQ	Everest	95	9020	MKT	16	0				
P	MQ	Fairview	95	9024	MKT	12	0				
P	MQ	Hamlin	95	9032	MKT	2	0				
