H	"GULF SOUTH PIPELINE COMPANY, LP"	C000591	2/13/2018	R	1/1/2018	T	T	NATALIE LAWRENCE 713-479-8208				
A	BLACKBELT ENERGY	N										
P	MQ	FRANKLINTON CITY GATE	95	2599	SYSTEM 	629	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	126	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	188	0					
P	M2	WAVELAND FIELD C.P. #1	95	2881	SYSTEM 	315	0					
D	"GARRISON, CITY OF"	16520959	N	FTS-SCO	40832	4/1/2014	3/31/2019		N	350	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	350	0					
P	MQ	GARRISON CITY GATE	95	562	SYSTEM 	350	0					
D	"GARRISON, CITY OF"	16520959	N	NNS-SCO	40842	4/1/2014	3/31/2019		N	568	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	MQ	GARRISON CITY GATE	95	562	SYSTEM 	568	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	114	0					
P	M2	POOLING AREA #8	95	11468	SYSTEM 	284	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	170	0					
D	"GARY, CITY OF"	20620985	N	NNS-SCO	40829	4/1/2014	3/31/2019		N	1124	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	MQ	GARY CITY GATE	95	579	SYSTEM 	1124	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	225	0					
P	M2	POOLING AREA #8	95	11468	SYSTEM 	562	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	337	0					
D	"GARY, CITY OF"	20620985	N	FTS-SCO	40841	4/1/2014	3/31/2019		N	625	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	625	0					
P	MQ	GARY CITY GATE	95	579	SYSTEM 	625	0					
D	"GONZALES, CITY OF"	174890681	N	NNS-SCO	39552	4/1/2012	3/31/2014	1825	N	1080	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	CL&F #7-1 WELL	95	21611	SYSTEM 	540	0					
P	MQ	GONZALES CITY GATE	95	8	SYSTEM 	1080	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	216	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	324	0					
D	"GONZALES, CITY OF"	174890681	N	FTS-SCO	39554	4/1/2012	3/31/2014	1825	N	2204	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	CL&F #7-1 WELL	95	21611	SYSTEM 	2204	0					
P	MQ	GONZALES CITY GATE	95	8	SYSTEM 	2204	0					
D	"HORNBECK, TOWN OF"	86263274	N	FTS-SCO	36236	4/1/2009	3/31/2019		N	720	0	
A	BLACKBELT ENERGY	N										
P	M2	BRACKY BRANCH C.P.	95	8999	SYSTEM 	720	0					
P	MQ	HORNBECK & ANACOCO CITY GATE	95	3009	SYSTEM 	720	0					
D	"HORNBECK, TOWN OF"	86263274	N	NNS-SCO	36237	4/1/2009	4/30/2023		N	480	0	
A	BLACKBELT ENERGY	N										
P	M2	BRACKY BRANCH C.P.	95	8999	SYSTEM 	240	0					
P	MQ	HORNBECK & ANACOCO CITY GATE	95	3009	SYSTEM 	480	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	96	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	144	0					
D	"HUNTINGTON, CITY OF"	48067920	N	FTS-SCO	40835	4/1/2014	3/31/2019		N	119	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	119	0					
P	MQ	HUNTINGTON CITY GATE	95	489	SYSTEM 	119	0					
D	"HUNTINGTON, CITY OF"	48067920	N	NNS-SCO	45507	4/1/2016	3/31/2019		N	500	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	250	0					
P	MQ	HUNTINGTON CITY GATE	95	489	SYSTEM 	500	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	100	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	150	0					
D	"HUXLEY, CITY OF"	167163971	N	NNS-SCO	40877	4/1/2014	3/31/2019		N	4195	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	DCP EAST TEXAS PLANT (LEGACY AREA 	95	22323	SYSTEM 	2098	0					
P	MQ	HUXLEY AGGREGATE MAGNUM GAS	95	23204	SYSTEM 	4195	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	839	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1258	0					
D	"HUXLEY, CITY OF"	167163971	N	FTS-SCO	40884	4/1/2014	3/31/2019		N	1418	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	1418	0					
P	MQ	HUXLEY AGGREGATE MAGNUM GAS	95	23204	SYSTEM 	1418	0					
D	"IOTA, TOWN OF"	11607942	N	FTS-SCO	36312	4/1/2009	3/31/2019		N	390	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	390	0					
P	MQ	IOTA CITY GATE	95	2946	SYSTEM 	390	0					
D	"IOTA, TOWN OF"	11607942	N	NNS-SCO	36313	4/1/2009	3/31/2019		N	260	0	
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	130	0					
P	MQ	IOTA CITY GATE	95	2946	SYSTEM 	260	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	52	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	78	0					
D	"KAPLAN, CITY OF"	52181682	N	FTS-SCO	40863	4/1/2014	3/31/2019		N	1405	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	CAPLIS WELL (BOMAR)	95	20723	SYSTEM 	100	0					
P	MQ	KAPLAN CITY GATE	95	2947	SYSTEM 	1405	0					
P	M2	KIMBRELL ESTATE #1 WELL	95	4686	SYSTEM 	55	0					
P	M2	TBM SABINE PARISH	95	23150	SYSTEM 	1250	0					
D	"KAPLAN, CITY OF"	52181682	N	NNS-SCO	40868	4/1/2014	3/31/2019		N	1395	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	697	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	279	0					
P	MQ	KAPLAN CITY GATE	95	2947	SYSTEM 	1395	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	419	0					
D	"KENTWOOD LOUISIANA, TOWN OF"	82619198	N	FTS-SCO	36239	4/1/2009	3/31/2019		N	454	0	
A	BLACKBELT ENERGY	N										
P	MQ	KENTWOOD CITY GATE	95	2432	SYSTEM 	454	0					
P	M2	POOLING AREA #3	95	11463	SYSTEM 	454	0					
D	"KENTWOOD LOUISIANA, TOWN OF"	82619198	N	NNS-SCO	36240	4/1/2009	4/30/2023		N	700	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	350	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	140	0					
P	MQ	KENTWOOD CITY GATE	95	2432	SYSTEM 	700	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	210	0					
D	"KINDER, TOWN OF"	16502023	N	FTS-SCO	36242	4/1/2009	3/31/2019		N	820	0	
A	BLACKBELT ENERGY	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	525	0					
P	M2	LA MINERALS COMMON POINT	95	21733	SYSTEM 	295	0					
P	MQ	LMGA - KINDER AGGREGATE	95	10129	SYSTEM 	820	0					
D	"KINDER, TOWN OF"	16502023	N	NNS-SCO	36243	4/1/2009	4/30/2023		N	480	0	
A	BLACKBELT ENERGY	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	240	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	96	0					
P	MQ	LMGA - KINDER AGGREGATE	95	10129	SYSTEM 	480	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	144	0					
D	"KOCH ENERGY SERVICES, LLC"	832703297	N	FSS-B	45601	4/1/2016	3/31/2018		N	0	1000000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	7900					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	7900					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	14300					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	14300					
D	"KOCH ENERGY SERVICES, LLC"	832703297	N	FSS-B	45615	4/1/2016	3/31/2018		N	0	1000000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	7900					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	7900					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	14300					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	14300					
D	"KOCH ENERGY SERVICES, LLC"	832703297	N	FSS-B	47681	4/1/2017	3/31/2019		N	0	1000000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	7900					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	7900					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	14300					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	14300					
D	LIVINGSTON GAS & UTILITY CO	844725648	N	FTS-SCO	40828	4/1/2014	3/31/2019		N	471	0	
A	BLACKBELT ENERGY	N										
P	MQ	LIVINGSTON GAS & UTILITY AGGREGATE	95	22089	SYSTEM 	381	0					
P	MQ	LIVINGSTON PARISH (FROM TRANSCO)	95	8078	SYSTEM 	90	0					
P	M2	PETAL STO LEG (FROM PETAL VIA GS L	95	10736	SYSTEM 	471	0					
D	LIVINGSTON GAS & UTILITY CO	844725648	N	NNS-SCO	40830	4/1/2014	4/30/2023		N	1101	0	
A	BLACKBELT ENERGY	N										
P	M2	DUKE - MOBILE BAY	95	15912	SYSTEM 	551	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	220	0					
P	MQ	LIVINGSTON GAS & UTILITY AGGREGATE	95	22089	SYSTEM 	991	0					
P	MQ	LIVINGSTON PARISH (FROM TRANSCO)	95	8078	SYSTEM 	110	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	330	0					
D	LIVINGSTON PARISH GAS UTILITY DISTRICT #1	968754093	N	FTS-SCO	36248	4/1/2009	3/31/2019		N	572	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	572	0					
P	MQ	LIVINGSTON PARISH AGGREGATE 04	95	10130	SYSTEM 	572	0					
D	LIVINGSTON PARISH GAS UTILITY DISTRICT #1	968754093	N	NNS-SCO	36249	4/1/2009	4/30/2023		N	450	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	225	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	90	0					
P	MQ	LIVINGSTON PARISH AGGREGATE 04	95	10130	SYSTEM 	450	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	135	0					
D	"LIVINGSTON, VILLAGE OF"	874846538	N	FTS-SCO	36251	4/1/2009	3/31/2019		N	259	0	
A	BLACKBELT ENERGY	N										
P	MQ	LIVINGSTON CITY GATE	95	116	SYSTEM 	259	0					
P	M2	WAVELAND FIELD C.P. #1	95	2881	SYSTEM 	259	0					
D	"LIVINGSTON, VILLAGE OF"	874846538	N	NNS-SCO	36252	4/1/2009	4/30/2023		N	240	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	120	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	48	0					
P	MQ	LIVINGSTON CITY GATE	95	116	SYSTEM 	240	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	72	0					
D	MACQUARIE ENERGY LLC	798846036	N	FSS-B	45616	4/1/2016	3/31/2018		N	0	1250000	
P	IJ	BISTINEAU INJECTION	95	10401	SYSTEM 	0	9875					
P	IJ	BISTINEAU INJECTION EXPANSION	95	22806	SYSTEM 	0	9875					
P	WR	BISTINEAU WITHDRAWAL	95	10402	SYSTEM 	0	17875					
P	WR	BISTINEAU WITHDRAWAL EXPANSION	95	22807	SYSTEM 	0	17875					
D	MACQUARIE ENERGY LLC	798846036	N	FSS-P	47767	4/1/2017	3/31/2018		N	0	500000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	12500					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	25000					
D	MACQUARIE ENERGY LLC	798846036	N	FSS-P	47770	4/1/2017	3/31/2018		N	0	500000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	12500					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	25000					
D	MADISONVILLE TOWN OF	968456301	N	FTS-SCO	36254	4/1/2009	3/31/2019		N	1400	0	
A	BLACKBELT ENERGY	N										
P	MQ	MADISONVILLE CITY GATE	95	2443	SYSTEM 	1400	0					
P	M2	POOLING AREA #3	95	11463	SYSTEM 	500	0					
P	M2	RACELAND (FROM TEXAS EASTERN)	95	8455	SYSTEM 	900	0					
D	MADISONVILLE TOWN OF	968456301	N	FTS-SCO	36255	10/1/2009	3/31/2019		N	4000	0	
A	BLACKBELT ENERGY	N										
P	M2	DUPONT 38 #1 WELL (GOODRICH)	95	13478	SYSTEM 	4000	0					
P	MQ	MADISONVILLE CITY GATE #2	95	21911	SYSTEM 	4000	0					
D	MADISONVILLE TOWN OF	968456301	N	NNS-SCO	36256	4/1/2009	4/30/2023		N	600	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	300	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	120	0					
P	MQ	MADISONVILLE CITY GATE	95	2443	SYSTEM 	300	0					
P	MQ	MADISONVILLE CITY GATE #2	95	21911	SYSTEM 	300	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	180	0					
D	"MERCURIA ENERGY AMERICA, INC."	831749127	N	FSS-P	47687	4/1/2017	3/31/2018		N	0	500000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	12500					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	25000					
D	METHANEX LOUISIANA LLC	10882	N	FTS	42805	1/1/2016	12/31/2026		Y	100000	0	
A	BP ENERGY COMPANY	N										
P	MQ	METHANEX GEISMER 2	95	24255	SYSTEM 	100000	0					
P	M2	PERRYVILLE EXCHANGE POINT	95	23039	SYSTEM 	100000	0					
D	"MILTON, FLORIDA, CITY OF"	38019956	N	NNS-SCO	42328	4/1/2015	3/31/2020		N	6500	0	
A	UTILITY MANAGEMENT CORPORATION	N										
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1300	0					
P	MQ	MILTON CITY GATE	95	2543	SYSTEM 	6450	0					
P	MQ	STERLING FIBERS @ PENSACOLA	95	2540	SYSTEM 	50	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1950	0					
P	M2	VERNON FIELD CP #2	95	21459	SYSTEM 	3250	0					
D	"MISSISSIPPI RIVER GAS, LLC"	102763104	N	NNS-SCO	45701	4/1/2016	3/31/2021		N	180	0	
A	INTERCONN RESOURCES INC	N										
P	MQ	BOGUE CHITTO/NORFIELD CITY GATE	95	2550	SYSTEM 	180	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	36	0					
P	M2	POOLING AREA #11	95	17159	SYSTEM 	90	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	54	0					
D	MOBILE ENERGY LLC	10861	N	FTS	42488	11/1/2014	10/31/2024		Y	40000	0	
A	"EDF TRADING NORTH AMERICA, LLC"	N										
P	M2	PERRYVILLE EXCHANGE POINT	95	23039	SYSTEM 	40000	0					
P	MQ	WHISTLER JUNCTION (TO MOBILE GAS)	95	20776	SYSTEM 	40000	0					
D	MOBILE GAS SERVICE CORP	6901094	N	NNS	38531	4/1/2011	4/30/2023		Y	24000	0	
A	BP ENERGY COMPANY	N										
P	M2	DISCOVERY GAS TRANSMISSION	95	21805	SYSTEM 	2000	0					
P	M2	ERATH (FROM NGPL)	95	3260	SYSTEM 	5000	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	5000	0					
P	MQ	JACINTO PORT (BAYOU SARA JUNCTION)	95	20777	SYSTEM 	10000	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	4800	0					
P	MQ	MOBILE GAS HIGHWAY 225	95	21054	SYSTEM 	5	0					
P	MQ	MOBILE GAS SERVICE AGGREGATE	95	9972	SYSTEM 	3990	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	7200	0					
P	MQ	TOM GASTON ROAD/JEFF HAMILTON CITY	95	20975	SYSTEM 	5	0					
P	MQ	WHISTLER JUNCTION (TO MOBILE GAS)	95	20776	SYSTEM 	10000	0					
D	"MONTGOMERY, TOWN OF"	198750242	N	FTS-SCO	36258	4/1/2009	3/31/2019		N	360	0	
A	BLACKBELT ENERGY	N										
P	MQ	MONTGOMERY & CLARENCE (VILLAGES OF)	95	3355	SYSTEM 	360	0					
P	M2	SAMPLE #1 & #2 WELLS	95	4382	SYSTEM 	360	0					
D	"MONTGOMERY, TOWN OF"	198750242	N	NNS-SCO	36259	4/1/2009	4/30/2023		N	240	0	
A	BLACKBELT ENERGY	N										
P	M2	BRACKY BRANCH C.P.	95	8999	SYSTEM 	120	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	48	0					
P	MQ	MONTGOMERY & CLARENCE (VILLAGES OF)	95	3355	SYSTEM 	240	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	72	0					
D	MONTPELIER VILLAGE OF	26131888	N	FTS-SCO	36261	4/1/2009	3/31/2019		N	96	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	96	0					
P	MQ	MONTPELIER & PINE GROVE CITY GATE	95	2549	SYSTEM 	96	0					
D	MONTPELIER VILLAGE OF	26131888	N	NNS-SCO	36262	4/1/2009	4/30/2023		N	64	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	32	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	13	0					
P	MQ	MONTPELIER & PINE GROVE CITY GATE	95	2549	SYSTEM 	64	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	19	0					
D	"MOREAUVILLE LOUISIANA, TOWN OF"	838113744	N	FTS-SCO	36269	4/1/2009	3/31/2019		N	525	0	
A	BLACKBELT ENERGY	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	525	0					
P	MQ	MOREAUVILLE CITY GATE	95	2951	SYSTEM 	525	0					
D	"MOREAUVILLE LOUISIANA, TOWN OF"	838113744	N	NNS-SCO	36270	4/1/2009	4/30/2023		N	350	0	
A	BLACKBELT ENERGY	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	175	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	70	0					
P	MQ	MOREAUVILLE CITY GATE	95	2951	SYSTEM 	350	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	105	0					
D	MOSS POINT CITY OF	87029443	N	NNS-SCO	39550	4/1/2012	3/31/2013	1825	N	6000	0	
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	1200	0					
P	MQ	MOSS POINT AGGREGATE	95	9960	SYSTEM 	6000	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1800	0					
P	M2	VENICE PLT (FROM TARGA MIDSTREAM)	95	464	SYSTEM 	3000	0					
D	MUNICIPAL ELECTRIC AUTHORITY OF GEORGIA	82824566	N	FSS-P	8479	1/1/2015	8/12/2023		N	0	200000	
A	"ENERGY AUTHORITY, INC., THE"	N										
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	5000					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	10000					
D	MUNICIPAL ELECTRIC AUTHORITY OF GEORGIA	82824566	N	FTS-P	8480	1/1/2015	8/12/2023		Y	10000	0	
A	"ENERGY AUTHORITY, INC., THE"	N										
P	MQ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	5000	0					
P	MQ	TRANSCO PETAL DELIVERY	95	109012	SYSTEM 	10000	0					
P	M2	TRANSCO PETAL RECEIPT	95	108012	SYSTEM 	5000	0					
P	M2	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	10000	0					
D	NEW SUMMERFIELD CITY OF	601514078	N	FTS-SCO	40883	4/1/2014	3/31/2019		N	2681	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	2681	0					
P	MQ	NEW SUMMERFIELD #1 CITY GATE	95	575	SYSTEM 	1366	0					
P	MQ	NEW SUMMERFIELD #2 CITY GATE	95	580	SYSTEM 	1315	0					
D	"NEWTON, CITY OF"	17433863	N	NNS-SCO	40849	4/1/2014	3/31/2019		N	750	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	150	0					
P	MQ	NEWTON CITY GATE	95	492	SYSTEM 	750	0					
P	M2	POOLING AREA #8	95	11468	SYSTEM 	375	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	225	0					
D	"NEWTON, CITY OF"	17433863	N	FTS-SCO	40860	4/1/2014	3/31/2019		N	500	0	
A	"MAGNUM GAS MARKETING, INC."	N										
P	M2	ALLENTOWN - FOUR SQUARE GAS	95	10708	SYSTEM 	500	0					
P	MQ	NEWTON CITY GATE	95	492	SYSTEM 	500	0					
D	NJR ENERGY SERVICES COMPANY	25715165	N	FSS-P	47771	4/1/2017	3/31/2018		N	0	600000	
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	15000					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	30000					
D	NORTH BALDWIN UTILITIES	198445496	N	NNS-SCO	45718	4/1/2016	3/31/2023		N	4000	0	
A	BP ENERGY COMPANY	N										
P	MQ	BAY MINETTE AGGREGATE - UMDG	95	9929	SYSTEM 	4000	0					
P	M2	CENTERVILLE (FROM ANR)	95	425	SYSTEM 	500	0					
P	M2	ERATH (FROM NGPL)	95	3260	SYSTEM 	1000	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	500	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	800	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	1200	0					
D	"NUCOR STEEL LOUISIANA, LLC"	965548188	N	FTS	40037	7/1/2013	6/30/2020		N	25000	0	
A	"MOBIUS RISK GROUP, LLC"	N										
P	MQ	NUCOR STEEL MILL	95	23091	SYSTEM 	25000	0					
P	M2	PERRYVILLE EXCHANGE POINT	95	23039	SYSTEM 	25000	0					
D	"OBERLIN, TOWN OF"	835398173	N	FTS-SCO	36272	4/1/2009	3/31/2019		N	456	0	
A	BLACKBELT ENERGY	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	456	0					
P	MQ	OBERLIN AGGREGATE SLN - LMGA	95	10131	SYSTEM 	456	0					
D	"OBERLIN, TOWN OF"	835398173	N	NNS-SCO	36273	4/1/2009	4/30/2023		N	304	0	
A	BLACKBELT ENERGY	N										
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	152	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	61	0					
P	MQ	OBERLIN AGGREGATE SLN - LMGA	95	10131	SYSTEM 	304	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	91	0					
D	OGLETHORPE POWER CORPORATION	73460305	N	FSS-P	8481	1/1/2015	8/11/2018		N	0	800000	
A	SCANA ENERGY MARKETING INC.	N										
P	IJ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	0	26667					
P	WR	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	0	80000					
D	OGLETHORPE POWER CORPORATION	73460305	N	FTS-P	8482	1/1/2015	8/11/2018		Y	80000	0	
A	SCANA ENERGY MARKETING INC.	N										
P	MQ	INJECTION TO STORAGE AT PPPP	95	50201	SYSTEM 	26667	0					
P	MQ	TRANSCO PETAL DELIVERY	95	109012	SYSTEM 	80000	0					
P	M2	TRANSCO PETAL RECEIPT	95	108012	SYSTEM 	26667	0					
P	M2	WITHDRAWAL FROM STORAGE AT PPPP	95	50202	SYSTEM 	80000	0					
D	OKALOOSA COUNTY GAS DIST	10387272	N	NNS	37337	4/1/2012	4/30/2023		Y	20000	0	
A	INFINITE ENERGY INC	N										
P	M2	CENTERVILLE (FROM ANR)	95	425	SYSTEM 	2500	0					
P	M2	ERATH (FROM NGPL)	95	3260	SYSTEM 	5000	0					
P	M2	ERATH (FROM SEA ROBIN)	95	4708	SYSTEM 	2500	0					
P	M2	JACKSON NNS STORAGE WITHDRAWAL	95	23600	SYSTEM 	4000	0					
P	MQ	OKALOOSA GAS AGGREGATE	95	21004	SYSTEM 	20000	0					
P	M2	STORAGE WITHDRW NNS-BISTINEAU	95	10755	SYSTEM 	6000	0					
D	"ONEOK ENERGY SERVICES COMPANY, LP"	808555879	N	FTS	34951	7/1/2008	6/30/2018		Y	100000	0	
P	M2	DELHI (FROM CENTERPOINT)	95	22110	SYSTEM 	100000	0					
P	MQ	ROCK SPRINGS/SCOTT MTN (TO TRANSCO	95	22108	SYSTEM 	100000	0					
D	"PALMETTO, VILLAGE OF"	32636391	N	FTS-SCO	36278	4/1/2009	3/31/2019		N	140	0	
A	BLACKBELT ENERGY	N										
P	M2	HENRY HUB (FROM SABINE)	95	10507	SYSTEM 	140	0					
