H	SOUTHERN NATURAL GAS COMPANY L.L.C.	C000021	4/2/2018	O	4/1/2018	T	T	Sherry Noack 713-420-3764				
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	450390-MFTSNG-464359	5/1/2017	10/31/2022		N	46000	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	AGL/SNG MACON WEST AREA MONROE	95	940055	Zone 3	10000	0					
P	MQ	AGL/SNG SOUTH ATLANTA CLAYTON	95	600078	Zone 3	36000	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	46000	0					
D	ATLANTA GAS LIGHT COMPANY	6924708	Y	FT	450390-MFTSNG-464361	5/1/2017	10/31/2019		N	12000	0	n1
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	AGL/SNG AUGUSTA AREA RICHMOND	95	940016	Zone 3	12000	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	12000	0					
D	ATMOS  ENERGY  CORPORATION	613205723	N	FT	450417-MFTSNG-450422	9/1/2014	3/31/2022		N	255	0	n1
A	ATMOS ENERGY CORP	N										
P	MQ	ATMOS TL/SNG CARVILLE IBERVILLE	95	710200	Zone 0	255	0					
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	255	0					
D	ATMOS  ENERGY  CORPORATION	613205723	N	FT	450416-MFTSSNG-450423	11/1/1993	8/31/2016	365	N	8	0	
A	ATMOS ENERGY CORP	N										
P	MQ	ATMOS TL/SNG UDP TRANS LOUISIANA GA	95	703500	Zone 0	8	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	8	0					
D	ATMOS ENERGY CORPORATION - MID STATES	7064	N	FT	450436-MFTSNG-450438	1/1/2010	8/31/2018	365	N	7658	0	
A	ATMOS ENERGY CORP	N										
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	1970	0					
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	1978	0					
P	MQ	ETNG/SNG CLEVELAND #1 BRADLEY	95	790300	Zone 3	7658	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	1813	0					
P	M2	GULFSTH/SNG SHADYSIDE ST MARY	95	630300	Zone 0	438	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	1021	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	438	0					
D	ATMOS ENERGY CORPORATION - MISS DIVISION	6964415	N	FT	450442-MFTSNG-455621	8/1/2015	8/31/2023		N	22462	0	n1
A	ATMOS ENERGY CORP	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	3172	0					
P	MQ	ATMOS-MS/SNG   YAZOO	95	726000	Zone 1	1976	0					
P	MQ	ATMOS-MS/SNG BENTON YAZOO	95	727300	Zone 1	86	0					
P	MQ	ATMOS-MS/SNG CARTHAGE ATTALA	95	735100	Zone 1	42	0					
P	MQ	ATMOS-MS/SNG COLUMBUS LOWNDES	95	739200	Zone 1	5360	0					
P	MQ	ATMOS-MS/SNG DEER CREEK NATURAL GAS	95	725300	Zone 1	356	0					
P	MQ	ATMOS-MS/SNG DEKALB KEMPER	95	737200	Zone 1	228	0					
P	MQ	ATMOS-MS/SNG DURANT HOLMES	95	600052	Zone 1	520	0					
P	MQ	ATMOS-MS/SNG FARM TAPS WINSTON	95	746400	Zone 1	7	0					
P	MQ	ATMOS-MS/SNG GOODMAN HOLMES	95	729000	Zone 1	194	0					
P	MQ	ATMOS-MS/SNG KOSCIUSKO ATTALA	95	734900	Zone 1	42	0					
P	MQ	ATMOS-MS/SNG LEXINGTON HOLMES	95	731100	Zone 1	734	0					
P	MQ	ATMOS-MS/SNG MACON NOXUBEE	95	736500	Zone 1	35	0					
P	MQ	ATMOS-MS/SNG MERIDIAN NORTH LAUDERD	95	744900	Zone 1	23	0					
P	MQ	ATMOS-MS/SNG MERIDIAN SOUTH LAUDERD	95	744800	Zone 1	18	0					
P	MQ	ATMOS-MS/SNG NAVAL AIR STATION LAUD	95	737500	Zone 1	667	0					
P	MQ	ATMOS-MS/SNG NORTH CENTRAL GAS DIST	95	735600	Zone 1	5293	0					
P	MQ	ATMOS-MS/SNG NOXAPATER WINSTON	95	735500	Zone 1	245	0					
P	MQ	ATMOS-MS/SNG PICKENS YAZOO	95	728000	Zone 1	123	0					
P	MQ	ATMOS-MS/SNG STARKVILLE OKTIBBEHA	95	738800	Zone 1	5898	0					
P	MQ	ATMOS-MS/SNG WEST POINT #2 CLAY	95	49593	Zone 1	615	0					
P	M2	COL GULF/SNG SHADYSIDE ST MARY	95	605500	Zone 0	14039	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	1088	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	438	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	3725	0					
D	"AUSTELL, CITY OF"	118271527	N	FT	450469-MFTSNG-450473	1/29/2000	8/31/2016	365	N	3574	0	
P	MQ	AUSTELL/SNG AUSTELL #1 DOUGLAS	95	910600	Zone 3	1548	0					
P	MQ	AUSTELL/SNG AUSTELL #2 COBB	95	910700	Zone 3	2026	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	3574	0					
D	"AUSTELL, CITY OF"	118271527	N	FT	450469-MFTSNG-450474	11/1/2001	8/31/2016	365	N	2191	0	
P	MQ	AUSTELL/SNG AUSTELL #1 DOUGLAS	95	910600	Zone 3	950	0					
P	MQ	AUSTELL/SNG AUSTELL #2 COBB	95	910700	Zone 3	1241	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	1741	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	450	0					
D	"AUSTELL, CITY OF"	118271527	N	FT	450469-MFTSNG-450475	11/1/2005	8/31/2016	365	N	2000	0	
P	MQ	AUSTELL/SNG AUSTELL #1 DOUGLAS	95	910600	Zone 3	1000	0					
P	MQ	AUSTELL/SNG AUSTELL #2 COBB	95	910700	Zone 3	1000	0					
P	M2	BLK WARR/SNG UDP UDP BROOKWOOD JEFF	95	645800	Zone 2	2000	0					
D	"AUSTELL, CITY OF"	118271527	N	FT	450469-MFTSNG-450476	11/7/2003	11/6/2018	365	N	6500	0	
P	MQ	AUSTELL/SNG AUSTELL #1 DOUGLAS	95	910600	Zone 3	2816	0					
P	MQ	AUSTELL/SNG AUSTELL #2 COBB	95	910700	Zone 3	3684	0					
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	1976	0					
P	M2	TGP/SNG ROSE HILL MISS CLARKE	95	420546	Zone 1	4524	0					
D	"AUSTELL, CITY OF"	118271527	N	FT	450469-MFTSNG-450477	10/1/2007	4/30/2022		N	5553	0	n1
P	MQ	AUSTELL/SNG AUSTELL #1 DOUGLAS	95	910600	Zone 3	2776	0					
P	MQ	AUSTELL/SNG AUSTELL #2 COBB	95	910700	Zone 3	2777	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	5553	0					
D	"AUSTELL, CITY OF"	118271527	N	FT	450469-MFTSNG-450478	10/1/2010	8/31/2016	365	N	5105	0	
P	MQ	AUSTELL/SNG AUSTELL #3 COBB	95	910900	Zone 3	5105	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	5105	0					
D	"AUSTELL, CITY OF"	118271527	N	FT	450469-MFTSNG-450479	11/1/2013	10/31/2024		N	3063	0	n1
P	MQ	AUSTELL/SNG AUSTELL #1 DOUGLAS	95	910600	Zone 3	3063	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #6 JEFFE	95	646080	Zone 2	3063	0					
D	"AUSTELL, CITY OF"	118271527	N	FT	450469-MFTSNG-450480	5/1/2014	5/31/2020		N	2042	0	n1
P	MQ	AUSTELL/SNG AUSTELL #1 DOUGLAS	95	910600	Zone 3	2042	0					
P	M2	PGP OPER/SNG UDP OAK GROVE #6 JEFFE	95	646080	Zone 2	2042	0					
D	"AUSTELL, CITY OF"	118271527	N	FT	450469-MFTSNG-450481	7/1/2014	8/31/2016	365	N	8419	0	
P	MQ	AUSTELL/SNG AUSTELL #1 DOUGLAS	95	910600	Zone 3	3169	0					
P	MQ	AUSTELL/SNG AUSTELL #2 COBB	95	910700	Zone 3	5250	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	1883	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	2898	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2973	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	665	0					
D	"BAINBRIDGE, CITY OF"	943231167	N	FT	450486-MFTSNG-450489	11/1/2013	8/31/2016	365	N	445	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	384	0					
P	MQ	BAINBRDG/SNG AREA DECATUR	95	960060	Zone 3	445	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	61	0					
D	BAMBERG BOARD OF PUBLIC WORKS	3783	N	FT	450495-MFTSNG-450498	11/1/2006	8/31/2016	365	N	385	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	18	0					
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	385	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	274	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	55	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	38	0					
D	BASF - SAVANNAH	877442285	N	FT	450506-MFTSNG-450507	11/1/1997	8/31/2016	365	N	2297	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG MACON-MILLEDGEVILLE #2 BALD	95	915900	Zone 3	1276	0					
P	MQ	AGL/SNG SAVANNAH SOUTH AREA CHATHAM	95	940050	Zone 3	1021	0					
P	M2	EPE/SNG UDP BEAR CREEK FIELD R/S BI	95	653500	Zone 0	2297	0					
D	BASF CORPORATION	53194023	N	FT	450508-MFTSNG-450510	10/1/2005	8/31/2019		N	1029	0	n1
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	BASF/SNG ATTAPULGUS DECATUR	95	960410	Zone 3	1029	0					
P	M2	EPE/SNG UDP BEAR CREEK FIELD R/S BI	95	653500	Zone 0	1029	0					
D	BASF CORPORATION	53194023	N	FT	450508-MFTSNG-450511	9/1/2013	8/31/2028		N	715	0	n1
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	BASF/SNG ATTAPULGUS DECATUR	95	960410	Zone 3	715	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	715	0					
D	BASF CORPORATION	53194023	N	FT	450508-MFTSNG-450512	12/1/2014	9/30/2017	365	N	84	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	BASF/SNG ATTAPULGUS DECATUR	95	960410	Zone 3	84	0					
P	M2	DESTIN/SNG ENTERPRISE CLARKE	95	605900	Zone 1	84	0					
D	BASF CORPORATION	53194023	N	FT	460686-MFTESNG-460687	12/1/2016	11/30/2026		Y	14131	0	n1
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG MACON-MILLEDGEVILLE #2 BALD	95	915900	Zone 3	9131	0					
P	MQ	AGL/SNG SAVANNAH SOUTH AREA CHATHAM	95	940050	Zone 3	1900	0					
P	MQ	BASF/SNG ATTAPULGUS DECATUR	95	960410	Zone 3	3100	0					
P	M2	TRNSCO/EEC Z4 HART	95	938510	Zone 3	7065	0					
P	M2	TRNSCO/EEC Z5 ANDERSON	95	938610	Zone 3	7066	0					
D	"BENNETTSVILLE, CITY OF"	3793	N	FT	450518-MFTSNG-450521	11/1/2006	8/31/2016	365	N	757	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	36	0					
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	757	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	541	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	108	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	72	0					
D	"BLAKELY, CITY OF"	21333737	N	FT	450546-MFTSNG-450549	10/1/2005	9/30/2016	365	N	92	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	BLAKELY/SNG AREA EARLY	95	960070	Zone 3	92	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	92	0					
D	"BLAKELY, CITY OF"	21333737	N	FT	450546-MFTSNG-450550	1/1/2010	8/31/2016	365	N	352	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	118	0					
P	MQ	BLAKELY/SNG AREA EARLY	95	960070	Zone 3	352	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	27	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	15	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	23	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	169	0					
D	"BOAZ, CITY OF"	178126736	N	FT	450561-MFTSNG-450566	11/1/1996	12/31/2023		N	1532	0	n1
A	SEGAS ASSOCIATION	N										
P	MQ	BOAZ/SNG AREA ETOWAH	95	909300	Zone 2	1532	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	1089	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	443	0					
D	"BOAZ, CITY OF"	178126736	N	FT	450561-MFTSNG-450567	1/1/2009	12/31/2023		N	144	0	n1
A	SEGAS ASSOCIATION	N										
P	M2	BLK WARR/SNG UDP UDP BROOKWOOD JEFF	95	645800	Zone 2	144	0					
P	MQ	BOAZ/SNG AREA ETOWAH	95	909300	Zone 2	144	0					
D	"BOAZ, CITY OF"	178126736	N	FT	450560-MFTSSNG-450568	4/1/1996	3/31/2023		N	789	0	n1
A	SEGAS ASSOCIATION	N										
P	MQ	BOAZ/SNG AREA ETOWAH	95	909300	Zone 2	789	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	560	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	229	0					
D	"BROOKSIDE, TOWN OF"	1511328	N	FT	450707-MFTSSNG-450712	11/1/1993	8/31/2016	365	N	204	0	
A	SEGAS ASSOCIATION	N										
P	MQ	BROOKSID/SNG   JEFFERSON	95	821900	Zone 2	204	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	144	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	58	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	2	0					
D	BURGESS PIGMENT	3491297	N	FT	450717-MFTSNG-450719	2/1/1994	8/31/2016	365	N	256	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG EAST SOUTH MAIN ZONE 3 AREA	95	940043	Zone 3	256	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	256	0					
D	"BYRON, CITY OF"	26953968	N	FT	450722-MFTSNG-450723	7/1/2003	8/31/2016	365	N	306	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	BYRON/SNG   BIBB	95	915004	Zone 3	306	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	306	0					
D	"CAIRO, CITY OF"	59525139	N	FT	450729-MFTSNG-450732	1/1/2010	8/31/2016	365	N	396	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	204	0					
P	MQ	CAIRO/SNG   GRADY	95	960080	Zone 3	396	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	103	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	89	0					
D	"CALERA, CITY OF"	872809272	N	FT	450737-MFTSNG-450741	11/1/1998	8/31/2016	365	N	255	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CALERA/SNG AREA SHELBY	95	50152	Zone 2	255	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	255	0					
D	"CALERA, CITY OF"	872809272	N	FT	450737-MFTSNG-450742	2/1/2000	8/31/2016	365	N	408	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CALERA/SNG AREA SHELBY	95	50152	Zone 2	408	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	408	0					
D	"CALERA, CITY OF"	872809272	N	FT	450736-MFTSSNG-450743	11/1/1993	8/31/2016	365	N	664	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CALERA/SNG AREA SHELBY	95	50152	Zone 2	664	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	662	0					
P	M2	SOUTHXPL/SNG UDP UDP WHITE OAK # 1	95	353920	Zone 2	2	0					
D	"CALHOUN POWER COMPANY, LLC"	114790103	N	FT	450747-MFTSNG-450748	6/24/2003	9/30/2022		N	0	0	n1
P	MQ	CAL POWR/SNG   CALHOUN	95	844900	Zone 2	0	0					
P	M2	GULFSTH/SNG   SMITH	95	608100	Zone 1	0	0					
P	M2	TEX GAS/SNG KOSCIUSKO ATTALA	95	609000	Zone 1	0	0					
P	M2	TGP/SNG PUGH MISSISSIPPI EXCH LOWND	95	420294	Zone 1	0	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	0	0					
D	"CAMILLA, CITY OF"	78129038	N	FT	450754-MFTSNG-450757	10/1/2005	8/31/2023		N	1188	0	n1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	159	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	169	0					
P	MQ	CAMILLA/SNG   MITCHELL	95	960090	Zone 3	1188	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	44	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	20	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	148	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	648	0					
D	"CAMILLA, CITY OF"	78129038	N	FT	450754-MFTSNG-450758	10/1/2005	9/30/2023		N	80	0	n1
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	CAMILLA/SNG   MITCHELL	95	960090	Zone 3	80	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	80	0					
D	"CAMP HILL, TOWN OF"	1679117	N	FT	450763-MFTSSNG-450768	11/1/1993	8/31/2016	365	N	189	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CAMPHILL/SNG   TALLAPOOSA	95	808500	Zone 2	189	0					
P	M2	GULFSTH/SNG SESH RICHLAND	95	606500	Zone 1	134	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	55	0					
D	CANTON MUNICIPAL UTILITIES	155768278	N	FT	450884-MFTSNG-450885	11/1/1993	8/31/2016	365	N	153	0	
A	MUNICIPAL GAS AUTHORITY OF MISSISSIPPI	N										
P	MQ	CMU/SNG CANTON MADISON	95	740500	Zone 1	153	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	153	0					
D	"CARTERSVILLE, CITY OF"	84351477	N	FT	450786-MFTSNG-450793	11/1/2005	8/31/2017	365	N	5105	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CARTERSV/SNG CARTERSVILLE AREA FLOY	95	940039	Zone 3	5105	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	1983	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	1346	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	1276	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	500	0					
D	"CARTERSVILLE, CITY OF"	84351477	N	FT	450786-MFTSNG-457273	3/1/2016	8/31/2017	365	N	10492	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CARTERSV/SNG CARTERSVILLE AREA FLOY	95	940039	Zone 3	10492	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	4554	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2145	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	3793	0					
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FT	450453-MFTSNG-450463	11/1/2014	8/31/2016	365	N	204	0	
P	MQ	ETNG/SNG CLEVELAND #1 BRADLEY	95	790300	Zone 3	204	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	204	0					
D	"CENTERPOINT ENERGY SERVICES, INC."	838611739	N	FT	450453-MFTSNG-450464	11/1/2014	8/31/2017	365	N	715	0	
P	MQ	ETNG/SNG CLEVELAND #1 BRADLEY	95	790300	Zone 3	715	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	715	0					
D	"CENTURY ALUMINUM OF SOUTH CAROLINA, INC."	79667089	N	FT	450343-MFTSNG-450344	11/1/2006	8/31/2016	365	N	2950	0	
A	"KINECT ENERGY, INC."	N										
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	2950	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2950	0					
D	CHATTANOOGA GAS COMPANY	198402935	Y	FT	450812-MFTSNG-456076	4/1/2016	8/31/2016	365	N	13221	0	
A	ATLANTA GAS LIGHT COMPANY	Y										
A	"SEQUENT ENERGY MANAGEMENT, L.P."	Y										
P	MQ	CHAT GAS/SNG   HAMILTON	95	790200	Zone 3	13221	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	5105	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	7157	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	436	0					
P	M2	TGP/SNG TOCA EXCHANGE ST BERNARD	95	420556	Zone 0	523	0					
D	CHEMICAL RESEARCH/TECHNOLOGY LLC	79477199	N	FT	466179-MFTSNG-466391	11/1/2017	8/31/2019		N	357	0	n1
A	"SCANA ENERGY MARKETING, INC."	N										
P	MQ	AGL/SNG VALDOSTA AREA LOWNDES	95	960390	Zone 3	357	0					
P	M2	EPE/SNG UDP BEAR CREEK FIELD R/S BI	95	653500	Zone 0	255	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	102	0					
D	CHEROKEE BRICK	3321916	N	FT	450822-MFTSNG-450823	4/1/1996	8/31/2016	365	N	613	0	
A	TEXICAN NATURAL GAS COMPANY	N										
P	MQ	AGL/SNG MACON WEST AREA MONROE	95	940055	Zone 3	613	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	307	0					
P	M2	SLNG/SNG   CHATHAM	95	660000	Zone 3	306	0					
D	"CHILDERSBURG, CITY OF"	195675467	N	FT	450831-MFTSSNG-450836	4/1/1996	8/31/2016	365	N	838	0	
A	SEGAS ASSOCIATION	N										
P	MQ	CHILDERS/SNG CHILDERSBURG #1 TALLAD	95	844400	Zone 2	767	0					
P	MQ	CHILDERS/SNG CHILDERSBURG #2 TALLAD	95	844500	Zone 2	71	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	54	0					
P	M2	ETC FS/SNG UDP LOGANSPORT METER STA	95	650075	Zone 0	8	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	724	0					
P	M2	TRUNKLNE/SNG SHADYSIDE ST MARY	95	502710	Zone 0	52	0					
D	CITY OF AMERICUS NATURAL GAS SERV DEPT	938792447	N	FT	450848-MFTSNG-450851	4/1/2009	9/30/2016	365	N	80	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	AMERICUS/SNG AREA SUMTER	95	960030	Zone 3	80	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	80	0					
D	CITY OF AMERICUS NATURAL GAS SERV DEPT	938792447	N	FT	450848-MFTSNG-450852	1/1/2010	8/31/2016	365	N	704	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	AMERICUS/SNG AREA SUMTER	95	960030	Zone 3	704	0					
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	704	0					
D	CITY OF ORANGEBURG DEPT. OF PUBLIC UTILITIES	7118	N	FT	450861-MFTSNG-450864	11/1/2006	8/31/2016	365	N	2862	0	
A	"SCANA ENERGY MARKETING, INC."	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	136	0					
P	MQ	DCGT/SNG  AIKEN	95	783600	Zone 3	2862	0					
P	M2	HIGH PT/SNG TOCA ST BERNARD	95	640000	Zone 0	2044	0					
P	M2	SABPL/SNG SABINE VERMILION	95	605200	Zone 0	405	0					
P	M2	SEA ROBN/SNG ERATH VERMILION	95	605300	Zone 0	277	0					
D	"CLAXTON, CITY OF"	883647968	N	FT	450875-MFTSNG-450879	1/1/2010	8/31/2016	365	N	235	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	133	0					
P	MQ	CLAXTON/SNG   EFFINGHAM	95	934400	Zone 3	235	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	55	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	47	0					
D	"COCHRAN, CITY OF"	26531798	N	FT	450888-MFTSNG-450892	1/1/2010	8/31/2016	365	N	613	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	M2	AMP/SNG UDP CARTHAGE LATERAL DESOTO	95	650090	Zone 0	232	0					
P	M2	ANR/SNG SHADYSIDE SAINT MARY	95	604000	Zone 0	266	0					
P	MQ	COCHRAN/SNG   BIBB	95	915001	Zone 3	336	0					
P	MQ	COCHRAN/SNG COCHRAN #2 BLECKLEY	95	915201	Zone 3	277	0					
P	M2	EGT/SNG SESH RICHLAND	95	606400	Zone 1	59	0					
P	M2	ENERGYQU/SNG UDP BAYOU SALE #1-TEXA	95	630000	Zone 0	5	0					
P	M2	ETC TIG/SNG SESH RICHLAND	95	606700	Zone 1	51	0					
D	"COLQUITT, CITY OF"	38917290	N	FT	450924-MFTSNG-450927	9/1/2013	8/31/2016	365	N	51	0	
A	MUNICIPAL GAS AUTHORITY OF GEORGIA	N										
P	MQ	COLQUITT/SNG   MILLER	95	960100	Zone 3	51	0					
P	M2	WHISKEY/SNG UDP LAKE LAROSE IBERIA	95	631900	Zone 0	51	0					
D	COOPERATIVE ENERGY INCORPORTED	807676189	N	FT	451020-MFTSNG-451022	5/1/2016	9/30/2040		N	0	0	n1
