H	"PANHANDLE EASTERN PIPE LINE COMPANY, LP"	C000250	4/2/2018	O	4/1/2018	T	T	IRMA JARRETT (713) 989-7679				
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	EFT	55250	4/1/2018	3/31/2020		N	10070		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	10070						
P	MQ	PANHANDLE BOURBON	95	PBRBN	MKT	10070						
D	"SOUTHWEST ENERGY, L.P."	124847810	N	EFT	52252	6/1/2017	3/31/2019		N	15000		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	15000						
P	MQ	KP&L	95	KPOWR	FLD	15000						
D	SPIRE MISSOURI INC.	6967798	N	EFT	17469	11/1/2001	10/31/2018		N	35466		
P	M2	ELK CITY PLANT - ENBRIDGE G & P (OK	95	12475	FLD	30813						
P	M2	ENABLE OKLAHOMA - CARPENTER	95	40555	FLD	4653						
P	MQ	PANHANDLE BOURBON	95	PBRBN	MKT	35466						
D	SPIRE MISSOURI INC.	6967798	N	EFT	38699	11/1/2013	3/31/2021		N	0		
P	M2	ELK CITY PLANT - ENBRIDGE G & P (OK	95	12475	FLD	0						
P	MQ	DTE GAS CO - DETROIT	95	MCON	MKT	0						
D	STAND ENERGY CORPORATION	121293039	N	EFT	18143	4/1/2003	3/31/2020		N	1500		
P	M2	AUDRAIN COUNTY - ROCKIES EXPRESS PI	95	9252	MKT	1500						
P	MQ	STAND ENERGY - FS	95	66628	MKT	1500						
D	STAND ENERGY CORPORATION	121293039	N	FS	18144	4/1/2003	3/31/2027		N		100000	
P	IJ	STAND ENERGY - FS	95	66628	MKT		2000					
P	WR	STAND ENERGY - FS	95	66628	MKT		2000					
D	"STEEL DYNAMICS, INC."	808202725	N	EFT	16011	5/1/1998	4/30/2020		N	9100		
A	BP CANADA ENERGY MARKETING CORP.	N										
P	M2	WOODS COUNTY PLANT - SEMGAS	95	41384	FLD	9100						
P	MQ	NIPSCO DEFIANCE - CROSSROADS	95	CRSRD	MKT	9100						
D	TARGA GAS MARKETING LLC	610946290	N	FT	49893	11/1/2016	10/31/2019		N	200000		
P	M2	WESTANA POINT	95	WTANA	FLD	200000						
P	MQ	FT - TARGA GAS MARKETING LLC	95	F9025	FLD	200000						
D	TENASKA MARKETING VENTURES	624240628	N	EFT	54406	1/1/2018	5/31/2018		N	25000		
P	M2	ROSE VALLEY PLANT	95	41424	FLD	25000						
P	MQ	KP&L	95	KPOWR	FLD	25000						
D	TENASKA MARKETING VENTURES	624240628	N	EFT	54728	4/1/2018	10/31/2019		N	5500		
P	M2	CHISHOLM PLANT - TOM-STACK	95	41433	FLD	5500						
P	MQ	KP&L	95	KPOWR	FLD	5500						
D	TENASKA MARKETING VENTURES	624240628	N	EFT	55480	4/1/2018	4/30/2018		N	6000		
P	M2	WOODS COUNTY PLANT - SEMGAS	95	41384	FLD	6000						
P	MQ	KP&L	95	KPOWR	FLD	6000						
D	TENASKA MARKETING VENTURES	624240628	N	FT	55622	4/1/2018	4/30/2018		N	5000		
P	M2	WOODS COUNTY PLANT - SEMGAS	95	41384	FLD	5000						
P	MQ	NORTHERN NATURAL	95	NNATL	FLD	5000						
D	"THERMAL CERAMICS, INC."	183164706	N	EFT	12388	11/1/1993	7/31/2020		N	90		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	PT - ONEOK ENERGY SERVICES	95	P9923	FLD	90						
P	MQ	UNITED CITIES - THERMIC	95	9210	MKT	90						
D	TOWN OF BAINBRIDGE	21377189	N	EFT	21435	12/1/2006	10/31/2019		N	110		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - CNE GAS SUPPLY	95	H0481	FLD	110						
P	MQ	TOWN OF BAINBRIDGE	95	2768	MKT	110						
D	TOWN OF HARDESTY	178035288	N	SCT	11496	5/1/1993	3/31/2019		N	300		
A	"WEST TEXAS GAS, INC."	N										
P	M2	RINGWOOD	95	40591	FLD	300						
P	MQ	TOWN OF HARDESTY	95	3895	FLD	300						
D	TOWN OF LAPEL	21371869	N	SCT	11497	5/1/1993	3/31/2022		N	1150		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	PHILLIPS - CIMARRON	95	2428	FLD	1150						
P	MQ	TOWN OF LAPEL	95	LAPEL	MKT	1150						
D	TOWN OF MONTEZUMA	156216756	N	SCT	11498	5/1/1993	3/31/2020		N	1700		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	HT - OCCIDENTAL ENERGY MARKETING	95	H0074	FLD	1700						
P	MQ	TOWN OF MONTEZUMA	95	2527	MKT	1700						
D	TOWN OF MONTEZUMA	156216756	N	SCT	15616	10/15/1997	3/31/2020		N	1000		
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	M2	JACKSON PIPELINE	95	JACPL	MKT	1000						
P	MQ	TOWN OF MONTEZUMA	95	2527	MKT	1000						
D	TOWN OF PITTSBORO	21377965	N	SCT	11499	5/1/1993	7/31/2021		N	2000		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - OCCIDENTAL ENERGY MARKETING	95	H0074	FLD	2000						
P	MQ	TOWN OF PITTSBORO	95	2534	MKT	2000						
D	TOWN OF ROACHDALE	21377304	N	SCT	11500	5/1/1993	3/31/2021		N	1400		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - OCCIDENTAL ENERGY MARKETING	95	H0074	FLD	700						
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	700						
P	MQ	TOWN OF ROACHDALE	95	2536	MKT	1400						
D	TOWN OF TALOGA	28994788	N	SCT	11501	5/1/1993	3/31/2020		N	400		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	RINGWOOD	95	40591	FLD	400						
P	MQ	TOWN OF TALOGA	95	2438	FLD	400						
D	TOWN OF VICI PUBLIC WORKS AUTHORITY	19028802	N	SCT	11502	5/1/1993	3/31/2025		N	500		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	RINGWOOD	95	40591	FLD	500						
P	MQ	VICI OKLAHOMA	95	13195	FLD	500						
D	"TYLEX, INC."	103972881	N	EFT	11891	5/1/1993	10/31/2018		N	2090		
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	340						
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	1750						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	2090						
D	"TYLEX, INC."	103972881	N	EFT	21884	11/1/2008	3/31/2020		N	2850		
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	2850						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	2850						
D	"ULTIMATE ETHANOL, LLC"	10715585	N	EFT	21632	1/1/2008	12/31/2018		N	6200		
A	"ETHANOL PRODUCTS, LLC D/B/A POET ETHANOL PRODUCTS"	N										
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	6200						
P	MQ	ULTIMATE ETHANOL	95	2998	MKT	6200						
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	EFT	11704	5/1/1993	3/31/2021		N	60000		
A	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	N										
P	M2	CRESCENDO - ETC FIELD SERVICES	95	40524	FLD	10000						
P	M2	ELK CITY PLANT - ENBRIDGE G & P (OK	95	12475	FLD	25000						
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	15000						
P	M2	SNEED - SCOUT ENERGY	95	12724	FLD	3075						
P	M2	TRANSWESTERN - SNEED	95	7011	FLD	6925						
P	MQ	MOGAS PIPELINE - WIT	95	5237	MKT	10883						
P	MQ	UNION ELECTRIC DBA AMEREN MISSOURI	95	UNELE	MKT	49117						
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	FS	16648	4/1/2000	3/31/2021		N		3200000	
A	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	N										
P	IJ	UNION ELECTRIC DBA AMEREN MISSOURI	95	66588	FLD		21748					
P	WR	UNION ELECTRIC DBA AMEREN MISSOURI	95	66588	FLD		35556					
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	FS	19193	4/1/2006	10/31/2021		N		180000	
A	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	N										
P	IJ	UNION ELECTRIC DBA AMEREN MISSOURI	95	66620	FLD		30000					
P	WR	UNION ELECTRIC DBA AMEREN MISSOURI	95	66620	FLD		30000					
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	EFT	19196	4/1/2005	10/31/2021		N	30000		
A	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	N										
P	M2	CRESCENDO - ETC FIELD SERVICES	95	40524	FLD	20000						
P	M2	SNEED - SCOUT ENERGY	95	12724	FLD	10000						
P	MQ	PENO CREEK POWER PLANT - UNION ELEC	95	9242	MKT	30000						
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	EFT	26859	4/1/2010	3/31/2036		N	2000		
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	2000						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	2000						
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	EFT	27343	11/1/2009	10/31/2029		N	15000		
P	M2	ENABLE OKLAHOMA - BECKHAM	95	40466	FLD	15000						
P	MQ	AMEREN ILLINOIS	95	PEAIC	MKT	15000						
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	FS	27695	12/11/2009	3/31/2021		N		0	
P	IJ	UNION ELECTRIC DBA AMEREN MISSOURI	95	66772	FLD		0					
P	WR	UNION ELECTRIC DBA AMEREN MISSOURI	95	66772	FLD		0					
D	UNION ELECTRIC COMPANY DBA AMEREN MISSOURI	6968655	N	EFT	45161	11/1/2016	3/31/2021		N	0		
P	M2	PANHANDLE BOURBON	95	PBRBN	MKT	0						
P	MQ	UNION ELECTRIC DBA AMEREN MISSOURI	95	UNELE	MKT	0						
D	UNION GAS LIMITED	200408144	N	FT	19605	11/1/2005	10/31/2025		N	25000		
P	M2	MARKWEST OKLAHOMA GAS RECEIPT POINT	95	13241	FLD	25000						
P	MQ	UNION OJIBWAY - WAYNE COUNTY	95	UNION	MKT	25000						
D	UNION GAS LIMITED	200408144	N	FT	43059	11/1/2014	10/31/2027		N	10000		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	10000						
P	MQ	UNION OJIBWAY - WAYNE COUNTY	95	UNION	MKT	10000						
D	UNITED STATES STEEL CORPORATION	29990699	N	EFT	21206	4/1/2007	3/31/2021		N	24000		
P	M2	CIG PAN BAKER EXCHANGE - WIT	95	6235	FLD	12000						
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	12000						
P	MQ	UNITED STATES STEEL	95	NATST	MKT	24000						
D	"VECTREN ENERGY DELIVERY OF OHIO, INC."	4866344	N	EFT	20349	11/1/2005	3/31/2021		N	1000		
P	M2	PEPL CIG EXCHANGE	95	6204	FLD	1000						
P	MQ	NEW PARIS	95	2603	MKT	1000						
D	VILLAGE OF DIVERNON	33530403	N	SCT	11503	5/1/1993	3/31/2021		N	2000		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - ANADARKO TRADING #2	95	H0014	FLD	2000						
P	MQ	VILLAGE OF DIVERNON	95	2166	MKT	2000						
D	"VILLAGE OF EDINBURG, IL"	21168166	N	SCT	11504	5/1/1993	3/31/2021		N	766		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	766						
P	MQ	VILLAGE OF EDINBURG	95	2168	MKT	766						
D	"VILLAGE OF EDINBURG, IL"	21168166	N	SCT	16065	10/1/1998	3/31/2021		N	766		
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC"	N										
P	M2	ANR DEFIANCE	95	ANRDF	MKT	766						
P	MQ	VILLAGE OF EDINBURG	95	2168	MKT	766						
D	VILLAGE OF FRANKLIN	36790558	N	SCT	11505	5/1/1993	3/31/2020		N	600		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	600						
P	MQ	VILLAGE OF FRANKLIN	95	2172	MKT	600						
D	VILLAGE OF FRANKLIN	36790558	N	SCT	16066	10/1/1998	3/31/2020		N	500		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	ANR DEFIANCE	95	ANRDF	MKT	500						
P	MQ	VILLAGE OF FRANKLIN	95	2172	MKT	500						
D	VILLAGE OF MORTON	82089939	N	SCT	11506	5/1/1993	3/31/2020		N	9999		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - DUKE ENERGY TRADING AND MARKET	95	H0004	FLD	9999						
P	MQ	VILLAGE OF MORTON	95	2097	MKT	9999						
D	VILLAGE OF MORTON	82089939	N	IOS	12048	5/1/1993	3/31/2020		N		200000	
A	UTILITY GAS MANAGEMENT	N										
P	IJ	VILLAGE OF MORTON - IOS	95	66250	FLD		1000					
P	WR	VILLAGE OF MORTON - IOS	95	66250	FLD		2000					
D	VILLAGE OF PAWNEE (UTILITIES DEPARTMENT)	33553801	N	SCT	11507	5/1/1993	3/31/2021		N	1550		
A	UTILITY GAS MANAGEMENT	N										
P	M2	HT - ANADARKO TRADING #2	95	H0014	FLD	1550						
P	MQ	VILLAGE OF PAWNEE	95	2167	MKT	1550						
D	VILLAGE OF PLEASANT HILL	80702384	N	SCT	11508	5/1/1993	3/31/2020		N	725		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	HT - OCCIDENTAL ENERGY MARKETING	95	H0074	FLD	363						
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	362						
P	MQ	VILLAGE OF PLEASANT HILL	95	2149	MKT	725						
D	VILLAGE OF PLEASANT HILL	80702384	N	SCT	16068	10/1/1998	3/31/2020		N	725		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	ANR DEFIANCE	95	ANRDF	MKT	725						
P	MQ	VILLAGE OF PLEASANT HILL	95	2149	MKT	725						
D	VILLAGE OF RIVERTON	87159174	N	SCT	16060	7/1/2001	3/31/2020		N	1800		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	HT - OCCIDENTAL ENERGY MARKETING	95	H0074	FLD	900						
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	900						
P	MQ	VILLAGE OF RIVERTON	95	2171	MKT	1800						
D	VILLAGE OF RIVERTON	87159174	N	SCT	23487	12/1/2007	3/31/2020		N	1800		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	ANR DEFIANCE	95	ANRDF	MKT	1800						
P	MQ	VILLAGE OF RIVERTON	95	2171	MKT	1800						
D	VILLAGE OF ROSSVILLE (MUNICIPAL GAS SYSTEM)	859617029	N	SCT	11510	5/1/1993	3/31/2020		N	990		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	990						
P	MQ	VILLAGE OF ROSSVILLE	95	2145	MKT	990						
D	VILLAGE OF ROSSVILLE (MUNICIPAL GAS SYSTEM)	859617029	N	SCT	25102	11/1/2008	3/31/2020		N	990		
A	INTERSTATE MUNICIPAL GAS AGENCY	N										
P	M2	ANR DEFIANCE	95	ANRDF	MKT	990						
P	MQ	VILLAGE OF ROSSVILLE	95	2145	MKT	990						
D	VILLAGE OF STONINGTON	31114309	N	SCT	11511	5/1/1993	3/31/2020		N	1400		
A	MUNICIPAL GAS COMMISSION OF MISSOURI	N										
P	M2	HT - ONEOK ENERGY SERVICES	95	H0269	FLD	1400						
P	MQ	VILLAGE OF STONINGTON	95	2196	MKT	1400						
D	VILLAGE OF WESTVILLE	84314038	N	SCT	11512	5/1/1993	3/31/2020		N	2500		
A	MUNICIPAL GAS COMMISSION OF MISSOURI	N										
P	M2	HT - VESTA ENERGY #3	95	H0111	FLD	2500						
P	MQ	VILLAGE OF WESTVILLE	95	2146	MKT	2500						
D	WOODRIVER ENERGY LLC	79366805	N	EFT	51981	4/1/2017	4/30/2018		N	3000		
P	M2	SOUTH RATTLESNAKE CREEK - CHEYENNE	95	CHYPL	FLD	3000						
P	MQ	NORTHERN NATURAL	95	NNATL	FLD	3000						
F	1	DUNS NUMBER IS NOT AVAILABLE.  THE NUMBER PROVIDED IS COMPANY'S OWN IDENTIFICATION NUMBER.										
