H	Northern Natural Gas Company	C000060	4/2/2018	O	4/1/2018	B	B	Laura Demman (402) 398-7278				
P	MQ	WATERLOO IA #3	95	3357	Market	201	0					
P	MQ	EARLY IA #2	95	3358	Market	130	0					
P	MQ	MANSON IA #1	95	3659	Market	240	0					
P	MQ	AKRON IA #1	95	3664	Market	380	0					
P	MQ	ALCESTER SD #1	95	3665	Market	234	0					
P	MQ	ALLISON IA #1	95	3666	Market	350	0					
P	MQ	ALVORD IA #1	95	3668	Market	105	0					
P	MQ	APLINGTON IA #1	95	3669	Market	350	0					
P	MQ	APLINGTON IA #2	95	3670	Market	50	0					
P	MQ	ARCHER IA #1	95	3671	Market	75	0					
P	MQ	ARTHUR IA #1	95	3672	Market	100	0					
P	MQ	AUDUBON IA #2	95	3674	Market	18	0					
P	MQ	AURELIA IA #1	95	3675	Market	433	0					
P	MQ	BOYDEN IA #1	95	3676	Market	142	0					
P	MQ	BRAYTON IA #1	95	3677	Market	69	0					
P	MQ	BRISTOW IA #1	95	3678	Market	66	0					
P	MQ	CALUMET IA #1	95	3679	Market	115	0					
P	MQ	CANTON SD #1	95	3680	Market	975	0					
P	MQ	CHAPIN IA #1	95	3681	Market	50	0					
P	MQ	CHARLES CITY IA #1	95	3682	Market	2000	0					
P	MQ	CHARLES CITY IA #1A	95	3683	Market	1220	0					
P	MQ	CLARION IA #1	95	3684	Market	711	0					
P	MQ	BERESFORD SD #1	95	3685	Market	850	0					
P	MQ	CLARKSVILLE IA #1	95	3686	Market	370	0					
P	MQ	CLEGHORN IA #1	95	3687	Market	124	0					
P	MQ	CYLINDER IA #1	95	3688	Market	100	0					
P	MQ	DAKOTA CITY NE #1	95	3689	Market	340	0					
P	MQ	DAKOTA CITY NE #3	95	3691	Market	844	0					
P	MQ	DAKOTA CITY NE #4	95	3692	Market	22	0					
P	MQ	DEFIANCE IA #1	95	3693	Market	120	0					
P	MQ	JANESVILLE IA #1A	95	3695	Market	20	0					
P	MQ	BATTLE CREEK IA #1	95	3707	Market	212	0					
P	MQ	DANBURY IA #1	95	3708	Market	154	0					
P	MQ	TEA SD #1	95	57867	Market	6000	0					
P	MQ	COLTON #2(HENRY VAN WYHE)	95	60103	Market	15	0					
P	MQ	VERMILLION SD #1A	95	60111	Market	10	0					
P	MQ	ODEBOLT GRAIN DRYER	95	78018	Market	1	0					
P	MQ	SIOUX FALLS MM	95	78958	Market	9095	0					
P	MQ	SIOUX FALLS SD #1	95	1343	Market	8700	0	yi2				
P	MQ	HARRISBURG SD #1	95	2139	Market	395	0	yi2				
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TF_M_1_12	21305	11/1/2022	10/31/2023		N	11333	0	k6/k7
P	M2	TBPL/NNG BEATRICE	95	1318	Market	1673	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	9660	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	24813	0	yi1				
P	MQ	SIOUX FALLS SD #1C	95	1350	Market	9718	0					
P	MQ	TEA SD #1	95	57867	Market	6000	0					
P	MQ	SIOUX FALLS MM	95	78958	Market	9095	0					
P	MQ	SIOUX FALLS SD #1	95	1343	Market	8700	0	yi2				
P	MQ	HARRISBURG SD #1	95	2139	Market	395	0	yi2				
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TF_M_11_3	21305	2/1/2018	10/31/2022		N	217363	0	k6/k7
P	M2	OGDEN DEF. DELIVERY	95	98	Market	32296	0					
P	M2	NBPL/NNG VENTURA	95	192	Market	58405	0					
P	M2	NBPL/NNG ABERDEEN	95	193	Market	1263	0					
P	M2	GRLKS/NNG CARLTON	95	388	Market	28260	0					
P	M2	TBPL/NNG BEATRICE	95	1318	Market	934	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	5051	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	91154	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	93545	0	yi1				
P	MQ	SOUTH SIOUX CITY NE #1	95	121	Market	1401	0					
P	MQ	SIOUX CITY IA #1A	95	518	Market	9917	0					
P	MQ	RAMONA SD #1	95	1317	Market	55	0					
P	MQ	SALEM SD #1	95	1339	Market	400	0					
P	MQ	SIOUX FALLS SD #1C	95	1350	Market	7282	0					
P	MQ	SIOUX FALLS SD #2	95	1352	Market	10	0					
P	MQ	WORTHING SD #1	95	1357	Market	95	0					
P	MQ	WATERLOO IA #1	95	1636	Market	1827	0					
P	MQ	HARTFORD SD #1	95	2129	Market	315	0					
P	MQ	LENNOX SD #1	95	2130	Market	575	0					
P	MQ	MONTROSE SD #1	95	2131	Market	40	0					
P	MQ	VERMILLION SD	95	2132	Market	1640	0					
P	MQ	BALTIC SD #1	95	2133	Market	150	0					
P	MQ	CENTERVILLE SD #1	95	2134	Market	275	0					
P	MQ	COLTON SD #1	95	2135	Market	65	0					
P	MQ	DELL RAPIDS SD #1	95	2137	Market	570	0					
P	MQ	FLANDREAU SD #1	95	2138	Market	740	0					
P	MQ	DES MOINES IA #1	95	2195	Market	1280	0					
P	MQ	SIOUX CITY IA #1C	95	2764	Market	5	0					
P	MQ	DES MOINES IA #11	95	2776	Market	200	0					
P	MQ	DES MOINES IA #1A	95	2777	Market	3542	0					
P	MQ	JOHNSTON IA #1	95	2778	Market	835	0					
P	MQ	DES MOINES IA #1C	95	2779	Market	570	0					
P	MQ	DES MOINES IA #1D	95	2780	Market	5	0					
P	MQ	ANKENY IA #2	95	2781	Market	2934	0					
P	MQ	ALGONA IA #1	95	3127	Market	1900	0					
P	MQ	BAGLEY IA #1	95	3128	Market	50	0					
P	MQ	BAYARD IA #1	95	3129	Market	260	0					
P	MQ	FENTON IA #1	95	3130	Market	160	0					
P	MQ	PERRY IA #1	95	3132	Market	1910	0					
P	MQ	PERRY IA #2	95	3133	Market	40	0					
P	MQ	WESLEY IA #1	95	3134	Market	115	0					
P	MQ	YALE IA #1	95	3135	Market	35	0					
P	MQ	ADEL IA #1	95	3229	Market	1020	0					
P	MQ	ADEL IA #2	95	3230	Market	10	0					
P	MQ	ALTOONA IA #1	95	3231	Market	990	0					
P	MQ	ANKENY IA #1	95	3233	Market	1960	0					
P	MQ	AVOCA IA #1	95	3234	Market	510	0					
P	MQ	BONDURANT IA #1	95	3235	Market	295	0					
P	MQ	COLFAX IA #1	95	3237	Market	765	0					
P	MQ	DEXTER IA #1	95	3240	Market	100	0					
P	MQ	DUNLAP IA #1	95	3241	Market	380	0					
P	MQ	EARLHAM IA #1	95	3242	Market	680	0					
P	MQ	GRISWOLD IA #1	95	3243	Market	600	0					
P	MQ	KIMBALLTON IA #1	95	3245	Market	40	0					
P	MQ	LOGAN IA #1	95	3246	Market	435	0					
P	MQ	MACEDONIA IA #1	95	3248	Market	25	0					
P	MQ	MARNE IA #1	95	3249	Market	15	0					
P	MQ	MINDEN IA #1	95	3251	Market	40	0					
P	MQ	MINEOLA IA #1	95	3253	Market	10	0					
P	MQ	MISSOURI VALLEY IA #1	95	3255	Market	755	0					
P	MQ	MITCHELLVILLE IA #1	95	3257	Market	180	0					
P	MQ	MONROE IA #1	95	3258	Market	550	0					
P	MQ	NEOLA IA #1	95	3260	Market	40	0					
P	MQ	OAKLAND IA #1	95	3261	Market	845	0					
P	MQ	PANORA IA #1	95	3262	Market	340	0					
P	MQ	PERSIA IA #1	95	3263	Market	25	0					
P	MQ	POLK CITY IA #1	95	3264	Market	330	0					
P	MQ	PORTSMOUTH IA #1	95	3265	Market	15	0					
P	MQ	PRAIRIE CITY IA #1	95	3266	Market	360	0					
P	MQ	REDFIELD IA #1	95	3267	Market	130	0					
P	MQ	SHELBY IA #1	95	3268	Market	90	0					
P	MQ	SILVER CITY IA #1	95	3269	Market	15	0					
P	MQ	STUART IA #1	95	3270	Market	520	0					
P	MQ	TREYNOR IA #1	95	3271	Market	20	0					
P	MQ	UNDERWOOD IA #1	95	3272	Market	70	0					
P	MQ	WALNUT IA #1	95	3273	Market	457	0					
P	MQ	DENVER IA #1	95	3275	Market	430	0					
P	MQ	DUMONT IA #1	95	3277	Market	100	0					
P	MQ	ELK HORN IA #1	95	3281	Market	105	0					
P	MQ	ELK POINT SD #1	95	3282	Market	650	0					
P	MQ	EVANSDALE IA #1	95	3283	Market	3100	0					
P	MQ	EXIRA IA #1	95	3284	Market	500	0					
P	MQ	GALVA IA #1	95	3285	Market	10	0					
P	MQ	GAYVILLE SD #1	95	3286	Market	115	0					
P	MQ	GAYVILLE SD #3	95	3287	Market	10	0					
P	MQ	GILBERTVILLE IA #1	95	3289	Market	100	0					
P	MQ	HAMLIN IA #1	95	3292	Market	15	0					
P	MQ	HAMPTON IA #1	95	3293	Market	1125	0					
P	MQ	HOLSTEIN IA #1	95	3294	Market	340	0					
P	MQ	HOSPERS IA #1	95	3295	Market	115	0					
P	MQ	HUDSON IA #1	95	3296	Market	330	0					
P	MQ	HULL IA #1	95	3297	Market	915	0					
P	MQ	HUMBOLDT IA #1	95	3298	Market	1781	0					
P	MQ	IDA GROVE IA #1	95	3299	Market	583	0					
P	MQ	INDEPENDENCE IA #1	95	3300	Market	3625	0					
P	MQ	INWOOD IA #1	95	3301	Market	180	0					
P	MQ	JANESVILLE IA #1	95	3303	Market	220	0					
P	MQ	JEFFERSON SD #1	95	3304	Market	95	0					
P	MQ	JESSUP IA #1	95	3307	Market	480	0					
P	MQ	KINGSLEY IA #1	95	3309	Market	295	0					
P	MQ	LAKE CITY IA #1	95	3310	Market	620	0					
P	MQ	LATIMER IA #1	95	3311	Market	15	0					
P	MQ	LAWTON IA #2	95	3313	Market	10	0					
P	MQ	LE MARS IA #1A	95	3314	Market	1700	0					
P	MQ	MARCUS IA #1	95	3317	Market	180	0					
P	MQ	MOVILLE IA #1	95	3320	Market	335	0					
P	MQ	NASHUA IA #1	95	3322	Market	380	0					
P	MQ	NEWELL IA #1	95	3323	Market	98	0					
P	MQ	NEW HARTFORD IA #1	95	3324	Market	70	0					
P	MQ	ODEBOLT IA #1	95	3326	Market	280	0					
P	MQ	PARKERSBURG IA #1	95	3328	Market	400	0					
P	MQ	PLAINFIELD IA #1	95	3329	Market	75	0					
P	MQ	ROCK VALLEY IA #1	95	3330	Market	630	0					
P	MQ	ROCKWELL IA #1	95	3331	Market	150	0					
P	MQ	ROCKWELL CITY IA #1	95	3332	Market	70	0					
P	MQ	SALIX IA #2	95	3336	Market	25	0					
P	MQ	SCHALLER IA #1	95	3338	Market	265	0					
P	MQ	SERGEANT BLUFF IA #1	95	3339	Market	750	0					
P	MQ	SHEFFIELD IA #1	95	3341	Market	275	0					
P	MQ	SHELDON IA #1	95	3342	Market	1085	0					
P	MQ	SHELL ROCK IA #1	95	3343	Market	340	0					
P	MQ	SLOAN IA #1	95	3345	Market	30	0					
P	MQ	SUTHERLAND IA #1	95	3348	Market	30	0					
P	MQ	THOR IA #1	95	3349	Market	40	0					
P	MQ	WASHBURN IA #1	95	3350	Market	100	0					
P	MQ	WAVERLY IA #1	95	3353	Market	1480	0					
P	MQ	WHITING IA #1	95	3354	Market	20	0					
P	MQ	YANKTON SD #1	95	3356	Market	2205	0					
P	MQ	WATERLOO IA #3	95	3357	Market	124	0					
P	MQ	AKRON IA #1	95	3664	Market	320	0					
P	MQ	ALCESTER SD #1	95	3665	Market	250	0					
P	MQ	ALLISON IA #1	95	3666	Market	300	0					
P	MQ	APLINGTON IA #1	95	3669	Market	235	0					
P	MQ	ARCHER IA #1	95	3671	Market	5	0					
P	MQ	ARTHUR IA #1	95	3672	Market	15	0					
P	MQ	AUDUBON IA #1	95	3673	Market	1539	0					
P	MQ	AUDUBON IA #2	95	3674	Market	12	0					
P	MQ	BOYDEN IA #1	95	3676	Market	185	0					
P	MQ	BRAYTON IA #1	95	3677	Market	10	0					
P	MQ	BRISTOW IA #1	95	3678	Market	24	0					
P	MQ	CANTON SD #1	95	3680	Market	850	0					
P	MQ	CHAPIN IA #1	95	3681	Market	20	0					
P	MQ	CHARLES CITY IA #1	95	3682	Market	1300	0					
P	MQ	CHARLES CITY IA #1A	95	3683	Market	1039	0					
P	MQ	CLARION IA #1	95	3684	Market	520	0					
P	MQ	BERESFORD SD #1	95	3685	Market	520	0					
P	MQ	CLARKSVILLE IA #1	95	3686	Market	355	0					
P	MQ	DAKOTA CITY NE #1	95	3689	Market	190	0					
P	MQ	DAKOTA CITY NE #3	95	3691	Market	430	0					
P	MQ	DEFIANCE IA #1	95	3693	Market	30	0					
P	MQ	JANESVILLE IA #1A	95	3695	Market	5	0					
P	MQ	BATTLE CREEK IA #1	95	3707	Market	45	0					
P	MQ	DANBURY IA #1	95	3708	Market	25	0					
P	MQ	TEA SD #1	95	57867	Market	2596	0					
P	MQ	VERMILLION SD #1A	95	60111	Market	25	0					
P	MQ	SIOUX FALLS MM	95	78958	Market	3884	0					
P	MQ	SIOUX FALLS SD #1	95	1343	Market	3579	0	yi2				
P	MQ	HARRISBURG SD #1	95	2139	Market	305	0	yi2				
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TF_M_11_3	21305	11/1/2022	10/31/2023		N	27242	0	k6/k7
P	M2	OGDEN DEF. DELIVERY	95	98	Market	5256	0					
P	M2	NBPL/NNG VENTURA	95	192	Market	9506	0					
P	M2	NBPL/NNG ABERDEEN	95	193	Market	206	0					
P	M2	GRLKS/NNG CARLTON	95	388	Market	4599	0					
P	M2	TBPL/NNG BEATRICE	95	1318	Market	106	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	822	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	6747	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	13762	0	yi1				
P	MQ	SIOUX FALLS SD #1C	95	1350	Market	7282	0					
P	MQ	TEA SD #1	95	57867	Market	2596	0					
P	MQ	SIOUX FALLS MM	95	78958	Market	3884	0					
P	MQ	SIOUX FALLS SD #1	95	1343	Market	3579	0	yi2				
P	MQ	HARRISBURG SD #1	95	2139	Market	305	0	yi2				
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TF_M_4_10	21305	2/1/2018	10/31/2022		N	128633	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	74247	0					
P	M2	NBPL/NNG ABERDEEN	95	193	Market	1263	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	5051	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	48072	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	4815	0	yi1				
P	MQ	BAYARD IA #1	95	3129	Market	285	0					
P	MQ	GRISWOLD IA #1	95	3243	Market	405	0					
P	MQ	OAKLAND IA #1	95	3261	Market	425	0					
P	MQ	WALNUT IA #1	95	3273	Market	290	0					
P	MQ	EXIRA IA #1	95	3284	Market	330	0					
P	MQ	HULL IA #1	95	3297	Market	315	0					
P	MQ	INDEPENDENCE IA #1	95	3300	Market	1995	0					
P	MQ	SHEFFIELD IA #1	95	3341	Market	25	0					
P	MQ	AUDUBON IA #1	95	3673	Market	745	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TF_M_4_10	21305	11/1/2022	10/31/2023		N	13480	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	12424	0					
P	M2	NBPL/NNG ABERDEEN	95	193	Market	211	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	845	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	FDD	22316	6/1/2017	5/31/2018		N	0	7661232	k6/k7
P	IJ	OGDEN DEF. DELIVERY	95	98		0	84310					
P	WR	OGDEN DEF. DELIVERY	95	98		0	132880					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	FDD	22316	6/1/2018	5/31/2021		N	0	7661232	k6/k7
P	IJ	OGDEN DEF. DELIVERY	95	98		0	84310					
P	WR	OGDEN DEF. DELIVERY	95	98		0	132880					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	FDD	22316	6/1/2021	5/31/2022		N	0	4120158	k6/k7
P	IJ	OGDEN DEF. DELIVERY	95	98		0	45341					
P	WR	OGDEN DEF. DELIVERY	95	98		0	71462					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	FDD	22316	6/1/2022	5/31/2023		N	0	1612912	k6/k7
P	IJ	OGDEN DEF. DELIVERY	95	98		0	17750					
P	WR	OGDEN DEF. DELIVERY	95	98		0	27975					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	FDD	22316	6/1/2023	5/31/2037		N	0	1200000	k6/k7
P	IJ	OGDEN DEF. DELIVERY	95	98		0	13206					
P	WR	OGDEN DEF. DELIVERY	95	98		0	20813					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TF_M_1_12	23844	12/1/2015	11/30/2023		N	50000	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	17391	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	32609	0					
P	MQ	ZONE D - MIDAMERICAN	95	78629	Market	50000	0	yi1				
P	MQ	QUAD CITIES IA #1	95	62858	Market	50000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_1_12	102961	11/1/2015	10/31/2022		N	2550	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	2550	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	5587	0	yi1				
P	MQ	SOUTH SIOUX CITY NE #1	95	121	Market	250	0					
P	MQ	SIOUX CITY IA #1A	95	518	Market	3062	0					
P	MQ	WATERLOO IA #1	95	1636	Market	1475	0					
P	MQ	YANKTON SD #1	95	3356	Market	775	0					
P	MQ	DAKOTA CITY NE #4	95	3692	Market	25	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_1_12	102961	11/1/2022	10/31/2023		N	2550	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	2550	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	5587	0	yi1				
P	MQ	SOUTH SIOUX CITY NE #1	95	121	Market	250	0					
P	MQ	SIOUX CITY IA #1A	95	518	Market	3062	0					
P	MQ	WATERLOO IA #1	95	1636	Market	1475	0					
P	MQ	YANKTON SD #1	95	3356	Market	775	0					
P	MQ	DAKOTA CITY NE #4	95	3692	Market	25	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_1_12	102961	11/1/2023	10/31/2025		N	2550	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	2550	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	2550	0	yi1				
P	MQ	SOUTH SIOUX CITY NE #1	95	121	Market	250	0					
P	MQ	SIOUX CITY IA #1A	95	518	Market	1500	0					
P	MQ	YANKTON SD #1	95	3356	Market	775	0					
P	MQ	DAKOTA CITY NE #4	95	3692	Market	25	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_1_2	102961	11/1/2015	10/31/2022		N	3037	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	3037	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_1_2	102961	11/1/2022	10/31/2023		N	3037	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	3037	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_11_11	102961	11/1/2015	10/31/2022		N	3037	0	k6/k7
P	M2	NBPL/NNG WELCOME	95	1665	Market	3037	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_11_11	102961	11/1/2022	10/31/2023		N	3037	0	k6/k7
P	M2	NBPL/NNG WELCOME	95	1665	Market	3037	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_11_3	102961	11/1/2015	10/31/2022		N	125000	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	100000	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	25000	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	83000	0	yi1				
P	MQ	ZONE D - MIDAMERICAN	95	78629	Market	42000	0	yi1				
P	MQ	SOUTH SIOUX CITY NE #1	95	121	Market	2000	0					
P	MQ	SIOUX CITY IA #1A	95	518	Market	8000	0					
P	MQ	SIOUX FALLS SD #1	95	1343	Market	18500	0					
P	MQ	SIOUX FALLS SD #1C	95	1350	Market	8000	0					
P	MQ	DES MOINES IA #1	95	2195	Market	34750	0					
P	MQ	DES MOINES IA #1A	95	2777	Market	9000	0					
P	MQ	CAMP DODGE IA #1	95	2784	Market	150	0					
P	MQ	PANORA IA #1	95	3262	Market	700	0					
P	MQ	LAWTON IA #1	95	3312	Market	50	0					
P	MQ	LE MARS IA #1A	95	3314	Market	700	0					
P	MQ	YANKTON SD #1	95	3356	Market	1000	0					
P	MQ	BOYDEN IA #1	95	3676	Market	150	0					
P	MQ	CEDAR RAPIDS/VINTON IA	95	54227	Market	42000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_11_3	102961	11/1/2022	10/31/2023		N	68500	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	51500	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	17000	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	26500	0	yi1				
P	MQ	ZONE D - MIDAMERICAN	95	78629	Market	42000	0	yi1				
P	MQ	SIOUX FALLS SD #1	95	1343	Market	18500	0					
P	MQ	SIOUX FALLS SD #1C	95	1350	Market	8000	0					
P	MQ	CEDAR RAPIDS/VINTON IA	95	54227	Market	42000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_12_12	102961	11/1/2015	10/31/2022		N	3037	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	3037	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_12_12	102961	11/1/2022	10/31/2023		N	3037	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	3037	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_3_3	102961	11/1/2015	10/31/2022		N	3037	0	k6/k7
P	M2	NBPL/NNG WELCOME	95	1665	Market	3037	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_3_3	102961	11/1/2022	10/31/2023		N	3037	0	k6/k7
P	M2	NBPL/NNG WELCOME	95	1665	Market	3037	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_4_10	102961	11/1/2015	10/31/2022		N	53037	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	28037	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	25000	0					
P	MQ	ZONE D - MIDAMERICAN	95	78629	Market	50000	0	yi1				
P	MQ	CEDAR RAPIDS/VINTON IA	95	54227	Market	50000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_4_10	102961	11/1/2022	10/31/2023		N	53037	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	28037	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	25000	0					
P	MQ	ZONE D - MIDAMERICAN	95	78629	Market	50000	0	yi1				
P	MQ	CEDAR RAPIDS/VINTON IA	95	54227	Market	50000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_1_12	108781	4/1/2015	12/31/2022		N	192000	0	k6/o4
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	96000	0	yi1				
P	MQ	PLEASANT HILL IA #1	95	78195	Market	96000	0	O4				
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_11_3	108781	4/1/2015	12/31/2022		N	96000	0	k6/k7
P	M2	NBPL/NNG VENTURA	95	192	Market	96000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_4_10	108781	4/1/2015	12/31/2022		N	96000	0	k6/k7
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	96000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TF_M_1_12	111056	10/1/2009	10/31/2023		N	50000	0	k6/k7
A	"CNE GAS SUPPLY, LLC"	N	ye5									
A	WOODRIVER ENERGY LLC	N	ye5									
P	M2	NBPL/NNG VENTURA	95	192	Market	30892	0					
P	M2	NNG FIELD/MKT DEMARCATION -16B	95	37654	Market	19108	0					
P	MQ	ZONE D - MIDAMERICAN	95	78629	Market	50000	0	yi1				
P	MQ	CEDAR RAPIDS/VINTON IA	95	54227	Market	50000	0					
D	MIDAMERICAN ENERGY COMPANY	884718768	Y	TFX_M_1_12	116047	11/1/2016	10/31/2023		Y	47450	0	k6/k7
A	"CENTERPOINT ENERGY SERVICES, INC. (MN)"	N	ye5									
A	"CNE GAS SUPPLY, LLC"	N	ye5									
A	"ENCORE ENERGY SERVICES, INC."	N	ye5									
A	"MIDAMERICAN ENERGY SERVICES, LLC"	N	ye5									
A	WOODRIVER ENERGY LLC	N	ye5									
P	M2	NBPL/NNG ABERDEEN	95	193	Market	3800	0					
P	M2	NBPL/NNG WELCOME	95	1665	Market	20000	0					
P	M2	NBPL/NNG HAZEL	95	79244	Market	23650	0					
P	MQ	ZONE ABC - MIDAMERICAN	95	3077	Market	47450	0	yi1				
P	MQ	SIOUX CITY IA #1A	95	518	Market	8825	0					
P	MQ	RAMONA SD #1	95	1317	Market	25	0					
P	MQ	SALEM SD #1	95	1339	Market	50	0					
P	MQ	SIOUX FALLS SD #1C	95	1350	Market	276	0					
P	MQ	WORTHING SD #1	95	1357	Market	50	0					
P	MQ	HARTFORD SD #1	95	2129	Market	400	0					
P	MQ	LENNOX SD #1	95	2130	Market	25	0					
P	MQ	VERMILLION SD	95	2132	Market	1500	0					
P	MQ	BALTIC SD #1	95	2133	Market	100	0					
P	MQ	CENTERVILLE SD #1	95	2134	Market	50	0					
P	MQ	DELL RAPIDS SD #1	95	2137	Market	500	0					
P	MQ	FLANDREAU SD #1	95	2138	Market	100	0					
P	MQ	EARLY IA #1	95	3280	Market	25	0					
P	MQ	ELK POINT SD #1	95	3282	Market	250	0					
P	MQ	GALVA IA #1	95	3285	Market	50	0					
P	MQ	HOLSTEIN IA #1	95	3294	Market	50	0					
P	MQ	HULL IA #1	95	3297	Market	375	0					
P	MQ	IDA GROVE IA #1	95	3299	Market	400	0					
P	MQ	JEFFERSON SD #1	95	3304	Market	50	0					
P	MQ	KINGSLEY IA #1	95	3309	Market	25	0					
P	MQ	LAWTON IA #2	95	3313	Market	50	0					
P	MQ	MARCUS IA #1	95	3317	Market	50	0					
P	MQ	MERIDEN IA #1	95	3318	Market	25	0					
P	MQ	MERRILL IA #1	95	3319	Market	25	0					
P	MQ	MOVILLE IA #1	95	3320	Market	50	0					
P	MQ	NEWELL IA #1	95	3323	Market	25	0					
P	MQ	ROCK VALLEY IA #1	95	3330	Market	300	0					
P	MQ	SALIX IA #1	95	3335	Market	25	0					
P	MQ	SERGEANT BLUFF IA #1	95	3339	Market	405	0					
P	MQ	SLOAN IA #1	95	3345	Market	50	0					
P	MQ	WHITING IA #1	95	3354	Market	50	0					
P	MQ	YANKTON SD #1	95	3356	Market	725	0					
P	MQ	EARLY IA #2	95	3358	Market	25	0					
P	MQ	ALCESTER SD #1	95	3665	Market	100	0					
P	MQ	ALVORD IA #1	95	3668	Market	25	0					
P	MQ	AURELIA IA #1	95	3675	Market	50	0					
P	MQ	BOYDEN IA #1	95	3676	Market	450	0					
P	MQ	CANTON SD #1	95	3680	Market	50	0					
P	MQ	BERESFORD SD #1	95	3685	Market	250	0					
P	MQ	CLEGHORN IA #1	95	3687	Market	25	0					
P	MQ	DAKOTA CITY NE #1	95	3689	Market	57	0					
P	MQ	BATTLE CREEK IA #1	95	3707	Market	50	0					
P	MQ	DANBURY IA #1	95	3708	Market	25	0					
