H	ANR PIPELINE COMPANY	C000623	4/2/2018	O	4/1/2018	 T 	 T 	 T 	Kay Dennison832-320-5336			
D	"CITY OF BETHANY, MISSOURI                                                  "	92855311	N	STS  	123217	4/1/2014	3/31/2019	 	N	2600	71500	0
A	"CONSTELLATION NEWENERGY - GAS DIVISION, LLC                                "	N										
P	MQ	BETHANY                        	95	12991	MW6B	2600	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	1170	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1430	71500	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1430	71500	0				
D	"CITY OF HAVENSVILLE, KANSAS                                                "	43430131	N	STS  	123218	4/1/2014	3/31/2019	 	N	100	2750	0
A	NATIONAL PUBLIC GAS AGENCY                                                 	N										
P	MQ	HAVENSVILLE                    	95	5658	MW5B	100	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	45	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	55	2750	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	55	2750	0				
D	CITY GAS COMPANY                                                           	3776457	N	STS  	123220	4/1/2014	3/31/2024	 	N	6138	168800	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	MQ	ANTIGO                         	95	28730	WI7P	6138	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	2762	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	3376	168800	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	3376	168800	0				
D	"CITY OF WAYLAND, IOWA                                                      "	52095023	N	STS  	123221	4/1/2014	3/31/2020	 	N	900	24750	0
A	CLAYTON ENERGY CORPORATION                                                 	N										
P	MQ	WAYLAND IA                     	95	4689	MW6I	900	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	405	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	495	24750	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	495	24750	0				
D	"CITY OF NEW BOSTON, ILLINOIS                                               "	5495551	N	STS  	123222	4/1/2014	3/31/2019	 	N	439	12050	0
A	INTERSTATE MUNICIPAL GAS AGENCY                                            	N										
P	MQ	NEW BOSTON                     	95	3969	MW6K	439	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	196	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	243	12050	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	243	12050	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	ETS  	123225	4/1/2014	3/31/2019	 	N	3850	0	0
A	"UGI ENERGY SERVICES, LLC                                                   "	N										
P	MQ	KIRKSVILLE                     	95	4602	MW6I	3850	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	3850	0	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	FTS-1	123226	4/1/2014	3/31/2019	 	N	954	0	0
A	"UGI ENERGY SERVICES, LLC                                                   "	N										
P	M2	S W HEADSTATION                	95	103702	SW4A	954	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	954	0	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	FTS-1	123227	4/1/2014	3/31/2019	 	N	3000	0	0
A	"DIRECT ENERGY BUSINESS MARKETING, LLC                                      "	N										
P	MQ	KEOKUK                         	95	4741	MW6J	3000	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	3000	0	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	ETS  	123228	4/1/2014	3/31/2019	 	N	1115	0	0
A	"UGI ENERGY SERVICES, LLC                                                   "	N										
P	M2	KIRKSVILLE                     	95	4602	MW6I	1115	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1115	0	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	FSS  	123229	4/1/2014	3/31/2019	 	N	0	194050	0
A	"UGI ENERGY SERVICES, LLC                                                   "	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	194050	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1109	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3881	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	FSS  	123230	4/1/2014	3/31/2019	 	N	0	190700	0
A	"UGI ENERGY SERVICES, LLC                                                   "	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	190700	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	954	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3814	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	NNS  	123231	4/1/2014	3/31/2019	 	N	1500	0	0
P	MQ	KIRKSVILLE                     	95	4602	MW6I	1500	0	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	FSS  	123232	4/1/2014	3/31/2019	 	N	0	242760	0
A	"DIRECT ENERGY BUSINESS MARKETING, LLC                                      "	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	242760	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1387	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	3468	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	FTS-1	123233	4/1/2014	3/31/2019	 	N	1390	0	0
A	"DIRECT ENERGY BUSINESS MARKETING, LLC                                      "	N										
P	M2	KEOKUK                         	95	4741	MW6J	1390	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1390	0	0				
D	LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP.                            	78314967	N	NNS  	123234	4/1/2014	3/31/2019	 	N	880	0	0
P	MQ	KEOKUK                         	95	4741	MW6J	880	0	0				
D	"CITY OF PRINCETON, MISSOURI                                                "	53645222	N	STS  	123242	4/1/2014	3/31/2024	 	N	1150	31650	0
A	HALL ENGINEERING COMPANY                                                   	N										
P	MQ	PRINCETON MO                   	95	40183	MW6D	1150	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	520	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	630	31650	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	630	31650	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	123253	3/1/2014	4/30/2024	 	N	30000	0	0
P	MQ	WILLOW RUN(TO MICHCON)         	95	42078	MI7A	30000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	30000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	123254	3/1/2014	4/30/2024	 	N	20000	0	0
P	MQ	DETROIT A (DELIVERY)           	95	40892	MI7R	20000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	20000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	123255	3/1/2014	4/30/2024	 	N	30000	0	0
P	MQ	FARWELL (DELIVERY)             	95	11616	MI7E	30000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	30000	0	0				
D	"SEMCO ENERGY, INC., DBA SEMCO ENERGY GAS COMPANY                           "	6960553	N	ETS  	123256	4/1/2014	3/31/2021	 	N	11172	0	0
A	BP CANADA ENERGY MARKETING CORP.                                           	N										
P	M2	S E HEADSTATION                	95	103565	SE2A	11172	0	0				
P	MQ	SEM GAS - GRP 1                	95	139249	MI7C	11172	0	0				
D	"CITY OF ALEDO, ILLINOIS                                                    "	95787032	N	STS  	123300	4/1/2014	3/31/2019	 	N	3500	96250	0
A	NATIONAL PUBLIC GAS AGENCY                                                 	N										
P	MQ	ALEDO/CITY OF ALEDO            	95	3973	MW6K	3500	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	1575	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1925	96250	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	1925	96250	0				
D	CITY GAS COMPANY                                                           	3776457	N	FTS-1	123389	1/1/2014	3/31/2024	 	N	100	0	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	MQ	ANTIGO                         	95	28730	WI7P	100	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	100	0	0				
D	MILK SPECIALTIES COMPANY                                                   	115715930	N	FTS-1	123397	11/1/2013	10/31/2018	 	N	850	0	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	MQ	FOND DU LAC                    	95	28702	WI7H	850	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	850	0	0				
D	CITY GAS COMPANY                                                           	3776457	N	FTS-1	123398	4/1/2014	3/31/2024	 	N	500	0	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	MQ	ANTIGO                         	95	28730	WI7P	500	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	500	0	0				
D	CITY GAS COMPANY                                                           	3776457	N	FTS-1	123399	4/1/2014	3/31/2024	 	N	400	0	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	MQ	ANTIGO                         	95	28730	WI7P	400	0	0				
P	M2	WILL COUNTY INT                	95	246067	MI7V	400	0	0				
D	INTERSTATE POWER AND LIGHT COMPANY                                         	6940522	N	ETS  	123405	4/1/2014	3/31/2021	 	N	0	0	0
P	M2	IES UTILITIES-GRP 1            	95	139241	MW6K	0	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	INTERSTATE POWER AND LIGHT COMPANY                                         	6940522	N	ETS  	123406	11/1/2014	3/31/2021	 	N	7816	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	7816	0	0				
P	MQ	IES UTILITIES-GRP 1            	95	139241	MW6K	7816	0	0				
D	"TOWN OF CHRISNEY, INDIANA                                                  "	2565448	N	STS  	123608	4/1/2014	3/31/2019	 	N	500	13750	0
P	MQ	"CHRISNEY, TOWN OF CHRISN       "	95	4481	ME3A	500	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	225	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	275	13750	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	275	13750	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	123625	8/1/2014	7/31/2024	 	N	20000	0	0
P	MQ	WILLOW RUN(TO MICHCON)         	95	42078	MI7A	20000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	20000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	123626	8/1/2014	7/31/2024	 	N	20000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	OVERISEL INT NO 1              	95	11566	MI7L	20000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	20000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	123627	8/1/2014	7/31/2024	 	N	20000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	CROWN POINT/NIPSCO             	95	138744	MI7G	20000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	20000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	123628	8/1/2014	7/31/2024	 	N	15000	0	0
A	"CNE GAS SUPPLY, LLC;                                                       "	N										
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	GREEN BAY                      	95	28661	WI7A	15000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	15000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	123629	8/1/2014	7/31/2024	 	N	13700	0	0
P	MQ	FARWELL (DELIVERY)             	95	11616	MI7E	13700	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	13700	0	0				
D	RICE ENERGY MARKETING LLC                                                  	79663699	N	FTS-1	123656	10/1/2014	9/30/2035	 	N	5000	0	0
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC                                        "	N										
P	MQ	DETROIT A (DELIVERY)           	95	40892	MI7R	5000	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	5000	0	0				
D	RICE ENERGY MARKETING LLC                                                  	79663699	N	FTS-1	123657	10/1/2014	9/30/2035	 	N	5000	0	0
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC                                        "	N										
P	MQ	FARWELL (DELIVERY)             	95	11616	MI7E	5000	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	5000	0	0				
D	RICE ENERGY MARKETING LLC                                                  	79663699	N	FTS-1	123658	10/1/2014	9/30/2035	 	N	20000	0	0
P	MQ	S E CDP (TRANSMISSION)         	95	345116	SE1A	20000	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	20000	0	0				
D	RICE ENERGY MARKETING LLC                                                  	79663699	N	FTS-1	123659	10/1/2014	9/30/2035	 	N	20000	0	0
P	MQ	S E CDP (TRANSMISSION)         	95	345116	SE1A	20000	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	20000	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FSS  	123741	4/1/2014	3/31/2019	 	N	0	1043800	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1043800	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	5965	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	20876	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FTS-1	123742	4/1/2014	3/31/2019	 	N	5996	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	5996	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	5996	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FTS-1	123743	4/1/2014	3/31/2019	 	N	0	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
P	MQ	GUARDIAN CEDAR DEL             	95	338685	MI7U	0	0	0				
D	"ASCENT RESOURCES - UTICA, LLC                                              "	79174372	N	FTS-1	123847	5/1/2014	4/30/2024	 	N	34000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	FALLEN TIMBERS                 	95	523086	MI7B	34000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	34000	0	0				
D	"ASCENT RESOURCES - UTICA, LLC                                              "	79174372	N	FTS-1	123848	5/1/2014	4/30/2024	 	N	33000	0	0
A	"SEQUENT ENERGY MANAGEMENT, L.P.                                            "	N										
P	MQ	DETROIT A (DELIVERY)           	95	40892	MI7R	33000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	33000	0	0				
D	"ASCENT RESOURCES - UTICA, LLC                                              "	79174372	N	FTS-1	123849	5/1/2014	4/30/2024	 	N	33000	0	0
A	"SEQUENT ENERGY MANAGEMENT, L.P.                                            "	N										
P	MQ	FARWELL (DELIVERY)             	95	11616	MI7E	33000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	33000	0	0				
D	"FARMLAND FOODS, INC.                                                       "	43205053	N	FTS-1	123850	7/1/2014	10/31/2018	 	N	1400	0	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	MQ	MILAN MO                       	95	40193	MW6H	1400	0	0				
P	M2	S W HEADSTATION                	95	103702	SW4A	1400	0	0				
D	"OKLAHOMA NATURAL GAS COMPANY, A DIVISION OF ONE GAS, INC.                  "	79254828	N	FTS-1	123915	2/1/2014	11/30/2018	 	N	350	0	0
P	M2	S W HEADSTATION                	95	103702	SW4A	350	0	0				
P	MQ	LAVERNE CITYGATE INT           	95	174769	SW4E	350	0	0				
D	ANTERO RESOURCES CORPORATION                                               	831003012	N	FTS-1	123966	7/1/2014	6/30/2029	 	N	200000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	ANR JOLIET HUB                 	95	243097	MI7F	200000	0	0				
P	M2	WESTRICK                       	95	513105	ME3E	200000	0	0				
D	"TWIN EAGLE RESOURCE MANAGEMENT, LLC                                        "	965177889	N	FSS  	124011	4/1/2014	3/31/2019	 	N	0	4096260	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	4096260	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	23407	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	45514	0				
D	"ENABLE ENERGY RESOURCES, LLC                                               "	188781421	N	PTS-2	124035	2/22/2014	3/31/2019	 	N	40000	0	0
P	MQ	S W HEADSTATION                	95	103702	SW4A	40000	0	0				
P	M2	FORT ELLIOTT RECEIPT           	95	1261065	SW1C	40000	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FSS  	124083	4/3/2014	3/31/2024	 	N	0	2420600	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	2420600	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	13832	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	49400	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FSS  	124084	4/1/2016	3/31/2026	 	N	0	2420600	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	2420600	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	13832	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	49400	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FTS-1	124085	4/3/2014	3/31/2024	 	N	13906	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	13906	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	13906	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FTS-1	124086	4/3/2014	3/31/2024	 	N	0	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
P	MQ	GUARDIAN CEDAR DEL             	95	338685	MI7U	0	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FTS-1	124087	4/1/2016	3/31/2026	 	N	13906	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	13906	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	13906	0	0				
D	WISCONSIN GAS LLC                                                          	7947047	N	FTS-1	124088	4/1/2016	3/31/2026	 	N	0	0	0
A	WISCONSIN ELECTRIC POWER COMPANY                                           	N										
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
P	MQ	GUARDIAN CEDAR DEL             	95	338685	MI7U	0	0	0				
D	BP CANADA ENERGY MARKETING CORP.                                           	248799413	N	FSS  	124102	4/1/2014	3/31/2019	 	N	0	1998720	0
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	1998720	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	11421	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	22208	0				
D	"ASCENT RESOURCES - UTICA, LLC                                              "	79174372	N	FTS-1	124150	11/1/2015	10/31/2045	 	N	192601	0	0
A	TENASKA MARKETING VENTURES;                                                	N										
A	"SHELL ENERGY NORTH AMERICA (US), L.P.;                                     "	N										
A	MACQUARIE ENERGY LLC;                                                      	N										
A	"DIRECT ENERGY BUSINESS MARKETING, LLC;                                     "	N										
A	CONOCOPHILLIPS COMPANY;                                                    	N										
A	"ECO-ENERGY, LLC;                                                           "	N										
A	"SEQUENT ENERGY MANAGEMENT, L.P.                                            "	N										
P	MQ	S E CDP (TRANSMISSION)         	95	345116	SE1A	192601	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	192601	0	0				
D	"ASCENT RESOURCES - UTICA, LLC                                              "	79174372	N	FTS-1	124151	11/1/2015	10/31/2045	 	N	323000	0	0
A	"SEQUENT ENERGY MANAGEMENT, L.P.;                                           "	N										
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC;                                       "	N										
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	WILLOW RUN(TO MICHCON)         	95	42078	MI7A	323000	0	0				
P	M2	S E HEADSTATION                	95	103565	SE2A	323000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	124156	11/1/2014	3/31/2036	 	N	13000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	GREEN BAY                      	95	28661	WI7A	13000	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	13000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	124157	11/1/2014	3/31/2036	 	N	20000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	OVERISEL INT NO 1              	95	11566	MI7L	20000	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	20000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	124158	11/1/2014	3/31/2036	 	N	10000	0	0
A	"CNE GAS SUPPLY, LLC                                                        "	N										
P	MQ	FARWELL (DELIVERY)             	95	11616	MI7E	10000	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	10000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	124159	11/1/2014	3/31/2036	 	N	7000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	CAPITOL DRIVE                  	95	28846	WI7D	7000	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	7000	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	124160	11/1/2014	3/31/2036	 	N	50000	0	0
A	"MERCURIA ENERGY AMERICA, INC.                                              "	N										
P	MQ	S E CDP (TRANSMISSION)         	95	345116	SE1A	50000	0	0				
P	M2	REX SHELBYVILLE                	95	742252	ME3A	50000	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	124175	9/1/2014	3/31/2019	 	N	693	0	0
P	MQ	GREEN BAY                      	95	28661	WI7A	693	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	693	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	124176	9/1/2014	3/31/2019	 	N	462	0	0
P	MQ	MANITOWOC                      	95	28736	WI7M	462	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	462	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	124177	9/1/2014	3/31/2019	 	N	104	0	0
P	MQ	NEW LONDON WI                  	95	28862	WI7F	104	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	104	0	0				
D	"CNE GAS SUPPLY, LLC                                                        "	829868921	N	FTS-1	124178	9/1/2014	3/31/2019	 	N	236	0	0
P	MQ	OSHKOSH                        	95	28868	WI7H	236	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	236	0	0				
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY                                    	6937585	N	FTS-1	124603	11/1/2014	3/31/2020	 	N	20000	0	0
P	M2	S E HEADSTATION                	95	103565	SE2A	20000	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	20000	0	0				
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY                                    	6937585	N	ETS  	124609	11/1/2016	3/31/2020	 	N	0	0	0
P	M2	NIPSCO - GROUP 2               	95	139366	MI7J	0	0	0				
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY                                    	6937585	N	FSS  	124610	4/1/2015	3/31/2020	 	N	0	8426667	0
A	"WGL MIDSTREAM, INC.                                                        "	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	8426667	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	48152	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	168533	0				
D	NORTHERN INDIANA PUBLIC SERVICE COMPANY                                    	6937585	N	NNS  	124623	4/1/2015	3/31/2020	 	N	10000	0	0
P	MQ	NIPSCO - GROUP 2               	95	139366	MI7J	10000	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	FTS-1	124624	4/1/2015	3/31/2020	 	N	0	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	MQ	NEW BERLIN                     	95	28841	WI7D	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	FTS-1	124625	4/1/2015	3/31/2020	 	N	2896	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	MQ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	2896	0	0				
P	M2	ANR JOLIET HUB                 	95	243097	MI7F	2896	0	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	FSS  	124626	4/1/2015	3/31/2020	 	N	0	504050	0
A	WISCONSIN GAS LLC                                                          	N										
P	SB	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	504050	0				
P	IJ	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	2880	0				
P	WR	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	10081	0				
D	WISCONSIN ELECTRIC POWER COMPANY                                           	7947385	N	ETS  	124627	11/1/2014	3/31/2019	 	N	0	0	0
A	WISCONSIN GAS LLC                                                          	N										
P	MQ	WISC EPC-GRP 1                 	95	139256	WI7G	0	0	0				
P	M2	ANRPL STORAGE FACILITIES       	95	153808	MI7E	0	0	0				
D	GULFPORT ENERGY CORPORATION                                                	4850660	N	FTS-1	124690	6/1/2014	4/30/2024	 	N	20000	0	0
A	TENASKA MARKETING VENTURES                                                 	N										
P	MQ	OVERISEL INT NO 1              	95	11566	MI7L	20000	0	0				
P	M2	LEBANON/DOMINION RECEIPT       	95	1387755	ME3B	20000	0	0				
D	CITY GAS COMPANY                                                           	3776457	N	FTS-1	124702	11/1/2014	3/31/2024	 	N	200	0	0
A	"KINECT ENERGY, INC.                                                        "	N										
P	MQ	ANTIGO                         	95	28730	WI7P	200	0	0				
P	M2	MARSHFIELD/VIKING INT          	95	28873	WI7Q	200	0	0				
D	MADISON GAS AND ELECTRIC COMPANY                                           	7946346	N	FTS-1	124705	11/1/2014	10/31/2026	 	N	5000	0	0
P	MQ	NORTH MADISON                  	95	36868	WI7U	5000	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	5000	0	0				
D	"CENTERPOINT ENERGY SERVICES, INC.                                          "	838611739	N	FTS-1	124706	11/1/2014	10/31/2019	 	N	1269	0	0
P	MQ	FOND DU LAC                    	95	28702	WI7H	1269	0	0				
P	M2	ALLIANCE/ANR INT               	95	277072	MI7U	1269	0	0				
