H	"EL PASO NATURAL GAS COMPANY, L.L.C."	C000967	4/2/2018	O	4/1/2018	T		Sherry Saunders 719-520-3711				
P	M2	OXY USA/EPNG (IARCOPUC) PUCKETT PLA	95	301321	TEXAS - PERMIAN BASI	8000	0					
P	M2	OXY/EPNG (ITERRELL) TERRELL PLT DIS	95	301596	TEXAS - PERMIAN BASI	3000	0					
D	"PDC PERMIAN, INC."	80675330	N	FT-1	FT3J5000-FT1EPNG	5/1/2017	12/31/2020		N	40000	0	n1
A	BP ENERGY COMPANY	N										
P	M2	EGLCLAW/EPNG (ICELERO) CELERO REC R	95	800907	TEXAS - PERMIAN BASI	30000	0					
P	M2	EGLCLAW/EPNG (ITYHLAKE) TOYAH LAKE	95	801266	TEXAS - PERMIAN BASI	10000	0					
P	MQ	EPNG/EPNG (WAHATRAN) WAHA TRANSFER	95	302407	TEXAS - PERMIAN BASI	40000	0					
D	"PIMALCO, INC."	63273916	N	FT-1	FT2RT000-FT1EPNG	1/1/2009	3/31/2020		N	600	0	n1
A	"KINECT ENERGY, INC."	N										
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	600	0					
P	MQ	PMALCOPS/EPNG (DPIMALCO) PIMALCO	95	320606	ARIZONA - NO BASIN	600	0					
D	"PIONEER NATURAL RESOURCES USA, INC."	154679435	N	FT-1	FT3HH000-FT1EPNG	1/1/2017	3/31/2029		Y	137000	0	n1
P	MQ	NBAJA/EPNG (INORBAJA) NORTH BAJA DE	95	301693	CALIFORNIA - NO BASI	137000	0					
P	M2	TARGAWTX/EPNG (IEDWRDPL) EDWARD PLT	95	47817	TEXAS - PERMIAN BASI	137000	0					
P	M2	TARGAWTX/EPNG (IUTBENED) UTP BENEDU	95	377040	TEXAS - PERMIAN BASI	0	0					
D	"PIONEER NATURAL RESOURCES USA, INC."	154679435	N	FT-1	FT3HJ000-FT1EPNG	4/1/2017	3/31/2024		Y	96000	0	n1
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	11900	0					
P	MQ	SOCETS/EPNG (DSCALEHR) SOCAL EHRENB	95	301016	CALIFORNIA - NO BASI	84100	0					
P	M2	TARGAWTX/EPNG (IMIDKIFF) MIDKIFF PL	95	314602	TEXAS - PERMIAN BASI	96000	0					
D	PUBLIC SERVICE COMPANY OF NEW MEXICO	40016268	N	FT-1	FT3EQ000-FT1EPNG	7/1/2015	10/31/2022		Y	9000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	9000	0					
P	MQ	NMPSC/EPNG (ILRDSBRG) LORDSBURG DEL	95	314549	NEW MEXICO - NO BASI	9000	0					
D	PUBLIC SERVICE COMPANY OF NEW MEXICO	40016268	N	FT-1	FT3ER000-FT1EPNG	7/1/2015	10/31/2022		Y	6000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	6000	0					
P	MQ	NMPSC/EPNG (ILRDSBRG) LORDSBURG DEL	95	314549	NEW MEXICO - NO BASI	6000	0					
D	PUBLIC SERVICE COMPANY OF NEW MEXICO	40016268	N	FT-1	FT3ET000-FT1EPNG	7/1/2015	10/31/2022		Y	24000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	24000	0					
P	MQ	NMPSC/EPNG (IAFTONPP) AFTON POWER P	95	314550	NEW MEXICO - NO BASI	24000	0					
D	PUBLIC SERVICE COMPANY OF NEW MEXICO	40016268	N	FT-1	FT3EU000-FT1EPNG	7/1/2015	10/31/2022		Y	12000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	12000	0					
P	MQ	NMPSC/EPNG (IAFTONPP) AFTON POWER P	95	314550	NEW MEXICO - NO BASI	12000	0					
D	RED WILLOW PRODUCTION COMPANY	937526358	N	FT-1	FT3HM000-FT1EPNG	12/2/2016	12/31/2021		N	35000	0	n1
P	MQ	EPNG/EPNG (DBLANCO) BLANCO DELIVERI	95	300789	NEW MEXICO - SAN JUA	35000	0					
P	M2	RED CEDA/EPNG (IWSTCOAL) RED CEDAR	95	343231	NEW MEXICO - SAN JUA	35000	0					
D	SACRAMENTO MUNICIPAL UTILITY DISTRICT	9235342	N	FT-1	FT3H7000-FT1EPNG	4/1/2017	3/31/2019		N	9000	0	n1
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	9000	0					
P	M2	WLFOUR/EPNG (IMILAGRO) MILAGRO PLT	95	314348	NEW MEXICO - SAN JUA	9000	0					
D	"SALT CREEK MIDSTREAM, LLC"	80651772	N	FT-1	FT3JN000-FT1EPNG	7/1/2017	3/31/2023		Y	100000	0	n1
A	"ARM ENERGY MANAGEMENT, LLC"	N										
P	M2	EGLCLAW/EPNG (ICELERO) CELERO REC R	95	800907	TEXAS - PERMIAN BASI	50000	0					
P	M2	EGLCLAW/EPNG (ITYHLAKE) TOYAH LAKE	95	801266	TEXAS - PERMIAN BASI	50000	0					
P	MQ	ETP/EPNG (IVALEROW) VALERO WAHA PEC	95	301945	TEXAS - PERMIAN BASI	50000	0					
P	MQ	OPLCTX/EPNG (IOASISWA) OASIS WAHA P	95	301701	TEXAS - PERMIAN BASI	50000	0					
D	"SEMPRA GENERATION, LLC"	14256379	N	FT-1	FT3D5000-FT1EPNG	10/1/2014	10/31/2018		N	135000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	0	0					
P	M2	MARKWEST/EPNG (ITRICRWN) TRIPLE CRO	95	334863	TEXAS - PERMIAN BASI	17000	0					
P	MQ	NBAJA/EPNG (INORBAJA) NORTH BAJA DE	95	301693	CALIFORNIA - NO BASI	135000	0					
P	M2	VERSADO/EPNG (ITEXNEUN) TEXACO TO E	95	377034	NEW MEXICO - PERMIAN	19000	0					
P	M2	VERSADO/EPNG (IWARMONU) MONUMENT PL	95	314598	NEW MEXICO - PERMIAN	19000	0					
P	M2	WTGGAS/EPNG (IWTGBUCK) BUCKHORN REC	95	801264	TEXAS - PERMIAN BASI	40000	0					
P	M2	WTGSPM/EPNG (IBRCOBND) BRONCO BENED	95	801185	TEXAS - PERMIAN BASI	20000	0					
P	M2	WTGSPM/EPNG (IHYBENDM) PECOS BENEDU	95	302304	TEXAS - PERMIAN BASI	20000	0					
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FT-1	610352-FT1EPNG	11/1/2017	10/31/2019		N	40000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	20000	0					
P	M2	DBMPL/EPNG (IRAMSEYN) RAMSEY NORTH	95	48164	NEW MEXICO - PERMIAN	10000	0					
P	M2	DBMPL/EPNG (IRAMSEYS) RAMSEY SO REC	95	800908	TEXAS - PERMIAN BASI	10000	0					
P	MQ	NBAJA/EPNG (INORBAJA) NORTH BAJA DE	95	301693	CALIFORNIA - NO BASI	40000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	0	0					
D	"SEQUENT ENERGY MANAGEMENT, L.P."	612075846	N	FT-1	610881-FT1EPNG	4/1/2018	10/31/2019		N	10000	0	n1
P	M2	DBMPL/EPNG (IRAMSEYN) RAMSEY NORTH	95	48164	NEW MEXICO - PERMIAN	10000	0					
P	MQ	GASDECHI/EPNG (ISAMLELP) GASODUCTOS	95	314910	TEXAS - NO BASIN	10000	0					
D	"SHELL ENERGY NORTH AMERICA (US), L.P."	837565548	N	FT-1	610913-FT1EPNG	4/1/2018	4/30/2018		N	10356	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	10356	0					
P	MQ	TRANSCOL/EPNG (ITCOLBLA) TRANSCOLOR	95	301881	NEW MEXICO - SAN JUA	10356	0					
D	SOUTHERN CALIFORNIA GAS COMPANY	6908826	N	FT-1	9RBX-FT1EPNG	9/1/2006	10/31/2019		N	50000	0	n1
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	50000	0					
P	MQ	SOCETS/EPNG (DSCALTOP) TOPOCK SOCAL	95	332503	CALIFORNIA - NO BASI	50000	0					
D	SOUTHERN CALIFORNIA GAS COMPANY	6908826	N	FT-1	FT2UD000-FT1EPNG	9/1/2009	10/31/2018		N	23208	0	n1
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	23208	0					
P	MQ	SOCETS/EPNG (DSCALEHR) SOCAL EHRENB	95	301016	CALIFORNIA - NO BASI	23208	0					
D	SOUTHERN CALIFORNIA GAS COMPANY	6908826	N	FT-1	FT323000-FT1EPNG	9/1/2011	10/31/2018		Y	85000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	85000	0					
P	MQ	SOCETS/EPNG (DSCALEHR) SOCAL EHRENB	95	301016	CALIFORNIA - NO BASI	85000	0					
D	SOUTHERN CALIFORNIA GAS COMPANY	6908826	N	FT-1	FT37H000-FT1EPNG	11/1/2012	10/31/2019		N	158000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	67000	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	81000	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	10000	0					
P	MQ	SOCETS/EPNG (DSCALTOP) TOPOCK SOCAL	95	332503	CALIFORNIA - NO BASI	158000	0					
D	SOUTHERN CALIFORNIA GAS COMPANY	6908826	N	FT-1	FT37J000-FT1EPNG	4/1/2013	10/31/2018		N	190000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	190000	0					
P	MQ	SOCETS/EPNG (DSCALEHR) SOCAL EHRENB	95	301016	CALIFORNIA - NO BASI	190000	0					
D	SOUTHERN CALIFORNIA GAS COMPANY	6908826	N	FT-1	FT3A2000-FT1EPNG	11/1/2014	10/31/2019		N	125000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	125000	0					
P	MQ	SOCETS/EPNG (DSCALTOP) TOPOCK SOCAL	95	332503	CALIFORNIA - NO BASI	125000	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	FT28M000-FTAEPNG	11/1/2006	3/31/2018	365	N	147039	0	
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	86746	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	30493	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	3800	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
P	M2	DBMPL/EPNG (IRAMSEYS) RAMSEY SO REC	95	800908	TEXAS - PERMIAN BASI	10000	0					
P	MQ	SWGAS/EPNG (DSWG AJO) AJO PIMA	95	301084	ARIZONA - NO BASIN	277	0					
P	MQ	SWGAS/EPNG (DSWG BSB) BISBEE COCHIS	95	301087	ARIZONA - NO BASIN	766	0					
P	MQ	SWGAS/EPNG (DSWG DG1) DOUGLAS NO 1	95	330023	ARIZONA - NO BASIN	691	0					
P	MQ	SWGAS/EPNG (DSWG DGN) DOUGLAS COCHI	95	301091	ARIZONA - NO BASIN	866	0					
P	MQ	SWGAS/EPNG (DSWG DUG) SWG DOUGLAS A	95	301092	ARIZONA - NO BASIN	449	0					
P	MQ	SWGAS/EPNG (DSWG EUR) EUROFRESH	95	314589	ARIZONA - NO BASIN	1953	0					
P	MQ	SWGAS/EPNG (DSWG G-M) SWG GLOBE ARE	95	301100	ARIZONA - NO BASIN	1514	0					
P	MQ	SWGAS/EPNG (DSWG GIL) SWG GILA AREA	95	301105	ARIZONA - NO BASIN	2231	0					
P	MQ	SWGAS/EPNG (DSWG GME) SWG GLOBE MIA	95	301107	ARIZONA - NO BASIN	526	0					
P	MQ	SWGAS/EPNG (DSWG HAV) SWG HAVASU LA	95	301108	ARIZONA - NO BASIN	35	0					
P	MQ	SWGAS/EPNG (DSWG HAY) SWG HAYDEN PI	95	301109	ARIZONA - NO BASIN	2198	0					
P	MQ	SWGAS/EPNG (DSWG HCH) FT. HUACHUCA	95	301110	ARIZONA - NO BASIN	5769	0					
P	MQ	SWGAS/EPNG (DSWG MOR) SWG MORENCI G	95	301114	ARIZONA - NO BASIN	712	0					
P	MQ	SWGAS/EPNG (DSWG N78) NORTH TUCSON	95	301115	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG NOG) SWG NOGALAS L	95	301117	ARIZONA - NO BASIN	3875	0					
P	MQ	SWGAS/EPNG (DSWG PAL) PALOMAS PLAIN	95	331266	ARIZONA - NO BASIN	3	0					
P	MQ	SWGAS/EPNG (DSWG PHW) SOUTHWEST GAS	95	301120	ARIZONA - NO BASIN	56644	0					
P	MQ	SWGAS/EPNG (DSWG PHX) SWG  PHOENIX	95	301122	ARIZONA - NO BASIN	32856	0					
P	MQ	SWGAS/EPNG (DSWG S78) SOUTH TUCSON	95	301126	ARIZONA - NO BASIN	69	0					
P	MQ	SWGAS/EPNG (DSWG SJW) SWG KINGMAN A	95	301129	ARIZONA - NO BASIN	2356	0					
P	MQ	SWGAS/EPNG (DSWG SNM) SWG SAN MANUE	95	301130	ARIZONA - NO BASIN	336	0					
P	MQ	SWGAS/EPNG (DSWG SUP) SWG SUPERIOR	95	301131	ARIZONA - NO BASIN	2444	0					
P	MQ	SWGAS/EPNG (DSWG TUS) SWGTUCSON ARE	95	301133	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG WIL) SWG  WILLCOX	95	301135	ARIZONA - NO BASIN	2311	0					
P	MQ	SWGAS/EPNG (DSWG YUM) SWG YUMA AREA	95	301142	ARIZONA - NO BASIN	28158	0					
P	M2	VERSADO/EPNG (ITEXNEUN) TEXACO TO E	95	377034	NEW MEXICO - PERMIAN	15000	0					
P	M2	VERSADO/EPNG (IWARMONU) MONUMENT PL	95	314598	NEW MEXICO - PERMIAN	1000	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	FT3EL000-FT1EPNG	11/1/2015	3/31/2021		N	0	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	0	0					
P	MQ	SWGAST/EPNG (DSWG MOH) SGTC DEL PT	95	334808	NEVADA - NO BASIN	0	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	FT3HR000-FT1EPNG	4/1/2017	3/31/2027		N	9150	0	n1
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	9150	0					
P	MQ	SWGAS/EPNG (DSWG BSB) BISBEE COCHIS	95	301087	ARIZONA - NO BASIN	2000	0					
P	MQ	SWGAS/EPNG (DSWG HCH) FT. HUACHUCA	95	301110	ARIZONA - NO BASIN	7150	0					
P	MQ	SWGAS/EPNG (DSWG N78) NORTH TUCSON	95	301115	ARIZONA - NO BASIN	0	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	610182-FT1EPNG	11/1/2017	3/31/2027		N	0	0	n1
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
P	MQ	GSNATIND/EPNG (IENERDUG) DUCTOS DE	95	320613	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG NOG) SWG NOGALAS L	95	301117	ARIZONA - NO BASIN	0	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	610185-FT1EPNG	11/1/2017	3/31/2020		N	0	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	0	0					
P	MQ	SWGAS/EPNG (DSWG N78) NORTH TUCSON	95	301115	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG PHW) SOUTHWEST GAS	95	301120	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG S78) SOUTH TUCSON	95	301126	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG TUS) SWGTUCSON ARE	95	301133	ARIZONA - NO BASIN	0	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	610186-FT1EPNG	11/1/2017	3/31/2042		N	35000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	35000	0					
P	MQ	GSNATIND/EPNG (IENERDUG) DUCTOS DE	95	320613	ARIZONA - NO BASIN	1870	0					
P	MQ	SWGAS/EPNG (DSWG GIL) SWG GILA AREA	95	301105	ARIZONA - NO BASIN	1941	0					
P	MQ	SWGAS/EPNG (DSWG N78) NORTH TUCSON	95	301115	ARIZONA - NO BASIN	3304	0					
P	MQ	SWGAS/EPNG (DSWG PHW) SOUTHWEST GAS	95	301120	ARIZONA - NO BASIN	21000	0					
P	MQ	SWGAS/EPNG (DSWG PHX) SWG  PHOENIX	95	301122	ARIZONA - NO BASIN	4826	0					
P	MQ	SWGAS/EPNG (DSWG S78) SOUTH TUCSON	95	301126	ARIZONA - NO BASIN	1130	0					
P	MQ	SWGAS/EPNG (DSWG TUS) SWGTUCSON ARE	95	301133	ARIZONA - NO BASIN	929	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	610187-FT1EPNG	11/1/2017	3/31/2042		N	22000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	8000	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	14000	0					
P	MQ	SWGAS/EPNG (DSWG GIL) SWG GILA AREA	95	301105	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG HAV) SWG HAVASU LA	95	301108	ARIZONA - NO BASIN	69	0					
P	MQ	SWGAS/EPNG (DSWG N78) NORTH TUCSON	95	301115	ARIZONA - NO BASIN	8383	0					
P	MQ	SWGAS/EPNG (DSWG NOG) SWG NOGALAS L	95	301117	ARIZONA - NO BASIN	1861	0					
P	MQ	SWGAS/EPNG (DSWG PHW) SOUTHWEST GAS	95	301120	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG S78) SOUTH TUCSON	95	301126	ARIZONA - NO BASIN	10004	0					
P	MQ	SWGAS/EPNG (DSWG TUS) SWGTUCSON ARE	95	301133	ARIZONA - NO BASIN	1683	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	610188-FT1EPNG	11/1/2017	3/31/2042		N	10000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	10000	0					
P	MQ	SWGAS/EPNG (DSWG GIL) SWG GILA AREA	95	301105	ARIZONA - NO BASIN	10000	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	610189-FT1EPNG	11/1/2017	2/28/2022		N	0	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	0	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
P	MQ	SWGAS/EPNG (DSWG GIL) SWG GILA AREA	95	301105	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG N78) NORTH TUCSON	95	301115	ARIZONA - NO BASIN	0	0					
D	SOUTHWEST GAS CORPORATION	6970917	N	FT-1	610191-FT1EPNG	11/1/2017	3/31/2022		N	0	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	0	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	0	0					
P	M2	OXY/EPNG (ITERRELL) TERRELL PLT DIS	95	301596	TEXAS - PERMIAN BASI	0	0					
P	MQ	SWGAS/EPNG (DSWG N78) NORTH TUCSON	95	301115	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG PHW) SOUTHWEST GAS	95	301120	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG S78) SOUTH TUCSON	95	301126	ARIZONA - NO BASIN	0	0					
P	MQ	SWGAS/EPNG (DSWG YUM) SWG YUMA AREA	95	301142	ARIZONA - NO BASIN	0	0					
D	SOUTHWESTERN PUBLIC SERVICE COMPANY	7369713	N	FT-1	FT2RM000-FT1EPNG	12/1/2008	11/30/2023		N	150000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	120000	0					
P	M2	DBMPL/EPNG (IRAMSEYS) RAMSEY SO REC	95	800908	TEXAS - PERMIAN BASI	11000	0					
P	M2	ETC FS/EPNG (IREDBLUF) RED BLUFF RE	95	800911	TEXAS - PERMIAN BASI	9000	0					
P	MQ	MRKWSTNM/EPNG (DHOBBSPP) HOBBS POWE	95	334841	NEW MEXICO - PERMIAN	150000	0					
P	M2	WTGGAS/EPNG (IWTGBUCK) BUCKHORN REC	95	801264	TEXAS - PERMIAN BASI	10000	0					
D	TARGA GAS MARKETING LLC	610946290	N	FT-1	610692-FT1EPNG	4/1/2018	3/31/2019		N	11949	0	n1
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	11949	0					
P	M2	KMTP/EPNG (IMNDZTRL) MENDOZA TRAIL	95	48148	TEXAS - PERMIAN BASI	11949	0					
D	TARGA GAS MARKETING LLC	610946290	N	FT-1	610699-FT1EPNG	3/1/2018	12/31/2019		N	10000	0	n1
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	10000	0					
P	M2	TARGAWTX/EPNG (IEDWRDPL) EDWARD PLT	95	47817	TEXAS - PERMIAN BASI	10000	0					
D	"TARGA PIPELINE MID-CONTINENT WESTTEX, LLC"	807844415	N	FT-1	FT3BX000-FT1EPNG	9/16/2014	12/31/2019		N	48000	0	n1
A	TARGA GAS MARKETING LLC	N										
A	TARGA MIDSTREAM SERVICES LLC	N										
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	48000	0					
P	M2	TARGAWTX/EPNG (IEDWRDPL) EDWARD PLT	95	47817	TEXAS - PERMIAN BASI	48000	0					
D	"TARGA PIPELINE MID-CONTINENT WESTTEX, LLC"	807844415	N	FT-1	FT3GY000-FT1EPNG	10/21/2016	10/20/2021		N	950	0	n1
A	TARGA MIDSTREAM SERVICES LLC	N										
P	MQ	TARGAWTX/EPNG (DGIDDING) GIDDING DE	95	48860	TEXAS - PERMIAN BASI	950	0					
P	M2	TARGAWTX/EPNG (IEDWRDPL) EDWARD PLT	95	47817	TEXAS - PERMIAN BASI	950	0					
D	TENASKA MARKETING VENTURES	624240628	N	FT-1	610706-FT1EPNG	4/1/2018	3/31/2019		N	20000	0	n1
P	M2	(PLAINS) PLAINS POOL	95	302248	TEXAS - PERMIAN BASI	20000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	20000	0					
D	TESORO REFINING & MARKETING COMPANY LLC	29759037	N	FT-1	610726-FT1EPNG	4/1/2018	3/31/2019		N	30000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	30000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	30000	0					
D	"TEXAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC."	47030002	N	FT-1	FT3CP000-FT1EPNG	8/1/2014	7/31/2024		Y	3927	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	1813	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	2114	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
P	MQ	TXGASSRV/EPNG (DSUG CRN) CRANE CRAN	95	301056	TEXAS - PERMIAN BASI	627	0					
P	MQ	TXGASSRV/EPNG (DSUG ELP) EL PASO AR	95	301057	TEXAS - NO BASIN	0	0					
P	MQ	TXGASSRV/EPNG (DSUG KWX) STILES ARE	95	301062	TEXAS - PERMIAN BASI	3300	0					
D	TUCSON ELECTRIC POWER COMPANY	6902704	N	FT-1	FT3AC000-FT1EPNG	9/1/2013	3/31/2022		Y	9000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	9000	0					
P	MQ	NMPSC/EPNG (ILUNAPWR) LUNA ENERGY F	95	314566	NEW MEXICO - NO BASI	9000	0					
D	TUCSON ELECTRIC POWER COMPANY	6902704	N	FT-1	FT3DG000-FT1EPNG	3/1/2015	11/30/2040		N	5000	0	n1
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	5000	0					
P	MQ	SRP/EPNG (IGILARVR) GILA RIVER PLT	95	398668	ARIZONA - NO BASIN	5000	0					
P	MQ	TUCSONEL/EPNG (DTEP S78) IRVINGTON	95	301149	ARIZONA - NO BASIN	0	0					
D	TUCSON ELECTRIC POWER COMPANY	6902704	N	FT-1	FT3EF000-FT1EPNG	7/1/2015	12/31/2039		N	20000	0	n1
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	20000	0					
P	MQ	TUCSONEL/EPNG (DTEP S78) IRVINGTON	95	301149	ARIZONA - NO BASIN	20000	0					
D	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	965177889	N	FT-1	610389-FT1EPNG	11/1/2017	10/31/2019		N	30000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	25254	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	4746	0					
P	MQ	NBAJA/EPNG (INORBAJA) NORTH BAJA DE	95	301693	CALIFORNIA - NO BASI	30000	0					
P	MQ	PACGAS/EPNG (DPG&ETOP) TOPOCK OBA M	95	314604	CALIFORNIA - NO BASI	0	0					
D	UNION ENERGETICA DEL NOROESTE S.A. DE C.V.	812763531	N	FT-1	610780-FT1EPNG	4/1/2018	3/31/2021		N	3600	0	n1
A	"WTG GAS MARKETING, INC."	N										
P	M2	EPNG/EPNG (IWILCOXD) WILLCOX DELIVE	95	302080	ARIZONA - NO BASIN	3600	0					
P	MQ	GASDEAGU/EPNG (ICFEAGUA) EL FRESNAL	95	398666	WILLCOX LATERAL	3600	0					
D	UNITED DAIRYMEN OF ARIZONA	7961949	N	FT-1	FT2E2000-FT1EPNG	5/1/2007	9/30/2019		N	2500	0	n1
A	BP ENERGY COMPANY	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	2500	0					
P	MQ	SWGAS/EPNG (DSWG PHX) SWG  PHOENIX	95	301122	ARIZONA - NO BASIN	2500	0					
D	"UNITED ENERGY TRADING, LLC"	119162860	N	FT-1	610899-FT1EPNG	4/1/2018	4/30/2018		N	15000	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	15000	0					
P	MQ	TRANSCOL/EPNG (ITCOLBLA) TRANSCOLOR	95	301881	NEW MEXICO - SAN JUA	15000	0					
D	"UNS GAS, INC."	135904907	N	FT-1	FT3AB000-FT1EPNG	9/1/2013	8/31/2023		Y	4197	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	4197	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	0	0					
